gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.443856	3745	1.279589	6327
A1CF	0.000000	16166	0.000000	17239
A2M	0.000000	16165	0.000000	17238
A2ML1	0.000000	16164	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.552317	17165	0.143132	11639
A4GNT	0.000000	16163	0.000000	17236
AAAS	0.146523	8105	1.539701	4172
AACS	0.096348	9105	1.042221	8076
AADAC	0.000000	16162	0.000000	17235
AADACL2	0.000000	16161	0.000000	17234
AADACL3	0.000000	16160	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	16159	0.000000	17232
AAED1	0.097708	9075	1.298555	6158
AAGAB	0.189089	7349	1.737790	2560
AAK1	0.753385	1672	1.353020	5728
AAMDC	0.387164	4381	0.658915	9888
AAMP	0.441341	3766	1.585156	3744
AANAT	0.000000	16158	0.000000	17231
AAR2	0.218937	6817	1.340172	5832
AARD	0.000655	12316	0.015108	14169
AARS	-0.327298	17093	1.172855	7185
AARS2	0.295082	5613	1.505899	4425
AARSD1	0.173730	7608	1.586563	3730
AASDH	0.296245	5596	1.376529	5548
AASDHPPT	0.161347	7800	1.618710	3429
AASS	0.247285	6327	0.860126	9058
AATF	0.199063	7148	1.667924	3068
AATK	0.000000	16157	0.017693	14045
ABAT	0.304745	5473	1.028125	8153
ABCA1	0.000000	16156	0.991870	8369
ABCA10	0.000000	16155	0.000000	17230
ABCA12	0.034601	10948	0.034601	13251
ABCA13	0.066219	9674	0.066219	12175
ABCA2	0.574274	2684	0.902938	8843
ABCA3	0.000000	16154	0.524291	10297
ABCA4	0.034601	10947	0.034601	13250
ABCA5	0.158830	7847	1.172586	7189
ABCA6	0.000000	16153	0.034601	13249
ABCA7	0.885138	1252	1.720697	2685
ABCA8	0.000000	16152	0.000000	17229
ABCA9	0.034601	10946	0.034601	13248
ABCB1	0.609371	2446	1.207044	6918
ABCB10	0.355293	4775	1.163522	7255
ABCB11	0.000000	16151	0.000000	17228
ABCB4	0.000000	16150	0.017693	14044
ABCB5	0.000000	16149	0.000000	17227
ABCB6	0.154582	7970	0.461799	10498
ABCB7	0.221373	6766	1.470811	4713
ABCB8	0.518083	3115	1.374505	5565
ABCB9	0.034615	10745	0.498005	10373
ABCC1	0.268204	6002	1.525174	4286
ABCC10	0.361373	4688	0.975941	8457
ABCC11	0.000000	16148	0.000000	17226
ABCC12	0.000000	16147	0.000000	17225
ABCC2	0.000000	16146	0.000000	17224
ABCC3	0.000000	16145	0.055772	12394
ABCC4	0.030220	11165	0.897603	8861
ABCC5	0.150333	8039	1.139134	7418
ABCC6	-	19006	-	19006
ABCC8	0.034601	10945	0.034601	13247
ABCC9	0.000000	16144	0.000000	17223
ABCD1	0.037981	10474	0.893886	8885
ABCD2	1.451098	425	1.612481	3480
ABCD3	0.457910	3617	1.127561	7498
ABCD4	0.641429	2226	1.473335	4693
ABCE1	0.284458	5785	1.803523	2166
ABCF1	0.084503	9296	1.842419	1947
ABCF2	0.001662	12296	1.428065	5097
ABCF3	0.006151	12229	1.480928	4625
ABCG1	0.682400	2000	1.815321	2098
ABCG2	0.078930	9406	0.171671	11461
ABCG4	0.000000	16143	0.000000	17222
ABCG5	0.000000	16142	0.000000	17221
ABCG8	0.000000	16141	0.000000	17220
ABHD1	0.227220	6658	0.286391	11048
ABHD10	0.184329	7429	1.455006	4855
ABHD11	0.253299	6231	1.223260	6793
ABHD12	0.036863	10626	1.319695	5990
ABHD12B	0.034601	10944	0.034601	13246
ABHD13	0.427402	3915	1.454617	4858
ABHD14A	0.245726	6358	1.362894	5649
ABHD14B	0.195154	7233	1.952612	1431
ABHD15	0.193809	7258	0.534373	10271
ABHD16A	0.253787	6213	1.298457	6160
ABHD16B	-	19005	-	19005
ABHD17A	1.041505	922	1.041505	8082
ABHD17B	0.593806	2535	1.277671	6340
ABHD17C	-0.125243	16839	0.298561	10996
ABHD18	0.741272	1735	1.593142	3671
ABHD2	0.045605	10205	1.566702	3928
ABHD3	0.654895	2153	1.605257	3551
ABHD4	0.038454	10441	1.224320	6785
ABHD5	0.053726	10011	1.046719	8051
ABHD6	0.025182	11340	0.637972	9955
ABHD8	-0.028888	16396	0.838956	9164
ABI1	0.609529	2445	1.889424	1719
ABI2	0.110208	8792	1.348603	5756
ABI3	1.086976	839	1.592124	3676
ABI3BP	0.000000	16140	0.000000	17219
ABL1	0.266284	6032	0.516961	10317
ABL2	0.036358	10641	0.607877	10049
ABLIM1	1.564855	347	2.288374	591
ABLIM2	0.204410	7043	0.472469	10450
ABLIM3	0.015108	12107	0.507711	10344
ABO	0.035737	10711	0.077021	12071
ABR	0.321586	5221	1.371252	5584
ABRA	0.000000	16139	0.000000	17218
ABRACL	1.071315	865	2.180346	776
ABT1	0.687971	1981	1.884837	1738
ABTB1	0.747594	1702	1.935449	1520
ABTB2	0.013681	12133	0.774502	9442
ACAA1	0.456037	3628	1.658616	3140
ACAA2	0.751850	1683	1.749843	2468
ACACA	0.109677	8799	1.253004	6560
ACACB	0.462851	3566	0.571065	10166
ACAD10	0.191914	7293	1.181492	7111
ACAD11	0.519477	3105	0.852923	9092
ACAD8	0.137745	8262	1.346497	5773
ACAD9	0.166078	7725	1.566216	3935
ACADL	0.015108	12106	0.015108	14168
ACADM	0.063966	9716	1.438062	4985
ACADS	0.342346	4948	1.229981	6740
ACADSB	0.298213	5570	1.307459	6096
ACADVL	0.492712	3307	1.669900	3058
ACAN	0.000000	16138	0.034601	13245
ACAP1	1.969286	147	2.081388	1049
ACAP2	0.883483	1258	1.737789	2561
ACAP3	0.127043	8458	0.769802	9461
ACAT1	0.042368	10302	1.648030	3209
ACAT2	0.207102	6988	1.562669	3972
ACBD3	-0.153589	16901	1.700352	2824
ACBD4	0.806817	1491	1.219095	6821
ACBD5	0.284028	5789	0.964547	8513
ACBD6	0.391998	4321	1.345902	5778
ACBD7	0.158839	7846	0.396157	10722
ACCS	0.604329	2466	0.899026	8856
ACCSL	-	19004	-	19004
ACD	0.777742	1587	1.177054	7154
ACE	0.106956	8849	0.553474	10211
ACE2	0.000000	16137	0.000000	17217
ACER1	0.000000	16136	0.000000	17216
ACER2	0.111411	8770	0.427948	10609
ACER3	-0.335983	17102	0.782611	9408
ACHE	0.046626	10189	0.088446	11986
ACIN1	0.276681	5894	2.120256	937
ACKR1	0.034601	10943	0.034601	13244
ACKR2	0.111611	8764	0.344262	10879
ACKR3	0.113213	8725	0.138519	11671
ACKR4	0.000000	16135	0.025182	13529
ACLY	0.041918	10310	1.384960	5466
ACMSD	0.000000	16134	0.000000	17215
ACO1	-0.545918	17164	0.978023	8445
ACO2	0.055772	9964	1.619439	3421
ACOD1	0.000000	16133	0.000000	17214
ACOT1	0.000000	16132	0.000000	17213
ACOT11	0.001704	12295	0.247683	11182
ACOT12	0.000000	16131	0.000000	17212
ACOT13	0.178540	7521	1.365131	5629
ACOT2	0.225211	6699	1.243127	6635
ACOT4	0.296769	5590	0.435957	10574
ACOT6	-	19003	-	19003
ACOT7	0.232788	6568	1.069316	7916
ACOT8	0.115071	8689	1.515841	4358
ACOT9	0.126755	8461	1.557274	4021
ACOX1	0.111352	8771	1.263419	6465
ACOX2	0.000000	16130	0.000000	17211
ACOX3	0.215997	6861	0.882996	8955
ACOXL	0.015108	12105	0.015108	14167
ACP1	0.188410	7362	1.995742	1294
ACP2	0.058748	9848	1.454517	4861
ACP5	1.500722	389	1.673074	3036
ACP6	0.277041	5890	0.950528	8599
ACP7	-	19002	-	19002
ACPP	0.000000	16129	0.000000	17210
ACPT	-	19001	-	19001
ACR	0.000000	16128	0.000000	17209
ACRBP	0.100307	9020	0.246608	11187
ACRC	0.000000	16127	0.000000	17208
ACRV1	0.000000	16126	0.000000	17207
ACSBG1	0.000000	16125	0.000000	17206
ACSBG2	0.000000	16124	0.000000	17205
ACSF2	0.000000	16123	0.727162	9634
ACSF3	0.365203	4651	1.230296	6739
ACSL1	0.212380	6913	0.904393	8834
ACSL3	0.075294	9467	1.692699	2880
ACSL4	0.118389	8630	1.620238	3414
ACSL5	1.152310	751	1.772022	2340
ACSL6	1.459990	416	1.459990	4824
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16122	0.000000	17204
ACSM2B	0.000000	16121	0.000000	17203
ACSM3	0.760040	1650	0.832497	9195
ACSM4	-	18999	-	18999
ACSM5	0.021486	11578	0.021486	13727
ACSM6	0.000000	16120	0.000000	17202
ACSS1	0.810865	1480	1.542579	4148
ACSS2	0.063444	9731	0.842006	9150
ACSS3	0.034601	10942	0.034601	13243
ACTA1	0.000000	16119	0.000000	17201
ACTA2	0.384571	4418	1.432429	5048
ACTB	0.410892	4087	3.858960	5
ACTBL2	0.000000	16118	0.000000	17200
ACTC1	0.000000	16117	0.025182	13528
ACTG1	0.230858	6599	3.620749	15
ACTG2	0.035737	10710	0.466426	10479
ACTL10	0.311519	5372	0.428578	10606
ACTL6A	0.143539	8152	1.659555	3138
ACTL6B	0.000000	16116	0.000000	17199
