gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.917621	5590	1.908622	5585
A1CF	0.039090	15651	0.039090	15806
A2M	1.578519	1944	2.628821	1393
A2ML1	0.694057	7962	0.694057	12998
A3GALT2	-	19008	-	19008
A4GALT	0.693680	7971	1.389129	9982
A4GNT	0.000000	17204	0.000000	17239
AAAS	0.408994	11601	1.792830	6640
AACS	0.255713	13405	1.177536	11192
AADAC	0.000000	17203	0.000000	17238
AADACL2	0.896964	5770	0.896964	12316
AADACL3	0.000000	17202	0.000000	17237
AADACL4	-	19007	-	19007
AADAT	0.435604	11255	1.005217	11940
AAED1	0.837794	6339	2.056150	4375
AAGAB	0.301393	12907	1.850095	6118
AAK1	0.760778	7172	1.490092	9203
AAMDC	0.536305	10024	1.374632	10084
AAMP	0.441341	11187	2.034669	4549
AANAT	0.040191	15611	0.040191	15769
AAR2	0.332629	12591	1.412728	9799
AARD	0.793082	6809	0.807535	12614
AARS	0.351287	12370	1.963364	5117
AARS2	0.546655	9891	1.757472	6942
AARSD1	0.963878	5179	1.642618	7976
AASDH	0.296245	12979	1.376529	10073
AASDHPPT	0.544499	9920	1.764550	6879
AASS	0.579058	9464	1.380030	10063
AATF	0.551789	9806	2.020649	4665
AATK	0.419899	11456	0.437592	13702
ABAT	0.810521	6626	1.335834	10331
ABCA1	1.660715	1685	2.727002	1117
ABCA10	0.150083	14409	0.150083	14829
ABCA12	1.835819	1244	1.835819	6239
ABCA13	0.831252	6410	0.831252	12545
ABCA2	0.973348	5106	1.324209	10427
ABCA3	0.573479	9533	1.301433	10541
ABCA4	0.041284	15586	0.041284	15747
ABCA5	0.769860	7065	1.802296	6541
ABCA6	0.973649	5102	0.973649	12068
ABCA7	0.949393	5305	1.784952	6695
ABCA8	0.114797	14746	0.947094	12161
ABCA9	0.062752	15306	0.283983	14214
ABCB1	1.201530	3580	1.799203	6564
ABCB10	1.653193	1713	2.513355	1784
ABCB11	0.000000	17201	0.000000	17236
ABCB4	1.176150	3740	1.325142	10423
ABCB5	0.443669	11165	0.443669	13681
ABCB6	1.291057	3113	1.669749	7755
ABCB7	0.430789	11313	1.680227	7661
ABCB8	0.665014	8352	1.566193	8590
ABCB9	0.327527	12640	0.611244	13228
ABCC1	0.656883	8453	1.913853	5540
ABCC10	0.461561	10945	1.096910	11571
ABCC11	0.000000	17200	0.000000	17235
ABCC12	0.000000	17199	0.000000	17234
ABCC2	0.378333	12007	0.378333	13894
ABCC3	1.370024	2723	2.182352	3470
ABCC4	1.369468	2727	1.976759	5019
ABCC5	1.056324	4478	1.858683	6052
ABCC6	-	19006	-	19006
ABCC8	0.050763	15384	0.050763	15559
ABCC9	0.068942	15243	0.114797	15070
ABCD1	0.960387	5209	1.913611	5543
ABCD2	1.451098	2387	1.612481	8211
ABCD3	0.667473	8316	1.276002	10678
ABCD4	0.777100	6989	1.565622	8599
ABCE1	0.772304	7030	2.291369	2811
ABCF1	0.414216	11532	2.264151	2969
ABCF2	0.361984	12204	1.639466	7993
ABCF3	0.260950	13341	1.735727	7139
ABCG1	0.923022	5539	1.995739	4879
ABCG2	1.593651	1899	1.701627	7452
ABCG4	0.150575	14390	0.166219	14769
ABCG5	0.000000	17198	0.000000	17233
ABCG8	0.000000	17197	0.000000	17232
ABHD1	0.227220	13671	0.286391	14206
ABHD10	0.336838	12528	1.607515	8267
ABHD11	0.578503	9473	1.548464	8764
ABHD12	1.271608	3212	2.488810	1865
ABHD12B	0.357935	12299	0.357935	14010
ABHD13	0.965539	5165	2.007719	4777
ABHD14A	0.383102	11937	1.471481	9350
ABHD14B	0.195154	13988	1.952612	5205
ABHD15	0.993511	4944	1.334075	10346
ABHD16A	1.076001	4331	2.049847	4423
ABHD16B	-	19005	-	19005
ABHD17A	1.041505	4589	1.088460	11604
ABHD17B	0.814722	6581	1.598969	8336
ABHD17C	0.705538	7807	1.737590	7125
ABHD18	0.921395	5561	1.773265	6790
ABHD2	1.570207	1971	2.856566	849
ABHD3	1.119734	4064	2.070096	4259
ABHD4	0.752628	7278	2.093117	4101
ABHD5	1.636896	1752	2.833775	895
ABHD6	1.231904	3426	1.479364	9301
ABHD8	0.589083	9341	1.159103	11253
ABI1	0.848298	6243	2.138116	3755
ABI2	0.574935	9515	2.008259	4774
ABI3	1.802202	1312	2.307350	2709
ABI3BP	0.777309	6987	1.628819	8072
ABL1	0.994545	4934	1.534153	8889
ABL2	1.806979	1302	2.475046	1914
ABLIM1	1.564855	1992	2.288374	2827
ABLIM2	0.234448	13617	0.502508	13527
ABLIM3	0.032303	15782	1.312489	10470
ABO	1.077459	4323	1.203305	11038
ABR	1.081152	4303	1.594614	8387
ABRA	0.114797	14745	0.114797	15069
ABRACL	1.382877	2657	2.567050	1594
ABT1	0.687971	8056	1.884837	5813
ABTB1	1.540534	2071	2.728390	1113
ABTB2	1.048440	4540	1.809261	6483
ACAA1	0.606552	9107	2.088568	4137
ACAA2	1.590909	1911	2.118383	3910
ACACA	0.513418	10298	1.608526	8252
ACACB	0.892840	5806	1.212986	11003
ACAD10	0.454935	11022	1.444513	9553
ACAD11	0.865783	6068	1.177536	11191
ACAD8	0.186290	14056	1.395042	9920
ACAD9	0.921500	5559	1.837020	6232
ACADL	0.203270	13895	0.203270	14534
ACADM	0.792719	6812	2.166815	3555
ACADS	0.522710	10188	1.410345	9807
ACADSB	0.298213	12954	1.307459	10495
ACADVL	0.798783	6745	2.612561	1451
ACAN	1.535259	2086	1.585558	8456
ACAP1	1.969286	977	2.081388	4185
ACAP2	1.193922	3627	2.713242	1150
ACAP3	0.485965	10662	1.096910	11570
ACAT1	0.457234	10995	2.129370	3828
ACAT2	0.752627	7279	2.185777	3441
ACBD3	1.004457	4856	2.858399	842
ACBD4	0.806817	6672	1.276002	10677
ACBD5	0.851124	6207	1.417671	9771
ACBD6	0.702698	7844	1.937468	5334
ACBD7	0.417820	11481	0.655138	13102
ACCS	0.856341	6168	1.122732	11440
ACCSL	-	19004	-	19004
ACD	0.871406	6008	1.460769	9445
ACE	1.718139	1513	2.164656	3569
ACE2	0.000000	17196	0.000000	17231
ACER1	0.204671	13866	0.204671	14508
ACER2	0.759555	7190	1.076092	11647
ACER3	1.178224	3721	2.296819	2774
ACHE	1.551739	2031	1.943548	5273
ACIN1	0.948413	5310	2.254761	3019
ACKR1	1.466085	2335	1.466085	9377
ACKR2	0.573622	9531	0.573622	13317
ACKR3	0.289674	13041	1.151543	11283
ACKR4	0.189781	14036	0.294416	14201
ACLY	0.423508	11406	1.718207	7293
ACMSD	0.000000	17195	0.000000	17230
ACO1	0.398641	11728	1.922582	5464
ACO2	0.341253	12487	1.978699	5006
ACOD1	3.823862	18	3.823862	111
ACOT1	0.502036	10456	0.553673	13382
ACOT11	1.318749	2960	1.500511	9133
ACOT12	0.025182	15970	0.025182	16085
ACOT13	0.951039	5291	2.103291	4017
ACOT2	0.402538	11674	1.395647	9915
ACOT4	0.731139	7536	0.870327	12405
ACOT6	-	19003	-	19003
ACOT7	1.955695	1000	2.009129	4758
ACOT8	0.234312	13620	1.635081	8045
ACOT9	0.791630	6823	2.340696	2532
ACOX1	0.695203	7951	2.136977	3762
ACOX2	1.083338	4286	1.114436	11488
ACOX3	1.017027	4761	1.619946	8170
ACOXL	0.081013	14993	0.081013	15231
ACP1	1.046863	4549	2.363703	2424
ACP2	0.744531	7366	2.274468	2906
ACP5	2.987911	116	3.014291	630
ACP6	0.706641	7791	1.276002	10676
ACP7	-	19002	-	19002
ACPP	1.694111	1583	1.874521	5903
ACPT	-	19001	-	19001
ACR	0.000000	17194	0.000000	17229
ACRBP	1.218231	3495	1.464813	9389
ACRC	0.000000	17193	0.000000	17228
ACRV1	0.000000	17192	0.000000	17227
ACSBG1	1.155214	3858	1.155214	11264
ACSBG2	0.000000	17191	0.000000	17226
ACSF2	0.869065	6037	1.495172	9172
ACSF3	0.769988	7064	1.635081	8044
ACSL1	2.600217	306	3.382931	284
ACSL3	0.591116	9312	2.624530	1406
ACSL4	2.064744	838	3.630671	170
ACSL5	1.863452	1173	2.284094	2848
ACSL6	1.672086	1656	1.672086	7722
ACSM1	-	19000	-	19000
ACSM2A	0.000000	17190	0.000000	17225
ACSM2B	0.000000	17189	0.000000	17224
ACSM3	1.154143	3862	1.226600	10927
ACSM4	-	18999	-	18999
ACSM5	0.699110	7892	0.699110	12981
ACSM6	0.000000	17188	0.000000	17223
ACSS1	1.165142	3806	2.122633	3882
ACSS2	1.114312	4088	1.550106	8757
ACSS3	0.796310	6771	0.796310	12637
ACTA1	0.651398	8540	0.651398	13112
ACTA2	1.574547	1959	2.948844	708
ACTB	0.871771	6003	4.184978	24
ACTBL2	0.000000	17187	0.000000	17222
ACTC1	0.068942	15242	0.166219	14768
ACTG1	0.561845	9693	4.041269	48
ACTG2	1.255374	3286	1.984939	4972
ACTL10	0.349753	12384	0.466812	13622
ACTL6A	0.620839	8934	1.955126	5183
ACTL6B	0.154989	14367	0.154989	14803
ACTL7A	0.036863	15690	0.036863	15840
ACTL7B	0.000000	17186	0.000000	17221
ACTL8	0.110590	14796	0.110590	15108
ACTL9	0.000000	17185	0.000000	17220
ACTN1	0.668901	8301	2.740874	1080
ACTN2	1.039516	4600	1.269120	10711
ACTN3	0.067895	15253	0.067895	15454
ACTN4	0.608070	9092	2.323578	2614
ACTR10	0.556843	9757	1.926078	5429
ACTR1A	0.231285	13640	2.260716	2990
ACTR1B	0.285589	13080	1.576404	8529
ACTR2	0.947999	5319	2.660647	1300
ACTR3	1.422170	2490	3.163184	465
ACTR3B	0.718594	7665	1.646744	7949
ACTR3C	0.792629	6813	1.139004	11338
ACTR5	0.685320	8088	1.482588	9270
ACTR6	0.599121	9207	1.646478	7950
ACTR8	0.449600	11084	1.686465	7595
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	17184	0.000000	17219
ACTRT3	-	18997	-	18997
ACVR1	0.930223	5462	1.577112	8524
ACVR1B	0.438350	11227	1.456079	9471
ACVR1C	1.377624	2684	1.413102	9797
ACVR2A	1.070914	4371	1.944894	5255
ACVR2B	0.296764	12976	0.698055	12985
ACVRL1	0.540204	9978	0.635726	13160
ACY1	0.296605	12977	1.427784	9674
ACY3	1.017033	4760	1.017033	11868
ACYP1	0.652384	8529	1.628046	8079
ACYP2	0.540927	9971	1.568839	8569
ADA	1.928040	1041	2.602557	1484
ADAD1	0.182744	14100	0.182744	14629
ADAD2	0.039090	15650	0.039090	15805
ADAL	0.376135	12040	1.104068	11531
ADAM10	0.688734	8045	2.175824	3503
ADAM11	0.068942	15241	0.068942	15448
ADAM12	1.960629	991	2.239124	3110
