gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.769957	1989	1.476224	4909
A1CF	0.000000	16345	0.000000	17239
A2M	1.578519	362	2.628821	368
A2ML1	0.694057	2364	0.694057	10319
A3GALT2	-	19008	-	19008
A4GALT	-0.273917	17129	0.421532	11545
A4GNT	0.000000	16344	0.000000	17238
AAAS	0.368805	5236	1.213313	7026
AACS	0.181693	8425	1.147050	7496
AADAC	0.000000	16343	0.000000	17237
AADACL2	0.896964	1519	0.896964	9195
AADACL3	0.000000	16342	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.000000	16341	0.000000	17235
AAED1	0.627581	2790	1.845936	2379
AAGAB	0.184012	8383	1.732713	3010
AAK1	0.231584	7415	1.126920	7656
AAMDC	0.163460	8800	1.277072	6570
AAMP	0.249419	7089	1.795599	2646
AANAT	0.000000	16340	0.000000	17234
AAR2	0.219308	7626	1.340543	6074
AARD	0.314024	5963	0.328477	11915
AARS	0.013315	12814	1.625392	3733
AARS2	0.046954	11435	1.257771	6713
AARSD1	0.423144	4590	1.322680	6224
AASDH	0.170015	8634	1.250299	6764
AASDHPPT	0.296534	6268	1.528094	4489
AASS	0.032223	12039	0.745457	10037
AATF	0.291248	6334	1.760108	2855
AATK	0.000000	16339	0.017693	14576
ABAT	0.245957	7175	0.975121	8735
ABCA1	0.482177	3968	1.875577	2221
ABCA10	0.000000	16338	0.000000	17233
ABCA12	1.835819	207	1.835819	2424
ABCA13	0.000000	16337	0.000000	17232
ABCA2	0.203270	8001	0.912443	9088
ABCA3	0.573479	3165	1.301433	6373
ABCA4	0.000000	16336	0.000000	17231
ABCA5	0.769860	1990	1.802296	2600
ABCA6	0.973649	1314	0.973649	8749
ABCA7	0.644265	2662	1.479824	4875
ABCA8	0.000000	16335	0.000000	17230
ABCA9	0.000000	16334	0.026539	14213
ABCB1	0.000000	16333	0.191209	12608
ABCB10	1.228844	747	2.089005	1342
ABCB11	0.000000	16332	0.000000	17229
ABCB4	0.737048	2136	0.886041	9251
ABCB5	0.123987	9795	0.123987	13200
ABCB6	0.023220	12436	0.401913	11618
ABCB7	0.204671	7938	1.343343	6054
ABCB8	-0.105750	16893	1.032046	8372
ABCB9	0.327527	5772	0.611244	10722
ABCC1	0.376546	5117	1.633516	3667
ABCC10	0.210678	7796	0.878221	9286
ABCC11	0.000000	16331	0.000000	17228
ABCC12	0.000000	16330	0.000000	17227
ABCC2	0.378333	5105	0.378333	11723
ABCC3	1.370024	561	2.182352	1057
ABCC4	1.198873	804	1.818843	2514
ABCC5	0.075332	10809	1.042724	8296
ABCC6	-	19006	-	19006
ABCC8	0.017693	12756	0.017693	14575
ABCC9	0.000000	16329	0.000000	17226
ABCD1	0.651962	2613	1.605186	3885
ABCD2	1.179367	837	1.340749	6073
ABCD3	0.194373	8166	1.242912	6814
ABCD4	0.191263	8222	1.117522	7728
ABCE1	0.264931	6769	1.783996	2712
ABCF1	0.324251	5817	2.174185	1075
ABCF2	0.309950	6035	1.639466	3634
ABCF3	0.260950	6865	1.735727	2988
ABCG1	0.499576	3804	1.632497	3678
ABCG2	0.957230	1351	1.072179	8080
ABCG4	0.065625	11000	0.081270	13409
ABCG5	0.000000	16328	0.000000	17225
ABCG8	0.000000	16327	0.000000	17224
ABHD1	0.000000	16326	0.017693	14574
ABHD10	0.228763	7465	1.468299	4984
ABHD11	0.150510	9033	0.988783	8647
ABHD12	0.616262	2855	2.135148	1188
ABHD12B	0.000000	16325	0.000000	17223
ABHD13	0.368310	5243	1.395524	5592
ABHD14A	-0.084144	16828	0.806008	9714
ABHD14B	-0.231917	17096	1.525540	4511
ABHD15	0.528019	3548	0.868583	9347
ABHD16A	0.569043	3190	1.696856	3256
ABHD16B	-	19005	-	19005
ABHD17A	0.141028	9208	0.876349	9304
ABHD17B	0.379098	5094	0.983675	8680
ABHD17C	-0.220468	17084	0.539723	11043
ABHD18	0.429357	4513	1.281227	6532
ABHD2	0.855190	1646	2.085673	1357
ABHD3	0.524543	3585	1.474905	4920
ABHD4	0.474006	4043	1.814495	2535
ABHD5	0.419006	4629	1.615885	3794
ABHD6	1.231904	740	1.479364	4881
ABHD8	0.310687	6022	1.145442	7504
ABI1	0.565951	3221	1.964938	1808
ABI2	0.003274	12946	1.174860	7325
ABI3	0.973100	1315	1.478248	4885
ABI3BP	0.000000	16324	0.017693	14573
ABL1	0.525998	3569	0.817726	9632
ABL2	1.264836	697	1.932902	1945
ABLIM1	0.977571	1307	1.867294	2265
ABLIM2	0.075705	10802	0.343764	11852
ABLIM3	0.000000	16323	0.311749	11971
ABO	0.096254	10343	0.222100	12415
ABR	1.081152	1049	1.511082	4626
ABRA	0.000000	16322	0.000000	17222
ABRACL	0.457916	4211	1.714874	3122
ABT1	0.357212	5381	1.554078	4276
ABTB1	0.282051	6500	1.469906	4968
ABTB2	0.668285	2503	1.429106	5315
ACAA1	0.286511	6417	1.768527	2811
ACAA2	0.825604	1744	2.118383	1241
ACACA	0.165202	8764	1.256496	6724
ACACB	0.123987	9794	0.235345	12370
ACAD10	0.144973	9142	1.134550	7605
ACAD11	0.375557	5135	0.721599	10178
ACAD8	-0.114660	16926	1.094091	7915
ACAD9	0.139377	9237	1.419140	5396
ACADL	0.203270	8000	0.203270	12576
ACADM	0.188906	8258	1.563002	4202
ACADS	0.382889	5045	1.270523	6619
ACADSB	0.102919	10234	1.112165	7767
ACADVL	0.505468	3751	2.425245	577
ACAN	0.000000	16321	0.026539	14212
ACAP1	1.135878	929	1.247980	6778
ACAP2	0.420085	4620	1.927839	1974
ACAP3	0.155432	8947	0.853892	9425
ACAT1	0.000000	16320	1.616713	3789
ACAT2	0.495244	3849	1.928394	1973
ACBD3	0.122011	9827	1.975953	1763
ACBD4	-0.031174	16564	0.677672	10397
ACBD5	0.621828	2823	1.188375	7220
ACBD6	0.201167	8035	1.317229	6264
ACBD7	-0.155045	16999	0.082273	13402
ACCS	0.325698	5799	0.745330	10039
ACCSL	-	19004	-	19004
ACD	0.214880	7714	0.792531	9774
ACE	1.718139	276	2.164656	1103
ACE2	0.000000	16319	0.000000	17221
ACER1	0.204671	7937	0.204671	12497
ACER2	0.603170	2953	0.919708	9052
ACER3	0.519159	3625	1.637753	3646
ACHE	1.168318	856	1.560127	4222
ACIN1	0.248792	7099	2.092368	1327
ACKR1	0.026539	12253	0.026539	14211
ACKR2	0.334285	5676	0.566935	10918
ACKR3	0.000000	16318	0.997984	8586
ACKR4	0.032699	12029	0.137334	12897
ACLY	0.111072	10077	1.454115	5099
ACMSD	0.000000	16317	0.000000	17220
ACO1	0.170538	8624	1.694479	3270
ACO2	0.341253	5604	1.978699	1754
ACOD1	0.303749	6157	0.303749	12048
ACOT1	0.246771	7131	0.298408	12064
ACOT11	0.601512	2963	0.613987	10709
ACOT12	0.000000	16316	0.000000	17219
ACOT13	0.951039	1367	1.964542	1809
ACOT2	0.227995	7482	1.267285	6644
ACOT4	0.355256	5408	0.494444	11231
ACOT6	-	19003	-	19003
ACOT7	1.955695	156	2.009129	1622
ACOT8	0.083527	10618	1.484297	4840
ACOT9	0.791630	1885	2.340696	719
ACOX1	0.471162	4074	1.697095	3254
ACOX2	0.872643	1578	0.903742	9144
ACOX3	0.439899	4420	1.329868	6169
ACOXL	0.046668	11458	0.046668	13704
ACP1	-0.079786	16815	1.727546	3041
ACP2	0.236378	7323	1.740202	2958
ACP5	2.671209	35	2.697590	323
ACP6	0.222130	7577	0.769916	9898
ACP7	-	19002	-	19002
ACPP	0.910606	1475	1.091016	7937
ACPT	-	19001	-	19001
ACR	0.000000	16315	0.000000	17218
ACRBP	0.376361	5119	0.622942	10669
ACRC	0.000000	16314	0.000000	17217
ACRV1	0.000000	16313	0.000000	17216
ACSBG1	0.000000	16312	0.000000	17215
ACSBG2	0.000000	16311	0.000000	17214
ACSF2	0.869065	1593	1.495172	4758
ACSF3	0.040255	11799	0.867516	9354
ACSL1	0.695640	2350	1.497623	4739
ACSL3	0.591116	3038	2.624530	372
ACSL4	0.794494	1870	1.955522	1847
ACSL5	1.233782	734	1.868600	2253
ACSL6	0.123987	9793	0.123987	13199
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16310	0.000000	17213
ACSM2B	0.000000	16309	0.000000	17212
ACSM3	0.117461	9943	0.123987	13198
ACSM4	-	18999	-	18999
ACSM5	0.372896	5172	0.372896	11745
ACSM6	0.000000	16308	0.000000	17211
ACSS1	0.045576	11475	0.821529	9613
ACSS2	1.055049	1105	1.055049	8208
ACSS3	0.000000	16307	0.123987	13197
ACTA1	0.061564	11100	0.061564	13551
ACTA2	0.454708	4247	1.502567	4703
ACTB	0.674255	2471	4.184978	5
ACTBL2	0.000000	16306	0.000000	17210
ACTC1	0.000000	16305	0.000000	17209
ACTG1	0.426130	4549	3.905554	12
ACTG2	0.000000	16304	0.123987	13196
ACTL10	0.204671	7936	0.214571	12435
ACTL6A	0.201995	8022	1.683808	3334
ACTL6B	0.043180	11728	0.043180	13920
ACTL7A	0.000000	16303	0.000000	17208
ACTL7B	0.000000	16302	0.000000	17207
ACTL8	0.000000	16301	0.000000	17206
ACTL9	0.000000	16300	0.000000	17205
ACTN1	0.317362	5910	2.455800	542
ACTN2	0.722143	2217	0.951746	8881
ACTN3	0.000000	16299	0.000000	17204
ACTN4	0.473772	4045	2.187821	1037
ACTR10	0.179126	8476	1.693327	3281
ACTR1A	0.231285	7425	2.260716	894
ACTR1B	0.047199	11429	1.338014	6097
ACTR2	0.623253	2812	2.335901	733
ACTR3	0.649717	2630	2.819285	206
ACTR3B	0.718594	2239	1.646744	3586
ACTR3C	0.792629	1880	1.139004	7561
ACTR5	0.192852	8191	0.990120	8635
ACTR6	0.143864	9159	1.191221	7201
ACTR8	0.198559	8090	1.459025	5057
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	16298	0.000000	17203
ACTRT3	-	18997	-	18997
ACVR1	0.131759	9387	0.952398	8877
ACVR1B	-0.319151	17154	0.698578	10291
ACVR1C	1.377624	551	1.413102	5450
ACVR2A	0.306716	6096	1.180696	7278
ACVR2B	0.234528	7363	0.635819	10594
ACVRL1	0.000000	16297	0.091706	13342
ACY1	0.242861	7219	1.229126	6910
ACY3	0.303749	6156	0.303749	12047
ACYP1	0.188288	8278	0.828337	9587
ACYP2	0.523604	3591	1.568839	4157
ADA	0.000000	16296	0.376178	11726
ADAD1	0.000000	16295	0.000000	17202
ADAD2	0.000000	16294	0.000000	17201
ADAL	-0.108734	16907	0.619199	10679
ADAM10	0.161729	8836	1.638405	3643
ADAM11	0.000000	16293	0.000000	17200
ADAM12	1.463714	462	1.723069	3074
ADAM15	0.665502	2527	2.345338	711
ADAM17	0.429411	4511	1.618835	3775
ADAM18	0.000000	16292	0.000000	17199
ADAM19	0.537391	3471	1.547788	4332
ADAM2	0.000000	16291	0.000000	17198
ADAM20	0.000000	16290	0.000000	17197
ADAM21	0.000000	16289	0.000000	17196
ADAM22	0.026539	12252	0.174041	12672
ADAM23	0.032234	12037	0.300813	12057
ADAM28	1.481867	446	1.706881	3185
ADAM29	0.000000	16288	0.000000	17195
ADAM30	0.000000	16287	0.000000	17194
ADAM32	0.021486	12584	0.021486	14463
ADAM33	0.000000	16286	0.026539	14210
ADAM7	0.000000	16285	0.000000	17193
ADAM8	1.625484	328	1.799467	2618
ADAM9	0.419364	4626	2.102050	1292
ADAMDEC1	0.380324	5078	0.380324	11716
ADAMTS1	0.000000	16284	0.587030	10817
ADAMTS10	0.017693	12755	0.542678	11030
ADAMTS12	-0.036014	16594	0.000000	17192
ADAMTS13	0.000000	16283	0.000000	17191
ADAMTS14	0.125774	9512	0.167167	12759
ADAMTS15	0.586836	3075	1.111315	7780
ADAMTS16	0.000000	16282	0.000000	17190
ADAMTS17	0.645569	2653	0.755324	9985
ADAMTS18	0.000000	16281	0.000000	17189
ADAMTS19	0.000000	16280	0.000000	17188
ADAMTS2	0.009490	12862	0.060632	13579
ADAMTS20	0.000000	16279	0.000000	17187
ADAMTS3	0.000000	16278	0.000000	17186
ADAMTS4	0.000000	16277	0.246450	12310
ADAMTS5	0.011495	12838	0.157513	12806
ADAMTS6	0.000000	16276	0.123987	13195
ADAMTS7	0.000000	16275	0.000000	17185
ADAMTS8	0.000000	16274	0.000000	17184
ADAMTS9	0.000000	16273	0.025182	14333
ADAMTSL1	0.000000	16272	0.000000	17183
ADAMTSL2	0.021486	12583	0.021486	14462
ADAMTSL3	0.190134	8244	0.203270	12575
ADAMTSL4	1.156712	883	2.037096	1511
ADAMTSL5	0.000000	16271	0.157513	12805
ADAP1	0.720293	2231	1.325969	6195
ADAP2	1.070542	1068	1.314507	6281
ADAR	0.693734	2366	1.766789	2818
ADARB1	0.396686	4873	0.578639	10867
ADARB2	0.058977	11198	0.058977	13592
ADAT1	0.212851	7751	1.176051	7315
ADAT2	0.308967	6059	1.184994	7244
ADAT3	0.000000	16270	1.604576	3891
ADCK1	0.300037	6213	0.940156	8937
ADCK2	0.257726	6938	1.300729	6379
ADCK5	0.070489	10911	0.867416	9355
ADCY1	0.362359	5328	0.442802	11468
ADCY10	0.000000	16269	0.000000	17182
ADCY2	0.206189	7884	0.260569	12234
ADCY3	0.000000	16268	1.079360	8029
ADCY4	-0.055845	16711	0.017693	14572
