gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.769957	1193	1.476224	3377
A1CF	0.000000	15053	0.000000	17239
A2M	0.166333	6127	0.527498	9792
A2ML1	0.694057	1436	0.694057	8832
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17182	0.000000	17238
A4GNT	0.000000	15052	0.000000	17237
AAAS	0.110707	7379	0.878016	7631
AACS	0.181693	5815	1.147050	5756
AADAC	0.000000	15051	0.000000	17236
AADACL2	0.896964	901	0.896964	7503
AADACL3	0.000000	15050	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15049	0.000000	17234
AAED1	0.627581	1735	1.845936	1492
AAGAB	-0.070168	15825	1.478534	3359
AAK1	0.043180	8977	0.613898	9324
AAMDC	0.086455	7780	0.838793	7911
AAMP	0.167167	6117	1.765425	1815
AANAT	0.000000	15048	0.000000	17233
AAR2	0.219308	5168	1.340543	4331
AARD	0.028727	9198	0.043180	13054
AARS	-0.546697	17136	1.065380	6329
AARS2	0.046954	8522	1.257771	4963
AARSD1	0.000000	15047	1.245798	5055
AASDH	0.123987	7136	1.131042	5860
AASDHPPT	0.296534	4180	1.320834	4493
AASS	0.032223	9156	0.745457	8507
AATF	-0.161825	16382	1.307035	4597
AATK	0.000000	15046	0.000000	17232
ABAT	0.044027	8564	0.773191	8307
ABCA1	0.482177	2527	1.875577	1383
ABCA10	0.000000	15045	0.000000	17231
ABCA12	1.835819	103	1.835819	1518
ABCA13	0.000000	15044	0.000000	17230
ABCA2	0.203270	5504	0.543144	9707
ABCA3	0.000000	15043	0.185534	11660
ABCA4	0.000000	15042	0.000000	17229
ABCA5	0.482339	2525	1.514775	3173
ABCA6	0.080684	7975	0.080684	12579
ABCA7	0.483592	2517	1.319151	4505
ABCA8	0.000000	15041	0.000000	17228
ABCA9	0.000000	15040	0.000000	17227
ABCB1	0.000000	15039	0.080684	12578
ABCB10	0.177229	5896	0.913072	7391
ABCB11	0.000000	15038	0.000000	17226
ABCB4	0.000000	15037	0.000000	17225
ABCB5	0.123987	7135	0.123987	12356
ABCB6	0.000000	15036	0.260569	11206
ABCB7	0.204671	5427	1.343343	4314
ABCB8	-0.105750	16077	0.837715	7926
ABCB9	0.013397	9426	0.235345	11365
ABCC1	0.247802	4774	1.276708	4816
ABCC10	-0.023439	15312	0.543144	9706
ABCC11	0.000000	15035	0.000000	17224
ABCC12	0.000000	15034	0.000000	17223
ABCC2	0.000000	15033	0.000000	17222
ABCC3	0.728318	1314	1.540646	3019
ABCC4	1.198873	442	1.779746	1744
ABCC5	0.024601	9244	0.484452	10004
ABCC6	-	19006	-	19006
ABCC8	0.000000	15032	0.000000	17221
ABCC9	0.000000	15031	0.000000	17220
ABCD1	0.232176	5008	1.185399	5472
ABCD2	0.000000	15030	0.000000	17219
ABCD3	0.194373	5635	1.242912	5069
ABCD4	0.191263	5668	0.982172	6915
ABCE1	0.264931	4529	1.783996	1722
ABCF1	0.324251	3843	2.174185	638
ABCF2	0.309950	3990	1.248121	5030
ABCF3	-0.016594	15215	1.458183	3492
ABCG1	0.499576	2408	1.632497	2426
ABCG2	0.000000	15029	0.000000	17218
ABCG4	0.000000	15028	0.000000	17217
ABCG5	0.000000	15027	0.000000	17216
ABCG8	0.000000	15026	0.000000	17215
ABHD1	0.000000	15025	0.000000	17214
ABHD10	-0.146237	16301	0.956937	7107
ABHD11	0.018822	9321	0.988783	6877
ABHD12	0.080684	7974	1.475713	3381
ABHD12B	0.000000	15024	0.000000	17213
ABHD13	0.368310	3397	1.395524	3927
ABHD14A	-0.156638	16360	0.486998	9988
