gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	9990	1.008158	10002
A1CF	1.498311	480	1.498311	5823
A2M	0.049218	14619	0.903633	10731
A2ML1	1.440274	554	1.440274	6363
A3GALT2	-	19008	-	19008
A4GALT	0.453153	5916	1.148603	8973
A4GNT	0.000000	17101	0.000000	17239
AAAS	0.591843	3994	1.985813	2228
AACS	0.429316	6381	1.479980	6004
AADAC	0.831230	2136	0.831230	11123
AADACL2	0.334228	8257	0.334228	13228
AADACL3	0.000000	17100	0.000000	17238
AADACL4	-	19007	-	19007
AADAT	0.320249	8561	0.889862	10817
AAED1	0.185098	11680	1.403453	6692
AAGAB	0.274969	9569	1.823670	3131
AAK1	0.261687	9916	1.009560	9985
AAMDC	0.258742	9986	1.442537	6330
AAMP	0.351681	7854	2.156446	1525
AANAT	0.000000	17099	0.000000	17237
AAR2	0.361808	7653	1.472171	6076
AARD	0.332611	8285	0.347064	13182
AARS	0.293449	9148	1.905526	2658
AARS2	0.333499	8271	1.544316	5379
AARSD1	0.216920	10955	1.610259	4795
AASDH	0.199611	11369	1.279895	7836
AASDHPPT	0.525573	4827	1.797683	3331
AASS	0.069177	14199	1.088809	9428
AATF	0.214360	11006	1.683220	4208
AATK	0.772322	2487	0.772322	11448
ABAT	0.565082	4322	1.294246	7713
ABCA1	0.693727	3020	1.988185	2215
ABCA10	0.125489	12994	0.125489	14381
ABCA12	1.177436	964	1.177436	8728
ABCA13	0.453375	5898	0.453375	12760
ABCA2	0.361883	7648	1.140778	9032
ABCA3	0.219970	10874	0.947924	10428
ABCA4	0.115224	13246	0.115224	14539
ABCA5	0.447836	6018	1.480272	6002
ABCA6	0.022133	15129	0.147143	14238
ABCA7	0.363922	7602	1.199481	8539
ABCA8	0.022729	15125	0.743995	11583
ABCA9	0.048455	14694	0.048455	15309
ABCB1	1.321562	716	1.919235	2581
ABCB10	0.413303	6637	1.273464	7904
ABCB11	0.000000	17098	0.000000	17236
ABCB4	0.145474	12574	0.294466	13402
ABCB5	0.000000	17097	0.000000	17235
ABCB6	0.693925	3013	1.072617	9564
ABCB7	0.230138	10626	1.479575	6007
ABCB8	0.461026	5776	1.463044	6158
ABCB9	0.344776	8014	0.808166	11256
ABCC1	0.361705	7655	1.618676	4727
ABCC10	0.497186	5221	1.051536	9706
ABCC11	0.000000	17096	0.000000	17234
ABCC12	0.000000	17095	0.000000	17233
ABCC2	1.756484	275	1.756484	3635
ABCC3	1.487986	503	1.805161	3266
ABCC4	0.701522	2958	1.461198	6183
ABCC5	0.241393	10380	1.230193	8281
ABCC6	-	19006	-	19006
ABCC8	0.049218	14618	0.049218	15246
ABCC9	0.335161	8240	0.698101	11797
ABCD1	0.209042	11127	1.162266	8855
ABCD2	0.074239	14135	0.074239	14997
ABCD3	0.316938	8636	1.216381	8392
ABCD4	0.395033	6965	1.183555	8682
ABCE1	0.460256	5788	1.979321	2254
ABCF1	0.210116	11105	1.981549	2249
ABCF2	0.413557	6631	1.840799	3042
ABCF3	0.111576	13290	1.586354	4998
ABCG1	0.397036	6930	1.529957	5516
ABCG2	1.584166	401	1.692142	4147
ABCG4	0.142718	12617	0.158362	14199
ABCG5	0.000000	17094	0.000000	17232
ABCG8	0.000000	17093	0.000000	17231
ABHD1	0.178874	11801	0.238046	13682
ABHD10	0.176555	11843	1.391112	6790
ABHD11	0.671499	3203	1.641460	4549
ABHD12	0.959995	1579	1.900214	2679
ABHD12B	0.075962	13970	0.075962	14832
ABHD13	0.270546	9698	1.297761	7661
ABHD14A	0.229446	10646	1.251910	8100
ABHD14B	0.266453	9821	2.023911	2052
ABHD15	0.490666	5324	0.831230	11122
ABHD16A	0.086145	13825	1.376847	6909
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	10084	1.181983	8691
ABHD17B	0.371128	7438	1.060209	9641
ABHD17C	0.753026	2624	1.794418	3359
ABHD18	0.267526	9785	1.030195	9854
ABHD2	0.499277	5203	1.770336	3538
ABHD3	0.416247	6587	1.366610	7005
ABHD4	0.384878	7169	1.725367	3873
ABHD5	0.970453	1541	2.167332	1485
ABHD6	0.375789	7338	0.929419	10566
ABHD8	0.311736	8738	1.189746	8622
ABI1	0.349218	7905	1.703964	4051
ABI2	0.187769	11623	1.514307	5665
