gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	2970	1.607366	4950
A1CF	0.000000	17160	0.000000	17239
A2M	1.649292	316	2.699594	442
A2ML1	1.402223	579	1.402223	6785
A3GALT2	-	19008	-	19008
A4GALT	0.889827	1831	1.585276	5124
A4GNT	0.000000	17159	0.000000	17238
AAAS	0.525083	4666	1.919053	2736
AACS	0.439001	5996	1.479664	6069
AADAC	0.026539	14984	0.026539	15224
AADACL2	0.000000	17158	0.000000	17237
AADACL3	0.000000	17157	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.419407	6354	0.989020	10187
AAED1	0.365583	7490	1.583938	5138
AAGAB	0.376175	7237	1.924876	2696
AAK1	0.156599	12599	1.046901	9791
AAMDC	0.324839	8438	1.508635	5796
AAMP	0.284975	9411	2.089741	1825
AANAT	0.049143	14695	0.049143	15050
AAR2	0.224775	10985	1.330957	7407
AARD	0.126629	13255	0.141082	14366
AARS	0.319285	8564	1.931362	2653
AARS2	0.214618	11190	1.425435	6588
AARSD1	0.178835	12046	1.591669	5079
AASDH	0.142779	12946	1.106445	9353
AASDHPPT	0.249955	10349	1.693614	4259
AASS	0.234598	10714	1.296665	7709
AATF	0.224030	10999	1.692890	4267
AATK	0.256420	10193	0.256420	13707
ABAT	0.313132	8735	1.039174	9842
ABCA1	0.259860	10103	1.653259	4546
ABCA10	0.117764	13481	0.117764	14499
ABCA12	1.241181	801	1.241181	8204
ABCA13	0.178351	12060	0.178351	14042
ABCA2	0.337071	8134	1.115965	9288
ABCA3	0.179203	12031	0.907157	10724
ABCA4	0.494629	5096	0.494629	12650
ABCA5	0.162577	12487	1.159332	8936
ABCA6	0.924634	1670	1.383808	6958
ABCA7	0.558106	4257	1.244441	8177
ABCA8	0.470968	5480	1.411764	6707
ABCA9	0.698790	2926	1.000665	10108
ABCB1	0.544890	4421	1.142563	9064
ABCB10	0.280661	9514	1.140822	9083
ABCB11	0.000000	17156	0.000000	17235
ABCB4	0.970742	1495	1.119735	9261
ABCB5	2.075693	128	2.075693	1887
ABCB6	0.470038	5491	0.848731	11049
ABCB7	0.062887	14557	1.312324	7578
ABCB8	0.444697	5920	1.605155	4968
ABCB9	0.474654	5416	0.943708	10485
ABCC1	0.313784	8718	1.570754	5260
ABCC10	0.495645	5083	1.163188	8897
ABCC11	0.000000	17155	0.000000	17234
ABCC12	0.000000	17154	0.000000	17233
ABCC2	0.848015	2028	0.848015	11054
ABCC3	0.916007	1713	1.728335	3986
ABCC4	0.316064	8653	1.207096	8493
ABCC5	0.281879	9476	1.270679	7940
ABCC6	-	19006	-	19006
ABCC8	0.000000	17153	0.000000	17232
ABCC9	0.179651	12025	0.454264	12823
ABCD1	0.844729	2044	1.797952	3455
ABCD2	0.248876	10374	0.410259	13001
ABCD3	0.361312	7595	1.525951	5645
ABCD4	0.175721	12115	1.212393	8447
ABCE1	0.315952	8658	1.835017	3205
ABCF1	0.286584	9366	2.136518	1651
ABCF2	0.331379	8286	1.758621	3765
ABCF3	0.071503	14407	1.546280	5470
ABCG1	0.307736	8866	1.440657	6451
ABCG2	0.278814	9571	0.278814	13558
ABCG4	0.175305	12127	0.190949	13994
ABCG5	0.000000	17152	0.000000	17231
ABCG8	0.000000	17151	0.000000	17230
ABHD1	0.023005	15100	0.082176	14872
ABHD10	0.194452	11685	1.451786	6351
ABHD11	0.267566	9896	1.237527	8236
ABHD12	0.401705	6680	1.920591	2724
ABHD12B	0.108742	13651	0.108742	14565
ABHD13	0.279487	9553	1.306701	7622
ABHD14A	0.280564	9517	1.397732	6827
ABHD14B	0.539768	4483	2.297225	1154
ABHD15	0.144323	12906	0.461041	12800
ABHD16A	0.115297	13504	1.356755	7183
ABHD16B	-	19005	-	19005
ABHD17A	0.401593	6683	1.133998	9152
ABHD17B	0.178334	12063	1.178977	8753
ABHD17C	0.620978	3586	1.662371	4481
ABHD18	0.195516	11661	1.004085	10075
ABHD2	0.479282	5344	1.785401	3546
ABHD3	0.406046	6604	1.356408	7186
ABHD4	0.337841	8098	1.678331	4360
ABHD5	0.277463	9614	1.474342	6127
ABHD6	0.720224	2781	1.412124	6702
ABHD8	0.280328	9529	1.174708	8790
ABI1	0.242189	10542	1.673206	4398
ABI2	0.486375	5221	1.686325	4309
ABI3	0.107542	13669	0.306921	13460
ABI3BP	1.551463	406	2.227803	1354
ABL1	0.255751	10210	1.257263	8061
ABL2	0.783036	2382	1.451103	6354
ABLIM1	1.352970	640	1.888560	2929
ABLIM2	0.024951	15061	0.274382	13589
ABLIM3	0.378585	7188	1.590915	5085
ABO	0.068360	14477	0.078105	14883
ABR	0.975176	1473	1.954321	2520
ABRA	0.000000	17150	0.000000	17229
ABRACL	0.943371	1596	2.157823	1581
ABT1	0.387185	6984	1.584051	5137
ABTB1	0.197762	11616	1.249208	8136
ABTB2	0.279579	9551	1.040399	9837
ACAA1	0.383535	7074	1.816034	3334
ACAA2	0.546703	4406	1.531079	5604
ACACA	0.532575	4572	1.675902	4380
ACACB	0.484286	5258	0.564666	12367
