gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.430956	6765	1.421956	7067
A1CF	0.026394	15396	0.026394	15498
A2M	0.965567	1834	1.949103	2766
A2ML1	0.000000	17209	0.000000	17239
A3GALT2	-	19008	-	19008
A4GALT	0.800219	2702	1.495668	6362
A4GNT	0.000000	17208	0.000000	17238
AAAS	0.659108	3794	2.053078	2196
AACS	0.455289	6337	1.505953	6275
AADAC	0.419425	6963	0.419425	13100
AADACL2	0.000000	17207	0.000000	17237
AADACL3	0.000000	17206	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.162870	12758	0.732483	11879
AAED1	0.456166	6318	1.674521	4725
AAGAB	0.222312	11372	1.771013	3957
AAK1	0.330478	8761	1.225814	8803
AAMDC	0.428475	6807	1.612271	5288
AAMP	0.351681	8298	2.156446	1753
AANAT	0.000000	17205	0.000000	17235
AAR2	0.455966	6320	1.479166	6508
AARD	0.036310	15084	0.050763	15044
AARS	0.292254	9707	1.904331	3036
AARS2	0.349064	8340	1.559882	5781
AARSD1	0.248554	10759	1.610259	5309
AASDH	0.167775	12654	1.248059	8632
AASDHPPT	0.305445	9394	1.577466	5608
AASS	0.334983	8661	1.397050	7311
AATF	0.119208	13688	1.588069	5522
AATK	0.111146	13895	0.128839	14401
ABAT	0.172510	12547	0.420367	13094
ABCA1	0.860959	2323	2.254358	1395
ABCA10	0.026394	15395	0.026394	15497
ABCA12	0.235499	11065	0.235499	13849
ABCA13	0.062243	14711	0.062243	14991
ABCA2	0.228605	11212	1.007499	10398
ABCA3	0.912124	2060	1.640079	5034
ABCA4	1.382427	736	1.382427	7433
ABCA5	0.193816	12040	1.185624	9140
ABCA6	0.548558	5042	1.007732	10397
ABCA7	0.506881	5582	1.342440	7808
ABCA8	0.335348	8653	1.276144	8369
ABCA9	0.512844	5511	0.814718	11477
ABCB1	0.631196	4070	0.752726	11777
ABCB10	0.289332	9794	1.149493	9422
ABCB11	0.000000	17204	0.000000	17234
ABCB4	0.148059	13056	0.297052	13568
ABCB5	0.293572	9673	0.293572	13579
ABCB6	0.372807	7866	0.751500	11786
ABCB7	0.140364	13197	1.389801	7373
ABCB8	0.461026	6247	1.463044	6654
ABCB9	0.347076	8378	0.808166	11508
ABCC1	0.738438	3101	1.773125	3940
ABCC10	0.497186	5699	1.051536	10094
ABCC11	0.000000	17203	0.000000	17233
ABCC12	0.027595	15322	0.027595	15431
ABCC2	0.039068	15073	0.039068	15224
ABCC3	0.857669	2340	1.669997	4771
ABCC4	0.344654	8449	1.223489	8829
ABCC5	0.869883	2270	1.858683	3326
ABCC6	-	19006	-	19006
ABCC8	0.000000	17202	0.000000	17232
ABCC9	0.026394	15394	0.129556	14375
ABCD1	0.379926	7733	1.333150	7883
ABCD2	0.262571	10439	0.423954	13088
ABCD3	0.177588	12437	1.182999	9157
ABCD4	0.411419	7101	1.316540	8022
ABCE1	0.272117	10190	1.791182	3809
ABCF1	0.196848	11971	1.942956	2802
ABCF2	0.470433	6095	1.897675	3071
ABCF3	0.111576	13890	1.586354	5538
ABCG1	0.690622	3492	1.823543	3558
ABCG2	0.504710	5608	0.619659	12349
ABCG4	0.141332	13179	0.156977	14223
ABCG5	0.000000	17201	0.000000	17231
ABCG8	0.000000	17200	0.000000	17230
ABHD1	0.087484	14288	0.119787	14493
ABHD10	0.143120	13155	1.413797	7145
ABHD11	0.714088	3301	1.684048	4641
ABHD12	0.969924	1824	2.488810	830
ABHD12B	0.065167	14686	0.065167	14985
ABHD13	0.328769	8803	1.370949	7551
ABHD14A	0.253528	10655	1.280759	8329
ABHD14B	0.163434	12749	1.920891	2919
ABHD15	0.473319	6049	0.813883	11483
