gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.621041	2013	1.612042	3637
A1CF	0.000000	16881	0.000000	17239
A2M	0.017046	13649	0.367656	12211
A2ML1	0.000000	16880	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.387219	4379	1.082668	8378
A4GNT	0.000000	16879	0.000000	17237
AAAS	0.418997	3904	1.812967	2322
AACS	0.177795	9186	1.228459	7027
AADAC	0.000000	16878	0.000000	17236
AADACL2	0.000000	16877	0.000000	17235
AADACL3	0.000000	16876	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.126703	10536	0.535636	11582
AAED1	0.495891	2962	1.714246	2903
AAGAB	0.075229	12152	1.623930	3537
AAK1	0.141380	10218	0.839874	10022
AAMDC	0.327546	5512	1.385991	5539
AAMP	0.155185	9809	1.959951	1648
AANAT	0.017046	13648	0.017046	14460
AAR2	0.192653	8795	1.313889	6237
AARD	0.030292	13125	0.044744	14003
AARS	0.100608	11493	1.670876	3190
AARS2	0.306337	5920	1.517154	4378
AARSD1	0.736089	1393	1.589104	3814
AASDH	0.072310	12210	1.152594	7747
AASDHPPT	0.304690	5951	1.515857	4386
AASS	0.231571	7690	1.124830	8016
AATF	0.079529	12074	1.548389	4138
AATK	0.000000	16875	0.000000	17233
ABAT	0.000000	16874	0.475964	11841
ABCA1	0.058323	12496	1.063333	8535
ABCA10	0.032303	13078	0.032303	14134
ABCA12	0.000000	16873	0.000000	17232
ABCA13	0.614037	2044	0.614037	11256
ABCA2	0.154029	9843	0.780096	10409
ABCA3	0.024230	13430	0.675636	10992
ABCA4	0.000000	16872	0.000000	17231
ABCA5	0.078113	12102	0.818226	10220
ABCA6	0.266504	6852	0.725678	10752
ABCA7	0.072755	12204	0.755875	10613
ABCA8	0.210857	8197	1.151653	7751
ABCA9	0.513416	2812	0.815291	10231
ABCB1	0.636591	1903	1.234264	7006
ABCB10	0.327078	5519	1.187239	7446
ABCB11	0.000000	16871	0.000000	17230
ABCB4	0.110590	11277	0.201397	12980
ABCB5	0.256769	7075	0.256769	12687
ABCB6	0.172823	9341	0.579264	11409
ABCB7	0.302500	5999	1.551938	4108
ABCB8	0.111059	10965	1.271216	6644
ABCB9	0.333958	5383	0.803012	10280
ABCC1	0.269240	6780	1.526210	4306
ABCC10	0.193390	8772	0.748289	10633
ABCC11	0.000000	16870	0.000000	17229
ABCC12	0.111537	10952	0.111537	13338
ABCC2	0.017046	13647	0.017046	14459
ABCC3	0.431364	3726	1.243693	6895
ABCC4	0.320356	5657	1.211388	7207
ABCC5	0.039723	12834	0.921166	9560
ABCC6	-	19006	-	19006
ABCC8	0.000000	16869	0.000000	17228
ABCC9	0.113939	10894	0.309853	12456
ABCD1	0.000000	16868	0.941527	9407
ABCD2	0.000000	16867	0.017046	14458
ABCD3	0.130176	10448	1.195346	7378
ABCD4	0.189659	8859	1.327563	6118
ABCE1	0.301662	6017	1.820727	2288
ABCF1	0.080082	12064	1.853179	2116
ABCF2	0.353444	4966	1.780686	2518
ABCF3	0.112617	10932	1.587394	3820
ABCG1	0.150380	9963	1.283301	6548
ABCG2	0.110590	11276	0.201397	12979
ABCG4	0.086827	11904	0.102471	13681
ABCG5	0.000000	16866	0.000000	17227
ABCG8	0.000000	16865	0.000000	17226
ABHD1	0.051418	12633	0.110590	13657
ABHD10	0.162773	9604	1.433450	5112
ABHD11	0.262037	6951	1.231998	7011
ABHD12	0.201051	8577	1.719937	2868
ABHD12B	0.274158	6669	0.274158	12656
ABHD13	0.176091	9229	1.203305	7287
ABHD14A	0.383102	4437	1.373096	5671
ABHD14B	0.238506	7504	1.995963	1533
ABHD15	0.532175	2649	0.872739	9864
ABHD16A	0.209965	8221	1.478133	4726
ABHD16B	-	19005	-	19005
ABHD17A	0.177478	9191	1.104078	8191
ABHD17B	0.586932	2251	1.559068	4054
ABHD17C	0.156214	9784	1.197607	7323
ABHD18	0.389677	4341	1.241546	6938
ABHD2	0.472237	3229	1.899043	1905
ABHD3	0.394815	4231	1.345178	5945
ABHD4	0.325252	5555	1.665741	3234
ABHD5	0.310028	5838	1.506907	4468
ABHD6	0.092154	11788	0.558700	11530
ABHD8	0.115549	10858	0.812640	10240
ABI1	0.158172	9728	1.496595	4555
ABI2	0.241903	7427	1.499024	4530
ABI3	0.110590	11275	0.336460	12384
ABI3BP	1.441619	184	2.117960	1166
ABL1	0.359245	4841	1.360757	5782
ABL2	0.793031	1189	1.461098	4862
ABLIM1	0.344221	5119	0.964731	9282
ABLIM2	0.000000	16864	0.025093	14349
ABLIM3	0.058697	12489	1.039406	8715
ABO	1.077459	527	1.203305	7286
ABR	0.592070	2216	1.467964	4795
ABRA	0.017046	13646	0.017046	14457
ABRACL	0.974042	710	2.083072	1260
ABT1	0.347946	5046	1.544812	4166
ABTB1	0.025951	13234	1.134177	7921
ABTB2	-0.157632	17196	0.392697	12159
ACAA1	0.266925	6838	1.503816	4495
ACAA2	0.599147	2154	1.661902	3259
ACACA	0.251345	7200	1.346381	5909
ACACB	0.362901	4778	0.683047	10971
