gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.066178	6801	0.397063	10493
A1CF	0.000000	15343	0.000000	17239
A2M	0.838194	381	1.888496	1204
A2ML1	0.000000	15342	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.288292	2176	0.983742	7268
A4GNT	0.000000	15341	0.000000	17237
AAAS	0.000000	15340	1.380543	4098
AACS	-0.003514	15400	1.047150	6799
AADAC	0.105127	5540	0.105127	11749
AADACL2	0.000000	15339	0.000000	17236
AADACL3	0.000000	15338	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15337	0.472056	10197
AAED1	0.087744	6038	1.306100	4720
AAGAB	0.222312	3011	1.771013	1676
AAK1	0.156362	4162	0.771286	8713
AAMDC	0.177031	3783	1.360826	4249
AAMP	0.033457	8333	1.639027	2310
AANAT	0.000000	15336	0.000000	17234
AAR2	0.237703	2789	1.066928	6636
AARD	0.000000	15335	0.000000	17233
AARS	-0.120295	16707	1.468673	3441
AARS2	-0.084433	16474	1.126384	6181
AARSD1	0.003175	9313	1.248710	5193
AASDH	0.119103	5122	1.199387	5568
AASDHPPT	0.133506	4715	1.537133	2977
AASS	0.047517	7358	1.088452	6467
AATF	-0.118282	16693	1.350578	4341
AATK	0.000000	15334	0.000000	17232
ABAT	0.000000	15333	0.152406	11423
ABCA1	0.000000	15332	0.869246	8057
ABCA10	0.000000	15331	0.000000	17231
ABCA12	0.000000	15330	0.000000	17230
ABCA13	0.000000	15329	0.000000	17229
ABCA2	0.111842	5330	0.560295	9784
ABCA3	0.873073	349	1.601027	2557
ABCA4	0.806178	427	0.806178	8488
ABCA5	0.193816	3469	1.185624	5683
ABCA6	0.211290	3190	0.590680	9665
ABCA7	0.022148	8667	0.857707	8141
ABCA8	0.000000	15328	0.000000	17228
ABCA9	0.044513	7668	0.074239	12063
ABCB1	0.631196	646	0.752726	8833
ABCB10	0.094697	5845	0.954858	7470
ABCB11	0.000000	15327	0.000000	17227
ABCB4	0.148059	4345	0.297052	10845
ABCB5	0.000000	15326	0.000000	17226
ABCB6	0.081775	6250	0.318791	10769
ABCB7	0.000000	15325	1.228319	5336
ABCB8	-0.145486	16800	1.026481	6933
ABCB9	0.117610	5189	0.368046	10596
ABCC1	0.233285	2850	1.490255	3289
ABCC10	0.132871	4732	0.800414	8523
ABCC11	0.000000	15324	0.000000	17225
ABCC12	0.000000	15323	0.000000	17224
ABCC2	0.000000	15322	0.000000	17223
ABCC3	0.000000	15321	0.221448	11118
ABCC4	0.168086	3943	1.059117	6697
ABCC5	0.123496	4981	0.913659	7751
ABCC6	-	19006	-	19006
ABCC8	0.000000	15320	0.000000	17222
ABCC9	0.000000	15319	0.041284	12545
ABCD1	0.000000	15318	0.777911	8673
ABCD2	0.000000	15317	0.000000	17221
ABCD3	0.177588	3768	1.072924	6591
ABCD4	0.314531	1962	1.316540	4628
ABCE1	0.249084	2648	1.768149	1695
ABCF1	0.041564	7741	1.891499	1187
ABCF2	0.102989	5596	1.530231	3027
ABCF3	-0.030684	15883	1.444094	3610
ABCG1	0.000000	15316	0.666288	9299
ABCG2	0.504710	960	0.619659	9526
ABCG4	0.000000	15315	0.000000	17220
ABCG5	0.000000	15314	0.000000	17219
ABCG8	0.000000	15313	0.000000	17218
ABHD1	0.000000	15312	0.044513	12341
ABHD10	0.051355	7235	1.316152	4633
ABHD11	-0.041284	16051	0.725383	8988
ABHD12	0.000000	15311	1.369275	4182
ABHD12B	0.000000	15310	0.000000	17217
ABHD13	0.105276	5522	1.147456	6004
ABHD14A	-0.054740	16206	0.725607	8986
ABHD14B	-0.172244	16896	1.585213	2652
ABHD15	0.000000	15309	0.178313	11332
ABHD16A	0.000000	15308	1.234715	5293
ABHD16B	-	19005	-	19005
ABHD17A	0.041284	7955	0.628015	9486
ABHD17B	0.163832	4021	1.049920	6777
ABHD17C	0.003864	9292	0.764240	8760
ABHD18	0.193051	3480	0.907251	7787
ABHD2	0.000000	15307	1.555939	2838
ABHD3	-0.460088	17181	0.490274	10103
ABHD4	0.124454	4954	1.464943	3466
ABHD5	0.276263	2310	1.473142	3409
ABHD6	0.061415	6944	0.727306	8975
ABHD8	0.016844	8850	0.543884	9863
ABI1	0.145953	4415	1.652424	2233
ABI2	0.001362	9369	1.422571	3768
ABI3	0.735220	509	0.931500	7629
ABI3BP	0.041284	7954	0.650399	9382
ABL1	0.132732	4741	1.013113	7034
ABL2	0.923943	316	1.592010	2617
ABLIM1	0.625624	663	1.038887	6853
ABLIM2	0.021999	8674	0.290058	10859
ABLIM3	0.438074	1217	1.604103	2536
ABO	0.030683	8411	0.156529	11404
ABR	0.134606	4693	1.074323	6582
ABRA	0.000000	15306	0.000000	17216
ABRACL	0.753235	487	1.890461	1193
ABT1	-0.074804	16395	1.122062	6216
ABTB1	0.000000	15305	0.535545	9897
ABTB2	-0.270632	17063	0.000000	17215
ACAA1	-0.056938	16234	1.333604	4488
ACAA2	0.392847	1440	1.042470	6833
ACACA	0.255420	2567	1.246694	5208
ACACB	0.041284	7953	0.083473	11858
ACAD10	-0.089810	16513	0.899768	7837
ACAD11	0.127145	4882	0.792581	8571
ACAD8	-0.064183	16305	1.144568	6019
ACAD9	0.044513	7667	1.351811	4329
ACADL	0.000000	15304	0.000000	17214
ACADM	0.064172	6848	1.348126	4363
ACADS	0.000000	15303	0.782983	8632
ACADSB	0.005686	9227	0.751597	8843
ACADVL	0.012523	8996	1.898486	1173
ACAN	0.000000	15302	0.041284	12544
ACAP1	0.000000	15301	0.000000	17213
ACAP2	0.184095	3643	1.743628	1797
ACAP3	0.074517	6528	0.620475	9522
ACAT1	0.163705	4023	1.835841	1394
ACAT2	0.357185	1648	1.790335	1581
ACBD3	0.032588	8361	1.886529	1214
ACBD4	-0.007923	15486	0.700922	9105
ACBD5	0.110138	5370	0.790657	8586
ACBD6	0.364475	1603	1.433104	3698
ACBD7	0.143261	4468	0.380580	10555
ACCS	0.179673	3737	0.538060	9885
ACCSL	-	19004	-	19004
ACD	0.022159	8666	0.862563	8115
ACE	1.012013	256	1.458531	3509
ACE2	0.000000	15300	0.000000	17212
ACER1	0.000000	15299	0.000000	17211
ACER2	0.600105	718	0.916643	7737
ACER3	0.256458	2552	1.375052	4152
ACHE	0.000000	15298	0.205471	11193
ACIN1	0.174725	3821	1.906144	1147
ACKR1	0.000000	15297	0.000000	17210
ACKR2	0.000000	15296	0.146607	11469
ACKR3	0.000000	15295	1.133673	6103
ACKR4	0.000000	15294	0.074741	12025
ACLY	0.389024	1464	1.683723	2089
ACMSD	0.000000	15293	0.000000	17209
ACO1	0.284068	2230	1.808009	1502
ACO2	0.000000	15292	1.514099	3132
ACOD1	0.000000	15291	0.000000	17208
ACOT1	0.000000	15290	0.000000	17207
ACOT11	0.000000	15289	0.127986	11570
ACOT12	0.000000	15288	0.000000	17206
ACOT13	0.332719	1819	1.614242	2469
ACOT2	0.016061	8864	0.541420	9871
ACOT4	-0.139188	16780	0.000000	17205
ACOT6	-	19003	-	19003
ACOT7	0.235462	2821	1.093492	6410
ACOT8	-0.074908	16397	1.325861	4549
ACOT9	0.216792	3097	1.765858	1702
ACOX1	0.175246	3808	1.617020	2453
ACOX2	0.044513	7666	0.179564	11303
ACOX3	0.066333	6796	1.043880	6823
ACOXL	0.000000	15287	0.000000	17204
ACP1	0.009098	9114	1.816430	1468
ACP2	0.000000	15286	1.313827	4655
ACP5	0.007077	9174	0.044513	12340
ACP6	0.087418	6051	0.556058	9810
ACP7	-	19002	-	19002
ACPP	0.044513	7665	0.077665	11975
ACPT	-	19001	-	19001
ACR	0.000000	15285	0.000000	17203
ACRBP	0.004429	9270	0.251010	10994
ACRC	0.000000	15284	0.000000	17202
ACRV1	0.000000	15283	0.000000	17201
ACSBG1	0.000000	15282	0.000000	17200
ACSBG2	0.000000	15281	0.000000	17199
ACSF2	0.158579	4119	0.897936	7849
ACSF3	0.044513	7664	0.794200	8558
ACSL1	0.000000	15280	0.913723	7750
ACSL3	0.131344	4769	2.004916	855
ACSL4	0.000001	9429	1.565928	2768
ACSL5	0.592896	733	1.470805	3424
ACSL6	0.000000	15279	0.000000	17198
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15278	0.000000	17197
ACSM2B	0.000000	15277	0.000000	17196
ACSM3	0.000000	15276	0.000000	17195
ACSM4	-	18999	-	18999
ACSM5	0.000000	15275	0.000000	17194
ACSM6	0.000000	15274	0.000000	17193
ACSS1	0.081112	6271	0.738473	8914
ACSS2	0.044513	7663	0.879060	7985
ACSS3	0.000000	15273	0.000000	17192
ACTA1	0.000000	15272	0.000000	17191
ACTA2	0.239476	2766	1.287334	4872
ACTB	0.500504	975	3.636673	2
