gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.199231	7092	1.190232	7069
A1CF	0.000000	16710	0.000000	17239
A2M	0.838194	865	1.888496	1932
A2ML1	0.000000	16709	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.726633	1161	1.391058	5361
A4GNT	0.000000	16708	0.000000	17237
AAAS	0.370323	3708	1.764293	2556
AACS	0.214027	6694	1.264691	6445
AADAC	0.105127	9897	0.105127	12812
AADACL2	0.000000	16707	0.000000	17236
AADACL3	0.000000	16706	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.077337	10766	0.472056	11142
AAED1	0.137786	8786	1.356141	5653
AAGAB	0.222312	6508	1.771013	2511
AAK1	0.239208	6126	1.063226	8026
AAMDC	0.428475	2995	1.612271	3544
AAMP	0.276625	5260	1.932222	1738
AANAT	0.000000	16705	0.000000	17234
AAR2	0.367915	3749	1.263972	6451
AARD	0.000000	16704	0.000000	17233
AARS	0.031128	12389	1.643205	3295
AARS2	0.155862	8263	1.366679	5560
AARSD1	0.140377	8711	1.553211	4020
AASDH	0.119103	9478	1.199387	6997
AASDHPPT	0.305445	4714	1.545840	4078
AASS	0.334983	4215	1.397050	5298
AATF	0.092841	10300	1.561701	3940
AATK	0.111146	9699	0.128839	12660
ABAT	0.004817	13056	0.383949	11463
ABCA1	0.000000	16703	0.878288	9205
ABCA10	0.000000	16702	0.000000	17232
ABCA12	0.012475	12977	0.012475	14173
ABCA13	0.000000	16701	0.000000	17231
ABCA2	0.181879	7543	0.960774	8707
ABCA3	0.912124	715	1.640079	3321
ABCA4	1.382427	221	1.382427	5429
ABCA5	0.193816	7247	1.185624	7112
ABCA6	0.548558	1983	1.007732	8415
ABCA7	0.022148	12722	0.857707	9345
ABCA8	0.048975	11609	0.640676	10444
ABCA9	0.088273	10395	0.112793	12756
ABCB1	0.631196	1499	0.752726	9941
ABCB10	0.289332	5007	1.149493	7412
ABCB11	0.000000	16700	0.000000	17230
ABCB4	0.148059	8483	0.297052	11747
ABCB5	0.000000	16699	0.000000	17229
ABCB6	0.248315	5900	0.544274	10861
ABCB7	0.081838	10609	1.320246	5970
ABCB8	0.255619	5734	1.320086	5974
ABCB9	0.347076	4017	0.799187	9714
ABCC1	0.351410	3954	1.608380	3571
ABCC10	0.188373	7387	0.855916	9358
ABCC11	0.000000	16698	0.000000	17228
