gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.199231	3776	1.190232	5204
A1CF	0.000000	15073	0.000000	17239
A2M	0.153809	4552	1.086900	5990
A2ML1	0.000000	15072	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.726633	550	1.391058	3678
A4GNT	0.000000	15071	0.000000	17237
AAAS	0.239141	3171	1.633111	2276
AACS	-0.010740	15224	0.990348	6723
AADAC	0.031141	8417	0.031141	12946
AADACL2	0.000000	15070	0.000000	17236
AADACL3	0.000000	15069	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.048709	7531	0.429288	10131
AAED1	0.137786	4872	1.356141	3926
AAGAB	-0.003345	15124	1.545356	2726
AAK1	0.145618	4702	0.663881	8930
AAMDC	0.292550	2501	1.476345	3124
AAMP	0.161687	4411	1.780498	1658
AANAT	0.000000	15068	0.000000	17234
AAR2	0.122292	5229	1.178835	5278
AARD	0.000000	15067	0.000000	17233
AARS	-0.165940	16637	1.394466	3654
AARS2	-0.131868	16477	1.078950	6059
AARSD1	0.083910	6151	1.366119	3855
AASDH	0.000000	15066	0.776833	8255
AASDHPPT	0.061127	6890	1.344986	4011
AASS	-0.017910	15341	0.750941	8405
AATF	-0.103471	16314	1.365389	3859
AATK	0.000000	15065	0.000000	17232
ABAT	0.000000	15064	0.184781	11331
ABCA1	0.000000	15063	0.840062	7800
ABCA10	0.000000	15062	0.000000	17231
ABCA12	0.000000	15061	0.000000	17230
ABCA13	0.000000	15060	0.000000	17229
ABCA2	0.081838	6344	0.547719	9568
ABCA3	0.912124	329	1.640079	2246
ABCA4	1.382427	96	1.382427	3740
ABCA5	0.031141	8416	0.739670	8477
ABCA6	0.024858	8568	0.340958	10564
ABCA7	0.000000	15059	0.828205	7886
ABCA8	0.000000	15058	0.112978	11817
ABCA9	0.000000	15057	0.000000	17228
ABCB1	0.000000	15056	0.000000	17227
ABCB10	0.137410	4882	0.997571	6674
ABCB11	0.000000	15055	0.000000	17226
ABCB4	0.000000	15054	0.000000	17225
ABCB5	0.000000	15053	0.000000	17224
ABCB6	0.248315	3030	0.485330	9888
ABCB7	0.081838	6343	1.032966	6409
ABCB8	0.001464	9199	1.138029	5582
ABCB9	0.347076	1967	0.749531	8418
ABCC1	0.097334	5835	1.342511	4031
ABCC10	0.164205	4357	0.799554	8093
ABCC11	0.000000	15052	0.000000	17223
ABCC12	0.000000	15051	0.000000	17222
ABCC2	0.031141	8415	0.031141	12945
ABCC3	0.031141	8414	0.587157	9354
ABCC4	-0.002139	15110	0.660188	8947
ABCC5	0.153518	4561	0.711363	8656
ABCC6	-	19006	-	19006
ABCC8	0.000000	15050	0.000000	17221
ABCC9	0.000000	15049	0.000000	17220
ABCD1	0.046491	7593	0.999715	6663
ABCD2	0.000000	15048	0.000000	17219
ABCD3	-0.062662	15988	0.873366	7570
