gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	1856	1.607366	4030
A1CF	0.000000	16754	0.000000	17239
A2M	0.673726	1948	1.558170	4377
A2ML1	1.402223	358	1.402223	5611
A3GALT2	-	19008	-	19008
A4GALT	0.889827	1140	1.585276	4184
A4GNT	0.000000	16753	0.000000	17238
AAAS	0.525083	3011	1.919053	2226
AACS	0.439001	3946	1.479664	4994
AADAC	0.000000	16752	0.000000	17237
AADACL2	0.000000	16751	0.000000	17236
AADACL3	0.000000	16750	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.066202	12176	0.561462	11308
AAED1	0.365583	5017	1.583938	4196
AAGAB	0.376175	4845	1.924876	2197
AAK1	0.061234	12249	0.838068	9857
AAMDC	0.324839	5778	1.508635	4761
AAMP	0.284975	6589	2.089741	1489
AANAT	0.000000	16749	0.000000	17234
AAR2	0.210467	8244	1.329971	6203
AARD	0.126629	10356	0.141082	13079
AARS	0.277600	6756	1.889677	2370
AARS2	0.214618	8150	1.425435	5419
AARSD1	0.178835	9103	1.591669	4144
AASDH	0.142779	9986	1.090210	8128
AASDHPPT	0.249955	7404	1.693614	3466
AASS	0.095052	11352	0.841607	9836
AATF	0.224030	7969	1.692890	3474
AATK	0.000000	16748	0.000000	17233
ABAT	0.313132	6041	1.039174	8498
ABCA1	0.259860	7165	1.653259	3721
ABCA10	0.117764	10673	0.117764	13322
ABCA12	0.993008	853	0.993008	8830
ABCA13	0.154631	9691	0.154631	13019
ABCA2	0.106428	11014	0.814664	10003
ABCA3	0.000000	16747	0.230920	12643
ABCA4	0.000000	16746	0.000000	17232
ABCA5	0.110726	10818	0.841305	9837
ABCA6	0.924634	1026	1.383808	5759
ABCA7	0.558106	2717	1.032540	8545
ABCA8	0.470968	3574	1.411764	5524
ABCA9	0.698790	1828	1.000665	8761
ABCB1	0.000000	16745	0.028905	13984
ABCB10	0.280009	6695	0.911982	9396
ABCB11	0.000000	16744	0.000000	17231
ABCB4	0.000000	16743	0.000000	17230
ABCB5	0.000000	16742	0.000000	17229
ABCB6	0.470038	3581	0.848731	9803
ABCB7	0.000000	16741	1.212117	7139
ABCB8	0.444697	3879	1.421652	5450
ABCB9	0.163565	9481	0.595484	11125
ABCC1	0.197580	8602	1.380673	5784
ABCC10	0.329699	5673	0.836260	9880
ABCC11	0.000000	16740	0.000000	17228
ABCC12	0.000000	16739	0.000000	17227
ABCC2	0.041501	12619	0.041501	13954
ABCC3	0.916007	1062	1.728335	3250
ABCC4	0.208648	8295	1.099679	8043
ABCC5	0.190060	8777	1.178861	7429
ABCC6	-	19006	-	19006
ABCC8	0.000000	16738	0.000000	17226
ABCC9	0.179651	9085	0.454264	11721
ABCD1	0.029326	12813	0.982550	8918
ABCD2	0.027817	12848	0.189199	12877
ABCD3	0.215648	8136	1.270960	6665
ABCD4	0.033941	12744	1.190805	7323
ABCE1	0.315952	5971	1.835017	2628
ABCF1	0.286584	6549	2.136518	1360
ABCF2	0.331379	5641	1.758621	3088
ABCF3	0.071503	11904	1.546280	4473
ABCG1	0.158947	9589	1.291868	6511
ABCG2	0.278814	6727	0.278814	12458
ABCG4	0.108742	10965	0.108742	13421
ABCG5	0.000000	16737	0.000000	17225
ABCG8	0.000000	16736	0.000000	17224
ABHD1	0.023005	12912	0.082176	13688
ABHD10	-0.038442	16921	1.136644	7772
ABHD11	0.198187	8585	1.168148	7517
ABHD12	0.000000	16735	1.497533	4855
