gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.116086	5447	0.654061	8866
A1CF	0.000000	14892	0.000000	17239
A2M	0.442541	1371	1.267134	4442
A2ML1	0.000000	14891	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.521722	1013	1.217171	4799
A4GNT	0.000000	14890	0.000000	17237
AAAS	0.416229	1536	1.810199	1604
AACS	0.188129	4094	1.238792	4640
AADAC	0.000000	14889	0.000000	17236
AADACL2	0.000000	14888	0.000000	17235
AADACL3	0.000000	14887	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	14886	0.333936	10671
AAED1	0.079650	6419	1.298006	4254
AAGAB	-0.336672	16937	1.212030	4837
AAK1	0.203694	3833	0.954964	6782
AAMDC	0.350926	2047	1.534721	2805
AAMP	0.305879	2484	1.966042	1115
AANAT	0.000000	14885	0.000000	17233
AAR2	0.455966	1291	1.314158	4148
AARD	0.000000	14884	0.000000	17232
AARS	0.089731	6110	1.701808	2007
AARS2	0.229072	3446	1.439889	3334
AARSD1	0.002834	9325	1.415667	3489
AASDH	0.000000	14883	0.774436	8075
AASDHPPT	-0.003664	14947	1.141666	5374
AASS	-0.050518	15671	0.661890	8818
AATF	0.026591	7971	1.495451	3034
AATK	0.000000	14882	0.000000	17231
ABAT	0.000000	14881	0.336943	10655
ABCA1	0.000000	14880	1.093256	5727
ABCA10	0.021590	8596	0.021590	13165
ABCA12	0.000000	14879	0.000000	17230
ABCA13	0.000000	14878	0.000000	17229
ABCA2	0.031776	7857	0.504361	9745
ABCA3	0.819256	395	1.547210	2737
ABCA4	0.273839	2841	0.273839	10994
ABCA5	0.000000	14877	0.481583	9882
ABCA6	0.000000	14876	0.168587	11631
ABCA7	0.064017	6842	0.899576	7181
ABCA8	0.000000	14875	0.021590	13164
ABCA9	0.000000	14874	0.000000	17228
ABCB1	0.000000	14873	0.304699	10832
ABCB10	0.063635	6851	0.791309	7962
ABCB11	0.000000	14872	0.000000	17227
ABCB4	0.000000	14871	0.090432	12253
ABCB5	0.000000	14870	0.000000	17226
ABCB6	0.179580	4229	0.558273	9439
ABCB7	0.000000	14869	0.751170	8245
ABCB8	0.203280	3838	1.365779	3840
ABCB9	0.223118	3530	0.686508	8663
ABCC1	0.172860	4367	1.380347	3746
ABCC10	0.256265	3066	0.745877	8284
ABCC11	0.000000	14868	0.000000	17225
ABCC12	0.000000	14867	0.000000	17224
ABCC2	0.000000	14866	0.000000	17223
ABCC3	0.021590	8595	0.673787	8746
ABCC4	0.075558	6539	0.951547	6812
ABCC5	0.000000	14865	0.694074	8619
ABCC6	-	19006	-	19006
ABCC8	0.000000	14864	0.000000	17222
ABCC9	0.000000	14863	0.017046	13345
ABCD1	0.215046	3645	1.168270	5191
ABCD2	0.000000	14862	0.000000	17221
