gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.045812	8514	1.036813	6579
A1CF	0.000000	15461	0.000000	17239
A2M	0.016406	10895	0.121028	12631
A2ML1	0.000000	15460	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.141633	16906	0.522792	10262
A4GNT	0.000000	15459	0.000000	17237
AAAS	0.109645	6048	1.503615	2949
AACS	0.217773	3016	1.163767	5516
AADAC	0.000000	15458	0.000000	17236
AADACL2	0.000000	15457	0.000000	17235
AADACL3	0.000000	15456	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.323957	1662	0.732888	8925
AAED1	0.112993	5916	1.163596	5519
AAGAB	0.233645	2734	1.782346	1538
AAK1	0.083067	6994	0.534847	10198
AAMDC	0.035843	8945	1.219639	5077
AAMP	0.145536	4771	1.682925	1956
AANAT	0.054784	8176	0.054784	13225
AAR2	0.082601	7017	1.203836	5194
AARD	0.000000	15455	0.000000	17233
AARS	0.050336	8313	1.662413	2064
AARS2	-0.101799	16706	1.109019	5967
AARSD1	0.168234	4119	1.453388	3277
AASDH	0.000000	15454	0.840770	8137
AASDHPPT	0.214374	3072	1.730975	1749
AASS	-0.002590	15520	0.887816	7783
AATF	-0.022846	15857	1.446014	3332
AATK	0.115532	5846	0.133225	12512
ABAT	0.267135	2231	0.571817	9975
ABCA1	0.059887	7894	1.372994	3868
ABCA10	0.029968	9546	0.029968	13720
ABCA12	0.055772	8074	0.055772	13150
ABCA13	0.016406	10894	0.016406	14316
ABCA2	0.129130	5372	0.526173	10240
ABCA3	0.339677	1523	1.067631	6325
ABCA4	0.163319	4236	0.163319	12269
ABCA5	0.032109	9165	0.648025	9498
ABCA6	0.000000	15453	0.067132	13035
ABCA7	0.182579	3731	0.661840	9415
ABCA8	0.000000	15452	0.314003	11399
ABCA9	0.000000	15451	0.032812	13486
ABCB1	0.510451	714	1.108124	5973
ABCB10	0.031155	9204	0.851710	8065
ABCB11	0.000000	15450	0.000000	17232
ABCB4	0.614926	462	0.763918	8715
ABCB5	0.129130	5371	0.129130	12592
ABCB6	0.000000	15449	0.301713	11459
ABCB7	0.058718	7975	1.308155	4378
ABCB8	-0.007847	15599	1.164120	5513
ABCB9	0.016242	10903	0.434955	10725
ABCC1	0.079622	7123	1.073455	6283
ABCC10	0.010838	11087	0.644480	9524
ABCC11	0.000000	15448	0.000000	17231
ABCC12	0.000000	15447	0.000000	17230
ABCC2	0.000000	15446	0.000000	17229
ABCC3	0.217396	3021	1.007790	6845
ABCC4	0.062988	7781	0.954020	7267
ABCC5	0.000000	15445	0.776488	8610
ABCC6	-	19006	-	19006
ABCC8	0.000000	15444	0.000000	17228
ABCC9	0.000000	15443	0.029968	13719
ABCD1	0.000000	15442	0.921542	7517
ABCD2	0.000000	15441	0.152909	12351
ABCD3	0.073628	7350	1.238268	4910
ABCD4	0.111696	5968	1.062582	6362
ABCE1	0.085472	6913	1.604536	2358
ABCF1	-0.066768	16426	1.781310	1542
ABCF2	0.135883	5036	1.504964	2933
ABCF3	-0.057643	16339	1.417134	3533
ABCG1	0.000000	15440	0.329246	11320
ABCG2	0.037560	8894	0.145536	12434
