gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.012475	9281	0.692369	8855
A1CF	0.000000	15128	0.000000	17239
A2M	0.000000	15127	0.363868	10491
A2ML1	0.263099	2780	0.263099	10976
A3GALT2	-	19008	-	19008
A4GALT	-0.407945	17128	0.287504	10836
A4GNT	0.000000	15126	0.000000	17238
AAAS	0.249662	2951	1.643632	2277
AACS	0.089476	5908	1.140140	5734
AADAC	0.000000	15125	0.000000	17237
AADACL2	0.000000	15124	0.000000	17236
AADACL3	0.000000	15123	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.021050	8610	0.478703	9968
AAED1	0.243595	3024	1.261181	4853
AAGAB	0.188504	3780	1.737205	1790
AAK1	0.046127	7614	0.759518	8455
AAMDC	-0.106360	16427	0.878383	7654
AAMP	0.131996	4865	1.890939	1239
AANAT	0.000000	15122	0.000000	17234
AAR2	0.061142	6786	1.095982	6070
AARD	0.466745	1324	0.481198	9959
AARS	0.195025	3683	1.807101	1508
AARS2	-0.006562	15237	1.204255	5255
AARSD1	0.109009	5396	1.521842	2965
AASDH	0.036863	8070	1.080664	6203
AASDHPPT	0.125218	5016	1.641818	2285
AASS	-0.068724	16133	0.722847	8673
AATF	0.175655	3995	1.644515	2274
AATK	0.000000	15121	0.000000	17233
ABAT	0.080543	6197	0.636227	9182
ABCA1	0.000000	15120	1.066338	6310
ABCA10	0.012475	9280	0.012475	13315
ABCA12	1.140384	226	1.140384	5733
ABCA13	0.169123	4118	0.169123	11465
ABCA2	0.012475	9279	0.589453	9439
ABCA3	0.000000	15119	0.244302	11071
ABCA4	0.059102	6913	0.059102	12323
ABCA5	0.144403	4583	0.807963	8123
ABCA6	0.000000	15118	0.044513	12792
ABCA7	0.026188	8405	0.861747	7763
ABCA8	0.000000	15117	0.000000	17232
ABCA9	0.012475	9278	0.012475	13314
ABCB1	0.000000	15116	0.036863	12940
ABCB10	0.186903	3809	1.047064	6453
ABCB11	0.000000	15115	0.000000	17231
ABCB4	0.000000	15114	0.000000	17230
ABCB5	0.000000	15113	0.000000	17229
ABCB6	0.000000	15112	0.265259	10957
ABCB7	0.000000	15111	1.082968	6178
ABCB8	0.116987	5195	1.288954	4645
ABCB9	0.171333	4079	0.634723	9194
ABCC1	0.000000	15110	1.158586	5588
ABCC10	0.023880	8538	0.508294	9843
ABCC11	0.000000	15109	0.000000	17228
ABCC12	0.000000	15108	0.000000	17227
ABCC2	0.036863	8069	0.036863	12939
ABCC3	0.865003	447	1.677332	2103
ABCC4	0.009784	9354	0.695499	8841
ABCC5	0.000000	15107	0.657548	9053
ABCC6	-	19006	-	19006
ABCC8	0.000000	15106	0.000000	17226
ABCC9	0.000000	15105	0.000000	17225
ABCD1	0.046626	7602	0.379908	10407
ABCD2	0.000000	15104	0.000000	17224
ABCD3	0.119150	5144	1.054074	6389
ABCD4	-0.052778	15959	0.935330	7290
ABCE1	0.169593	4108	1.688658	2047
ABCF1	0.086371	5981	1.741353	1774
ABCF2	0.237658	3085	1.664900	2172
ABCF3	-0.013792	15348	1.460986	3370
ABCG1	0.060305	6831	0.710403	8744
ABCG2	0.107450	5443	0.107450	11890
ABCG4	0.000000	15103	0.000000	17223
ABCG5	0.000000	15102	0.000000	17222
ABCG8	0.000000	15101	0.000000	17221
ABHD1	0.000000	15100	0.000000	17220
ABHD10	-0.061622	16049	1.152539	5640
ABHD11	0.120074	5111	1.090035	6119
ABHD12	0.000000	15099	1.276028	4738
ABHD12B	0.000000	15098	0.000000	17219
ABHD13	0.100681	5601	1.127896	5834
ABHD14A	-0.110012	16454	0.852706	7833
ABHD14B	-0.069878	16144	1.687579	2051
ABHD15	0.000000	15097	0.171637	11449
ABHD16A	0.000000	15096	1.015585	6699
ABHD16B	-	19005	-	19005
ABHD17A	0.072311	6429	0.866037	7739
ABHD17B	0.082593	6133	0.889407	7588
ABHD17C	0.161900	4245	1.203292	5260
ABHD18	-0.014453	15363	0.791633	8232
ABHD2	0.009869	9351	1.418454	3652
ABHD3	-0.018161	15446	0.932202	7305
ABHD4	-0.050982	15943	1.070273	6279
ABHD5	0.292354	2470	1.489233	3183
ABHD6	0.000000	15095	0.494740	9901
ABHD8	0.019150	8679	0.531063	9733
ABI1	0.068014	6574	1.536490	2872
ABI2	0.017218	8743	1.353299	4156
ABI3	0.000000	15094	0.000000	17218
ABI3BP	0.000000	15093	0.112845	11788
ABL1	0.305599	2361	0.884218	7615
