gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	3321	0.930239	7022
A1CF	0.000000	14914	0.000000	17239
A2M	0.000000	14913	0.000000	17238
A2ML1	0.572755	1171	0.572755	9354
A3GALT2	-	19008	-	19008
A4GALT	0.358220	2309	1.053669	6157
A4GNT	0.000000	14912	0.000000	17237
AAAS	0.490255	1508	1.884225	1387
AACS	0.429316	1862	1.479980	3146
AADAC	0.000000	14911	0.000000	17236
AADACL2	0.000000	14910	0.000000	17235
AADACL3	0.000000	14909	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.006591	8577	0.576203	9335
AAED1	-0.003587	14966	1.077815	5970
AAGAB	0.013937	8420	1.562638	2730
AAK1	0.000000	14908	0.602935	9166
AAMDC	-0.128389	16349	1.013922	6447
AAMP	0.329564	2564	2.134330	774
AANAT	0.000000	14907	0.000000	17233
AAR2	0.361808	2288	1.229583	4867
AARD	0.000000	14906	0.000000	17232
AARS	0.263542	3264	1.875619	1417
AARS2	0.170138	4522	1.380956	3745
AARSD1	0.178867	4387	1.591700	2591
AASDH	0.000000	14905	0.693913	8644
AASDHPPT	0.076765	6512	1.409506	3569
AASS	0.027531	8094	0.804983	7890
AATF	0.056218	7002	1.525078	2903
AATK	0.000000	14904	0.000000	17231
ABAT	0.000000	14903	0.395850	10261
ABCA1	0.000000	14902	1.099693	5818
ABCA10	0.045574	7474	0.045574	12403
ABCA12	0.437354	1800	0.437354	10072
ABCA13	0.173101	4492	0.173101	11392
ABCA2	0.094434	6111	0.246622	10943
ABCA3	0.000000	14901	0.037981	12693
ABCA4	0.108094	5712	0.108094	11797
ABCA5	0.000000	14900	0.240509	11024
ABCA6	0.000000	14899	0.000000	17230
ABCA7	0.267850	3199	1.103408	5777
ABCA8	0.000000	14898	0.000000	17229
ABCA9	0.000000	14897	0.000000	17228
ABCB1	0.000000	14896	0.000000	17227
ABCB10	0.120278	5459	0.815264	7823
ABCB11	0.000000	14895	0.000000	17226
