gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.833735	898	1.643847	3351
A1CF	0.000000	16677	0.000000	17239
A2M	0.223203	7562	0.953390	8649
A2ML1	0.000000	16676	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.492729	2764	1.157154	7186
A4GNT	0.000000	16675	0.000000	17237
AAAS	0.183558	8386	1.577528	3802
AACS	0.083897	10647	1.134561	7297
AADAC	0.141651	9311	0.141651	12702
AADACL2	0.000000	16674	0.000000	17236
AADACL3	0.000000	16673	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.404825	3773	0.769696	9786
AAED1	0.247470	7062	1.465825	4601
AAGAB	0.132493	9503	1.681194	3112
AAK1	0.139288	9355	0.838662	9517
AAMDC	0.460052	3084	1.643847	3350
AAMP	0.235124	7318	1.901240	1991
AANAT	0.000000	16672	0.000000	17234
AAR2	0.272340	6539	1.393575	5223
AARD	1.643845	99	1.658298	3265
AARS	0.246701	7083	1.858778	2187
AARS2	-0.053663	16951	1.157154	7185
AARSD1	0.115320	9904	1.528153	4123
AASDH	0.000000	16671	1.044306	8052
AASDHPPT	0.110842	9999	1.590034	3709
AASS	0.463847	3041	1.271587	6216
AATF	0.052799	11704	1.521659	4201
AATK	0.000000	16670	0.000000	17233
ABAT	0.545093	2308	0.736397	10136
ABCA1	0.285901	6249	1.679300	3123
ABCA10	0.123985	9700	0.123985	12773
ABCA12	0.071756	10942	0.071756	13122
ABCA13	0.021486	12695	0.021486	14000
ABCA2	0.458911	3098	1.066542	7813
ABCA3	0.000000	16669	0.394452	12002
ABCA4	0.048455	11878	0.048455	13622
ABCA5	0.078119	10775	0.748104	9863
ABCA6	0.418349	3588	0.877523	9151
ABCA7	0.002585	13238	0.252684	12313
ABCA8	0.445507	3235	1.386303	5270
ABCA9	1.004072	531	1.305946	5941
ABCB1	0.081145	10716	0.394452	12001
ABCB10	0.327378	5345	1.091720	7680
ABCB11	0.000000	16668	0.000000	17232
ABCB4	0.035615	12279	0.184608	12504
ABCB5	0.033457	12323	0.033457	13790
ABCB6	0.872563	808	1.109579	7574
ABCB7	0.059659	11472	1.098180	7640
ABCB8	0.190371	8238	1.307045	5935
ABCB9	0.372306	4534	0.841359	9501
ABCC1	0.306566	5797	1.414167	5064
ABCC10	0.325218	5407	0.790731	9692
ABCC11	0.000000	16667	0.000000	17231
ABCC12	0.000000	16666	0.000000	17230
ABCC2	0.051454	11725	0.051454	13514
ABCC3	0.923510	690	1.735838	2830
ABCC4	0.283024	6306	1.174055	6971
ABCC5	0.048455	11877	0.995803	8443
ABCC6	-	19006	-	19006
ABCC8	0.000000	16665	0.000000	17229
ABCC9	0.475828	2914	0.838767	9516
ABCD1	0.203931	7965	1.157154	7184
ABCD2	0.000000	16664	0.145017	12680
ABCD3	0.108006	10053	1.264251	6259
ABCD4	0.117525	9869	1.274389	6198
ABCE1	0.345461	4999	1.864526	2151
ABCF1	0.099658	10263	1.923548	1896
ABCF2	0.174658	8584	1.601900	3611
ABCF3	0.138747	9363	1.613525	3556
ABCG1	0.021486	12694	0.185434	12492
ABCG2	0.119182	9828	0.227158	12373
ABCG4	0.086416	10592	0.102060	12889
ABCG5	0.000000	16663	0.000000	17228
ABCG8	0.000000	16662	0.000000	17227
ABHD1	0.000000	16661	0.017693	14079
ABHD10	0.111564	9988	1.366729	5381
ABHD11	0.201491	8020	1.171451	6986
ABHD12	0.228603	7454	1.747489	2760
