gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.449083	974	1.440083	3259
A1CF	0.000000	14764	0.000000	17239
A2M	0.000000	14763	0.000000	17238
A2ML1	0.000000	14762	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	0.119691	5247	0.815141	7326
A4GNT	0.000000	14761	0.000000	17236
AAAS	0.407977	1235	1.801947	1553
AACS	0.080360	6070	1.131024	5101
AADAC	0.000000	14760	0.000000	17235
AADACL2	0.000000	14759	0.000000	17234
AADACL3	0.000000	14758	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.044649	7072	0.614262	8731
AAED1	0.293776	2291	1.512131	2840
AAGAB	-0.296790	16777	1.251911	4295
AAK1	0.184154	3897	0.918044	6606
AAMDC	-0.042684	15410	1.091799	5361
AAMP	0.253396	2796	2.058162	842
AANAT	0.000000	14757	0.000000	17232
AAR2	0.313243	2062	1.434478	3287
AARD	0.202288	3589	0.216741	11091
AARS	0.556924	576	2.169000	641
AARS2	0.254555	2780	1.465372	3114
AARSD1	0.037268	7235	1.450102	3204
AASDH	0.000000	14756	0.728862	7951
AASDHPPT	-0.020711	15051	1.063285	5571
AASS	-0.073017	15758	0.820779	7306
AATF	-0.026175	15142	1.442685	3246
AATK	0.000000	14755	0.000000	17231
ABAT	0.000000	14754	0.353017	10330
ABCA1	0.000000	14753	0.745558	7839
ABCA10	0.000000	14752	0.000000	17230
ABCA12	0.000000	14751	0.000000	17229
ABCA13	0.000000	14750	0.000000	17228
ABCA2	0.000000	14749	0.544528	9148
ABCA3	0.061973	6428	0.452011	9782
ABCA4	0.000000	14748	0.000000	17227
ABCA5	0.000000	14747	0.257937	10848
ABCA6	0.000000	14746	0.364793	10252
ABCA7	0.000000	14745	0.542360	9171
ABCA8	0.000000	14744	0.353017	10329
ABCA9	0.000000	14743	0.061926	12322
ABCB1	0.000000	14742	0.216741	11090
ABCB10	0.041668	7150	0.862041	6989
ABCB11	0.000000	14741	0.000000	17226
ABCB4	0.000000	14740	0.000000	17225
ABCB5	0.000000	14739	0.000000	17224
ABCB6	0.155275	4372	0.586202	8912
ABCB7	0.000000	14738	0.542360	9170
ABCB8	0.157177	4335	1.329143	3851
ABCB9	0.393061	1341	0.862115	6985
ABCC1	0.179819	3973	1.436789	3276
ABCC10	-0.042197	15406	0.544528	9147
ABCC11	0.000000	14737	0.000000	17223
ABCC12	0.000000	14736	0.000000	17222
ABCC2	0.000000	14735	0.000000	17221
ABCC3	0.719535	290	1.531864	2738
ABCC4	0.103967	5616	0.862041	6988
ABCC5	0.000000	14734	0.542360	9169
ABCC6	-	19006	-	19006
ABCC8	0.000000	14733	0.000000	17220
ABCC9	0.000000	14732	0.061926	12321
ABCD1	0.154815	4538	1.091799	5360
ABCD2	0.000000	14731	0.000000	17219
ABCD3	-0.206284	16530	0.726629	7994
ABCD4	-0.002553	14788	1.154310	4946
ABCE1	-0.184499	16455	1.334565	3812
ABCF1	0.130669	5004	1.980603	1025
ABCF2	0.296265	2263	1.723507	1848
ABCF3	0.088964	5894	1.563741	2557
ABCG1	0.000000	14730	0.108742	11835
ABCG2	0.129326	5034	0.244275	10910
ABCG4	0.201096	3608	0.216741	11089
ABCG5	0.000000	14729	0.000000	17218
ABCG8	0.000000	14728	0.000000	17217
ABHD1	0.000000	14727	0.000000	17216
ABHD10	-0.096663	15961	0.768733	7687
ABHD11	0.222273	3253	1.038011	5753
ABHD12	0.172938	4084	1.691825	1974
ABHD12B	0.000000	14726	0.000000	17215
ABHD13	-0.095465	15952	0.931749	6522
ABHD14A	-0.001823	14781	0.830249	7229
ABHD14B	0.165613	4207	1.923071	1170
ABHD15	0.182465	3927	0.523029	9309
ABHD16A	0.064988	6370	1.355690	3688
ABHD16B	-	19005	-	19005
ABHD17A	0.212758	3431	1.139357	5044
ABHD17B	-0.035680	15312	0.754607	7791
ABHD17C	0.122169	5200	1.163561	4881
ABHD18	-0.014453	14930	0.586202	8911
ABHD2	0.000000	14725	1.505972	2881
ABHD3	-0.211932	16540	0.738430	7902
ABHD4	0.319127	2006	1.659617	2112
ABHD5	0.000000	14724	0.652989	8508
ABHD6	0.092789	5814	0.784689	7575
ABHD8	0.072191	6240	0.854159	7060
ABI1	0.034129	7316	0.885980	6841
ABI2	0.157724	4324	1.609277	2351
ABI3	0.000000	14723	0.000000	17214
ABI3BP	0.342427	1749	1.018767	5881
ABL1	0.345329	1735	1.346841	3739
ABL2	0.186785	3858	0.854852	7052
ABLIM1	0.000000	14722	0.372537	10166
ABLIM2	0.000000	14721	0.000000	17213
ABLIM3	0.572454	537	1.453261	3181
ABO	0.000000	14720	0.000000	17212
ABR	0.155457	4369	1.216827	4527
ABRA	0.000000	14719	0.000000	17211
ABRACL	0.244279	2928	1.740818	1790
ABT1	0.180543	3958	1.377410	3567
ABTB1	0.000000	14718	0.830249	7228
ABTB2	-0.053891	15567	0.433569	9828
ACAA1	-0.056938	15607	1.272831	4174
ACAA2	-0.048085	15467	1.244694	4346
ACACA	0.113648	5376	0.981229	6165
ACACB	0.000000	14717	0.061926	12320
ACAD10	0.091289	5843	1.080867	5437
ACAD11	0.000000	14716	0.539873	9224
ACAD8	-0.051740	15520	1.157012	4933
ACAD9	0.034518	7306	1.434655	3283
ACADL	0.000000	14715	0.000000	17210
ACADM	-0.013798	14919	0.760383	7741
ACADS	0.016591	7644	0.904226	6696
ACADSB	0.000000	14714	0.586202	8910
ACADVL	-0.118131	16119	1.801647	1554
ACAN	0.000000	14713	0.000000	17209
ACAP1	0.000000	14712	0.061926	12319
ACAP2	0.000000	14711	1.125848	5133
ACAP3	0.054663	6852	0.639879	8556
ACAT1	0.000000	14710	1.199881	4656
ACAT2	0.191909	3774	1.122253	5152
ACBD3	-0.556794	17129	1.297147	4026
ACBD4	0.064875	6375	0.773720	7648
ACBD5	-0.049930	15500	0.335679	10419
ACBD6	0.391744	1352	1.343777	3759
ACBD7	-0.088986	15902	0.148333	11653
ACCS	-0.125551	16161	0.061926	12318
ACCSL	-	19004	-	19004
ACD	0.368913	1535	1.285730	4092
ACE	0.000000	14709	0.335679	10418
ACE2	0.000000	14708	0.000000	17208
ACER1	0.000000	14707	0.000000	17207
ACER2	-0.029643	15224	0.000000	17206
ACER3	-0.365724	16892	0.752871	7816
ACHE	0.000000	14706	0.154815	11525
ACIN1	0.401404	1277	1.882744	1293
ACKR1	0.000000	14705	0.000000	17205
ACKR2	0.000000	14704	0.108742	11834
ACKR3	0.000000	14703	0.392608	10065
ACKR4	0.000000	14702	0.000000	17204
ACLY	0.452805	953	1.747504	1755
ACMSD	0.000000	14701	0.000000	17203
ACO1	0.173734	4068	1.697675	1950
ACO2	0.079331	6098	1.840726	1426
ACOD1	0.000000	14700	0.000000	17202
ACOT1	0.307449	2129	0.356325	10266
ACOT11	0.000000	14699	0.154815	11524
ACOT12	0.000000	14698	0.000000	17201
ACOT13	0.022290	7553	1.432269	3294
ACOT2	0.158644	4313	1.111619	5231
ACOT4	-0.139188	16250	0.000000	17200
ACOT6	-	19003	-	19003
ACOT7	0.860058	152	1.508322	2859
ACOT8	-0.040263	15387	1.360507	3659
ACOT9	0.000000	14697	1.521989	2798
ACOX1	0.091830	5829	1.233826	4417
ACOX2	0.387152	1397	0.418251	9905
ACOX3	-0.022348	15076	0.955199	6354
ACOXL	0.000000	14696	0.000000	17199
ACP1	0.262975	2686	1.883659	1292
ACP2	0.121090	5222	1.673953	2035
ACP5	0.057905	6793	0.154815	11523
ACP6	0.216584	3375	0.890071	6811
ACP7	-	19002	-	19002
ACPP	0.000000	14695	0.154815	11522
ACPT	-	19001	-	19001
ACR	0.000000	14694	0.000000	17198
ACRBP	0.106435	5568	0.353017	10328
ACRC	0.000000	14693	0.000000	17197
ACRV1	0.000000	14692	0.000000	17196
ACSBG1	0.000000	14691	0.000000	17195
ACSBG2	0.000000	14690	0.000000	17194
ACSF2	0.000000	14689	0.725611	8005
ACSF3	0.119470	5254	0.984563	6137
ACSL1	0.041378	7153	1.207895	4593
ACSL3	-0.004679	14804	1.935685	1130
ACSL4	0.000000	14688	1.125314	5142
ACSL5	0.154815	4537	0.263557	10810
ACSL6	0.000000	14687	0.000000	17193
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14686	0.000000	17192
ACSM2B	0.000000	14685	0.000000	17191
ACSM3	0.082358	6032	0.154815	11521
ACSM4	-	18999	-	18999
ACSM5	0.000000	14684	0.000000	17190
ACSM6	0.000000	14683	0.000000	17189
ACSS1	-0.016485	14965	0.880217	6873
ACSS2	0.221811	3262	1.139324	5047
ACSS3	0.000000	14682	0.148333	11652
ACTA1	0.000000	14681	0.000000	17188
ACTA2	0.898392	131	1.946251	1103
ACTB	0.211003	3453	3.615568	5
ACTBL2	0.000000	14680	0.000000	17187
ACTC1	0.000000	14679	0.000000	17186
ACTG1	0.293863	2290	3.773288	3
ACTG2	0.107470	5544	0.837035	7190
ACTL10	0.127217	5086	0.244275	10909
ACTL6A	0.000000	14678	1.077017	5456
ACTL6B	0.000000	14677	0.000000	17185
ACTL7A	0.000000	14676	0.000000	17184
ACTL7B	0.000000	14675	0.000000	17183
ACTL8	0.000000	14674	0.000000	17182
ACTL9	0.000000	14673	0.000000	17181
ACTN1	0.449142	973	2.389598	369
ACTN2	0.000000	14672	0.180864	11249
ACTN3	0.000000	14671	0.000000	17180
ACTN4	0.168043	4165	1.933288	1138
ACTR10	-0.195050	16481	1.481101	3024
ACTR1A	0.265550	2640	2.294981	459
ACTR1B	0.007431	7833	1.298246	4021
ACTR2	0.000000	14670	1.259073	4259
ACTR3	0.000000	14669	1.711091	1896
ACTR3B	0.211208	3450	1.139357	5043
ACTR3C	0.000000	14668	0.061926	12317
ACTR5	0.088713	5898	0.885980	6840
ACTR6	0.000000	14667	0.551361	9127
ACTR8	-0.029687	15229	1.087506	5385
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14666	0.000000	17179
ACTRT3	-	18997	-	18997
ACVR1	0.172626	4091	1.247120	4328
ACVR1B	-0.165423	16369	0.852307	7077
ACVR1C	0.000000	14665	0.000000	17178
ACVR2A	0.000000	14664	0.574708	8978
ACVR2B	0.077896	6127	0.479186	9604
ACVRL1	0.175424	4043	0.541472	9209
ACY1	0.107042	5547	1.238220	4392
ACY3	0.000000	14663	0.000000	17177
ACYP1	0.061926	6717	1.123068	5146
ACYP2	-0.022742	15079	0.544528	9146
ADA	0.019420	7606	0.517426	9348
ADAD1	0.000000	14662	0.000000	17176
ADAD2	0.000000	14661	0.000000	17175
ADAL	-0.213452	16552	0.514481	9381
ADAM10	0.000000	14660	0.894323	6778
ADAM11	0.216741	3369	0.216741	11088
ADAM12	0.082122	6040	0.154815	11520
ADAM15	0.187929	3843	1.867766	1336
ADAM17	0.000000	14659	0.830110	7236
ADAM18	0.000000	14658	0.000000	17174
ADAM19	0.154815	4536	0.689725	8232
ADAM2	0.000000	14657	0.000000	17173
ADAM20	0.000000	14656	0.000000	17172
ADAM21	0.000000	14655	0.000000	17171
ADAM22	0.000000	14654	0.061926	12316
ADAM23	0.234732	3075	0.717658	8022
ADAM28	0.000000	14653	0.000000	17170
ADAM29	0.000000	14652	0.000000	17169
ADAM30	0.000000	14651	0.000000	17168
ADAM32	0.000000	14650	0.000000	17167
ADAM33	0.775658	221	1.268986	4201
ADAM7	0.000000	14649	0.000000	17166
ADAM8	0.000000	14648	0.000000	17165
ADAM9	0.042898	7123	1.723744	1845
ADAMDEC1	0.000000	14647	0.000000	17164
ADAMTS1	0.154815	4535	1.415389	3376
ADAMTS10	0.000000	14646	0.180864	11248
ADAMTS12	0.417345	1177	0.654133	8462
ADAMTS13	0.000000	14645	0.000000	17163
ADAMTS14	0.154860	4376	0.389726	10127
ADAMTS15	0.034501	7307	0.558980	9114
ADAMTS16	0.000000	14644	0.000000	17162
ADAMTS17	0.000000	14643	0.061926	12315
ADAMTS18	0.000000	14642	0.000000	17161
ADAMTS19	0.000000	14641	0.000000	17160
ADAMTS2	0.371006	1513	1.111424	5240
ADAMTS20	0.000000	14640	0.000000	17159
ADAMTS3	0.154815	4534	0.216741	11087
ADAMTS4	0.148333	4680	0.180864	11247
ADAMTS5	0.000000	14639	0.000000	17158
ADAMTS6	0.410279	1227	0.652989	8507
ADAMTS7	0.199076	3641	0.789535	7540
ADAMTS8	0.000000	14638	0.000000	17157
ADAMTS9	0.000000	14637	0.335679	10417
ADAMTSL1	0.932695	118	1.429623	3306
ADAMTSL2	0.000000	14636	0.000000	17156
ADAMTSL3	-0.013137	14909	0.000000	17155
ADAMTSL4	0.267884	2600	1.056968	5614
ADAMTSL5	0.476151	834	0.837658	7180
ADAP1	0.000000	14635	0.306201	10556
ADAP2	0.000000	14634	0.061926	12314
ADAR	0.062627	6409	1.472374	3069
ADARB1	0.530068	658	1.497893	2919
ADARB2	0.000000	14633	0.000000	17154
ADAT1	0.081307	6051	0.865883	6979
ADAT2	0.034359	7310	0.910386	6665
ADAT3	0.345818	1729	2.019213	933
ADCK1	0.020068	7596	0.479186	9603
ADCK2	-0.093765	15937	0.949238	6388
ADCK5	0.000000	14632	0.775410	7624
ADCY1	0.067889	6313	0.148333	11651
ADCY10	0.000000	14631	0.000000	17153
ADCY2	0.000000	14630	0.000000	17152
ADCY3	0.210648	3460	1.274149	4169
ADCY4	-0.055845	15588	0.061926	12313
ADCY5	0.000000	14629	0.000000	17151
ADCY6	0.171258	4111	0.981677	6163
ADCY7	0.499694	752	1.065616	5544
ADCY8	0.000000	14628	0.000000	17150
ADCY9	0.048330	6988	0.614262	8730
ADCYAP1	0.000000	14627	0.000000	17149
ADCYAP1R1	0.000000	14626	0.000000	17148
ADD1	0.055321	6835	1.744220	1771
ADD2	0.000000	14625	0.000000	17147
ADD3	0.000000	14624	0.572977	8997
ADGB	0.000000	14623	0.000000	17146
ADGRA1	0.000000	14622	0.000000	17145
ADGRA2	0.599553	472	1.584179	2460
ADGRA3	0.000000	14621	0.389726	10126
ADGRB1	0.000000	14620	0.000000	17144
ADGRB2	0.107603	5539	0.589816	8880
ADGRB3	0.000000	14619	0.108742	11833
ADGRD1	0.000000	14618	0.148333	11650
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	14617	0.000000	17143
ADGRE2	0.358815	1613	1.188134	4734
ADGRE3	0.000000	14616	0.000000	17142
ADGRE5	0.300884	2199	0.942907	6433
ADGRF1	0.000000	14615	0.000000	17141
