gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.430956	1455	1.421956	3568
A1CF	0.000000	14963	0.000000	17239
A2M	0.000000	14962	0.000000	17238
A2ML1	0.000000	14961	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	-0.078824	15951	0.616625	9210
A4GNT	0.000000	14960	0.000000	17236
AAAS	0.659108	573	2.053078	911
AACS	0.408754	1622	1.459418	3349
AADAC	0.000000	14959	0.000000	17235
AADACL2	0.000000	14958	0.000000	17234
AADACL3	0.000000	14957	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.162870	4710	0.732483	8474
AAED1	0.258319	3288	1.476675	3258
AAGAB	-0.310466	16900	1.238235	4701
AAK1	0.094817	6016	0.800042	7994
AAMDC	0.057609	7282	1.118874	5617
AAMP	0.280431	2981	2.026146	971
AANAT	0.000000	14956	0.000000	17232
AAR2	0.357930	2077	1.479166	3248
AARD	0.000000	14955	0.000000	17231
AARS	0.292254	2821	1.904331	1305
AARS2	0.349064	2173	1.559882	2786
AARSD1	0.023829	8151	1.420179	3588
AASDH	0.000000	14954	0.688617	8756
AASDHPPT	0.043546	7637	1.195787	5014
AASS	0.120928	5510	0.983708	6666
AATF	0.089335	6109	1.558195	2799
AATK	0.000000	14953	0.000000	17230
ABAT	0.000000	14952	0.420367	10268
ABCA1	0.000000	14951	0.903239	7272
ABCA10	0.000000	14950	0.000000	17229
ABCA12	0.000000	14949	0.000000	17228
ABCA13	0.000000	14948	0.000000	17227
ABCA2	0.069373	6759	0.606194	9289
ABCA3	0.000000	14947	0.450865	10089
ABCA4	0.000000	14946	0.000000	17226
ABCA5	0.065167	7147	0.509724	9778
ABCA6	0.036976	7839	0.346907	10622
ABCA7	0.000000	14945	0.694858	8723
ABCA8	0.000000	14944	0.225816	11282
ABCA9	0.000000	14943	0.000000	17225
ABCB1	0.000000	14942	0.000000	17224
ABCB10	0.182127	4400	1.042288	6190
ABCB11	0.000000	14941	0.000000	17223
ABCB4	0.069940	6748	0.069940	12299
ABCB5	0.000000	14940	0.000000	17222
ABCB6	0.372807	1942	0.751500	8354
ABCB7	0.065167	7146	0.621693	9193
ABCB8	0.203165	4064	1.375132	3828
ABCB9	0.275015	3052	0.708137	8651
ABCC1	0.516155	994	1.773125	1777
ABCC10	0.179586	4440	0.835070	7736
ABCC11	0.000000	14939	0.000000	17221
ABCC12	0.000000	14938	0.000000	17220
ABCC2	0.000000	14937	0.000000	17219
ABCC3	0.857669	270	1.669997	2233
ABCC4	0.064376	7164	0.941383	7007
ABCC5	0.000000	14936	0.771953	8208
ABCC6	-	19006	-	19006
ABCC8	0.000000	14935	0.000000	17218
ABCC9	0.000000	14934	0.000000	17217
ABCD1	0.234782	3611	1.188005	5064
ABCD2	0.000000	14933	0.000000	17216
ABCD3	-0.206284	16630	0.894469	7335
ABCD4	0.170811	4572	1.189372	5059
ABCE1	-0.166895	16482	1.352170	3980
ABCF1	0.058710	7264	1.908644	1290
ABCF2	0.393527	1739	1.820769	1605
ABCF3	0.039767	7759	1.514545	3047
ABCG1	0.000000	14932	0.115224	11983
ABCG2	0.069940	6747	0.135106	11776
ABCG4	0.000000	14931	0.000000	17215
ABCG5	0.000000	14930	0.000000	17214
ABCG8	0.000000	14929	0.000000	17213
ABHD1	0.005995	8523	0.065167	12637
ABHD10	-0.178297	16530	0.899277	7290
ABHD11	0.222164	3809	1.192125	5040
ABHD12	0.223722	3791	1.742608	1900
ABHD12B	0.065167	7145	0.065167	12636
ABHD13	-0.192145	16584	0.835070	7735
ABHD14A	0.097235	5975	1.132645	5512
ABHD14B	0.135243	5177	1.892700	1345
ABHD15	0.358189	2074	0.698753	8695
ABHD16A	0.058606	7268	1.349308	3995
ABHD16B	-	19005	-	19005
ABHD17A	0.329516	2381	1.256115	4599
ABHD17B	0.031130	7987	0.839143	7719
ABHD17C	0.302182	2692	1.286721	4404
ABHD18	-0.014453	15142	0.590765	9383
ABHD2	0.000000	14928	1.402423	3691
ABHD3	-0.064809	15823	0.885553	7401
ABHD4	0.140674	5081	1.425973	3544
ABHD5	0.000000	14927	0.784860	8120
ABHD6	0.000000	14926	0.665582	8918
ABHD8	0.173768	4525	1.083495	5866
ABI1	0.105130	5828	1.207320	4925
ABI2	0.264445	3220	1.635129	2411
ABI3	0.065167	7144	0.237981	11166
ABI3BP	0.000000	14925	0.390806	10423
ABL1	0.522050	969	1.523562	2993
ABL2	0.069940	6746	0.683039	8795
ABLIM1	0.000000	14924	0.165207	11568
ABLIM2	0.000000	14923	0.069940	12298
ABLIM3	0.415168	1575	1.506044	3106
ABO	0.000000	14922	0.000000	17212
ABR	0.207079	4013	1.268448	4531
ABRA	0.000000	14921	0.000000	17211
ABRACL	0.064377	7163	1.501620	3129
ABT1	0.249684	3410	1.446550	3412
