gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.258677	5989	1.008158	8163
A1CF	0.000000	16420	0.000000	17239
A2M	0.000000	16419	0.074239	13936
A2ML1	0.726121	1381	0.726121	9921
A3GALT2	-	19008	-	19008
A4GALT	0.358220	4370	1.053669	7845
A4GNT	0.000000	16418	0.000000	17238
AAAS	0.591843	2113	1.985813	1711
AACS	0.429316	3523	1.479980	4535
AADAC	0.419425	3620	0.419425	11493
AADACL2	0.000000	16417	0.000000	17237
AADACL3	0.000000	16416	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.056926	11251	0.580566	10727
AAED1	0.091322	10081	1.253669	6315
AAGAB	0.166489	7902	1.715190	3019
AAK1	0.198981	7164	0.833451	9287
AAMDC	0.258742	5986	1.442537	4820
AAMP	0.351681	4461	2.156446	1179
AANAT	0.000000	16415	0.000000	17235
AAR2	0.361808	4324	1.413212	5045
AARD	0.000000	16414	0.000000	17234
AARS	0.263542	5910	1.875619	2157
AARS2	0.305916	5164	1.516733	4280
AARSD1	0.216920	6815	1.610259	3644
AASDH	0.013798	12977	0.946541	8567
AASDHPPT	0.097607	9875	1.614208	3620
AASS	0.029910	12252	0.804983	9470
AATF	0.139088	8592	1.607948	3662
AATK	0.048455	11653	0.048455	14184
ABAT	0.172510	7775	0.694343	10109
ABCA1	0.128688	8873	1.496395	4417
ABCA10	0.072495	10846	0.072495	13943
ABCA12	1.177436	450	1.177436	6897
ABCA13	0.173101	7760	0.173101	12796
ABCA2	0.115224	9417	0.690189	10136
ABCA3	0.115224	9416	0.818001	9397
ABCA4	0.115224	9415	0.115224	13417
ABCA5	0.152112	8269	0.870157	9059
ABCA6	0.000000	16413	0.048455	14183
ABCA7	0.356869	4388	1.192428	6781
ABCA8	0.000000	16412	0.148333	12987
ABCA9	0.048455	11652	0.048455	14182
ABCB1	0.000000	16411	0.188616	12719
ABCB10	0.209625	6945	0.942893	8591
ABCB11	0.000000	16410	0.000000	17233
ABCB4	0.000000	16409	0.000000	17232
ABCB5	0.000000	16408	0.000000	17231
ABCB6	0.573815	2243	0.952507	8528
ABCB7	0.000000	16407	1.061236	7779
ABCB8	0.461026	3161	1.463044	4660
ABCB9	0.344776	4563	0.808166	9459
ABCC1	0.239258	6364	1.496228	4420
ABCC10	0.497186	2810	1.051536	7856
ABCC11	0.000000	16406	0.000000	17230
ABCC12	0.000000	16405	0.000000	17229
ABCC2	0.022729	12585	0.022729	14458
ABCC3	0.647420	1749	1.459748	4691
ABCC4	0.123506	9001	0.846749	9201
ABCC5	0.115224	9414	0.979039	8349
ABCC6	-	19006	-	19006
ABCC8	0.013798	12976	0.013798	14653
ABCC9	0.013798	12975	0.156212	12944
ABCD1	0.142793	8501	1.096016	7515
ABCD2	0.074239	10807	0.074239	13935
ABCD3	-0.052942	16767	1.060716	7786
ABCD4	0.112230	9486	1.121317	7321
ABCE1	0.094055	10019	1.613120	3625
ABCF1	0.128233	8880	1.881672	2131
ABCF2	0.413557	3700	1.840799	2317
ABCF3	0.111576	9506	1.586354	3805
ABCG1	0.397036	3901	1.529957	4187
ABCG2	0.120513	9115	0.177988	12760
ABCG4	0.078789	10441	0.094434	13520
ABCG5	0.000000	16404	0.000000	17228
ABCG8	0.000000	16403	0.000000	17227
ABHD1	0.000000	16402	0.048455	14181
ABHD10	-0.096119	16932	0.977610	8357
ABHD11	0.671499	1610	1.641460	3466
ABHD12	0.381328	4087	1.900214	2050
ABHD12B	0.000000	16401	0.000000	17226
ABHD13	0.149106	8336	1.176320	6916
ABHD14A	0.229446	6569	1.251910	6335
ABHD14B	0.142682	8504	1.900139	2051
ABHD15	0.473319	3033	0.813883	9419
ABHD16A	0.086145	10251	1.376847	5340
ABHD16B	-	19005	-	19005
ABHD17A	0.255383	6060	1.181983	6866
ABHD17B	0.112205	9487	0.825337	9337
ABHD17C	0.418714	3629	1.460107	4686
ABHD18	0.024527	12478	0.833607	9285
ABHD2	0.280718	5590	1.737261	2875
ABHD3	0.068929	10927	1.019291	8081
ABHD4	0.384878	4048	1.725367	2949
ABHD5	0.146740	8407	1.343619	5624
ABHD6	0.013798	12974	0.586900	10689
ABHD8	0.311736	5055	1.189746	6797
ABI1	0.319590	4921	1.671541	3272
ABI2	0.015309	12709	1.352300	5558
ABI3	0.074239	10806	0.263557	12285
ABI3BP	0.000000	16400	0.320224	11943
ABL1	0.491496	2860	1.282635	6092
ABL2	0.304079	5198	0.972146	8393
ABLIM1	0.605994	2020	1.421393	4976
ABLIM2	0.000000	16399	0.238561	12395
ABLIM3	0.412981	3709	1.484867	4501
ABO	0.448581	3285	0.574427	10772
ABR	0.511280	2702	1.560947	3980
ABRA	0.000000	16398	0.000000	17225
ABRACL	0.516936	2656	2.013475	1611
ABT1	0.444542	3334	1.641408	3467
ABTB1	0.083555	10313	1.043561	7906
ABTB2	0.453524	3234	1.214345	6614
ACAA1	0.362193	4321	1.798933	2535
ACAA2	0.111160	9513	1.403939	5136
ACACA	0.378721	4123	1.522048	4246
ACACB	0.056202	11267	0.237708	12399
ACAD10	-0.090043	16917	0.899535	8881
ACAD11	0.179261	7619	0.705820	10052
ACAD8	0.035158	12138	1.243909	6394
ACAD9	0.156462	8176	1.556600	4003
ACADL	0.190106	7383	0.190106	12690
ACADM	-0.007467	16490	1.108476	7415
ACADS	0.126433	8927	1.014068	8123
ACADSB	0.032080	12209	0.526851	11001
ACADVL	0.094226	10013	2.014004	1606
ACAN	0.226400	6618	0.276699	12205
ACAP1	0.077189	10480	0.189291	12691
ACAP2	0.199122	7161	1.629652	3521
ACAP3	0.193282	7295	0.885780	8969
ACAT1	0.000000	16397	1.286533	6056
ACAT2	0.665317	1643	2.098467	1339
ACBD3	0.215683	6831	2.069624	1438
ACBD4	0.103776	9740	0.812622	9431
ACBD5	0.043953	11854	0.694801	10107
ACBD6	0.279345	5615	1.490269	4460
ACBD7	-0.088986	16909	0.148333	12986
ACCS	0.163540	8013	0.458237	11319
ACCSL	-	19004	-	19004
ACD	0.827108	1047	1.743925	2824
ACE	0.000000	16396	0.123072	13171
ACE2	0.013798	12973	0.013798	14652
ACER1	0.000000	16395	0.000000	17224
ACER2	0.261173	5947	0.577711	10745
ACER3	0.223490	6678	1.342085	5635
ACHE	0.187567	7435	0.579376	10740
ACIN1	0.167029	7896	1.688386	3176
ACKR1	0.000000	16394	0.000000	17223
ACKR2	0.905831	874	0.905831	8836
ACKR3	0.893826	892	2.237923	946
ACKR4	0.000000	16393	0.000000	17222
ACLY	0.793323	1148	2.088022	1374
ACMSD	0.000000	16392	0.000000	17221
ACO1	0.005903	13091	1.529845	4188
ACO2	0.074239	10805	1.759831	2746
ACOD1	0.000000	16391	0.000000	17220
ACOT1	0.074239	10804	0.074239	13934
ACOT11	0.147333	8395	0.393312	11611
ACOT12	0.000000	16390	0.000000	17219
ACOT13	0.253670	6092	1.678060	3239
ACOT2	0.207047	6997	0.873273	9033
ACOT4	0.307210	5146	0.446398	11370
ACOT6	-	19003	-	19003
ACOT7	1.390955	296	1.824501	2382
ACOT8	0.367532	4256	1.768301	2700
ACOT9	0.318809	4942	1.867875	2197
ACOX1	0.102670	9766	1.336883	5678
ACOX2	0.355355	4412	0.386454	11639
ACOX3	0.277548	5647	1.255094	6305
ACOXL	0.625154	1899	0.625154	10491
ACP1	0.194195	7278	1.856338	2239
ACP2	0.322011	4882	1.874874	2164
ACP5	1.043112	619	1.215463	6602
ACP6	0.424568	3567	1.098055	7497
ACP7	-	19002	-	19002
