gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.250766	3168	1.006614	6452
A1CF	0.000000	14578	0.000000	17239
A2M	0.026394	7119	0.026394	11670
A2ML1	0.000000	14577	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.664425	17147	0.000000	17237
A4GNT	0.000000	14576	0.000000	17236
AAAS	0.000000	14575	1.300184	4457
AACS	-0.041880	15306	0.241622	9896
AADAC	0.000000	14574	0.000000	17235
AADACL2	0.000000	14573	0.000000	17234
AADACL3	0.000000	14572	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.000000	14571	0.000000	17232
AAED1	0.100540	5156	1.318895	4321
AAGAB	0.147340	4368	1.696042	2025
AAK1	0.000000	14570	0.491893	9013
AAMDC	-0.124829	16182	0.528779	8855
AAMP	0.082437	5498	1.835713	1455
AANAT	0.000000	14569	0.000000	17231
AAR2	0.136622	4543	1.257857	4739
AARD	0.000000	14568	0.000000	17230
AARS	-0.736340	17170	0.687969	8184
AARS2	-0.260678	16751	0.950139	6829
AARSD1	0.000000	14567	1.289838	4533
AASDH	0.058885	5967	1.139169	5573
AASDHPPT	0.087347	5382	1.600911	2511
AASS	-0.104889	16041	0.023961	11929
AATF	0.159233	4219	1.628093	2368
AATK	0.000000	14566	0.000000	17229
ABAT	0.036863	6610	0.446393	9200
ABCA1	0.469372	1760	1.721898	1921
ABCA10	0.000000	14565	0.000000	17228
ABCA12	0.000000	14564	0.000000	17227
ABCA13	0.000000	14563	0.000000	17226
ABCA2	0.000000	14562	0.201991	10040
ABCA3	0.000000	14561	0.333378	9591
ABCA4	0.000000	14560	0.000000	17225
ABCA5	0.000000	14559	0.026394	11669
ABCA6	0.000000	14558	0.000000	17224
ABCA7	0.469824	1757	1.305383	4423
ABCA8	0.000000	14557	0.000000	17223
ABCA9	0.000000	14556	0.000000	17222
ABCB1	0.000000	14555	0.026394	11668
ABCB10	0.098649	5184	0.824930	7528
ABCB11	0.000000	14554	0.000000	17221
ABCB4	0.000000	14553	0.094283	10567
ABCB5	0.000000	14552	0.000000	17220
ABCB6	0.000000	14551	0.036863	11269
ABCB7	0.113847	4925	1.363284	3997
ABCB8	-0.240560	16688	0.925248	6963
ABCB9	-0.036376	15207	0.254016	9851
ABCC1	0.000000	14550	1.080403	5991
ABCC10	-0.022567	14952	0.612782	8525
ABCC11	0.000000	14549	0.000000	17219
ABCC12	0.000000	14548	0.000000	17218
ABCC2	0.000000	14547	0.000000	17217
ABCC3	0.616509	1225	1.428838	3555
ABCC4	-0.016406	14835	0.703984	8106
ABCC5	0.000000	14546	0.641486	8391
ABCC6	-	19006	-	19006
ABCC8	0.000000	14545	0.000000	17216
ABCC9	0.000000	14544	0.000000	17215
ABCD1	0.344443	2443	1.297667	4477
ABCD2	0.000000	14543	0.000000	17214
ABCD3	0.123664	4736	0.979254	6634
ABCD4	0.073418	5636	1.121468	5709
ABCE1	-0.192936	16509	1.326128	4272
ABCF1	-0.096736	15973	1.604015	2495
ABCF2	-0.039622	15264	0.997921	6516
ABCF3	-0.067219	15664	1.407558	3706
ABCG1	0.000000	14542	0.682340	8208
ABCG2	0.000000	14541	0.000000	17213
ABCG4	0.000000	14540	0.000000	17212
ABCG5	0.000000	14539	0.000000	17211
ABCG8	0.000000	14538	0.000000	17210
ABHD1	0.030666	6733	0.089838	10609
ABHD10	0.125658	4699	1.396335	3775
ABHD11	0.578503	1348	1.548464	2783
ABHD12	0.026394	7118	1.411441	3680
ABHD12B	0.000000	14537	0.000000	17209
ABHD13	0.238329	3285	1.280509	4596
ABHD14A	-0.106284	16051	0.617734	8501
ABHD14B	-0.389333	16964	1.368125	3960
ABHD15	0.000000	14536	0.149016	10301
ABHD16A	0.201784	3674	1.414335	3661
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	14535	0.763956	7829
ABHD17B	0.086784	5406	0.850079	7379
ABHD17C	-0.195438	16519	0.149016	10300
ABHD18	0.512746	1583	1.364616	3988
ABHD2	0.041046	6372	1.682199	2093
ABHD3	0.668551	1084	1.618914	2415
ABHD4	-0.050982	15436	1.113894	5778
ABHD5	0.125160	4704	1.298763	4469
ABHD6	0.422298	1991	0.947407	6849
