gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.202066	5790	1.193067	6295
A1CF	0.000000	15295	0.000000	17239
A2M	0.000000	15294	0.063444	12412
A2ML1	0.000000	15293	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.612647	17177	0.051779	12571
A4GNT	0.000000	15292	0.000000	17237
AAAS	0.027595	9643	1.407246	4753
AACS	-0.041880	15857	0.640702	9380
AADAC	0.000000	15291	0.000000	17236
AADACL2	0.000000	15290	0.000000	17235
AADACL3	0.000000	15289	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	15288	0.000000	17233
AAED1	0.483110	3051	1.701465	2813
AAGAB	0.176356	6155	1.725057	2693
AAK1	0.492291	2988	1.221605	6089
AAMDC	-0.071580	16160	0.661647	9288
AAMP	0.000000	15287	1.783131	2392
AANAT	0.000000	15286	0.000000	17232
AAR2	0.095574	7472	1.216810	6126
AARD	0.000000	15285	0.000000	17231
AARS	-0.581250	17169	0.806664	8626
AARS2	-0.144057	16581	1.066761	7101
AARSD1	0.000000	15284	1.334946	5244
AASDH	0.055190	8433	1.099174	6879
AASDHPPT	0.094361	7495	1.610962	3348
AASS	-0.078495	16212	0.298161	10817
AATF	0.291118	4661	1.759979	2522
AATK	0.204279	5751	0.221972	11165
ABAT	0.152335	6523	0.881499	8223
ABCA1	1.660715	288	2.618186	316
ABCA10	0.000000	15283	0.000000	17230
ABCA12	0.000000	15282	0.000000	17229
ABCA13	0.000000	15281	0.000000	17228
ABCA2	0.199232	5830	0.744508	8890
ABCA3	0.000000	15280	0.346382	10625
ABCA4	0.000000	15279	0.000000	17227
ABCA5	0.118624	7057	0.972594	7723
ABCA6	0.163275	6356	0.163275	11463
ABCA7	0.405018	3590	1.240577	5953
ABCA8	0.000000	15278	0.063444	12411
ABCA9	0.000000	15277	0.000000	17226
ABCB1	0.421947	3459	1.019620	7401
ABCB10	0.064439	8130	0.896376	8147
ABCB11	0.000000	15276	0.000000	17225
ABCB4	0.307386	4467	0.456379	10146
ABCB5	0.000000	15275	0.000000	17224
ABCB6	0.027595	9642	0.028787	12876
ABCB7	0.206663	5708	1.456101	4392
ABCB8	-0.194162	16747	0.977804	7686
ABCB9	0.058094	8355	0.521484	9880
ABCC1	0.175838	6162	1.411716	4722
ABCC10	0.032202	8947	0.699745	9100
ABCC11	0.000000	15274	0.000000	17223
ABCC12	0.000000	15273	0.000000	17222
ABCC2	0.000000	15272	0.000000	17221
ABCC3	0.227812	5406	1.040140	7255
ABCC4	0.026647	9658	0.740257	8905
ABCC5	0.007312	10164	0.802551	8647
ABCC6	-	19006	-	19006
ABCC8	0.050763	8594	0.050763	12595
ABCC9	0.000000	15271	0.000000	17220
ABCD1	0.527564	2759	1.480788	4221
ABCD2	0.285905	4712	0.447287	10183
ABCD3	0.141144	6689	1.074657	7052
ABCD4	0.080613	7788	1.117958	6773
ABCE1	0.022183	9890	1.541248	3835
ABCF1	0.341770	4122	2.191704	897
ABCF2	-0.012026	15447	1.105838	6836
ABCF3	-0.042261	15861	1.432516	4574
