gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	223	1.851746	1962
A1CF	0.000000	16551	0.000000	17239
A2M	0.097395	9595	0.941886	8359
A2ML1	0.000000	16550	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.438687	2176	1.103113	7092
A4GNT	0.000000	16549	0.000000	17237
AAAS	0.283089	4294	1.677059	2820
AACS	0.297588	4021	1.348252	5105
AADAC	0.921208	376	0.921208	8505
AADACL2	0.000000	16548	0.000000	17236
AADACL3	0.000000	16547	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.050962	11206	0.558931	10743
AAED1	0.036925	11752	1.245470	5968
AAGAB	0.110027	9187	1.658728	2938
AAK1	0.216268	5771	0.864161	8912
AAMDC	0.390738	2677	1.574533	3445
AAMP	0.207694	6022	2.012459	1371
AANAT	0.000000	16546	0.000000	17234
AAR2	0.312173	3769	1.236784	6037
AARD	0.032174	12047	0.046626	13630
AARS	0.062814	10816	1.674891	2837
AARS2	-0.012745	16689	1.198072	6369
AARSD1	0.164617	7371	1.577450	3418
AASDH	0.042930	11537	1.076447	7298
AASDHPPT	0.438577	2179	1.700617	2671
AASS	0.124085	8712	1.186152	6449
AATF	0.009329	13187	1.478189	4123
AATK	0.000000	16545	0.000000	17233
ABAT	0.297235	4027	1.008499	7849
ABCA1	0.351547	3160	1.744947	2447
ABCA10	0.178853	6980	0.178853	12603
ABCA12	0.053765	11096	0.053765	13482
ABCA13	0.050763	11277	0.050763	13574
ABCA2	0.137767	8311	0.887520	8741
ABCA3	0.114232	9052	0.670895	10146
ABCA4	0.033457	11868	0.033457	13751
ABCA5	0.037651	11726	0.932124	8424
ABCA6	1.068962	229	1.528136	3759
ABCA7	0.058491	10945	0.518469	10932
ABCA8	0.558100	1371	1.498896	3969
ABCA9	1.220366	139	1.522241	3805
ABCB1	0.000000	16544	0.275654	12029
ABCB10	0.160474	7522	1.020635	7731
ABCB11	0.000000	16543	0.000000	17232
ABCB4	0.041655	11565	0.190647	12450
ABCB5	0.000000	16542	0.000000	17231
ABCB6	0.389595	2689	0.645309	10280
ABCB7	0.000000	16541	1.147126	6772
ABCB8	0.164427	7377	1.336394	5206
ABCB9	0.213112	5868	0.605203	10512
ABCC1	0.207326	6031	1.335859	5212
ABCC10	0.145482	8002	0.799165	9344
ABCC11	0.000000	16540	0.000000	17230
ABCC12	0.019545	12561	0.019545	14115
ABCC2	0.019545	12560	0.019545	14114
ABCC3	0.341181	3310	1.153509	6714
ABCC4	0.243026	5131	1.134057	6864
ABCC5	0.010743	13159	0.983485	8045
ABCC6	-	19006	-	19006
ABCC8	0.178853	6979	0.178853	12602
ABCC9	0.057203	10981	0.390015	11514
ABCD1	0.390309	2682	1.343532	5155
ABCD2	0.000000	16539	0.043766	13642
ABCD3	0.175994	7065	1.340634	5170
ABCD4	-0.014220	16697	1.080956	7255
ABCE1	0.159487	7565	1.678551	2809
ABCF1	0.165709	7340	1.813885	2107
ABCF2	0.479526	1835	1.854664	1947
ABCF3	0.116334	8989	1.591112	3340
ABCG1	0.038579	11689	1.133262	6873
ABCG2	0.071527	10560	0.186476	12483
ABCG4	0.074239	10480	0.081526	13199
ABCG5	0.000000	16538	0.000000	17229
ABCG8	0.000000	16537	0.000000	17228
ABHD1	0.000000	16536	0.033457	13750
ABHD10	0.006683	13269	1.275265	5708
ABHD11	0.126916	8623	1.096877	7124
ABHD12	0.121877	8810	1.640763	3031
ABHD12B	0.074239	10479	0.074239	13321
ABHD13	-0.013488	16695	1.013726	7797
ABHD14A	0.148626	7912	1.115740	7006
ABHD14B	0.126804	8626	1.884261	1825
ABHD15	0.000000	16535	0.293931	11942
