gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.578630	682	1.569630	2652
A1CF	0.000000	14806	0.000000	17239
A2M	0.470807	1022	1.343932	4004
A2ML1	0.000000	14805	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.363043	1644	1.058493	5979
A4GNT	0.000000	14804	0.000000	17237
AAAS	0.070729	6554	1.456692	3254
AACS	0.387675	1469	1.438339	3390
AADAC	0.469639	1028	0.469639	9792
AADACL2	0.000000	14803	0.000000	17236
AADACL3	0.000000	14802	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.070729	6553	0.309574	10664
AAED1	-0.040384	15523	1.154307	5264
AAGAB	0.028298	8001	1.576999	2617
AAK1	0.000000	14801	0.752303	8079
AAMDC	0.214688	3324	1.398483	3650
AAMP	0.157675	4439	1.956503	1187
AANAT	0.000000	14800	0.000000	17234
AAR2	0.283481	2390	1.404716	3612
AARD	0.350796	1739	0.365249	10342
AARS	0.125192	5106	1.613250	2442
AARS2	-0.178298	16635	1.032519	6157
AARSD1	0.218463	3259	1.631296	2343
AASDH	0.000000	14799	0.910400	7072
AASDHPPT	0.012746	8383	1.470375	3173
AASS	0.038996	7287	1.028116	6185
AATF	0.090665	5856	1.559526	2691
AATK	0.000000	14798	0.000000	17233
ABAT	0.068310	6598	0.453117	9861
ABCA1	0.339093	1836	1.732492	1901
ABCA10	0.000000	14797	0.000000	17232
ABCA12	0.000000	14796	0.000000	17231
ABCA13	0.000000	14795	0.000000	17230
ABCA2	0.121230	5173	0.716782	8315
ABCA3	0.000000	14794	0.266633	10894
ABCA4	0.000000	14793	0.000000	17229
ABCA5	0.060615	6819	0.515743	9514
ABCA6	0.225130	3172	0.516834	9497
ABCA7	0.027174	8032	0.154203	11647
ABCA8	0.000000	14792	0.731015	8218
ABCA9	0.203922	3493	0.505797	9575
ABCB1	0.000000	14791	0.000000	17228
ABCB10	0.020916	8170	0.881077	7266
ABCB11	0.000000	14790	0.000000	17227
ABCB4	0.000000	14789	0.033457	12970
ABCB5	0.000000	14788	0.000000	17226
ABCB6	0.649832	530	0.898137	7163
ABCB7	0.000000	14787	1.094761	5679
ABCB8	0.277824	2438	1.339409	4036
ABCB9	-0.036376	15441	0.424658	10015
ABCC1	0.022632	8117	1.172189	5139
ABCC10	0.000063	8738	0.606974	8971
ABCC11	0.000000	14786	0.000000	17225
ABCC12	0.000000	14785	0.000000	17224
ABCC2	0.253321	2756	0.253321	11019
ABCC3	0.525430	829	1.337758	4043
ABCC4	0.017051	8257	0.720874	8279
ABCC5	0.000000	14784	0.847080	7482
ABCC6	-	19006	-	19006
ABCC8	0.000000	14783	0.000000	17223
ABCC9	0.315910	2034	0.678849	8551
ABCD1	0.128976	5030	1.082200	5775
ABCD2	1.031763	188	1.193145	4996
