gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	14892	0.050185	12479
A1CF	0.000000	14891	0.000000	17239
A2M	0.000000	14890	0.000000	17238
A2ML1	1.144895	212	1.144895	5302
A3GALT2	-	19008	-	19008
A4GALT	0.359789	1774	1.024214	6252
A4GNT	0.000000	14889	0.000000	17237
AAAS	0.352531	1819	1.746501	1731
AACS	0.549186	968	1.599850	2388
AADAC	0.000000	14888	0.000000	17236
AADACL2	0.000000	14887	0.000000	17235
AADACL3	0.000000	14886	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.310651	2130	0.880263	7324
AAED1	0.115543	5012	1.333898	3936
AAGAB	-0.116794	16288	1.431908	3316
AAK1	0.172700	3858	0.895297	7217
AAMDC	-0.011393	15061	1.117269	5517
AAMP	0.045149	7123	1.849915	1373
AANAT	0.000000	14885	0.000000	17233
AAR2	0.239492	2831	1.360727	3769
AARD	0.035733	7648	0.050185	12478
AARS	0.034076	7695	1.646153	2164
AARS2	0.174215	3824	1.385032	3617
AARSD1	0.078504	6008	1.491337	2998
AASDH	0.000000	14884	0.786860	8057
AASDHPPT	-0.020711	15228	1.145711	5294
AASS	-0.025707	15307	0.466052	9986
AATF	0.015653	8245	1.484513	3031
AATK	0.000000	14883	0.000000	17232
ABAT	0.486167	1176	1.215331	4793
ABCA1	0.000000	14882	0.704064	8631
ABCA10	0.000000	14881	0.000000	17231
ABCA12	0.110054	5154	0.110054	11767
ABCA13	0.092346	5685	0.092346	12021
ABCA2	0.058881	6502	0.382301	10410
ABCA3	0.000000	14880	0.050185	12477
ABCA4	0.043180	7484	0.043180	12766
ABCA5	0.000000	14879	0.651308	8950
ABCA6	0.000000	14878	0.000000	17230
ABCA7	0.078258	6015	0.781495	8088
ABCA8	0.000000	14877	0.043180	12765
ABCA9	0.000000	14876	0.000000	17229
ABCB1	0.000000	14875	0.000000	17228
ABCB10	0.161588	4066	0.940860	6882
ABCB11	0.000000	14874	0.000000	17227
ABCB4	0.000000	14873	0.000000	17226
ABCB5	0.000000	14872	0.000000	17225
ABCB6	0.027761	7876	0.406453	10285
ABCB7	0.000000	14871	0.926831	6973
ABCB8	0.303746	2194	1.415813	3410
ABCB9	0.231956	2952	0.695346	8693
ABCC1	0.008918	8462	0.926212	6982
ABCC10	0.385410	1620	1.052953	6024
ABCC11	0.000000	14870	0.000000	17224
ABCC12	0.000000	14869	0.000000	17223
ABCC2	0.043180	7483	0.043180	12764
ABCC3	0.043180	7482	0.627455	9090
ABCC4	-0.016406	15135	0.225924	11138
ABCC5	0.056045	6560	0.791387	8021
ABCC6	-	19006	-	19006
ABCC8	0.000000	14868	0.000000	17222
ABCC9	0.000000	14867	0.000000	17221
ABCD1	0.000000	14866	0.850596	7556
ABCD2	0.000000	14865	0.000000	17220
ABCD3	0.025346	7958	1.183709	5007
ABCD4	-0.013311	15090	1.135076	5387
ABCE1	-0.337477	16952	1.181587	5017
ABCF1	0.108872	5194	1.928363	1138
ABCF2	0.192897	3514	1.620139	2273
ABCF3	0.082442	5881	1.557220	2617
ABCG1	0.000000	14864	0.050185	12476
ABCG2	0.110054	5153	0.129367	11686
