gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.453488	2390	1.186743	6770
A1CF	0.000000	16517	0.000000	17239
A2M	0.512466	1999	1.403534	4821
A2ML1	2.027111	52	2.027111	1219
A3GALT2	-	19008	-	19008
A4GALT	0.481928	2198	1.146353	7119
A4GNT	0.000000	16516	0.000000	17238
AAAS	0.077754	10382	1.350493	5292
AACS	0.205280	6253	1.175221	6875
AADAC	0.051902	11508	0.051902	13970
AADACL2	0.069122	10681	0.069122	13588
AADACL3	0.154631	7857	0.154631	12945
AADACL4	-	19007	-	19007
AADAT	0.125881	8804	0.390878	11775
AAED1	0.081410	10271	1.244644	6266
AAGAB	0.122128	8939	1.670830	2813
AAK1	0.264004	4780	1.022814	8169
AAMDC	0.221617	5748	1.405413	4807
AAMP	0.182646	6914	1.807711	2076
AANAT	0.000000	16515	0.000000	17237
AAR2	0.177658	7064	1.186240	6776
AARD	0.156122	7683	0.170574	12765
AARS	0.289133	4291	1.901210	1647
AARS2	-0.093365	17040	1.117453	7373
AARSD1	0.165379	7420	1.490982	4107
AASDH	0.100083	9611	1.057117	7880
AASDHPPT	0.123823	8880	1.626744	3110
AASS	0.280551	4466	1.342618	5372
AATF	0.019120	12859	1.487980	4125
AATK	0.000000	16514	0.000000	17236
ABAT	0.333404	3621	1.062568	7834
ABCA1	0.067132	10862	1.049875	7942
ABCA10	0.000000	16513	0.000000	17235
ABCA12	0.878130	792	0.878130	9233
ABCA13	0.000000	16512	0.000000	17234
ABCA2	0.141073	8269	0.916364	8968
ABCA3	0.000000	16511	0.212780	12547
ABCA4	0.000000	16510	0.000000	17233
ABCA5	0.154118	7872	1.026019	8137
ABCA6	0.023711	12759	0.441831	11562
ABCA7	0.213720	5970	0.470329	11470
ABCA8	0.000000	16509	0.349050	11945
ABCA9	0.104889	9478	0.324667	12050
ABCB1	0.000000	16508	0.037981	14349
ABCB10	0.201324	6362	1.061485	7842
ABCB11	0.000000	16507	0.000000	17232
ABCB4	0.000000	16506	0.127636	13122
ABCB5	0.051902	11507	0.051902	13969
ABCB6	0.244786	5213	0.495362	11330
ABCB7	0.000000	16505	1.242267	6286
ABCB8	0.065852	10882	1.138650	7184
ABCB9	0.170341	7278	0.481499	11408
ABCC1	0.067310	10746	1.129075	7267
ABCC10	0.218703	5827	0.886246	9178
ABCC11	0.000000	16504	0.000000	17231
ABCC12	0.000000	16503	0.000000	17230
ABCC2	0.835846	885	0.835846	9495
ABCC3	0.842103	871	1.654431	2934
ABCC4	0.396711	2856	1.287743	5870
ABCC5	0.000000	16502	0.749279	9989
ABCC6	-	19006	-	19006
ABCC8	0.000000	16501	0.000000	17229
ABCC9	0.093349	9861	0.401209	11743
ABCD1	0.100712	9592	1.053935	7912
ABCD2	0.000000	16500	0.000000	17228
ABCD3	0.129421	8664	1.294061	5805
ABCD4	0.040312	11769	1.041178	8006
ABCE1	0.026876	12689	1.545941	3716
ABCF1	0.142869	8217	1.861530	1793
ABCF2	0.092252	9938	1.519494	3911
ABCF3	0.090669	10026	1.565447	3576
ABCG1	0.059075	11059	1.077151	7704
ABCG2	0.096678	9741	0.096678	13299
ABCG4	0.036257	12309	0.051902	13968
ABCG5	0.000000	16499	0.000000	17227
ABCG8	0.000000	16498	0.000000	17226
ABHD1	0.009950	13042	0.069122	13587
ABHD10	0.233838	5450	1.229057	6412
ABHD11	0.581117	1671	1.551078	3678
ABHD12	0.852646	853	1.835157	1922
ABHD12B	0.000000	16497	0.000000	17225
ABHD13	0.118936	9035	1.153996	7053
ABHD14A	-0.014534	16658	1.102634	7495
ABHD14B	0.095264	9801	1.852721	1835
ABHD15	0.162315	7522	0.502878	11311
ABHD16A	0.272428	4622	1.349854	5299
ABHD16B	-	19005	-	19005
ABHD17A	0.219947	5792	1.146546	7113
ABHD17B	0.237459	5364	0.959067	8660
ABHD17C	0.216934	5884	1.258327	6141
ABHD18	0.226915	5625	1.078785	7695
ABHD2	0.253223	5004	1.533717	3813
ABHD3	-0.305943	17210	0.644420	10612
ABHD4	0.315632	3872	1.656122	2918
ABHD5	0.236533	5387	1.353261	5264
ABHD6	0.000000	16496	0.656499	10539
ABHD8	0.119732	9008	0.935653	8833
ABI1	0.183871	6876	1.662507	2877
ABI2	0.115841	9130	1.470820	4267
ABI3	0.000000	16495	0.092154	13469
ABI3BP	0.981557	623	1.938117	1492
ABL1	-0.001499	16536	0.886246	9177
ABL2	0.549827	1819	1.217894	6524
ABLIM1	0.223737	5691	0.707303	10235
ABLIM2	0.000000	16494	0.142170	13012
ABLIM3	0.824985	909	1.895434	1662
ABO	0.159919	7576	0.285765	12222
ABR	0.307122	4007	1.252106	6200
ABRA	0.000000	16493	0.000000	17224
ABRACL	0.206086	6231	1.702625	2639
ABT1	0.252938	5009	1.449804	4428
ABTB1	0.162177	7525	1.350033	5295
ABTB2	0.196911	6492	0.957732	8667
ACAA1	0.140554	8287	1.472533	4247
ACAA2	0.151402	7950	0.902825	9052
ACACA	0.229421	5562	1.269790	6044
ACACB	0.031141	12615	0.308714	12128
ACAD10	-0.195753	17180	0.793824	9740
ACAD11	0.316436	3862	0.981872	8504
ACAD8	-0.143827	17134	1.064925	7812
ACAD9	0.068942	10697	1.456447	4378
ACADL	0.073423	10491	0.094434	13336
ACADM	0.024783	12734	1.274894	5982
ACADS	0.000000	16492	0.693296	10318
ACADSB	0.300558	4099	0.922444	8921
ACADVL	0.299704	4111	2.039361	1191
ACAN	0.101164	9579	0.151462	12957
ACAP1	0.000000	16491	0.051902	13967
ACAP2	0.194271	6571	1.564942	3581
ACAP3	0.209055	6082	0.907514	9032
ACAT1	0.154176	7870	1.790088	2153
ACAT2	0.551182	1813	1.984332	1351
ACBD3	0.310988	3952	2.164929	874
ACBD4	-0.011069	16628	0.589189	10915
ACBD5	0.360588	3241	0.967569	8611
ACBD6	0.262452	4808	1.287245	5873
ACBD7	0.058859	11069	0.296177	12187
ACCS	0.124282	8858	0.589189	10914
ACCSL	-	19004	-	19004
ACD	0.097135	9714	0.860759	9345
ACE	0.000000	16490	0.419915	11656
ACE2	0.069122	10680	0.069122	13586
ACER1	0.000000	16489	0.000000	17223
ACER2	0.218654	5829	0.535192	11165
ACER3	-0.038208	16827	1.080387	7680
ACHE	0.883292	780	1.275101	5979
ACIN1	0.236912	5379	1.837709	1910
ACKR1	0.000000	16488	0.000000	17222
ACKR2	1.747745	109	1.747745	2384
ACKR3	1.022322	564	2.139713	935
ACKR4	0.508912	2021	0.613547	10783
ACLY	0.572055	1709	1.866754	1776
ACMSD	0.000000	16487	0.000000	17221
ACO1	0.363252	3212	1.887194	1696
ACO2	0.096678	9740	1.647379	2967
