gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.119941	7474	1.069024	7061
A1CF	0.000000	16220	0.000000	17239
A2M	0.017046	11784	0.367656	11266
A2ML1	0.000000	16219	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.387219	2153	1.082668	6966
A4GNT	0.000000	16218	0.000000	17237
AAAS	0.418997	1890	1.812967	1960
AACS	0.177795	5708	1.228459	5738
AADAC	0.000000	16217	0.000000	17236
AADACL2	0.000000	16216	0.000000	17235
AADACL3	0.000000	16215	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.126703	7222	0.535636	10528
AAED1	0.183658	5546	1.402013	4389
AAGAB	0.075229	9078	1.623930	2903
AAK1	0.069030	9292	0.839874	8734
AAMDC	0.202195	5104	1.385991	4509
AAMP	0.155185	6349	1.959951	1401
AANAT	0.017046	11783	0.017046	13909
AAR2	0.192653	5326	1.313889	5048
AARD	0.030292	10834	0.044744	13185
AARS	0.100608	8081	1.670876	2641
AARS2	0.306337	3108	1.517154	3572
AARSD1	0.176271	5733	1.589104	3122
AASDH	0.000000	16214	0.953343	7947
AASDHPPT	0.071443	9194	1.515857	3584
AASS	0.003075	12075	1.033507	7343
AATF	0.047393	10015	1.516253	3583
AATK	0.000000	16213	0.000000	17233
ABAT	0.000000	16212	0.475964	10799
ABCA1	0.000000	16211	0.924085	8161
ABCA10	0.032303	10753	0.032303	13403
ABCA12	0.000000	16210	0.000000	17232
ABCA13	0.614037	935	0.614037	10135
ABCA2	0.058697	9658	0.780096	9163
ABCA3	0.000000	16209	0.675636	9797
ABCA4	0.000000	16208	0.000000	17231
ABCA5	0.058697	9657	0.537784	10521
ABCA6	0.266504	3728	0.725678	9512
ABCA7	0.072755	9157	0.709694	9599
ABCA8	0.210857	4898	1.151653	6378
ABCA9	0.513416	1316	0.815291	8923
ABCB1	0.000000	16207	0.032303	13402
ABCB10	0.125661	7265	0.870964	8534
ABCB11	0.000000	16206	0.000000	17230
ABCB4	0.017046	11782	0.092744	12702
ABCB5	0.256769	3913	0.256769	11769
ABCB6	0.172823	5846	0.579264	10325
ABCB7	0.092154	8554	1.119855	6651
ABCB8	0.111059	7767	1.271216	5395
ABCB9	0.333958	2740	0.803012	9008
ABCC1	0.182649	5570	1.417436	4271
ABCC10	0.193390	5302	0.748289	9363
ABCC11	0.000000	16205	0.000000	17229
ABCC12	0.111537	7751	0.111537	12584
ABCC2	0.017046	11781	0.017046	13908
ABCC3	0.431364	1789	1.243693	5602
ABCC4	0.015897	11803	0.872350	8525
ABCC5	0.039723	10325	0.919804	8197
ABCC6	-	19006	-	19006
ABCC8	0.000000	16204	0.000000	17228
ABCC9	0.113939	7672	0.309853	11525
ABCD1	0.000000	16203	0.941527	8032
ABCD2	0.000000	16202	0.017046	13907
ABCD3	-0.123483	16997	1.041157	7278
ABCD4	0.131280	7064	1.083181	6959
ABCE1	0.033079	10486	1.552143	3363
ABCF1	0.080082	8937	1.853179	1781
ABCF2	0.353444	2518	1.780686	2114
ABCF3	0.112617	7724	1.587394	3128
ABCG1	0.000000	16201	0.000000	17227
ABCG2	0.032303	10752	0.068090	12951
ABCG4	0.086827	8717	0.102471	12642
ABCG5	0.000000	16200	0.000000	17226
ABCG8	0.000000	16199	0.000000	17225
ABHD1	0.017166	11573	0.076338	12920
ABHD10	0.082343	8859	1.299065	5164
ABHD11	0.262037	3813	1.231998	5709
ABHD12	0.201051	5121	1.719937	2379
ABHD12B	0.000000	16198	0.000000	17224
ABHD13	-0.076458	16823	0.965722	7868
ABHD14A	0.216726	4764	1.256228	5515
ABHD14B	0.238506	4274	1.995963	1296
ABHD15	0.254925	3949	0.595489	10244
ABHD16A	0.033410	10478	1.161005	6305
ABHD16B	-	19005	-	19005
ABHD17A	0.177478	5714	1.104078	6783
ABHD17B	0.071661	9185	1.014678	7477
ABHD17C	0.156214	6322	1.197607	5993
ABHD18	0.059734	9601	0.801582	9020
ABHD2	0.472237	1538	1.899043	1597
ABHD3	-0.148609	17054	0.801754	9017
ABHD4	0.325252	2851	1.665741	2670
ABHD5	0.310028	3064	1.506907	3641
ABHD6	0.092154	8553	0.558700	10421
ABHD8	0.115549	7625	0.812640	8940
ABI1	0.028954	10870	1.496595	3717
ABI2	0.241903	4206	1.499024	3698
ABI3	0.000000	16197	0.182485	12120
ABI3BP	1.441619	61	2.117960	974
ABL1	0.359245	2433	1.360757	4684
ABL2	0.793031	513	1.461098	3964
ABLIM1	0.057486	9728	0.599028	10228
ABLIM2	0.000000	16196	0.025093	13740
ABLIM3	0.058697	9656	1.039406	7291
ABO	0.000000	16195	0.000000	17223
ABR	0.592070	1017	1.467964	3899
ABRA	0.017046	11780	0.017046	13906
ABRACL	0.277431	3536	1.773970	2141
ABT1	0.167604	5999	1.364470	4657
ABTB1	0.025951	11035	0.902224	8313
ABTB2	-0.157632	17073	0.337007	11400
ACAA1	0.076230	9054	1.503816	3664
ACAA2	0.369123	2327	1.661902	2692
ACACA	0.251345	4017	1.346381	4801
ACACB	0.092154	8552	0.288550	11635
ACAD10	-0.006454	16294	0.983124	7726
ACAD11	0.576716	1065	1.242153	5612
ACAD8	-0.088170	16877	1.120582	6648
ACAD9	0.168661	5971	1.568799	3251
ACADL	0.017046	11779	0.017046	13905
ACADM	0.105403	7936	1.366948	4636
ACADS	0.025093	11356	0.891041	8393
ACADSB	0.007271	11978	0.870457	8535
ACADVL	0.444275	1695	2.028263	1206
ACAN	0.316189	2985	0.392371	11155
ACAP1	0.000000	16194	0.000000	17222
ACAP2	0.091292	8578	1.459406	3977
ACAP3	0.095044	8316	0.793504	9077
ACAT1	0.315582	2994	1.987718	1326
ACAT2	0.412695	1943	1.845845	1812
ACBD3	0.156648	6311	2.010590	1255
ACBD4	0.030485	10830	0.739331	9430
ACBD5	0.037783	10378	0.579077	10326
ACBD6	0.330399	2777	1.358318	4706
ACBD7	0.049418	9959	0.286736	11644
ACCS	0.229273	4488	0.694180	9696
ACCSL	-	19004	-	19004
ACD	0.447866	1666	1.364683	4655
ACE	0.354451	2502	0.800968	9026
ACE2	0.000000	16193	0.000000	17221
ACER1	0.000000	16192	0.000000	17220
ACER2	0.092262	8401	0.205501	12002
ACER3	-0.197804	17122	0.920790	8189
ACHE	0.000000	16191	0.092154	12811
ACIN1	0.242957	4188	1.819478	1934
ACKR1	0.000000	16190	0.000000	17219
ACKR2	0.019109	11521	0.251760	11803
ACKR3	0.006997	11984	1.072883	7031
ACKR4	1.202849	131	1.307484	5103
ACLY	0.700895	688	1.995594	1300
ACMSD	0.017046	11778	0.017046	13904
ACO1	0.323618	2876	1.847559	1805
ACO2	0.000000	16189	1.760578	2187
ACOD1	0.000000	16188	0.000000	17218
ACOT1	0.322698	2888	0.374335	11234
ACOT11	0.135915	6941	0.311234	11518
ACOT12	0.031776	10792	0.031776	13443
ACOT13	0.533668	1227	1.573297	3229
ACOT2	0.358762	2440	1.206953	5911
ACOT4	0.027109	10911	0.166297	12213
ACOT6	-	19003	-	19003
ACOT7	0.520206	1279	1.589638	3117
ACOT8	0.151486	6463	1.552255	3362
ACOT9	0.053528	9840	1.602593	3029
ACOX1	0.004347	12045	1.431349	4172
ACOX2	0.448977	1658	0.838750	8745
ACOX3	0.012707	11877	0.990254	7667
ACOXL	0.000000	16187	0.000000	17217
ACP1	0.101568	8041	1.908899	1561
ACP2	0.105307	7942	1.565815	3275
ACP5	0.000000	16186	0.105323	12628
ACP6	0.243236	4184	0.916724	8223
ACP7	-	19002	-	19002
ACPP	0.025182	11240	0.197477	12045
ACPT	-	19001	-	19001
ACR	0.000000	16185	0.000000	17216
ACRBP	0.042139	10249	0.271295	11717
ACRC	0.000000	16184	0.000000	17215
ACRV1	0.000000	16183	0.000000	17214
ACSBG1	0.025951	11034	0.025951	13522
ACSBG2	0.000000	16182	0.000000	17213
ACSF2	0.237062	4314	0.918760	8205
ACSF3	0.004101	12052	0.869194	8543
ACSL1	0.017046	11777	1.124728	6610
ACSL3	0.141735	6764	1.979195	1348
ACSL4	0.560457	1131	2.080288	1063
ACSL5	0.046626	10060	0.422688	11036
ACSL6	0.000000	16181	0.000000	17212
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16180	0.000000	17211
ACSM2B	0.000000	16179	0.000000	17210
ACSM3	0.052001	9878	0.124457	12491
ACSM4	-	18999	-	18999
ACSM5	0.371558	2303	0.371558	11249
ACSM6	0.000000	16178	0.000000	17209
ACSS1	-0.078411	16835	0.645304	9958
ACSS2	0.147611	6596	1.004220	7564
ACSS3	0.355281	2491	0.788913	9106
ACTA1	1.194758	135	1.194758	6008
ACTA2	0.803468	494	1.851327	1789
ACTB	0.305839	3115	3.930815	5
ACTBL2	0.092154	8551	0.092154	12810
ACTC1	1.746970	18	1.854475	1774
ACTG1	0.580528	1051	4.059952	2
ACTG2	0.000000	16177	0.307106	11537
