gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.039122	9850	0.627776	9919
A1CF	0.000000	15389	0.000000	17239
A2M	0.271322	3129	1.259018	5104
A2ML1	0.632861	1015	0.632861	9889
A3GALT2	-	19008	-	19008
A4GALT	0.498350	1473	1.193800	5676
A4GNT	0.000000	15388	0.000000	17238
AAAS	0.107137	6703	1.317759	4606
AACS	-0.007279	15538	0.756554	9055
AADAC	0.359550	2261	0.359550	11498
AADACL2	0.582050	1167	0.582050	10192
AADACL3	0.919867	498	0.919867	7928
AADACL4	-	19007	-	19007
AADAT	0.000000	15387	0.283565	11912
AAED1	-0.017878	15720	1.082325	6633
AAGAB	0.040082	9816	1.588783	2611
AAK1	0.012475	11304	0.665757	9664
AAMDC	0.095087	7237	1.278882	4938
AAMP	0.029880	10197	1.740799	1858
AANAT	0.000000	15386	0.000000	17237
AAR2	0.017489	10711	1.138725	6152
AARD	0.012475	11303	0.012475	14575
AARS	-0.052990	16192	1.559086	2793
AARS2	-0.192615	16987	1.018202	7138
AARSD1	0.100692	7035	1.249624	5184
AASDH	0.040191	9814	1.023321	7090
AASDHPPT	0.098136	7110	1.566194	2752
AASS	0.076596	7808	1.103232	6466
AATF	0.039865	9823	1.508725	3147
AATK	0.000000	15385	0.012475	14574
ABAT	0.061564	8688	0.661533	9700
ABCA1	0.558897	1239	1.952297	1065
ABCA10	0.023961	10516	0.023961	14312
ABCA12	0.458403	1662	0.458403	10915
ABCA13	0.000000	15384	0.000000	17236
ABCA2	0.061564	8687	0.731336	9237
ABCA3	0.015395	10767	0.442485	11008
ABCA4	0.209939	4055	0.209939	12409
ABCA5	0.096000	7200	0.938234	7792
ABCA6	0.058500	8766	0.266178	12008
ABCA7	0.188974	4482	0.752076	9085
ABCA8	0.040191	9813	0.677315	9577
ABCA9	0.034646	9990	0.107406	13209
ABCB1	0.012475	11302	0.217848	12329
ABCB10	0.081267	7687	0.935646	7816
ABCB11	0.000000	15383	0.000000	17235
ABCB4	0.000000	15382	0.061564	13806
ABCB5	0.000000	15381	0.000000	17234
ABCB6	0.052618	9026	0.212527	12375
ABCB7	0.000000	15380	1.081565	6640
ABCB8	0.215740	3948	1.148102	6090
ABCB9	-0.001775	15425	0.426854	11095
ABCC1	0.000000	15379	0.692591	9483
ABCC10	0.209257	4066	0.756932	9053
ABCC11	0.000000	15378	0.000000	17233
ABCC12	0.000000	15377	0.000000	17232
ABCC2	0.138324	5778	0.138324	12982
ABCC3	0.136356	5840	0.858499	8371
ABCC4	-0.005275	15501	0.487556	10756
ABCC5	0.000000	15376	0.740006	9174
ABCC6	-	19006	-	19006
ABCC8	0.000000	15375	0.000000	17231
ABCC9	0.000000	15374	0.023961	14311
ABCD1	0.440452	1749	1.393676	3990
ABCD2	0.000000	15373	0.023961	14310
ABCD3	-0.027799	15897	1.102364	6475
ABCD4	0.104684	6838	0.893206	8110
ABCE1	-0.061093	16266	1.457972	3481
ABCF1	0.175576	4786	1.939379	1123
ABCF2	0.024530	10349	1.297035	4774
ABCF3	0.045846	9244	1.520623	3053
ABCG1	0.381778	2078	1.514699	3094
ABCG2	0.445032	1726	0.445032	10996
ABCG4	0.012475	11301	0.023961	14309
ABCG5	0.000000	15372	0.000000	17230
ABCG8	0.000000	15371	0.000000	17229
ABHD1	0.042583	9368	0.101755	13316
ABHD10	-0.041901	16077	1.204667	5590
ABHD11	0.291914	2878	1.261875	5080
ABHD12	0.357061	2278	1.610419	2484
ABHD12B	0.000000	15370	0.000000	17228
ABHD13	0.136612	5827	1.178792	5808
ABHD14A	0.070080	8153	0.789343	8844
ABHD14B	-0.256359	17110	1.501098	3193
ABHD15	0.071467	8112	0.412031	11196
ABHD16A	0.000000	15369	1.093460	6556
ABHD16B	-	19005	-	19005
ABHD17A	0.111935	6548	1.022095	7105
ABHD17B	0.139904	5724	1.076524	6681
ABHD17C	-0.030411	15929	1.010981	7199
ABHD18	0.055543	8865	0.907413	8010
ABHD2	0.007607	11425	1.481099	3334
ABHD3	-0.115160	16687	0.835202	8522
ABHD4	0.053834	8931	1.122956	6286
ABHD5	0.098144	7108	1.254302	5139
ABHD6	0.023961	10515	0.441728	11011
ABHD8	0.452834	1696	1.351764	4318
ABI1	0.284036	2966	1.587158	2624
ABI2	-0.001815	15426	1.137362	6161
ABI3	0.105323	6811	0.471409	10845
ABI3BP	0.588871	1147	1.265212	5054
ABL1	-0.018841	15738	0.476751	10819
ABL2	0.613013	1077	1.281080	4920
ABLIM1	0.852555	589	0.986224	7400
ABLIM2	0.285403	2950	0.553462	10376
ABLIM3	0.062981	8399	1.328087	4508
ABO	0.101755	6999	0.212183	12381
ABR	0.145848	5533	0.913579	7971
ABRA	0.000000	15368	0.000000	17227
ABRACL	0.225766	3767	1.722304	1944
ABT1	0.304767	2756	1.501633	3187
ABTB1	0.040191	9812	1.052638	6869
ABTB2	0.073694	7957	0.748636	9110
ACAA1	0.101367	7013	1.291664	4823
ACAA2	0.109812	6618	0.727389	9267
ACACA	-0.057495	16237	0.697570	9457
ACACB	0.015017	10779	0.135059	13003
ACAD10	-0.055587	16220	0.933990	7822
ACAD11	0.079294	7734	0.681831	9549
ACAD8	-0.240908	17087	0.967844	7564
ACAD9	0.061564	8686	1.313214	4640
ACADL	0.000000	15367	0.000000	17226
ACADM	0.087730	7444	1.307857	4685
ACADS	0.000000	15366	0.730703	9245
ACADSB	0.030627	10177	0.723154	9290
ACADVL	-0.013097	15633	1.900701	1233
ACAN	0.000000	15365	0.052667	13889
ACAP1	0.101015	7024	0.213117	12367
ACAP2	0.000000	15364	1.434308	3649
ACAP3	0.016196	10752	0.711454	9362
ACAT1	0.000000	15363	1.226645	5389
ACAT2	-0.138752	16809	1.142860	6131
ACBD3	0.249099	3403	2.103040	712
ACBD4	-0.046613	16140	0.662232	9695
ACBD5	0.128582	6044	0.682070	9548
ACBD6	0.133540	5900	1.215558	5487
ACBD7	-0.032525	15955	0.204793	12451
ACCS	-0.101590	16605	0.283899	11906
ACCSL	-	19004	-	19004
ACD	0.051150	9068	0.707180	9391
ACE	0.061639	8432	0.508156	10637
ACE2	0.212364	4004	0.212364	12378
ACER1	0.000000	15362	0.000000	17225
ACER2	0.666553	924	0.983091	7426
ACER3	0.031905	10147	1.150499	6063
ACHE	0.126001	6110	0.517810	10586
ACIN1	0.101755	6998	1.788055	1625
ACKR1	0.359640	2260	0.359640	11497
ACKR2	1.906397	56	1.906397	1210
ACKR3	0.961359	447	2.224323	511
ACKR4	0.335475	2456	0.440110	11024
ACLY	-0.026241	15870	1.316801	4618
ACMSD	0.000000	15361	0.000000	17224
ACO1	-0.273398	17132	1.250543	5177
ACO2	0.101755	6997	1.458468	3474
ACOD1	0.236796	3612	0.236796	12212
ACOT1	0.040191	9811	0.040191	14181
ACOT11	0.116720	6380	0.229333	12259
ACOT12	0.000000	15360	0.000000	17223
ACOT13	0.045758	9250	1.331590	4478
ACOT2	0.000000	15359	0.980314	7448
ACOT4	0.046920	9215	0.186108	12587
ACOT6	-	19003	-	19003
ACOT7	0.428025	1803	0.795377	8786
ACOT8	-0.149139	16858	1.251631	5167
ACOT9	0.084090	7617	1.554120	2826
ACOX1	0.537649	1319	1.891758	1264
ACOX2	0.000000	15358	0.196189	12514
ACOX3	0.141412	5687	0.971264	7528
ACOXL	0.000000	15357	0.000000	17222
ACP1	0.150192	5432	1.957524	1048
ACP2	0.000000	15356	1.452682	3516
ACP5	1.211111	251	1.383462	4082
ACP6	0.111920	6549	0.494850	10718
ACP7	-	19002	-	19002
ACPP	0.064152	8351	0.276414	11956
ACPT	-	19001	-	19001
ACR	0.000000	15355	0.000000	17221
ACRBP	0.000000	15354	0.136356	12996
ACRC	0.000000	15353	0.000000	17220
ACRV1	0.000000	15352	0.000000	17219
ACSBG1	0.000000	15351	0.000000	17218
ACSBG2	0.000000	15350	0.000000	17217
ACSF2	0.484598	1542	1.110706	6401
ACSF3	0.012475	11300	0.657013	9730
ACSL1	0.000000	15349	1.120889	6303
ACSL3	0.459736	1651	2.430771	308
ACSL4	0.228983	3720	1.560459	2787
ACSL5	0.126941	6086	0.984477	7417
ACSL6	0.061564	8685	0.061564	13805
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15348	0.000000	17216
ACSM2B	0.000000	15347	0.000000	17215
ACSM3	0.063900	8360	0.136356	12995
ACSM4	-	18999	-	18999
ACSM5	0.157990	5206	0.157990	12822
ACSM6	0.000000	15346	0.000000	17214
ACSS1	-0.014259	15653	0.459144	10908
ACSS2	0.052667	9025	0.684540	9528
ACSS3	0.000000	15345	0.316138	11738
ACTA1	0.445905	1722	0.445905	10987
ACTA2	0.127068	6082	1.230729	5347
ACTB	0.486123	1534	3.771098	3
ACTBL2	0.393987	2012	0.393987	11287
ACTC1	0.074039	7947	0.181104	12622
ACTG1	0.285242	2952	3.540960	7
ACTG2	0.309640	2706	1.039205	6972
ACTL10	0.136356	5839	0.136356	12994
ACTL6A	0.041053	9414	1.557069	2805
ACTL6B	0.000000	15344	0.000000	17213
ACTL7A	0.000000	15343	0.000000	17212
ACTL7B	0.000000	15342	0.000000	17211
ACTL8	0.000000	15341	0.000000	17210
ACTL9	0.000000	15340	0.000000	17209
ACTN1	0.191071	4435	2.249796	485
ACTN2	0.000000	15339	0.133178	13034
ACTN3	0.000000	15338	0.000000	17208
ACTN4	0.563055	1231	2.093819	727
ACTR10	0.018857	10668	1.719980	1951
ACTR1A	0.033703	10084	1.870512	1341
ACTR1B	0.057994	8784	1.348809	4345
ACTR2	0.152273	5366	1.864921	1353
ACTR3	0.188290	4492	2.357859	368
ACTR3B	0.000000	15337	0.757951	9047
ACTR3C	0.183317	4589	0.529693	10526
ACTR5	-0.068152	16326	0.729116	9253
ACTR6	0.228745	3721	1.276102	4962
ACTR8	0.082838	7649	1.160729	5975
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15336	0.000000	17207
ACTRT3	-	18997	-	18997
ACVR1	0.061564	8684	0.736934	9201
ACVR1B	-0.094716	16550	0.923014	7900
ACVR1C	0.040191	9810	0.052667	13888
ACVR2A	0.131246	5980	1.005226	7244
ACVR2B	0.409817	1914	0.811107	8680
ACVRL1	0.796160	672	0.864433	8327
ACY1	0.393715	2014	1.148227	6088
ACY3	0.040191	9809	0.040191	14180
ACYP1	0.012475	11299	0.980161	7453
ACYP2	-0.056938	16233	0.608631	10037
ADA	0.000000	15335	0.512754	10613
ADAD1	0.000000	15334	0.000000	17206
ADAD2	0.000000	15333	0.000000	17205
