gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.193284	5193	0.871050	8555
A1CF	0.000000	15965	0.000000	17239
A2M	0.000000	15964	0.718210	9440
A2ML1	0.000000	15963	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.062393	8686	0.757842	9223
A4GNT	0.000000	15962	0.000000	17237
AAAS	0.370323	2544	1.764293	2072
AACS	0.161656	5852	1.212320	6048
AADAC	0.000000	15961	0.000000	17236
AADACL2	0.000000	15960	0.000000	17235
AADACL3	0.000000	15959	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	15958	0.409590	10789
AAED1	0.064099	8638	1.175650	6354
AAGAB	-0.040176	16457	1.508525	3668
AAK1	0.239208	4328	1.063226	7280
AAMDC	0.419576	2092	1.603371	2981
AAMP	0.276625	3717	1.829071	1797
AANAT	0.000000	15957	0.000000	17233
AAR2	0.246978	4198	1.102564	6990
AARD	0.000000	15956	0.000000	17232
AARS	-0.000495	15972	1.611582	2926
AARS2	0.155862	6002	1.366679	4795
AARSD1	0.104051	7443	1.516884	3606
AASDH	0.023961	10300	0.959667	7986
AASDHPPT	0.228619	4505	1.545840	3395
AASS	0.334983	2919	1.397050	4545
AATF	0.061749	8702	1.530609	3513
AATK	0.000000	15955	0.012475	13470
ABAT	0.000000	15954	0.227781	11443
ABCA1	0.000000	15953	0.721223	9427
ABCA10	0.000000	15952	0.000000	17231
ABCA12	0.012475	10907	0.012475	13469
ABCA13	0.000000	15951	0.000000	17230
ABCA2	0.181879	5428	0.960774	7979
ABCA3	0.869919	513	1.597873	3020
ABCA4	0.204085	4948	0.204085	11520
ABCA5	0.094922	7794	1.075794	7171
ABCA6	0.548558	1313	1.007732	7678
ABCA7	0.000000	15950	0.649164	9753
ABCA8	0.000000	15949	0.538783	10270
ABCA9	0.023961	10299	0.023961	13194
ABCB1	0.394741	2310	0.394741	10834
ABCB10	0.289332	3521	1.149493	6574
ABCB11	0.000000	15948	0.000000	17229
ABCB4	0.000000	15947	0.015108	13334
ABCB5	0.000000	15946	0.000000	17228
ABCB6	0.090829	7892	0.450472	10633
ABCB7	0.070809	8462	1.320246	5177
ABCB8	0.134043	6613	1.209949	6073
ABCB9	0.330134	2980	0.799187	8974
ABCC1	0.299419	3377	1.556389	3329
ABCC10	0.188373	5305	0.855916	8657
ABCC11	0.000000	15945	0.000000	17227
ABCC12	0.000000	15944	0.000000	17226
ABCC2	0.039068	9420	0.039068	12642
ABCC3	0.096678	7723	0.219800	11470
ABCC4	0.312198	3226	1.203229	6137
ABCC5	0.239765	4319	0.948211	8054
ABCC6	-	19006	-	19006
ABCC8	0.000000	15943	0.000000	17225
ABCC9	0.000000	15942	0.000000	17224
ABCD1	0.379926	2455	1.333150	5069
ABCD2	0.000000	15941	0.000000	17223
ABCD3	0.008651	10986	1.173291	6380
ABCD4	0.256288	4029	1.172141	6389
ABCE1	0.272117	3777	1.791182	1947
ABCF1	0.093022	7838	1.942956	1350
ABCF2	0.435687	1938	1.862929	1645
ABCF3	0.029659	9656	1.504437	3704
ABCG1	0.115973	7081	1.248894	5750
ABCG2	0.292249	3476	0.407198	10801
ABCG4	0.134374	6603	0.134374	11927
ABCG5	0.000000	15940	0.000000	17222
ABCG8	0.000000	15939	0.000000	17221
ABHD1	0.000000	15938	0.029968	12687
ABHD10	0.143120	6306	1.413797	4392
ABHD11	0.155410	6010	1.125371	6788
ABHD12	0.000000	15937	1.431633	4245
ABHD12B	0.000000	15936	0.000000	17220
ABHD13	-0.026471	16317	1.015709	7612
ABHD14A	0.085142	8051	1.043535	7417
ABHD14B	-0.328600	17158	1.428857	4268
ABHD15	0.109908	7262	0.450472	10632
