gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.146736	5473	1.045788	6653
A1CF	0.000000	15520	0.000000	17239
A2M	0.032583	9060	0.637201	9343
A2ML1	0.000000	15519	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.381108	1956	1.074035	6427
A4GNT	0.000000	15518	0.000000	17237
AAAS	0.251546	3412	1.645516	2395
AACS	0.214027	4014	1.264691	4927
AADAC	0.000000	15517	0.000000	17236
AADACL2	0.000000	15516	0.000000	17235
AADACL3	0.000000	15515	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.077337	7406	0.289949	10995
AAED1	0.123980	6151	1.198041	5459
AAGAB	-0.026817	15907	1.521884	3139
AAK1	0.145620	5499	0.896202	7715
AAMDC	0.351215	2211	1.535011	3051
AAMP	0.224186	3837	1.932222	1282
AANAT	0.000000	15514	0.000000	17233
AAR2	0.367915	2072	1.263972	4937
AARD	0.000000	15513	0.000000	17232
AARS	0.031128	9096	1.643205	2412
AARS2	0.081403	7312	1.292221	4728
AARSD1	0.140377	5605	1.553211	2936
AASDH	0.000000	15512	0.750547	8691
AASDHPPT	0.305445	2699	1.476653	3432
AASS	-0.014668	15726	0.720983	8839
AATF	0.092841	6994	1.561701	2880
AATK	0.111146	6473	0.128839	11993
ABAT	0.004817	9836	0.383949	10569
ABCA1	0.000000	15511	0.510031	10012
ABCA10	0.000000	15510	0.000000	17231
ABCA12	0.000000	15509	0.000000	17230
ABCA13	0.000000	15508	0.000000	17229
ABCA2	0.128839	6042	0.728726	8801
ABCA3	0.815081	466	1.543036	3000
ABCA4	0.532338	1096	0.532338	9894
ABCA5	0.032583	9059	0.802919	8353
ABCA6	0.315269	2575	0.718920	8861
ABCA7	0.000000	15507	0.540342	9860
ABCA8	0.048975	8530	0.640676	9314
ABCA9	0.068770	7640	0.112793	12086
ABCB1	0.048975	8529	0.435127	10348
ABCB10	0.258965	3303	1.119126	6075
ABCB11	0.000000	15506	0.000000	17228
ABCB4	0.048975	8528	0.048975	12670
ABCB5	0.000000	15505	0.000000	17227
ABCB6	0.165581	5013	0.544274	9826
ABCB7	0.000000	15504	0.937554	7430
ABCB8	0.172490	4863	1.230935	5208
ABCB9	0.268370	3149	0.712832	8899
ABCC1	0.351410	2210	1.608380	2602
ABCC10	0.095720	6907	0.610608	9491
ABCC11	0.000000	15503	0.000000	17226
ABCC12	0.000000	15502	0.000000	17225
ABCC2	0.000000	15501	0.000000	17224
ABCC3	0.139911	5612	0.871146	7895
ABCC4	0.273528	3083	1.164559	5728
ABCC5	0.000000	15500	0.873958	7880
ABCC6	-	19006	-	19006
ABCC8	0.000000	15499	0.000000	17223
ABCC9	0.000000	15498	0.000000	17222
ABCD1	0.197200	4360	1.056972	6554
ABCD2	0.000000	15497	0.000000	17221
ABCD3	-0.086009	16472	0.868202	7908
ABCD4	0.411419	1717	1.212982	5350
ABCE1	0.088775	7094	1.607839	2605
ABCF1	0.061591	8113	1.911525	1353
ABCF2	0.470433	1374	1.897675	1398
ABCF3	0.065416	8029	1.540193	3013
ABCG1	0.221475	3876	1.354396	4240
ABCG2	0.197200	4359	0.277511	11071
ABCG4	0.141332	5588	0.156977	11669
ABCG5	0.000000	15496	0.000000	17220
ABCG8	0.000000	15495	0.000000	17219
ABHD1	0.000000	15494	0.000000	17218
ABHD10	-0.152572	16794	1.118105	6088
ABHD11	0.076373	7438	1.046333	6650
ABHD12	0.000000	15493	1.373910	4111
ABHD12B	0.000000	15492	0.000000	17217
ABHD13	0.022788	9277	1.064968	6498
ABHD14A	0.000338	9941	1.075458	6421
ABHD14B	-0.195208	16903	1.562249	2874
ABHD15	0.000000	15491	0.330218	10782
ABHD16A	0.000000	15490	1.198581	5451
ABHD16B	-	19005	-	19005
ABHD17A	0.093707	6965	1.020306	6844
ABHD17B	0.077684	7397	0.956536	7309
ABHD17C	0.130991	5807	1.172384	5668
ABHD18	0.108450	6546	0.818853	8250
ABHD2	0.000000	15489	1.500648	3259
ABHD3	-0.208842	16937	0.741520	8745
ABHD4	-0.038328	16048	1.213560	5343
ABHD5	0.049078	8461	1.099732	6217
ABHD6	0.000000	15488	0.611431	9483
ABHD8	0.035778	8892	0.724696	8824
ABI1	0.008153	9772	1.502427	3245
ABI2	0.168649	4945	1.374317	4107
ABI3	1.115128	190	1.311408	4579
ABI3BP	0.641020	768	1.317360	4532
ABL1	0.592855	887	1.090573	6296
ABL2	0.920963	338	1.589030	2714
ABLIM1	0.904065	350	1.037734	6709
ABLIM2	0.000000	15487	0.151210	11677
ABLIM3	0.518552	1157	1.510371	3203
ABO	0.000000	15486	0.000000	17216
ABR	0.269972	3129	1.264131	4934
ABRA	0.000000	15485	0.000000	17215
ABRACL	0.649820	745	1.892351	1413
ABT1	0.156928	5228	1.353794	4250
ABTB1	0.000000	15484	0.777569	8503
ABTB2	-0.270632	17045	0.093504	12164
ACAA1	0.071901	7557	1.441099	3673
ACAA2	0.368786	2066	1.043051	6669
ACACA	0.136872	5682	1.247015	5068
ACACB	0.009338	9744	0.068360	12419
ACAD10	-0.246808	17009	0.742770	8739
ACAD11	0.049531	8449	0.511275	9998
ACAD8	-0.025505	15890	1.183247	5579
ACAD9	0.083570	7244	1.483707	3375
ACADL	0.000000	15483	0.000000	17214
ACADM	-0.013798	15713	1.021170	6839
ACADS	0.000000	15482	0.879001	7843
ACADSB	0.000000	15481	0.629341	9386
ACADVL	0.182617	4650	1.944889	1236
ACAN	0.000000	15480	0.000000	17213
ACAP1	0.000000	15479	0.000000	17212
ACAP2	0.115193	6385	1.302182	4658
ACAP3	0.097047	6880	0.610608	9490
ACAT1	0.048350	8537	1.617901	2549
ACAT2	0.211680	4062	1.644830	2402
ACBD3	-0.185793	16879	1.668149	2270
ACBD4	0.026766	9188	0.735611	8761
ACBD5	0.113514	6423	0.560366	9735
ACBD6	0.328907	2434	1.338009	4368
ACBD7	-0.168203	16848	0.069115	12228
ACCS	0.034728	8923	0.329425	10824
ACCSL	-	19004	-	19004
ACD	0.336287	2346	1.253104	5021
ACE	0.929485	330	1.376003	4097
ACE2	0.000000	15478	0.000000	17211
ACER1	0.000000	15477	0.000000	17210
ACER2	0.183611	4627	0.500149	10049
ACER3	0.088052	7109	1.206646	5394
ACHE	0.067378	7980	0.267647	11132
ACIN1	0.165222	5019	1.814584	1695
ACKR1	0.068360	7836	0.068360	12418
ACKR2	0.000000	15476	0.128839	11992
ACKR3	0.299913	2766	1.644011	2407
ACKR4	0.264747	3218	0.369381	10645
ACLY	0.513346	1174	1.808045	1718
ACMSD	0.000000	15475	0.000000	17209
ACO1	0.244787	3529	1.768728	1878
ACO2	0.000000	15474	1.644332	2404
ACOD1	0.000000	15473	0.000000	17208
ACOT1	0.000000	15472	0.000000	17207
ACOT11	0.216827	3961	0.289949	10994
ACOT12	0.000000	15471	0.000000	17206
ACOT13	0.211420	4068	1.524826	3122
ACOT2	0.058721	8184	0.792549	8422
ACOT4	-0.139188	16736	0.000000	17205
