gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.146736	4738	1.045710	6252
A1CF	0.000000	15052	0.000000	17239
A2M	0.000000	15051	0.637201	8983
A2ML1	0.000000	15050	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.381108	1618	1.074035	6034
A4GNT	0.000000	15049	0.000000	17237
AAAS	0.191314	3852	1.585284	2448
AACS	-0.041880	15678	0.978257	6758
AADAC	0.000000	15048	0.000000	17236
AADACL2	0.000000	15047	0.000000	17235
AADACL3	0.000000	15046	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.077337	6539	0.289949	10687
AAED1	0.123980	5391	1.198041	5067
AAGAB	-0.026817	15444	1.521884	2818
AAK1	0.145620	4762	0.747186	8333
AAMDC	0.351215	1833	1.535011	2732
AAMP	0.000000	15045	1.759927	1755
AANAT	0.000000	15044	0.000000	17233
AAR2	0.367915	1715	1.263972	4549
AARD	0.000000	15043	0.000000	17232
AARS	-0.098790	16288	1.503208	2928
AARS2	-0.000140	15056	1.210677	4965
AARSD1	0.140377	4864	1.553211	2637
AASDH	0.000000	15042	0.750547	8314
AASDHPPT	0.246734	2975	1.476653	3110
AASS	-0.014668	15236	0.720983	8464
AATF	-0.074808	16094	1.394052	3652
AATK	0.111146	5706	0.128839	11694
ABAT	0.004817	8409	0.383949	10242
ABCA1	0.000000	15041	0.510031	9666
ABCA10	0.000000	15040	0.000000	17231
ABCA12	0.000000	15039	0.000000	17230
ABCA13	0.000000	15038	0.000000	17229
ABCA2	0.128839	5296	0.579552	9307
ABCA3	0.768413	402	1.496368	2974
ABCA4	0.532338	910	0.532338	9560
ABCA5	0.000000	15037	0.802919	7995
ABCA6	0.315269	2186	0.718920	8502
ABCA7	0.000000	15036	0.540342	9543
ABCA8	0.000000	15035	0.000000	17228
ABCA9	0.000000	15034	0.068360	12130
ABCB1	0.000000	15033	0.253253	10864
ABCB10	0.258965	2791	1.119126	5684
ABCB11	0.000000	15032	0.000000	17227
ABCB4	0.000000	15031	0.000000	17226
ABCB5	0.000000	15030	0.000000	17225
ABCB6	0.165581	4356	0.544274	9491
ABCB7	0.000000	15029	0.863231	7599
ABCB8	0.172490	4208	1.230935	4814
ABCB9	0.241135	3059	0.685936	8706
ABCC1	0.101911	5937	1.331352	4051
ABCC10	0.095720	6085	0.610608	9136
ABCC11	0.000000	15028	0.000000	17224
ABCC12	0.000000	15027	0.000000	17223
ABCC2	0.000000	15026	0.000000	17222
ABCC3	0.128839	5295	0.471920	9858
ABCC4	0.146351	4746	0.956261	6916
ABCC5	0.000000	15025	0.873958	7512
ABCC6	-	19006	-	19006
ABCC8	0.000000	15024	0.000000	17221
ABCC9	0.000000	15023	0.000000	17220
ABCD1	0.197200	3745	1.031747	6370
ABCD2	0.000000	15022	0.000000	17219
ABCD3	-0.086009	16198	0.720473	8478
ABCD4	0.411419	1421	1.212982	4951
ABCE1	0.088775	6262	1.607839	2345
ABCF1	0.054802	7281	1.904736	1233
ABCF2	0.296749	2371	1.723991	1873
ABCF3	-0.001255	15078	1.473523	3146
ABCG1	0.221475	3296	1.354396	3885
ABCG2	0.197200	3744	0.277511	10758
ABCG4	0.128839	5294	0.128839	11693
ABCG5	0.000000	15021	0.000000	17218
ABCG8	0.000000	15020	0.000000	17217
ABHD1	0.000000	15019	0.000000	17216
ABHD10	-0.152572	16599	1.118105	5700
ABHD11	-0.000129	15055	0.948783	6975
ABHD12	0.000000	15018	1.335175	4024
ABHD12B	0.000000	15017	0.000000	17215
ABHD13	0.022788	8049	1.064968	6103
