gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.139689	4599	0.906079	7625
A1CF	0.000000	15462	0.000000	17239
A2M	0.065167	7924	0.602234	9664
A2ML1	0.000000	15461	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.373876	1392	1.069325	6361
A4GNT	0.000000	15460	0.000000	17237
AAAS	0.191587	3350	1.585557	2541
AACS	0.019691	9950	1.070355	6356
AADAC	0.292166	1955	0.292166	11285
AADACL2	0.000000	15459	0.000000	17236
AADACL3	0.000000	15458	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.116106	5412	0.685719	9158
AAED1	0.102828	5864	1.230973	5041
AAGAB	0.040580	8857	1.589281	2514
AAK1	0.090478	6325	0.809953	8327
AAMDC	0.147032	4387	1.330827	4239
AAMP	0.186438	3458	1.729262	1836
AANAT	0.000000	15457	0.000000	17234
AAR2	0.044338	8732	1.154400	5664
AARD	0.050714	8423	0.065167	13323
AARS	0.056043	8239	1.668120	2105
AARS2	-0.091804	16605	1.119013	5934
AARSD1	0.007117	10369	1.415913	3600
AASDH	0.000000	15456	0.917757	7535
AASDHPPT	0.131604	4842	1.521983	2876
AASS	0.163058	3940	1.187357	5396
AATF	-0.014454	15717	1.454407	3338
AATK	0.000000	15455	0.000000	17233
ABAT	0.000000	15454	0.458285	10446
ABCA1	0.123403	5087	1.516802	2915
ABCA10	0.294511	1931	0.294511	11266
ABCA12	0.000000	15453	0.000000	17232
ABCA13	0.065167	7923	0.065167	13322
ABCA2	0.129393	4910	0.691178	9120
ABCA3	0.048110	8606	0.372838	10885
ABCA4	0.000000	15452	0.000000	17231
ABCA5	0.015978	10060	0.654713	9344
ABCA6	0.361902	1447	0.821076	8246
ABCA7	0.000000	15451	0.466587	10398
ABCA8	0.326326	1694	1.267122	4732
ABCA9	0.798812	302	1.100687	6095
ABCB1	0.000000	15450	0.069940	12760
ABCB10	0.104187	5819	0.942949	7347
ABCB11	0.000000	15449	0.000000	17230
ABCB4	0.000000	15448	0.000000	17229
ABCB5	0.000000	15447	0.000000	17228
ABCB6	0.155592	4161	0.495127	10246
ABCB7	0.000000	15446	1.029714	6669
ABCB8	0.027119	9357	1.135679	5798
ABCB9	0.077931	6780	0.541321	9991
ABCC1	0.172428	3727	1.200436	5282
ABCC10	0.034651	9085	0.670000	9260
ABCC11	0.000000	15445	0.000000	17227
ABCC12	0.000000	15444	0.000000	17226
ABCC2	0.000000	15443	0.000000	17225
ABCC3	0.065167	7922	0.529706	10050
ABCC4	0.113763	5472	1.004794	6864
ABCC5	0.000000	15442	0.904286	7644
ABCC6	-	19006	-	19006
ABCC8	0.000000	15441	0.000000	17224
ABCC9	0.189886	3384	0.495098	10249
ABCD1	0.095924	6080	1.049148	6522
ABCD2	0.000000	15440	0.000000	17223
ABCD3	-0.000308	15466	1.164332	5590
ABCD4	0.099226	5975	0.976185	7087
ABCE1	0.233927	2624	1.752992	1722
ABCF1	0.149686	4311	1.808237	1525
ABCF2	0.126614	4993	1.553856	2685
ABCF3	-0.011942	15672	1.462836	3279
ABCG1	0.000000	15439	0.357115	10981
ABCG2	0.302252	1872	0.417201	10643
ABCG4	0.091706	6289	0.091706	12700
ABCG5	0.000000	15438	0.000000	17222
ABCG8	0.000000	15437	0.000000	17221
ABHD1	0.000000	15436	0.000000	17220
ABHD10	-0.037977	16067	1.232701	5023
ABHD11	0.093823	6141	0.942378	7350
ABHD12	0.026539	9768	1.532553	2805
ABHD12B	0.000000	15435	0.000000	17219
ABHD13	0.049568	8461	1.076782	6305
ABHD14A	0.049348	8466	0.924011	7495
ABHD14B	-0.055943	16297	1.701514	1955
ABHD15	0.000000	15434	0.246422	11518
ABHD16A	0.000000	15433	1.097538	6120
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15432	0.922658	7502
ABHD17B	0.016720	10029	0.821639	8235
ABHD17C	0.215834	2924	1.257227	4821
ABHD18	-0.014453	15716	0.810851	8321
ABHD2	0.021461	9906	1.590198	2509
ABHD3	-0.271922	17134	0.678440	9201
ABHD4	0.208947	3041	1.549436	2714
ABHD5	0.131256	4851	1.312114	4376
ABHD6	0.000000	15431	0.569044	9837
ABHD8	0.023718	9852	0.912601	7577
ABI1	-0.027645	15917	1.487898	3105
ABI2	0.184606	3490	1.393274	3773
ABI3	0.065167	7921	0.116498	12470
ABI3BP	0.834460	275	1.510800	2952
ABL1	0.207237	3068	1.208749	5217
ABL2	0.538980	777	1.207047	5229
ABLIM1	0.065167	7920	0.487617	10289
ABLIM2	0.000000	15430	0.000000	17218
ABLIM3	0.154789	4185	1.061045	6429
ABO	0.000000	15429	0.000000	17217
ABR	0.158187	4052	1.090061	6198
ABRA	0.000000	15428	0.000000	17216
ABRACL	0.234968	2606	1.558946	2662
ABT1	-0.069112	16421	1.127754	5864
ABTB1	0.048455	8592	0.904954	7639
ABTB2	-0.007605	15596	0.626839	9519
ACAA1	0.057167	8203	1.415913	3599
ACAA2	0.071760	6984	1.364539	3978
ACACA	0.041383	8830	1.184710	5418
ACACB	0.000000	15427	0.065167	13321
ACAD10	-0.158314	16930	0.831264	8167
ACAD11	0.095398	6100	0.760834	8649
ACAD8	-0.240085	17094	0.968667	7144
ACAD9	0.116498	5398	1.330284	4246
ACADL	0.026539	9767	0.026539	13678
ACADM	0.077909	6781	1.364238	3983
ACADS	0.000000	15426	0.558543	9901
ACADSB	0.000000	15425	0.897501	7698
ACADVL	0.136632	4681	1.857931	1361
ACAN	0.245928	2453	0.296227	11244
ACAP1	0.109138	5669	0.221240	11656
ACAP2	0.000000	15424	1.448212	3374
ACAP3	0.026539	9766	0.576297	9800
ACAT1	0.192578	3317	1.777626	1629
ACAT2	0.171232	3749	1.604382	2438
ACBD3	0.050356	8437	1.904298	1216
ACBD4	-0.067659	16409	0.641186	9432
ACBD5	0.075686	6849	0.642233	9424
ACBD6	0.143330	4482	1.245068	4918
ACBD7	0.149129	4326	0.386447	10809
ACCS	0.012335	10200	0.226873	11593
ACCSL	-	19004	-	19004
ACD	0.114147	5460	1.030964	6658
ACE	0.011409	10233	0.457927	10448
ACE2	0.065167	7919	0.065167	13320
ACER1	0.000000	15423	0.000000	17215
ACER2	0.018812	9968	0.154655	12113
ACER3	-0.003150	15531	1.115444	5966
ACHE	0.000000	15422	0.279690	11351
ACIN1	0.135106	4761	1.686787	2012
ACKR1	0.000000	15421	0.000000	17214
ACKR2	0.000000	15420	0.065167	13319
ACKR3	0.184407	3495	1.528505	2839
ACKR4	1.063702	105	1.168337	5553
ACLY	0.481928	943	1.776627	1634
ACMSD	0.000000	15419	0.000000	17213
ACO1	0.216355	2916	1.740297	1788
ACO2	0.000000	15418	1.666539	2111
ACOD1	0.000000	15417	0.000000	17212
ACOT1	0.013530	10142	0.065167	13318
ACOT11	0.035980	9035	0.186438	11896
ACOT12	0.000000	15416	0.000000	17211
ACOT13	0.077684	6790	1.480073	3163
ACOT2	0.047997	8609	1.023756	6728
ACOT4	-0.069248	16422	0.069940	12759
ACOT6	-	19003	-	19003
ACOT7	0.406066	1242	1.545853	2736
ACOT8	-0.148778	16897	1.251992	4857
ACOT9	0.102677	5872	1.651743	2182
ACOX1	0.034545	9087	1.379131	3880
ACOX2	0.377922	1372	0.723070	8907
ACOX3	-0.010913	15658	0.928628	7450
ACOXL	0.000000	15415	0.000000	17210
ACP1	0.034003	9108	1.841335	1416
ACP2	0.029588	9272	1.482976	3139
ACP5	0.244409	2469	0.292166	11284
ACP6	-0.017180	15758	0.487617	10288
ACP7	-	19002	-	19002
ACPP	0.000000	15414	0.143037	12191
ACPT	-	19001	-	19001
ACR	0.000000	15413	0.000000	17209
ACRBP	0.000000	15412	0.218447	11672
ACRC	0.000000	15411	0.000000	17208
ACRV1	0.000000	15410	0.000000	17207
ACSBG1	0.000000	15409	0.000000	17206
ACSBG2	0.000000	15408	0.000000	17205
ACSF2	0.000000	15407	0.669626	9269
ACSF3	0.049276	8469	0.914369	7563
ACSL1	0.065167	7918	1.098167	6110
ACSL3	0.201733	3165	1.963350	1048
ACSL4	0.082974	6614	1.615170	2380
ACSL5	0.065167	7917	0.337738	11042
ACSL6	0.000000	15406	0.000000	17204
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15405	0.000000	17203
ACSM2B	0.000000	15404	0.000000	17202
ACSM3	0.000000	15403	0.000000	17201
ACSM4	-	18999	-	18999
ACSM5	0.000000	15402	0.000000	17200
ACSM6	0.000000	15401	0.000000	17199
ACSS1	0.013295	10152	0.362105	10929
ACSS2	0.065167	7916	0.737788	8822
ACSS3	0.000000	15400	0.186438	11895
ACTA1	0.065167	7915	0.065167	13317
ACTA2	0.823223	283	2.197520	571
ACTB	0.518677	833	3.867134	1
ACTBL2	0.216765	2907	0.216765	11685
ACTC1	0.113735	5473	0.221240	11655
ACTG1	0.696663	450	3.755627	4
ACTG2	0.199044	3208	0.928609	7451
ACTL10	0.000000	15399	0.048455	13406
ACTL6A	0.178188	3619	1.694204	1978
ACTL6B	0.000000	15398	0.000000	17198
ACTL7A	0.000000	15397	0.000000	17197
ACTL7B	0.000000	15396	0.000000	17196
ACTL8	0.000000	15395	0.000000	17195
ACTL9	0.000000	15394	0.000000	17194
ACTN1	0.174674	3683	2.307088	431
ACTN2	0.069940	7073	0.247779	11471
ACTN3	0.000000	15393	0.000000	17193
ACTN4	0.296778	1914	1.957381	1070
ACTR10	0.208246	3050	1.734900	1806
ACTR1A	0.222929	2796	2.109599	731
ACTR1B	-0.045874	16181	1.244941	4920
ACTR2	0.169785	3777	1.882433	1293
ACTR3	0.287722	1998	2.457291	296
ACTR3B	0.026539	9765	0.765543	8619
ACTR3C	0.000000	15392	0.065167	13316
ACTR5	-0.107769	16720	0.689499	9139
ACTR6	0.081130	6678	1.128487	5858
ACTR8	0.024322	9828	1.241987	4949
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15391	0.000000	17192
ACTRT3	-	18997	-	18997
ACVR1	0.167026	3840	1.169987	5539
ACVR1B	-0.087721	16578	0.930008	7435
ACVR1C	0.026539	9764	0.026539	13677
ACVR2A	0.191908	3343	0.855093	8001
ACVR2B	-0.146152	16884	0.246422	11517
ACVRL1	0.408833	1224	0.774880	8556
ACY1	0.105177	5792	1.236356	4991
ACY3	0.000000	15390	0.000000	17191
ACYP1	0.000000	15389	0.933335	7412
ACYP2	0.024283	9829	0.674104	9238
ADA	0.031511	9203	0.532887	10040
ADAD1	0.000000	15388	0.000000	17190
ADAD2	0.000000	15387	0.000000	17189
ADAL	-0.169390	16956	0.558543	9900
ADAM10	0.250189	2399	1.737279	1799
ADAM11	0.164953	3895	0.164953	11985
ADAM12	0.984500	145	1.262996	4764
ADAM15	0.035805	9043	1.715642	1889
ADAM17	0.089862	6354	1.324361	4297
ADAM18	0.000000	15386	0.000000	17188
ADAM19	0.371430	1400	1.238214	4972
ADAM2	0.000000	15385	0.000000	17187
ADAM20	0.000000	15384	0.000000	17186
ADAM21	0.000000	15383	0.000000	17185
ADAM22	0.000000	15382	0.186438	11894
ADAM23	0.387472	1318	0.870398	7898
ADAM28	0.000000	15381	0.065167	13315
ADAM29	0.000000	15380	0.000000	17184
ADAM30	0.000000	15379	0.000000	17183
ADAM32	0.000000	15378	0.000000	17182
ADAM33	0.258577	2307	0.549692	9953
ADAM7	0.000000	15377	0.000000	17181
ADAM8	0.073790	6917	0.247772	11501
ADAM9	0.678214	476	2.360901	367
ADAMDEC1	0.270790	2154	0.270790	11383
ADAMTS1	0.579403	680	2.384174	357
ADAMTS10	0.136627	4682	0.835145	8135
ADAMTS12	1.186645	75	1.423432	3557
ADAMTS13	0.000000	15376	0.000000	17180
ADAMTS14	0.135662	4711	0.370529	10898
ADAMTS15	0.569158	712	1.093638	6161
ADAMTS16	0.116498	5397	0.116498	12469
ADAMTS17	0.026539	9763	0.069940	12758
ADAMTS18	0.310728	1805	0.310728	11192
ADAMTS19	0.000000	15375	0.000000	17179
ADAMTS2	0.613047	610	1.353465	4070
ADAMTS20	0.000000	15374	0.000000	17178
ADAMTS3	0.173061	3713	0.449845	10481
ADAMTS4	0.069940	7072	0.495127	10245
ADAMTS5	0.091706	6288	0.809852	8328
ADAMTS6	0.670838	485	0.913549	7571
ADAMTS7	0.493059	906	1.083519	6243
ADAMTS8	0.000000	15373	0.000000	17177
ADAMTS9	0.000000	15372	0.065167	13314
ADAMTSL1	1.043343	119	1.540271	2764
ADAMTSL2	0.000000	15371	0.000000	17176
ADAMTSL3	0.087180	6467	0.116498	12468
ADAMTSL4	0.091706	6287	0.861890	7962
ADAMTSL5	0.148797	4337	0.510305	10162
ADAP1	0.000000	15370	0.610746	9614
ADAP2	0.000000	15369	0.191908	11822
ADAR	0.169848	3773	1.440868	3426
ADARB1	0.116922	5251	0.634665	9463
ADARB2	0.000000	15368	0.000000	17175
ADAT1	0.040342	8862	0.939491	7370
ADAT2	-0.021694	15824	0.854333	8017
ADAT3	0.000000	15367	1.668128	2104
ADCK1	-0.081170	16526	0.511807	10151
ADCK2	-0.144844	16877	0.898158	7681
ADCK5	0.026539	9762	0.697193	9087
ADCY1	0.000000	15366	0.000000	17174
ADCY10	0.000000	15365	0.000000	17173
ADCY2	0.065167	7914	0.065167	13313
ADCY3	0.078020	6778	1.183246	5426
ADCY4	-0.055845	16295	0.089488	12719
ADCY5	0.000000	15364	0.026539	13676
ADCY6	0.158933	4029	0.969352	7135
ADCY7	0.387110	1319	0.953032	7272
ADCY8	0.000000	15363	0.000000	17172
ADCY9	0.035393	9059	0.584994	9755
ADCYAP1	0.065167	7913	0.065167	13312
ADCYAP1R1	0.000000	15362	0.000000	17171
ADD1	0.013942	10136	1.638645	2254
ADD2	0.000000	15361	0.065167	13311
ADD3	0.544995	761	1.683472	2027
ADGB	0.000000	15360	0.000000	17170
ADGRA1	0.000000	15359	0.000000	17169
ADGRA2	0.470666	972	1.455292	3330
ADGRA3	0.002881	10476	0.745152	8766
ADGRB1	0.000000	15358	0.000000	17168
ADGRB2	0.142630	4529	0.665227	9286
ADGRB3	0.026539	9761	0.156934	12077
ADGRD1	0.321104	1727	0.814644	8295
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	15357	0.000000	17167
ADGRE2	0.000000	15356	0.746729	8746
ADGRE3	0.000000	15355	0.000000	17166
ADGRE5	0.078477	6760	1.124951	5887
ADGRF1	0.000000	15354	0.000000	17165
ADGRF2	0.065167	7912	0.065167	13310
ADGRF3	0.000000	15353	0.026539	13675
ADGRF4	0.113622	5520	0.113622	12552
ADGRF5	0.000000	15352	0.065167	13309
ADGRG1	0.080745	6687	0.767068	8607
ADGRG2	0.048455	8591	0.048455	13405
ADGRG3	0.000000	15351	0.000000	17164
ADGRG4	0.000000	15350	0.000000	17163
ADGRG5	0.000000	15349	0.000000	17162
ADGRG6	0.129240	4916	0.594196	9707
ADGRG7	0.000000	15348	0.000000	17161
ADGRL1	0.000000	15347	0.048455	13404
ADGRL2	0.144513	4445	0.281396	11325
ADGRL3	0.000000	15346	0.000000	17160
ADGRL4	0.657817	508	1.439220	3445
ADGRV1	0.000000	15345	0.000000	17159
ADH1A	0.000000	15344	0.000000	17158
ADH1B	0.773614	345	1.020373	6754
ADH1C	0.156934	4123	0.156934	12076
ADH4	0.026539	9760	0.026539	13674
ADH5	0.415283	1184	1.998188	954
ADH6	0.113622	5519	0.113622	12551
ADH7	0.000000	15343	0.000000	17157
ADHFE1	0.000000	15342	0.343506	11030
ADI1	0.147897	4356	1.883231	1291
ADIG	0.000000	15341	0.000000	17156
ADIPOQ	0.000000	15340	0.000000	17155
ADIPOR1	0.031602	9200	1.689087	2000
ADIPOR2	0.110384	5623	1.255436	4832
ADIRF	0.504789	870	2.274504	465
ADK	0.289084	1984	1.677611	2052
ADM	0.124728	5051	1.809155	1521
ADM2	0.606672	621	0.863836	7939
ADM5	0.048455	8590	0.048455	13403
ADNP	0.236033	2595	1.428061	3521
ADNP2	0.116389	5401	0.825976	8205
ADO	0.121970	5128	0.867012	7917
ADORA1	0.065167	7911	0.065167	13308
ADORA2A	0.076926	6810	0.296366	11241
ADORA2B	0.588997	658	1.022837	6738
ADORA3	0.000000	15339	0.000000	17154
ADPGK	0.076160	6830	1.321631	4322
ADPRH	0.019537	9952	0.226873	11592
ADPRHL1	0.000000	15338	0.000000	17153
ADPRHL2	-0.017189	15759	1.134545	5806
ADPRM	-0.020359	15807	0.881306	7818
ADRA1A	0.000000	15337	0.000000	17152
