gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.326495	1230	1.241179	4841
A1CF	0.000000	15356	0.000000	17239
A2M	0.032187	8596	0.485765	10282
A2ML1	0.000000	15355	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.239415	1995	0.915881	7518
A4GNT	0.000000	15354	0.000000	17237
AAAS	0.179805	2870	1.573775	2437
AACS	0.110007	4594	1.160671	5518
AADAC	0.220455	2195	0.220455	11562
AADACL2	0.000000	15353	0.000000	17236
AADACL3	0.000000	15352	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15351	0.558931	9888
AAED1	0.027115	8887	1.245470	4788
AAGAB	0.079838	5765	1.628539	2171
AAK1	0.119573	4288	0.864161	7907
AAMDC	0.301935	1409	1.485731	3005
AAMP	0.103423	4810	1.809039	1412
AANAT	0.000000	15350	0.000000	17234
AAR2	0.139478	3729	1.236784	4881
AARD	0.000000	15349	0.000000	17233
AARS	0.062814	6534	1.674891	1951
AARS2	-0.012745	15665	1.198072	5203
AARSD1	0.087417	5445	1.454706	3216
AASDH	0.042930	7682	0.969114	7120
AASDHPPT	0.192862	2634	1.496991	2941
AASS	-0.026748	15943	0.952051	7249
AATF	0.009329	10328	1.478189	3062
AATK	0.000000	15348	0.000000	17232
ABAT	0.007811	10576	0.505541	10177
ABCA1	0.002922	10785	1.396321	3633
ABCA10	0.164844	3153	0.164844	11903
ABCA12	0.051071	7236	0.051071	12938
ABCA13	0.000000	15347	0.000000	17231
ABCA2	0.024998	9010	0.735323	8803
ABCA3	0.114232	4457	0.564526	9857
ABCA4	0.016152	9892	0.016152	13756
ABCA5	0.028044	8851	0.620509	9507
ABCA6	0.564706	416	1.023881	6630
ABCA7	0.000000	15346	0.518469	10116
ABCA8	0.298803	1433	1.239599	4855
ABCA9	0.697829	241	0.999704	6852
ABCB1	0.000000	15345	0.000000	17230
ABCB10	0.160474	3242	1.020635	6648
ABCB11	0.000000	15344	0.000000	17229
ABCB4	0.000000	15343	0.000000	17228
ABCB5	0.000000	15342	0.000000	17227
ABCB6	0.113243	4485	0.488702	10263
ABCB7	0.000000	15341	1.003737	6803
ABCB8	0.069486	6211	1.185751	5308
ABCB9	0.149522	3486	0.605203	9604
ABCC1	0.076777	5905	1.258956	4692
ABCC10	-0.011602	15630	0.617995	9523
ABCC11	0.000000	15340	0.000000	17226
ABCC12	0.019545	9535	0.019545	13603
ABCC2	0.019545	9534	0.019545	13602
ABCC3	0.109081	4623	0.901367	7634
ABCC4	0.135767	3835	1.026798	6594
ABCC5	0.010743	10263	0.849809	8029
ABCC6	-	19006	-	19006
ABCC8	0.000000	15339	0.000000	17225
ABCC9	0.019545	9533	0.067221	12709
ABCD1	0.103003	4828	1.056227	6375
ABCD2	0.000000	15338	0.043766	13033
ABCD3	-0.036695	16112	1.115853	5879
ABCD4	-0.029862	15999	1.080956	6171
ABCE1	0.100265	4945	1.619330	2227
ABCF1	0.047913	7418	1.786110	1506
ABCF2	0.163101	3185	1.590343	2362
ABCF3	-0.063922	16444	1.410855	3534
ABCG1	0.025848	8949	0.603708	9610
ABCG2	0.032187	8595	0.073979	12624
ABCG4	0.065882	6378	0.081526	12558
ABCG5	0.000000	15337	0.000000	17224
ABCG8	0.000000	15336	0.000000	17223
ABHD1	0.000000	15335	0.000000	17222
ABHD10	-0.057968	16376	1.202533	5162
ABHD11	0.109306	4617	0.937350	7345
ABHD12	0.035697	8123	1.464864	3142
ABHD12B	0.008846	10540	0.008846	13943
ABHD13	-0.047078	16248	0.980136	7033
ABHD14A	-0.004589	15477	0.996092	6889
ABHD14B	-0.094792	16704	1.662666	2006
ABHD15	0.000000	15334	0.293931	11211
ABHD16A	0.000000	15333	1.195821	5225
ABHD16B	-	19005	-	19005
ABHD17A	0.065424	6402	0.992024	6924
ABHD17B	0.027993	8853	0.864842	7900
ABHD17C	0.123098	4192	1.164491	5494
ABHD18	-0.014453	15700	0.749099	8716
ABHD2	0.010716	10266	1.537713	2663
ABHD3	-0.100775	16744	0.849588	8031
ABHD4	0.104465	4775	1.444954	3285
ABHD5	0.108975	4629	1.109783	5925
ABHD6	0.008846	10539	0.528527	10062
ABHD8	-0.001786	15410	0.760630	8642
ABI1	-0.033856	16064	1.354158	3942
ABI2	0.140810	3698	1.429480	3400
ABI3	0.136177	3825	0.332458	11028
ABI3BP	0.675542	268	1.351882	3956
ABL1	0.165702	3138	1.167214	5465
ABL2	0.427569	784	1.095636	6035
ABLIM1	0.088359	5406	0.679018	9162
ABLIM2	0.010743	10262	0.107608	12292
ABLIM3	0.157779	3301	1.302382	4334
ABO	0.010743	10261	0.010743	13840
ABR	0.094168	5175	1.142593	5671
ABRA	0.000000	15332	0.000000	17221
ABRACL	0.199686	2510	1.602457	2307
ABT1	0.009561	10318	1.206427	5126
ABTB1	0.008846	10538	0.820320	8246
ABTB2	-0.038797	16146	0.722024	8887
ACAA1	0.013441	9994	1.397862	3623
ACAA2	0.188214	2712	1.480993	3038
ACACA	0.117270	4353	1.201472	5169
ACACB	0.052662	7139	0.104015	12330
ACAD10	-0.144830	16950	0.844748	8070
ACAD11	0.077781	5851	0.599646	9638
ACAD8	-0.120501	16858	1.088250	6106
ACAD9	0.052662	7138	1.393522	3656
ACADL	0.000000	15331	0.019545	13601
ACADM	0.039855	7855	1.323281	4173
ACADS	0.000000	15330	0.860203	7941
ACADSB	0.000000	15329	0.727218	8863
ACADVL	0.228455	2106	1.976713	944
ACAN	0.054389	6977	0.123262	12162
ACAP1	0.000000	15328	0.000000	17220
ACAP2	0.064018	6472	1.475867	3075
ACAP3	0.016346	9681	0.618972	9515
ACAT1	0.000000	15327	1.541358	2635
ACAT2	0.280271	1593	1.713421	1790
ACBD3	0.035691	8126	1.889632	1169
ACBD4	-0.133201	16909	0.575645	9777
ACBD5	-0.003216	15443	0.465903	10387
ACBD6	0.207639	2381	1.261404	4672
ACBD7	-0.072729	16531	0.164589	11908
ACCS	-0.055421	16347	0.221325	11558
ACCSL	-	19004	-	19004
ACD	0.085377	5510	0.937876	7340
ACE	0.386811	938	0.833328	8145
ACE2	0.000000	15326	0.000000	17219
ACER1	0.000000	15325	0.000000	17218
ACER2	-0.010054	15599	0.183833	11786
ACER3	-0.094240	16698	1.024354	6624
ACHE	0.016152	9891	0.206234	11636
ACIN1	0.101695	4886	1.723943	1738
ACKR1	0.052220	7152	0.052220	12905
ACKR2	0.034919	8211	0.099370	12369
ACKR3	0.083570	5611	1.057241	6368
ACKR4	0.000000	15324	0.104394	12325
ACLY	0.648083	295	1.942782	1023
ACMSD	0.000000	15323	0.000000	17217
ACO1	0.322578	1259	1.846520	1306
ACO2	0.000000	15322	1.591414	2358
ACOD1	0.000000	15321	0.000000	17216
ACOT1	0.048339	7394	0.065132	12725
ACOT11	0.066144	6365	0.189922	11739
ACOT12	0.000000	15320	0.000000	17215
ACOT13	0.184581	2784	1.385772	3719
ACOT2	0.255026	1823	1.064517	6298
ACOT4	-0.052273	16310	0.086915	12490
ACOT6	-	19003	-	19003
ACOT7	0.446159	703	1.336345	4068
ACOT8	-0.040828	16174	1.359941	3903
ACOT9	0.208498	2373	1.757564	1613
ACOX1	0.044911	7578	1.344474	4014
ACOX2	0.210975	2327	0.626731	9471
ACOX3	0.300808	1414	1.139206	5705
ACOXL	0.000000	15319	0.000000	17214
ACP1	0.032518	8305	1.839850	1324
ACP2	0.070209	6180	1.570966	2452
ACP5	0.000000	15318	0.049809	12942
ACP6	0.040078	7845	0.690110	9090
ACP7	-	19002	-	19002
ACPP	0.045662	7541	0.226084	11535
ACPT	-	19001	-	19001
ACR	0.000000	15317	0.000000	17213
ACRBP	0.000000	15316	0.089675	12455
ACRC	0.000000	15315	0.000000	17212
ACRV1	0.000000	15314	0.000000	17211
ACSBG1	0.000000	15313	0.000000	17210
ACSBG2	0.000000	15312	0.000000	17209
ACSF2	0.000000	15311	0.664174	9261
ACSF3	0.008846	10537	0.813878	8295
ACSL1	0.008846	10536	1.083362	6146
ACSL3	0.093849	5190	1.977308	942
ACSL4	0.038071	7957	1.603999	2296
ACSL5	0.008846	10535	0.331764	11033
ACSL6	0.000000	15310	0.000000	17208
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15309	0.000000	17207
ACSM2B	0.000000	15308	0.000000	17206
ACSM3	0.008846	10534	0.019545	13600
ACSM4	-	18999	-	18999
ACSM5	0.068040	6289	0.068040	12699
ACSM6	0.000000	15307	0.000000	17205
ACSS1	-0.067668	16492	0.622759	9491
ACSS2	0.019589	9307	0.951165	7255
ACSS3	0.008846	10533	0.241793	11455
ACTA1	0.040092	7844	0.040092	13067
ACTA2	1.039509	58	2.413806	300
ACTB	0.562427	420	3.833723	3
ACTBL2	0.483891	589	0.483891	10293
ACTC1	0.032187	8594	0.132077	12105
ACTG1	0.431762	769	3.905359	2
ACTG2	0.422917	806	1.152482	5593
ACTL10	0.135397	3841	0.252456	11407
ACTL6A	0.108631	4637	1.624647	2192
ACTL6B	0.000000	15306	0.000000	17204
ACTL7A	0.000000	15305	0.000000	17203
ACTL7B	0.000000	15304	0.000000	17202
ACTL8	0.000000	15303	0.000000	17201
ACTL9	0.000000	15302	0.000000	17200
ACTN1	0.432946	765	2.588616	198
ACTN2	0.010743	10260	0.219279	11568
ACTN3	0.000000	15301	0.000000	17199
ACTN4	0.222400	2178	1.793589	1478
ACTR10	-0.009390	15585	1.691734	1887
ACTR1A	0.209334	2358	2.135266	621
ACTR1B	-0.046846	16245	1.243969	4803
ACTR2	0.130314	3987	1.842962	1314
ACTR3	0.227255	2125	2.396824	311
ACTR3B	0.051522	7211	0.808473	8334
ACTR3C	0.000000	15300	0.029488	13360
ACTR5	-0.031164	16022	0.766103	8611
ACTR6	0.000000	15299	0.852489	7996
ACTR8	0.101590	4891	1.243287	4812
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15298	0.000000	17198
ACTRT3	-	18997	-	18997
ACVR1	0.017466	9608	1.091960	6077
ACVR1B	0.124187	4157	1.141917	5679
ACVR1C	0.000000	15297	0.000000	17197
ACVR2A	0.066781	6341	0.821749	8235
ACVR2B	-0.106981	16783	0.278664	11286
ACVRL1	0.390367	921	0.756415	8670
ACY1	0.064820	6434	1.195999	5223
ACY3	0.000000	15296	0.000000	17196
ACYP1	0.008846	10532	0.852210	7999
ACYP2	0.008439	10551	0.807332	8340
ADA	0.230661	2088	0.836495	8117
ADAD1	0.000000	15295	0.000000	17195
ADAD2	0.000000	15294	0.000000	17194
ADAL	-0.142459	16944	0.585474	9714
ADAM10	0.310387	1342	1.797477	1460
ADAM11	0.048938	7342	0.048938	12951
ADAM12	0.468135	630	0.746630	8728
ADAM15	0.178416	2900	1.858252	1263
ADAM17	0.134060	3876	1.378086	3772
ADAM18	0.000000	15293	0.000000	17193
ADAM19	0.607538	346	1.617935	2235
ADAM2	0.000000	15292	0.000000	17192
ADAM20	0.000000	15291	0.000000	17191
ADAM21	0.000000	15290	0.000000	17190
ADAM22	0.000000	15289	0.133355	12094
ADAM23	0.265902	1716	0.596679	9656
ADAM28	0.010743	10259	0.110857	12266
ADAM29	0.000000	15288	0.000000	17189
ADAM30	0.000000	15287	0.000000	17188
ADAM32	0.000000	15286	0.000000	17187
ADAM33	0.019545	9532	0.341861	10987
ADAM7	0.000000	15285	0.000000	17186
ADAM8	0.000000	15284	0.000000	17185
ADAM9	0.487800	579	2.170486	559
ADAMDEC1	0.000000	15283	0.000000	17184
ADAMTS1	0.127406	4063	1.932177	1052
ADAMTS10	0.055286	6913	0.721778	8889
ADAMTS12	1.243349	30	1.480136	3045
ADAMTS13	0.000000	15282	0.000000	17183
ADAMTS14	0.032187	8593	0.261085	11358
ADAMTS15	0.434995	755	0.959474	7188
ADAMTS16	0.032187	8592	0.032187	13345
ADAMTS17	0.007736	10580	0.117491	12213
ADAMTS18	0.008846	10531	0.008846	13942
ADAMTS19	0.063962	6478	0.063962	12731
ADAMTS2	0.776237	164	1.516655	2815
ADAMTS20	0.000000	15281	0.000000	17182
ADAMTS3	0.225532	2143	0.502315	10198
ADAMTS4	0.057256	6830	0.452457	10460
ADAMTS5	0.095688	5121	0.608485	9576
ADAMTS6	0.454513	672	0.657135	9301
ADAMTS7	0.576078	401	1.166537	5474
