gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.247084	2003	1.238085	4752
A1CF	0.000000	15180	0.000000	17239
A2M	0.000000	15179	0.163074	11557
A2ML1	0.032650	7512	0.032650	12900
A3GALT2	-	19008	-	19008
A4GALT	-0.078241	16359	0.617208	9170
A4GNT	0.000000	15178	0.000000	17238
AAAS	0.281911	1672	1.675881	1954
AACS	0.117129	4196	1.167793	5281
AADAC	0.010116	9462	0.010116	13539
AADACL2	0.000000	15177	0.000000	17237
AADACL3	0.000000	15176	0.000000	17236
AADACL4	-	19007	-	19007
AADAT	0.288904	1618	0.776704	8206
AAED1	0.240061	2085	1.458416	3178
AAGAB	0.042526	6765	1.591227	2380
AAK1	0.108721	4399	0.690907	8735
AAMDC	0.026873	7929	1.150737	5416
AAMP	0.108035	4419	1.866169	1255
AANAT	0.000000	15175	0.000000	17235
AAR2	0.022593	8141	1.141616	5495
AARD	0.015891	8759	0.030343	12915
AARS	0.179907	2936	1.769797	1601
AARS2	0.061650	5898	1.272468	4493
AARSD1	0.136193	3755	1.549026	2610
AASDH	0.014984	8812	0.985770	6710
AASDHPPT	0.099577	4639	1.591801	2378
AASS	-0.013660	15477	1.048407	6221
AATF	0.095641	4745	1.564501	2523
AATK	0.000000	15174	0.000000	17234
ABAT	0.000000	15173	0.386842	10423
ABCA1	0.000000	15172	0.714162	8624
ABCA10	0.008203	9935	0.008203	13773
ABCA12	0.063272	5825	0.063272	12349
ABCA13	0.000000	15171	0.000000	17233
ABCA2	0.029662	7703	0.474331	9997
ABCA3	0.000000	15170	0.253919	11008
ABCA4	0.000000	15169	0.000000	17232
ABCA5	0.027748	7879	0.340015	10626
ABCA6	0.205715	2550	0.556440	9537
ABCA7	0.003883	10092	0.241058	11069
ABCA8	0.000000	15168	0.454321	10098
ABCA9	0.000000	15167	0.214610	11206
ABCB1	0.000000	15166	0.053509	12467
ABCB10	0.274194	1741	1.134355	5548
ABCB11	0.000000	15165	0.000000	17231
ABCB4	0.058721	6003	0.112117	11910
ABCB5	0.000000	15164	0.000000	17230
ABCB6	0.000000	15163	0.359757	10532
ABCB7	0.000000	15162	1.158354	5351
ABCB8	0.092617	4837	1.169871	5265
ABCB9	0.095071	4766	0.557470	9533
ABCC1	0.069037	5595	1.173583	5231
ABCC10	-0.043545	15981	0.571063	9448
ABCC11	0.000000	15161	0.000000	17229
ABCC12	0.000000	15160	0.000000	17228
ABCC2	0.032650	7511	0.032650	12899
ABCC3	0.187968	2792	1.000296	6603
ABCC4	0.266010	1815	1.157042	5361
ABCC5	0.028635	7774	0.739379	8460
ABCC6	-	19006	-	19006
ABCC8	0.000000	15159	0.000000	17227
ABCC9	0.029029	7751	0.198522	11310
ABCD1	0.000000	15158	0.685426	8767
ABCD2	0.000000	15157	0.027803	13007
ABCD3	-0.001673	15224	1.162966	5315
ABCD4	-0.039143	15921	0.982848	6732
ABCE1	0.256977	1921	1.776042	1579
