gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.568479	1741	1.368059	5459
A1CF	0.000000	16853	0.000000	17239
A2M	0.000000	16852	0.252853	12153
A2ML1	0.000000	16851	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.446191	2584	1.141640	7426
A4GNT	0.000000	16850	0.000000	17237
AAAS	0.311777	4279	1.705747	2875
AACS	0.217799	6529	1.268463	6382
AADAC	0.000000	16849	0.000000	17236
AADACL2	0.000000	16848	0.000000	17235
AADACL3	0.000000	16847	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.337799	3861	0.907411	9171
AAED1	0.492698	2229	1.711054	2841
AAGAB	0.132616	9275	1.681317	3038
AAK1	0.171144	7953	0.996074	8554
AAMDC	0.090091	10821	1.151982	7343
AAMP	0.045574	12159	1.718336	2787
AANAT	0.000000	16846	0.000000	17233
AAR2	0.231509	6117	1.173656	7150
AARD	0.038626	12318	0.053078	13467
AARS	0.270106	5118	1.882183	1927
AARS2	0.034962	12391	1.245779	6560
AARSD1	0.166148	8209	1.456214	4694
AASDH	0.067537	11403	1.147821	7390
AASDHPPT	0.077714	11149	1.581816	3754
AASS	0.172665	7899	1.234732	6653
AATF	0.043653	12199	1.512513	4247
AATK	0.000000	16845	0.015174	14049
ABAT	0.072527	11292	0.726318	10253
ABCA1	0.294526	4581	1.687925	2987
ABCA10	0.086593	10908	0.086593	13172
ABCA12	0.000000	16844	0.000000	17232
ABCA13	0.302572	4449	0.302572	11956
ABCA2	0.174804	7832	0.934498	8978
ABCA3	0.033915	12409	0.406816	11594
ABCA4	0.000000	16843	0.000000	17231
ABCA5	0.015174	13115	0.629477	10728
ABCA6	0.660101	1347	1.119275	7620
ABCA7	0.237745	5963	0.644439	10678
ABCA8	0.228057	6198	1.168853	7196
ABCA9	0.000000	16842	0.096537	13033
ABCB1	0.095174	10561	0.692847	10445
ABCB10	0.293916	4596	1.154077	7326
ABCB11	0.000000	16841	0.000000	17230
ABCB4	0.153077	8645	0.302070	11958
ABCB5	0.015174	13114	0.015174	14048
ABCB6	0.347068	3727	0.698724	10408
ABCB7	0.028452	12633	1.254306	6494
ABCB8	0.227249	6216	1.352488	5573
ABCB9	0.211008	6689	0.680062	10506
ABCC1	0.410268	2940	1.667238	3118
ABCC10	0.130007	9351	0.715167	10346
ABCC11	0.000000	16840	0.000000	17229
ABCC12	0.000000	16839	0.000000	17228
ABCC2	0.092346	10752	0.092346	13146
ABCC3	0.731933	1098	1.544262	4017
ABCC4	0.773009	987	1.328133	5818
ABCC5	0.054072	11696	0.871966	9403
ABCC6	-	19006	-	19006
ABCC8	0.000000	16838	0.000000	17227
ABCC9	0.255109	5472	0.618048	10795
ABCD1	0.221101	6408	1.174325	7144
ABCD2	0.000000	16837	0.079943	13189
ABCD3	0.155922	8560	1.320562	5905
ABCD4	0.022585	12793	1.056779	8116
ABCE1	0.284191	4808	1.803255	2303
ABCF1	0.156703	8521	2.006637	1450
ABCF2	0.248180	5668	1.600973	3627
ABCF3	0.047667	12120	1.522444	4187
ABCG1	0.010348	13360	0.010348	14215
ABCG2	0.092346	10751	0.199213	12318
ABCG4	0.105154	10077	0.120798	12750
ABCG5	0.000000	16836	0.000000	17226
ABCG8	0.000000	16835	0.000000	17225
ABHD1	0.044632	12176	0.103804	12843
ABHD10	0.134133	9238	1.286681	6219
ABHD11	0.213394	6624	1.183355	7058
ABHD12	0.230349	6144	1.749235	2615
ABHD12B	0.048420	12112	0.048420	13549
ABHD13	0.092556	10643	1.119770	7618
ABHD14A	0.100177	10409	1.151388	7346
ABHD14B	0.112615	9867	1.870072	1988
ABHD15	0.313586	4241	0.654150	10621
ABHD16A	0.081886	11032	1.346379	5637
ABHD16B	-	19005	-	19005
ABHD17A	0.270992	5089	1.170854	7185
ABHD17B	0.028442	12634	0.960643	8775
ABHD17C	0.541447	1892	1.582840	3742
ABHD18	0.154971	8584	1.006841	8477
ABHD2	0.324057	4077	1.750308	2607
ABHD3	-0.127661	17150	0.822701	9688
ABHD4	0.167695	8168	1.476564	4530
ABHD5	0.462847	2435	1.659726	3162
ABHD6	0.131777	9304	0.710807	10360
ABHD8	0.137495	9129	1.047222	8188
ABI1	0.191068	7256	1.591176	3685
ABI2	0.324942	4060	1.672601	3084
ABI3	0.080637	11078	0.276917	12018
ABI3BP	1.838871	40	2.515211	406
ABL1	0.420644	2823	1.422155	4980
ABL2	0.623524	1480	1.291591	6169
ABLIM1	0.100371	10404	0.618048	10794
ABLIM2	0.000000	16834	0.000000	17224
ABLIM3	0.687446	1250	1.662142	3144
ABO	0.000000	16833	0.000000	17223
ABR	0.332046	3950	1.393416	5235
ABRA	0.092346	10750	0.092346	13145
ABRACL	0.170222	8086	1.572174	3828
ABT1	0.003544	13438	1.200410	6929
ABTB1	0.053078	11922	1.097951	7788
ABTB2	0.145443	8895	0.570106	10978
ACAA1	0.144816	8917	1.532545	4095
ACAA2	0.247239	5694	1.391592	5247
ACACA	0.384335	3247	1.527662	4140
ACACB	0.073629	11272	0.256815	12105
ACAD10	0.016616	12874	1.006194	8483
ACAD11	0.432514	2701	1.097951	7787
ACAD8	-0.084075	17098	1.124677	7579
ACAD9	0.311754	4288	1.416476	5021
ACADL	0.016406	12960	0.016406	13924
ACADM	0.078548	11129	1.402162	5153
ACADS	0.100371	10403	0.831812	9632
ACADSB	0.206025	6839	1.109647	7693
ACADVL	0.347103	3726	1.959974	1611
ACAN	0.811552	881	0.861851	9461
ACAP1	0.007476	13396	0.119578	12768
ACAP2	0.148335	8785	1.660674	3156
ACAP3	0.081865	11034	0.717392	10302
ACAT1	0.255223	5469	1.845813	2107
ACAT2	0.851394	793	2.284544	707
ACBD3	0.297674	4535	2.151615	1024
ACBD4	0.237244	5981	0.946089	8896
