gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.378813	2137	1.369813	3792
A1CF	0.000000	14615	0.000000	17239
A2M	0.000000	14614	0.000000	17238
A2ML1	0.000000	14613	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	0.537258	1136	1.201684	4720
A4GNT	0.000000	14612	0.000000	17236
AAAS	0.463685	1500	1.857655	1614
AACS	0.409212	1888	1.459875	3304
AADAC	0.000000	14611	0.000000	17235
AADACL2	0.000000	14610	0.000000	17234
AADACL3	0.000000	14609	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.140517	5276	0.140517	11631
AAED1	0.280607	3139	1.498962	3088
AAGAB	-0.393651	16803	1.155050	5016
AAK1	0.081961	6446	0.871816	6810
AAMDC	0.120945	5560	1.304741	4142
AAMP	0.276612	3183	2.081378	1002
AANAT	0.000000	14608	0.000000	17232
AAR2	0.401901	1944	1.523136	2985
AARD	0.126064	5472	0.140517	11630
AARS	0.356888	2337	1.968965	1277
AARS2	0.090333	6277	1.301151	4155
AARSD1	0.097691	6132	1.510525	3039
AASDH	0.000000	14607	0.390360	9967
AASDHPPT	-0.020711	14870	1.022999	5825
AASS	-0.017179	14798	0.762305	7564
AATF	-0.039255	15186	1.429605	3468
AATK	0.000000	14606	0.000000	17231
ABAT	0.140788	5084	0.648402	8310
ABCA1	0.117764	5788	0.753301	7577
ABCA10	0.000000	14605	0.000000	17230
ABCA12	0.000000	14604	0.000000	17229
ABCA13	0.000000	14603	0.000000	17228
ABCA2	0.000000	14602	0.773580	7415
ABCA3	0.000000	14601	0.000000	17227
ABCA4	0.000000	14600	0.000000	17226
ABCA5	0.000000	14599	0.140517	11629
ABCA6	0.085525	6374	0.535698	9007
ABCA7	0.102657	6045	0.861758	6897
ABCA8	0.000000	14598	0.342889	10170
ABCA9	0.000000	14597	0.117764	12025
ABCB1	0.000000	14596	0.000000	17225
ABCB10	-0.067074	15515	0.627429	8359
ABCB11	0.000000	14595	0.000000	17224
ABCB4	0.000000	14594	0.000000	17223
ABCB5	0.000000	14593	0.000000	17222
ABCB6	0.148613	5001	0.390360	9966
ABCB7	0.000000	14592	0.518980	9211
ABCB8	0.274252	3213	1.446219	3372
ABCB9	0.156422	4879	0.555169	8911
ABCC1	0.305065	2855	1.562035	2795
ABCC10	0.384097	2085	0.795275	7308
ABCC11	0.000000	14591	0.000000	17221
ABCC12	0.140517	5275	0.140517	11628
ABCC2	0.140517	5274	0.140517	11627
ABCC3	1.153292	119	1.965621	1285
ABCC4	0.183963	4508	1.074995	5494
ABCC5	0.000000	14590	0.579710	8766
ABCC6	-	19006	-	19006
ABCC8	0.000000	14589	0.000000	17220
ABCC9	0.000000	14588	0.000000	17219
ABCD1	0.261584	3372	1.214808	4648
ABCD2	0.000000	14587	0.000000	17218
ABCD3	-0.206284	16369	0.258281	10776
ABCD4	0.191279	4415	1.348142	3894
ABCE1	-0.573599	17042	0.945466	6319
ABCF1	0.169407	4704	2.019342	1145
ABCF2	0.381679	2118	1.808921	1770
ABCF3	0.084576	6398	1.559354	2810
ABCG1	0.000000	14586	0.000000	17217
ABCG2	0.032541	7290	0.140517	11626
ABCG4	0.000000	14585	0.000000	17216
ABCG5	0.000000	14584	0.000000	17215
ABCG8	0.000000	14583	0.000000	17214
ABHD1	0.000000	14582	0.000000	17213
ABHD10	-0.172887	16219	0.675353	8118
ABHD11	0.274274	3212	1.244235	4482
ABHD12	0.480614	1399	1.999500	1198
ABHD12B	0.000000	14581	0.000000	17212
ABHD13	-0.212465	16385	0.814749	7182
ABHD14A	0.398530	1973	1.155452	5014
ABHD14B	0.603815	854	2.361272	520
ABHD15	0.000000	14580	0.258281	10775
ABHD16A	0.088992	6305	1.379694	3731
ABHD16B	-	19005	-	19005
ABHD17A	0.359640	2308	1.126245	5171
ABHD17B	-0.130249	15990	0.870394	6835
ABHD17C	0.170232	4691	1.211625	4675
ABHD18	-0.014453	14748	0.627114	8425
ABHD2	0.000000	14579	1.557942	2813
ABHD3	-0.247310	16497	0.703053	7923
ABHD4	0.571497	981	1.911986	1429
ABHD5	0.000000	14578	0.526954	9100
ABHD6	0.000000	14577	0.565841	8847
ABHD8	0.026811	7393	0.936537	6383
ABI1	-0.002922	14637	1.347110	3899
ABI2	0.303164	2876	1.716177	2144
ABI3	0.000000	14576	0.000000	17211
ABI3BP	0.866573	319	1.542913	2896
ABL1	0.207426	4157	1.112289	5264
ABL2	0.000000	14575	0.535698	9006
ABLIM1	0.000000	14574	0.140517	11625
ABLIM2	0.150760	4972	0.418819	9765
ABLIM3	1.342619	58	2.157992	838
ABO	0.000000	14573	0.000000	17210
ABR	0.338781	2494	1.388448	3681
ABRA	0.000000	14572	0.000000	17209
ABRACL	0.071894	6632	1.556261	2822
ABT1	0.219303	3976	1.416169	3550
ABTB1	0.003029	7705	1.190884	4793
ABTB2	0.132986	5365	0.846470	6983
ACAA1	0.028221	7366	1.510236	3041
ACAA2	0.051969	6970	0.576779	8788
ACACA	0.065727	6728	1.186608	4814
ACACB	0.140517	5273	0.140517	11624
ACAD10	-0.054032	15381	0.935546	6398
ACAD11	0.000000	14571	0.535698	9005
ACAD8	-0.148736	16092	1.060016	5581
ACAD9	0.241678	3659	1.641815	2435
ACADL	0.000000	14570	0.000000	17208
ACADM	-0.013798	14740	0.479549	9368
ACADS	0.000000	14569	0.699820	7943
ACADSB	0.000000	14568	0.334212	10327
ACADVL	-0.044351	15247	1.875427	1537
ACAN	0.000000	14567	0.000000	17207
ACAP1	0.000000	14566	0.000000	17206
ACAP2	0.000000	14565	1.070700	5519
ACAP3	0.049452	7024	0.747911	7643
ACAT1	0.000000	14564	0.938300	6381
ACAT2	0.246559	3606	1.524293	2979
ACBD3	-0.442164	16890	1.411778	3566
ACBD4	0.022094	7443	0.555169	8910
ACBD5	0.010183	7616	0.258281	10774
ACBD6	0.158431	4856	1.311277	4098
ACBD7	0.020963	7458	0.258281	10773
ACCS	0.064629	6755	0.434372	9617
ACCSL	-	19004	-	19004
ACD	0.471143	1461	1.262267	4391
ACE	0.548262	1097	0.994780	5991
ACE2	0.000000	14563	0.000000	17205
ACER1	0.000000	14562	0.000000	17204
ACER2	-0.029643	15035	0.000000	17203
ACER3	-0.454429	16906	0.664165	8217
ACHE	0.000000	14561	0.000000	17202
ACIN1	0.244478	3626	1.731879	2082
ACKR1	0.000000	14560	0.000000	17201
ACKR2	0.140517	5272	0.140517	11623
ACKR3	0.000000	14559	0.522880	9126
ACKR4	0.000000	14558	0.000000	17200
ACLY	0.700251	569	1.994950	1213
ACMSD	0.000000	14557	0.000000	17199
ACO1	0.145127	5045	1.669068	2335
ACO2	0.000000	14556	1.738732	2043
ACOD1	0.000000	14555	0.000000	17198
ACOT1	0.000000	14554	0.000000	17197
ACOT11	0.089697	6292	0.140517	11622
ACOT12	0.000000	14553	0.000000	17196
ACOT13	0.036295	7235	1.143919	5074
ACOT2	0.191747	4409	0.887472	6724
ACOT4	-0.139188	16039	0.000000	17195
ACOT6	-	19003	-	19003
ACOT7	0.610646	820	1.536675	2926
ACOT8	0.201567	4246	1.602337	2609
ACOT9	0.033461	7274	1.582527	2687
ACOX1	-0.120110	15927	1.137032	5110
ACOX2	0.194026	4364	0.583103	8700
ACOX3	0.325970	2642	1.303516	4146
ACOXL	0.000000	14552	0.000000	17194
ACP1	-0.096262	15767	1.612281	2568
ACP2	0.220727	3953	1.773590	1907
ACP5	0.000000	14551	0.000000	17193
ACP6	-0.007485	14679	0.666002	8176
ACP7	-	19002	-	19002
ACPP	0.252490	3522	0.481658	9276
ACPT	-	19001	-	19001
ACR	0.000000	14550	0.000000	17192
ACRBP	0.000000	14549	0.117764	12024
ACRC	0.000000	14548	0.000000	17191
ACRV1	0.000000	14547	0.000000	17190
ACSBG1	0.000000	14546	0.000000	17189
ACSBG2	0.000000	14545	0.000000	17188
ACSF2	0.339376	2492	0.977248	6117
ACSF3	0.097310	6142	0.920601	6499
ACSL1	0.051204	6984	1.045007	5672
ACSL3	-0.048022	15303	1.765912	1936
ACSL4	0.000000	14544	1.076254	5479
ACSL5	0.000000	14543	0.736023	7702
ACSL6	0.000000	14542	0.000000	17187
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14541	0.000000	17186
ACSM2B	0.000000	14540	0.000000	17185
ACSM3	0.000000	14539	0.000000	17184
ACSM4	-	18999	-	18999
ACSM5	0.000000	14538	0.000000	17183
ACSM6	0.000000	14537	0.000000	17182
ACSS1	0.044138	7103	0.926911	6471
ACSS2	0.555582	1063	1.396001	3640
ACSS3	0.000000	14536	0.418819	9764
ACTA1	0.000000	14535	0.000000	17181
ACTA2	1.186444	96	2.234303	713
ACTB	0.566966	1002	4.227717	3
ACTBL2	0.000000	14534	0.000000	17180
ACTC1	0.000000	14533	0.000000	17179
ACTG1	0.665417	660	4.144842	5
ACTG2	0.170335	4689	0.899900	6632
ACTL10	0.000706	7751	0.117764	12023
ACTL6A	0.000000	14532	0.926911	6470
ACTL6B	0.000000	14531	0.000000	17178
ACTL7A	0.000000	14530	0.000000	17177
ACTL7B	0.000000	14529	0.000000	17176
ACTL8	0.000000	14528	0.000000	17175
ACTL9	0.000000	14527	0.000000	17174
ACTN1	0.572421	975	2.685719	231
ACTN2	0.000000	14526	0.000000	17173
ACTN3	0.000000	14525	0.000000	17172
ACTN4	0.545227	1108	2.310472	584
ACTR10	-0.358114	16747	1.343009	3924
ACTR1A	0.355078	2348	2.384509	486
ACTR1B	0.336355	2520	1.627170	2500
ACTR2	0.000000	14524	0.955611	6275
ACTR3	0.000000	14523	1.777419	1891
ACTR3B	0.000000	14522	0.848386	6965
ACTR3C	0.117764	5787	0.117764	12022
ACTR5	-0.180507	16259	0.616761	8538
ACTR6	0.000000	14521	0.418819	9763
ACTR8	0.010183	7615	0.786798	7381
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14520	0.000000	17171
ACTRT3	-	18997	-	18997
ACVR1	0.343334	2453	1.417828	3541
ACVR1B	-0.000499	14622	1.017230	5862
ACVR1C	0.000000	14519	0.000000	17170
ACVR2A	0.195912	4331	0.864708	6869
ACVR2B	-0.172691	16217	0.000000	17169
ACVRL1	0.611200	817	0.977248	6116
ACY1	0.246629	3603	1.366655	3799
