gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	856	1.607366	2998
A1CF	0.000000	16041	0.000000	17239
A2M	0.673726	912	1.558170	3306
A2ML1	0.000000	16040	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.502244	1653	1.166669	6242
A4GNT	0.000000	16039	0.000000	17237
AAAS	0.343535	3110	1.737505	2314
AACS	0.177262	6254	1.227926	5710
AADAC	0.000000	16038	0.000000	17236
AADACL2	0.000000	16037	0.000000	17235
AADACL3	0.000000	16036	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.097137	8515	0.439729	10891
AAED1	0.365583	2844	1.583938	3137
AAGAB	0.140318	7103	1.689020	2548
AAK1	0.051692	9955	0.892747	8330
AAMDC	0.324839	3365	1.508635	3619
AAMP	0.125526	7696	1.911723	1620
AANAT	0.000000	16035	0.000000	17233
AAR2	0.251314	4606	1.372549	4586
AARD	0.103312	8366	0.117764	12608
AARS	0.006659	10892	1.618735	2926
AARS2	0.007887	10873	1.218704	5799
AARSD1	0.178835	6224	1.591669	3098
AASDH	0.142779	7048	1.069961	7011
AASDHPPT	0.176429	6267	1.523067	3525
AASS	0.095052	8555	0.972238	7748
AATF	-0.061082	16590	1.407778	4338
AATK	0.000000	16034	0.000000	17232
ABAT	0.222174	5183	0.830551	8703
ABCA1	0.000000	16033	0.590768	10140
ABCA10	0.117764	8038	0.117764	12607
ABCA12	0.000000	16032	0.000000	17231
ABCA13	0.117764	8037	0.117764	12606
ABCA2	0.120495	7815	0.814664	8810
ABCA3	0.000000	16031	0.117764	12605
ABCA4	0.155623	6749	0.155623	12116
ABCA5	0.110726	8182	0.690221	9586
ABCA6	0.924634	425	1.383808	4512
ABCA7	0.558106	1364	0.799660	8926
ABCA8	0.470968	1863	1.411764	4308
ABCA9	0.698790	838	1.000665	7529
ABCB1	0.000000	16030	0.208437	11807
ABCB10	0.113757	8114	0.911982	8177
ABCB11	0.000000	16029	0.000000	17230
ABCB4	0.518567	1559	0.667559	9754
ABCB5	0.000000	16028	0.000000	17229
ABCB6	0.383345	2629	0.507830	10574
ABCB7	0.000000	16027	1.201670	5946
ABCB8	0.171776	6376	1.343743	4803
ABCB9	0.390010	2550	0.741994	9283
ABCC1	0.123055	7760	1.296280	5166
ABCC10	0.051500	9960	0.643550	9874
ABCC11	0.000000	16026	0.000000	17228
ABCC12	0.155623	6748	0.155623	12115
ABCC2	0.136080	7319	0.136080	12281
ABCC3	1.005462	334	1.817791	1956
ABCC4	0.214472	5343	1.105504	6724
ABCC5	0.013625	10783	0.856847	8558
ABCC6	-	19006	-	19006
ABCC8	0.000000	16025	0.000000	17227
ABCC9	0.179651	6203	0.454264	10812
ABCD1	0.306208	3644	1.259431	5447
ABCD2	0.027817	10526	0.189199	12076
ABCD3	-0.063505	16599	1.035089	7250
ABCD4	0.073775	9243	1.149763	6394
ABCE1	-0.047651	16498	1.471414	3863
ABCF1	0.046042	10097	1.764314	2200
ABCF2	0.262473	4366	1.689715	2545
ABCF3	0.046861	10075	1.521639	3533
ABCG1	0.000000	16024	0.000000	17226
ABCG2	0.000000	16023	0.000000	17225
ABCG4	0.000000	16022	0.000000	17224
ABCG5	0.000000	16021	0.000000	17223
ABCG8	0.000000	16020	0.000000	17222
ABHD1	0.023005	10614	0.082176	12774
ABHD10	0.131279	7450	1.136644	6488
ABHD11	0.138820	7137	1.054957	7136
ABHD12	0.008455	10860	1.527341	3506
ABHD12B	0.000000	16019	0.000000	17221
ABHD13	-0.115782	16842	0.926398	8083
ABHD14A	0.280564	4042	1.397732	4416
ABHD14B	0.539768	1451	2.297225	672
ABHD15	0.197140	5778	0.439729	10890
