gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.692527	544	1.607366	2455
A1CF	0.000000	15155	0.000000	17239
A2M	0.673726	584	1.558170	2733
A2ML1	0.000000	15154	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.502244	1051	1.166669	5406
A4GNT	0.000000	15153	0.000000	17237
AAAS	0.014243	8453	1.399162	3743
AACS	-0.041880	15808	0.897946	7427
AADAC	0.000000	15152	0.000000	17236
AADACL2	0.000000	15151	0.000000	17235
AADACL3	0.000000	15150	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	15149	0.439729	10080
AAED1	0.365583	1812	1.583938	2591
AAGAB	0.140318	5039	1.689020	2097
AAK1	0.000000	15148	0.703757	8694
AAMDC	0.324839	2164	1.508635	3023
AAMP	0.000000	15147	1.745833	1880
AANAT	0.000000	15146	0.000000	17233
AAR2	0.210467	3661	1.177714	5301
AARD	0.103312	6034	0.117764	11758
AARS	-0.170906	16728	1.441171	3435
AARS2	0.007887	8570	1.218704	4973
AARSD1	0.178835	4275	1.591669	2553
AASDH	0.142779	4976	1.069961	6135
AASDHPPT	0.006466	8602	1.523067	2938
AASS	0.095052	6218	0.841607	7812
AATF	-0.061082	16011	1.407778	3673
AATK	0.000000	15145	0.000000	17232
ABAT	0.222174	3483	0.830551	7876
ABCA1	0.000000	15144	0.294975	10743
ABCA10	0.117764	5719	0.117764	11757
ABCA12	0.000000	15143	0.000000	17231
ABCA13	0.117764	5718	0.117764	11756
ABCA2	0.106428	5960	0.814664	7976
ABCA3	0.000000	15142	0.117764	11755
ABCA4	0.000000	15141	0.000000	17230
ABCA5	0.110726	5863	0.689015	8768
ABCA6	0.924634	258	1.383808	3824
ABCA7	0.558106	866	0.799660	8098
ABCA8	0.470968	1196	1.411764	3639
ABCA9	0.698790	533	1.000665	6638
ABCB1	0.000000	15140	0.000000	17229
ABCB10	0.113757	5801	0.911982	7310
ABCB11	0.000000	15139	0.000000	17228
ABCB4	0.000000	15138	0.000000	17227
ABCB5	0.000000	15137	0.000000	17226
ABCB6	0.202713	3788	0.439729	10079
ABCB7	0.000000	15136	1.171824	5364
ABCB8	-0.088923	16279	1.083043	6023
ABCB9	0.163565	4556	0.555544	9531
ABCC1	0.048995	7659	1.213838	5008
ABCC10	0.043086	7783	0.643550	9082
ABCC11	0.000000	15135	0.000000	17225
ABCC12	0.000000	15134	0.000000	17224
ABCC2	0.000000	15133	0.000000	17223
ABCC3	0.916007	267	1.728335	1937
ABCC4	0.208648	3695	1.099679	5911
ABCC5	0.013625	8467	0.856847	7715
ABCC6	-	19006	-	19006
ABCC8	0.000000	15132	0.000000	17222
ABCC9	0.179651	4257	0.454264	10035
ABCD1	0.029326	8138	0.982550	6774
ABCD2	0.027817	8169	0.189199	11339
ABCD3	-0.063505	16032	1.034960	6366
ABCD4	0.019413	8349	1.149763	5532
ABCE1	-0.054710	15946	1.464355	3287
ABCF1	0.046042	7705	1.764314	1807
ABCF2	0.081393	6816	1.508635	3022
ABCF3	0.009554	8550	1.484331	3156
ABCG1	0.000000	15131	0.000000	17221
ABCG2	0.000000	15130	0.000000	17220
ABCG4	0.000000	15129	0.000000	17219
ABCG5	0.000000	15128	0.000000	17218
ABCG8	0.000000	15127	0.000000	17217
ABHD1	0.023005	8262	0.082176	12115
ABHD10	-0.113463	16436	1.136644	5624
ABHD11	0.138820	5077	0.885509	7518
ABHD12	0.000000	15126	1.455746	3350
ABHD12B	0.000000	15125	0.000000	17216
ABHD13	-0.115782	16455	0.926398	7199
ABHD14A	0.280564	2636	1.397732	3747
ABHD14B	0.539768	920	2.297225	511
ABHD15	0.099165	6137	0.439729	10078
ABHD16A	0.000000	15124	1.144681	5579
ABHD16B	-	19005	-	19005
ABHD17A	0.401593	1580	1.058298	6215
ABHD17B	0.028368	8156	0.849002	7774
ABHD17C	0.104937	6003	1.146330	5565
ABHD18	0.067724	7162	0.707490	8644
ABHD2	0.142900	4939	1.479753	3187
ABHD3	-0.496088	17175	0.454275	9985
ABHD4	0.337841	2032	1.678331	2145
ABHD5	0.072125	7053	0.997308	6684
ABHD6	0.000000	15123	0.275871	10823
ABHD8	-0.100371	16358	0.677558	8866
ABI1	-0.038510	15749	1.389427	3797
ABI2	0.147831	4824	1.363539	3966
ABI3	0.000000	15122	0.000000	17215
ABI3BP	1.050981	180	1.727321	1940
ABL1	0.123938	5386	0.962527	6933
ABL2	0.480662	1144	1.148729	5543
ABLIM1	0.000000	15121	0.000000	17214
ABLIM2	0.000000	15120	0.000000	17213
ABLIM3	0.378585	1717	1.590915	2555
ABO	0.000000	15119	0.000000	17212
ABR	0.332706	2086	0.960388	6957
ABRA	0.000000	15118	0.000000	17211
ABRACL	0.129211	5267	1.586271	2578
ABT1	0.071686	7061	1.268552	4584
ABTB1	0.117764	5717	1.224058	4922
ABTB2	-0.270632	16994	0.336474	10595
ACAA1	0.279631	2654	1.761647	1812
ACAA2	0.332763	2079	1.433269	3502
ACACA	0.200755	3819	1.024349	6452
ACACB	0.000000	15117	0.142779	11469
ACAD10	0.099089	6140	1.088666	5988
