gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.404255	1835	1.395256	3750
A1CF	0.000000	14998	0.000000	17239
A2M	1.649292	48	2.699594	159
A2ML1	0.000000	14997	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.449285	17114	0.215141	11747
A4GNT	0.000000	14996	0.000000	17237
AAAS	0.494810	1256	1.888780	1282
AACS	0.273987	3221	1.324651	4232
AADAC	0.000000	14995	0.000000	17236
AADACL2	0.000000	14994	0.000000	17235
AADACL3	0.000000	14993	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.287924	3035	0.500536	10032
AAED1	0.077615	7480	1.113353	5844
AAGAB	-0.116085	16259	1.432616	3506
AAK1	0.026002	8719	0.611320	9378
AAMDC	0.080280	7432	1.211046	5057
AAMP	0.093863	7084	1.855249	1396
AANAT	0.000000	14992	0.000000	17233
AAR2	0.209721	4260	1.330957	4177
AARD	0.067385	7692	0.081838	12830
AARS	0.144229	5867	1.756306	1764
AARS2	0.137857	5972	1.348674	4057
AARSD1	0.102985	6874	1.370048	3925
AASDH	0.000000	14991	0.509873	9973
AASDHPPT	-0.020711	15265	1.280964	4546
AASS	0.143753	5873	0.949079	7111
AATF	0.114667	6487	1.583527	2621
AATK	0.256420	3495	0.256420	11400
ABAT	0.000000	14990	0.459318	10233
ABCA1	0.000000	14989	1.131093	5694
ABCA10	0.000000	14988	0.000000	17232
ABCA12	0.000000	14987	0.000000	17231
ABCA13	0.000000	14986	0.000000	17230
ABCA2	0.337071	2434	1.115965	5825
ABCA3	0.000000	14985	0.544354	9789
ABCA4	0.000000	14984	0.000000	17229
ABCA5	0.000000	14983	0.567783	9631
ABCA6	0.000000	14982	0.046626	13078
ABCA7	0.408883	1797	1.244441	4792
ABCA8	0.000000	14981	0.144323	12578
ABCA9	0.000000	14980	0.000000	17228
ABCB1	0.000000	14979	0.481925	10121
ABCB10	0.091706	7144	0.929526	7273
ABCB11	0.000000	14978	0.000000	17227
ABCB4	0.970742	260	1.119735	5795
ABCB5	1.812472	37	1.812472	1544
ABCB6	0.336179	2446	0.573195	9604
ABCB7	0.000000	14977	0.836484	7916
ABCB8	0.433188	1635	1.605155	2502
ABCB9	0.474654	1364	0.943708	7144
ABCC1	0.148026	5356	1.326303	4222
ABCC10	0.495645	1254	1.163188	5438
ABCC11	0.000000	14976	0.000000	17226
ABCC12	0.000000	14975	0.000000	17225
ABCC2	0.848015	352	0.848015	7827
ABCC3	0.000000	14974	0.371092	10705
ABCC4	0.100753	6919	0.909976	7403
ABCC5	0.219853	4063	1.208654	5079
ABCC6	-	19006	-	19006
ABCC8	0.000000	14973	0.000000	17224
ABCC9	0.000000	14972	0.215141	11746
ABCD1	0.844729	358	1.797952	1598
ABCD2	0.248876	3602	0.410259	10478
ABCD3	-0.206284	16661	0.895282	7507
