gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.575768	1404	1.566768	3673
A1CF	0.000000	16556	0.000000	17239
A2M	0.000000	16555	0.053078	13270
A2ML1	0.000000	16554	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.300982	4158	0.965407	8309
A4GNT	0.000000	16553	0.000000	17237
AAAS	0.429532	2410	1.823502	2164
AACS	0.307302	4040	1.357966	5260
AADAC	0.100371	9800	0.100371	12828
AADACL2	0.000000	16552	0.000000	17236
AADACL3	0.000000	16551	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.166641	7589	0.736253	9767
AAED1	0.138540	8576	1.356895	5264
AAGAB	0.185575	6963	1.734276	2602
AAK1	0.181016	7107	0.914745	8660
AAMDC	0.190837	6802	1.374632	5123
AAMP	0.258450	5043	2.063216	1284
AANAT	0.046880	11468	0.046880	13376
AAR2	0.249892	5263	1.371127	5151
AARD	0.534073	1642	0.548526	10744
AARS	0.309723	4004	1.921800	1771
AARS2	0.242480	5451	1.453297	4504
AARSD1	0.260377	4994	1.673210	2961
AASDH	0.000000	16550	1.042187	7757
AASDHPPT	0.211742	6256	1.601082	3406
AASS	0.505430	1796	1.567497	3665
AATF	0.054681	10937	1.523542	3977
AATK	0.000000	16549	0.000000	17234
ABAT	0.042780	11656	0.699838	10006
ABCA1	0.306612	4052	1.700011	2803
ABCA10	0.053078	11254	0.053078	13269
ABCA12	0.053078	11253	0.053078	13268
ABCA13	0.000000	16548	0.000000	17233
ABCA2	0.188186	6885	0.967080	8291
ABCA3	0.133710	8734	0.861664	8980
ABCA4	0.000000	16547	0.000000	17232
ABCA5	0.163598	7773	0.979093	8219
ABCA6	0.421067	2501	0.880242	8871
ABCA7	0.156842	7976	0.735675	9770
ABCA8	0.300252	4163	1.241048	6228
ABCA9	0.000000	16546	0.283983	11853
ABCB1	0.000000	16545	0.046711	13479
ABCB10	0.290408	4353	1.081996	7492
ABCB11	0.000000	16544	0.000000	17231
ABCB4	0.000000	16543	0.000000	17230
ABCB5	0.000000	16542	0.000000	17229
ABCB6	0.355232	3265	0.733925	9774
ABCB7	0.100371	9799	1.097257	7371
ABCB8	0.209102	6323	1.230673	6323
ABCB9	0.259843	5008	0.728897	9813
ABCC1	0.242933	5441	1.499903	4158
ABCC10	0.220450	5994	0.880242	8870
ABCC11	0.000000	16541	0.000000	17228
ABCC12	0.000000	16540	0.000000	17227
ABCC2	0.000000	16539	0.000000	17226
ABCC3	0.742024	856	1.554352	3769
ABCC4	0.610494	1258	1.373280	5142
ABCC5	0.222053	5948	1.210853	6496
ABCC6	-	19006	-	19006
ABCC8	0.000000	16538	0.000000	17225
ABCC9	0.000000	16537	0.053078	13267
ABCD1	0.157759	7935	1.110983	7253
ABCD2	0.000000	16536	0.143015	12612
ABCD3	-0.012760	16651	1.105851	7301
ABCD4	0.094119	9938	1.229074	6329
ABCE1	0.196354	6656	1.715418	2720
ABCF1	0.078375	10327	1.926783	1749
ABCF2	0.220501	5991	1.647743	3116
ABCF3	0.091598	9989	1.566376	3675
ABCG1	0.017419	12125	0.480167	11069
ABCG2	0.053078	11252	0.143015	12611
ABCG4	0.150575	8159	0.166219	12508
ABCG5	0.000000	16535	0.000000	17224
ABCG8	0.000000	16534	0.000000	17223
ABHD1	0.000000	16533	0.000000	17222
ABHD10	-0.051020	16875	1.219657	6404
ABHD11	0.276828	4645	1.246789	6182
ABHD12	0.098461	9837	1.617348	3299
ABHD12B	0.000000	16532	0.000000	17221
ABHD13	0.157775	7932	1.184989	6690
ABHD14A	0.515745	1739	1.332093	5483
ABHD14B	0.469020	2045	2.226477	889
ABHD15	0.023657	12031	0.364221	11519
ABHD16A	0.121619	9091	1.412321	4808
ABHD16B	-	19005	-	19005
ABHD17A	0.156172	7990	1.082772	7489
ABHD17B	0.296644	4232	1.049606	7713
ABHD17C	0.340540	3487	0.984977	8174
ABHD18	0.099426	9817	0.756304	9659
ABHD2	0.019716	12091	1.587129	3523
ABHD3	-0.349132	17217	0.601231	10493
ABHD4	0.612897	1244	1.953386	1637
ABHD5	0.152142	8105	1.197879	6587
ABHD6	0.053078	11251	0.688420	10076
ABHD8	0.158039	7926	1.018672	7947
ABI1	0.173576	7366	1.527759	3942
ABI2	0.227149	5830	1.368490	5171
ABI3	0.000000	16531	0.000000	17220
ABI3BP	1.461994	133	2.138334	1090
ABL1	0.296171	4242	1.297683	5756
ABL2	0.797018	743	1.465085	4431
ABLIM1	0.212930	6230	0.715899	9885
ABLIM2	0.000000	16530	0.000000	17219
ABLIM3	0.104245	9596	1.312489	5633
ABO	0.000000	16529	0.000000	17218
ABR	0.323707	3763	1.373373	5132
ABRA	0.000000	16528	0.000000	17217
ABRACL	0.169025	7501	1.638502	3172
ABT1	0.221853	5955	1.418719	4762
ABTB1	0.312347	3961	1.223403	6368
ABTB2	0.085016	10157	0.825756	9183
ACAA1	0.169739	7481	1.559679	3730
ACAA2	0.373597	3025	1.380797	5064
ACACA	0.396585	2743	1.353916	5288
ACACB	0.041348	11684	0.290271	11816
ACAD10	0.070092	10532	1.059670	7638
ACAD11	0.295345	4258	0.960781	8351
ACAD8	0.012402	12216	1.221153	6395
ACAD9	0.138451	8578	1.538589	3885
ACADL	0.053078	11250	0.053078	13266
ACADM	0.039281	11722	1.356408	5274
ACADS	0.391469	2797	1.279104	5910
ACADSB	0.107201	9514	0.915927	8649
ACADVL	0.041057	11692	1.944164	1667
ACAN	1.535259	99	1.585558	3536
ACAP1	0.000000	16527	0.063213	13031
ACAP2	0.253800	5154	1.595903	3448
ACAP3	0.276869	4644	0.856300	9014
ACAT1	0.065207	10627	1.737344	2588
ACAT2	0.423878	2478	1.857028	2020
ACBD3	0.269878	4767	2.123819	1117
ACBD4	-0.006893	16608	0.578502	10597
ACBD5	0.197824	6618	0.823332	9208
ACBD6	0.319466	3832	1.515769	4036
ACBD7	0.046665	11583	0.283983	11852
ACCS	0.113845	9327	0.538247	10810
ACCSL	-	19004	-	19004
ACD	0.281720	4531	1.198537	6582
ACE	0.000000	16526	0.321622	11706
ACE2	0.000000	16525	0.000000	17216
ACER1	0.000000	16524	0.000000	17215
ACER2	0.035375	11799	0.181844	12297
ACER3	-0.218576	17181	0.900018	8766
ACHE	0.013576	12193	0.405385	11415
ACIN1	0.307496	4038	1.765918	2420
ACKR1	0.178373	7231	0.178373	12368
ACKR2	0.000000	16523	0.215905	12149
ACKR3	0.000000	16522	0.519918	10895
ACKR4	0.189781	6831	0.294416	11812
ACLY	0.626022	1193	1.920721	1777
