gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.492698	1624	1.483698	3885
A1CF	0.000000	16043	0.000000	17239
A2M	0.270856	4077	0.896069	8257
A2ML1	0.000000	16042	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.492184	1630	1.156609	6326
A4GNT	0.000000	16041	0.000000	17237
AAAS	0.460566	1871	1.854536	1865
AACS	0.261322	4242	1.311986	5098
AADAC	0.800457	477	0.800457	8892
AADACL2	0.000000	16040	0.000000	17236
AADACL3	0.000000	16039	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.144512	6910	0.661590	9744
AAED1	0.206647	5259	1.324066	5014
AAGAB	0.065922	9184	1.614623	3050
AAK1	0.233871	4717	0.639082	9867
AAMDC	0.094855	8225	1.278651	5363
AAMP	0.272654	4044	2.018969	1280
AANAT	0.000000	16038	0.000000	17234
AAR2	0.262247	4225	1.383483	4592
AARD	0.150764	6735	0.165216	12206
AARS	0.235965	4673	1.848042	1889
AARS2	0.089659	8385	1.300477	5195
AARSD1	0.165245	6222	1.578079	3284
AASDH	0.029968	10621	0.985885	7619
AASDHPPT	0.042733	9947	1.490017	3846
AASS	0.053731	9617	1.076370	6980
AATF	-0.112822	16871	1.356039	4774
AATK	0.000000	16037	0.000000	17233
ABAT	0.013096	11153	0.568743	10205
ABCA1	0.061378	9393	1.081420	6936
ABCA10	0.050201	9736	0.050201	13015
ABCA12	0.063444	9341	0.063444	12917
ABCA13	0.000000	16036	0.000000	17232
ABCA2	0.079311	8677	0.835061	8677
ABCA3	0.000000	16035	0.348953	11197
ABCA4	0.000000	16034	0.000000	17231
ABCA5	0.000000	16033	0.745475	9253
ABCA6	0.407016	2320	0.866190	8464
ABCA7	0.317174	3314	0.698496	9546
ABCA8	0.059454	9431	1.000250	7520
ABCA9	0.986037	239	1.287911	5288
ABCB1	0.000000	16032	0.050201	13014
ABCB10	0.233517	4726	1.093678	6849
ABCB11	0.000000	16031	0.000000	17230
ABCB4	0.000000	16030	0.076816	12672
ABCB5	0.165216	6334	0.165216	12205
ABCB6	0.310851	3414	0.741778	9280
ABCB7	0.000000	16029	1.116389	6648
ABCB8	0.434345	2082	1.491945	3829
ABCB9	0.344408	2991	0.813462	8817
ABCC1	0.014414	11133	1.254527	5572
ABCC10	0.183276	5807	0.744946	9262
ABCC11	0.000000	16028	0.000000	17229
ABCC12	0.000000	16027	0.000000	17228
ABCC2	0.054371	9589	0.054371	12964
