gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.439892	1092	1.430893	3536
A1CF	0.000000	15106	0.000000	17239
A2M	0.000000	15105	0.516277	10092
A2ML1	0.000000	15104	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.013285	15378	0.651140	9322
A4GNT	0.000000	15103	0.000000	17237
AAAS	0.227126	2693	1.621096	2386
AACS	0.355351	1517	1.406015	3715
AADAC	0.161167	3802	0.161167	11770
AADACL2	0.000000	15102	0.000000	17236
AADACL3	0.000000	15101	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	15100	0.372662	10758
AAED1	0.128747	4548	1.347102	4142
AAGAB	0.023754	8390	1.572455	2669
AAK1	0.000000	15099	0.548109	9925
AAMDC	0.160207	3827	1.298127	4531
AAMP	0.059339	6980	1.864105	1393
AANAT	0.000000	15098	0.000000	17234
AAR2	0.219207	2792	1.340443	4197
AARD	0.030060	8183	0.044513	12841
AARS	0.183170	3413	1.795247	1643
AARS2	-0.021493	15542	1.189324	5376
AARSD1	0.034739	8048	1.353824	4091
AASDH	0.081376	6013	1.105200	6035
AASDHPPT	0.051342	7246	1.567943	2686
AASS	0.368361	1445	1.420966	3601
AATF	-0.100387	16498	1.368473	3997
AATK	0.026820	8287	0.044513	12840
ABAT	0.143647	4161	0.770415	8590
ABCA1	0.325300	1711	1.718699	1947
ABCA10	0.065300	6722	0.065300	12560
ABCA12	0.000000	15097	0.000000	17233
ABCA13	0.000000	15096	0.000000	17232
ABCA2	0.094071	5613	0.862549	7931
ABCA3	0.018968	9092	0.460618	10370
ABCA4	0.000000	15095	0.000000	17231
ABCA5	0.000000	15094	0.786589	8484
ABCA6	0.316860	1775	0.776035	8551
ABCA7	0.119328	4816	0.655721	9297
ABCA8	0.307917	1844	1.248713	4907
ABCA9	0.049779	7300	0.351653	10851
ABCB1	0.000000	15093	0.000000	17230
ABCB10	0.049997	7287	0.856100	7976
ABCB11	0.000000	15092	0.000000	17229
ABCB4	0.000000	15091	0.000000	17228
ABCB5	0.000000	15090	0.000000	17227
ABCB6	0.568909	707	0.805925	8333
ABCB7	0.000000	15089	1.041593	6551
ABCB8	-0.092732	16432	1.079235	6240
ABCB9	0.111125	5046	0.551735	9918
ABCC1	0.336044	1639	1.593014	2535
ABCC10	0.035337	8026	0.670686	9205
ABCC11	0.000000	15088	0.000000	17226
ABCC12	0.000000	15087	0.000000	17225
ABCC2	0.000000	15086	0.000000	17224
ABCC3	0.473666	963	1.285994	4626
ABCC4	0.236649	2561	1.127680	5868
ABCC5	0.000000	15085	0.839915	8091
ABCC6	-	19006	-	19006
ABCC8	0.018968	9091	0.018968	13319
ABCC9	0.178149	3482	0.305461	11050
ABCD1	0.000000	15084	0.913718	7542
ABCD2	0.018968	9090	0.155331	11822
ABCD3	-0.041482	15876	1.015051	6762
ABCD4	0.045452	7444	1.057553	6415
ABCE1	-0.067225	16197	1.451840	3408
ABCF1	0.088180	5790	1.740851	1854
ABCF2	0.063859	6776	1.491101	3142
ABCF3	0.012107	9303	1.486885	3180
ABCG1	0.008853	9404	0.626882	9484
ABCG2	0.000000	15083	0.018968	13318
ABCG4	0.075103	6456	0.075103	12542
ABCG5	0.000000	15082	0.000000	17223
ABCG8	0.000000	15081	0.000000	17222
ABHD1	0.000000	15080	0.044513	12839
ABHD10	0.027224	8270	1.127282	5872
ABHD11	-0.004538	15212	0.965422	7158
ABHD12	0.194815	3173	1.713702	1973
ABHD12B	0.189791	3273	0.189791	11616
ABHD13	-0.011615	15342	1.015599	6753
ABHD14A	0.142966	4187	1.104955	6037
ABHD14B	0.188230	3305	1.945688	1163
ABHD15	0.018968	9089	0.345122	10874
ABHD16A	0.010910	9351	1.117496	5946
ABHD16B	-	19005	-	19005
ABHD17A	0.145248	4128	1.071848	6295
ABHD17B	0.065463	6705	1.066106	6351
ABHD17C	0.025858	8316	1.067250	6337
ABHD18	0.093252	5637	0.799512	8389
ABHD2	0.018968	9088	1.407653	3698
ABHD3	-0.137253	16722	0.813109	8293
ABHD4	0.321777	1739	1.662266	2200
ABHD5	0.095992	5507	1.250783	4888
ABHD6	0.040950	7805	0.732851	8824
ABHD8	0.241851	2512	1.151577	5673
ABI1	-0.120686	16635	1.187319	5394
ABI2	0.105870	5194	1.440704	3476
ABI3	0.000000	15079	0.075103	12541
ABI3BP	0.410576	1219	1.367135	4006
ABL1	0.232149	2630	1.233661	5024
ABL2	0.118070	4848	0.786137	8488
ABLIM1	0.018968	9087	0.156479	11813
ABLIM2	0.164579	3735	0.432638	10499
ABLIM3	0.728626	445	1.604199	2474
ABO	0.000000	15078	0.000000	17221
ABR	0.125581	4636	1.053276	6448
ABRA	0.018968	9086	0.018968	13317
ABRACL	0.075103	6455	1.313075	4419
ABT1	0.102659	5287	1.299526	4521
ABTB1	0.018968	9085	1.034668	6604
ABTB2	-0.109830	16566	0.650991	9324
ACAA1	0.103543	5259	1.471061	3274
ACAA2	0.145630	4118	1.190908	5363
ACACA	0.311795	1820	1.455122	3389
ACACB	0.075103	6454	0.094071	12243
ACAD10	-0.043346	15904	0.946232	7299
ACAD11	0.245235	2466	0.910672	7572
ACAD8	-0.008731	15293	1.200020	5300
ACAD9	0.119616	4808	1.386183	3861
ACADL	0.000000	15077	0.000000	17220
ACADM	-0.013798	15387	1.270570	4727
ACADS	0.145659	4117	1.033294	6616
ACADSB	0.000000	15076	0.873532	7852
ACADVL	-0.012073	15354	1.907705	1271
ACAN	0.000000	15075	0.000000	17219
ACAP1	0.000000	15074	0.036863	12914
ACAP2	0.000000	15073	1.403394	3734
ACAP3	0.073328	6497	0.771787	8575
ACAT1	0.000000	15072	1.576317	2646
ACAT2	0.758414	416	2.191564	650
ACBD3	-0.009670	15304	1.844272	1479
ACBD4	0.161250	3797	0.787914	8473
ACBD5	0.089626	5741	0.542963	9953
ACBD6	0.163057	3765	1.191602	5361
ACBD7	0.071644	6547	0.308962	11040
ACCS	-0.008131	15279	0.456776	10383
ACCSL	-	19004	-	19004
ACD	0.136015	4377	0.947113	7294
ACE	0.000000	15071	0.124292	12009
ACE2	0.232205	2629	0.232205	11427
ACER1	0.044513	7678	0.044513	12838
ACER2	-0.010675	15322	0.277148	11177
ACER3	-0.167193	16851	0.951401	7264
ACHE	0.019713	8506	0.411522	10600
ACIN1	0.096292	5498	1.626643	2360
ACKR1	0.075103	6453	0.075103	12540
ACKR2	0.236523	2562	0.469174	10315
ACKR3	0.002735	9609	0.608215	9595
ACKR4	0.000000	15070	0.044513	12837
ACLY	0.893230	262	2.187929	659
ACMSD	0.000000	15069	0.000000	17218
ACO1	0.491992	899	2.015933	987
ACO2	0.012123	9302	1.773518	1730
ACOD1	0.000000	15068	0.000000	17217
ACOT1	0.124292	4684	0.124292	12008
ACOT11	0.143272	4180	0.223962	11464
ACOT12	0.000000	15067	0.000000	17216
ACOT13	0.180723	3453	1.514321	2989
ACOT2	0.165869	3716	1.205158	5263
ACOT4	-0.019572	15500	0.119616	12052
ACOT6	-	19003	-	19003
ACOT7	0.750281	421	1.276788	4684
ACOT8	0.226880	2697	1.627649	2355
ACOT9	0.000000	15066	1.468876	3291
ACOX1	-0.005581	15237	1.357148	4067
ACOX2	0.103856	5249	0.617715	9538
ACOX3	0.189331	3286	1.014618	6771
ACOXL	0.000000	15065	0.000000	17215
ACP1	-0.004421	15210	1.802911	1612
ACP2	0.030936	8160	1.475987	3250
ACP5	0.217173	2830	0.314083	11008
ACP6	0.044894	7468	0.640376	9391
ACP7	-	19002	-	19002
ACPP	0.018968	9084	0.081376	12295
ACPT	-	19001	-	19001
ACR	0.000000	15064	0.000000	17214
ACRBP	0.072883	6510	0.319465	10981
ACRC	0.000000	15063	0.000000	17213
ACRV1	0.000000	15062	0.000000	17212
ACSBG1	0.000000	15061	0.000000	17211
ACSBG2	0.000000	15060	0.000000	17210
ACSF2	0.111443	5037	0.894055	7693
ACSF3	0.180029	3462	0.833200	8144
ACSL1	0.370277	1429	1.450354	3414
ACSL3	0.212287	2891	2.245700	563
ACSL4	0.161922	3788	1.510990	3010
ACSL5	0.018968	9083	0.447460	10426
ACSL6	0.000000	15059	0.000000	17209
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15058	0.000000	17208
ACSM2B	0.000000	15057	0.000000	17207
ACSM3	0.036863	7985	0.036863	12913
ACSM4	-	18999	-	18999
ACSM5	0.044513	7677	0.044513	12836
ACSM6	0.000000	15056	0.000000	17206
ACSS1	0.033556	8096	0.851378	8012
ACSS2	0.664453	534	1.504871	3052
ACSS3	0.000000	15055	0.464335	10345
ACTA1	0.000000	15054	0.000000	17205
ACTA2	1.432112	53	2.806409	117
ACTB	0.399423	1283	3.922860	2
ACTBL2	0.600220	631	0.600220	9639
ACTC1	0.000000	15053	0.000000	17204
ACTG1	0.316267	1779	3.795692	5
ACTG2	1.440849	52	2.170414	696
ACTL10	0.232798	2613	0.349856	10854
ACTL6A	0.000000	15052	1.350020	4120
ACTL6B	0.000000	15051	0.000000	17203
ACTL7A	0.000000	15050	0.000000	17202
ACTL7B	0.000000	15049	0.000000	17201
ACTL8	0.000000	15048	0.000000	17200
ACTL9	0.000000	15047	0.000000	17199
ACTN1	0.359962	1485	2.391863	387
ACTN2	0.094071	5612	0.094071	12242
ACTN3	0.129444	4533	0.129444	11959
ACTN4	0.123663	4690	1.888908	1321
ACTR10	-0.030631	15705	1.613283	2426
ACTR1A	0.180862	3449	2.161379	705
ACTR1B	0.136140	4373	1.426955	3563
ACTR2	0.000000	15046	1.567125	2691
ACTR3	0.056785	7063	2.112196	808
ACTR3B	0.000000	15045	0.822194	8228
ACTR3C	0.044513	7676	0.044513	12835
ACTR5	-0.160913	16829	0.636354	9415
ACTR6	0.000000	15044	1.027202	6667
