gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.172206	4323	1.152867	5363
A1CF	0.000000	15242	0.000000	17239
A2M	0.050185	8419	0.493994	10106
A2ML1	0.000000	15241	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.086044	6589	0.750469	8502
A4GNT	0.000000	15240	0.000000	17237
AAAS	0.556469	706	1.950439	1118
AACS	0.273373	2673	1.324036	4119
AADAC	0.000000	15239	0.000000	17236
AADACL2	0.000000	15238	0.000000	17235
AADACL3	0.000000	15237	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.173231	4304	0.742844	8570
AAED1	0.080759	6723	1.152816	5364
AAGAB	-0.167547	16662	1.381154	3723
AAK1	0.172339	4318	0.745415	8542
AAMDC	0.262632	2816	1.446427	3292
AAMP	0.160545	4537	1.965311	1087
AANAT	0.000000	15236	0.000000	17233
AAR2	0.290132	2472	1.411368	3536
AARD	0.111974	5704	0.126427	12216
AARS	0.225872	3342	1.837949	1467
AARS2	0.162756	4494	1.373573	3775
AARSD1	0.230493	3278	1.643327	2205
AASDH	0.050185	8418	0.805573	8105
AASDHPPT	0.029474	8987	1.345353	3975
AASS	0.037642	8709	0.953387	6953
AATF	-0.022244	15582	1.446617	3290
AATK	0.032492	8870	0.050185	13420
ABAT	0.044204	8562	0.612528	9436
ABCA1	0.000000	15235	1.158839	5329
ABCA10	0.000000	15234	0.000000	17232
ABCA12	0.000000	15233	0.000000	17231
ABCA13	0.000000	15232	0.000000	17230
ABCA2	0.050185	8417	0.515065	9988
ABCA3	0.016653	9414	0.488168	10155
ABCA4	0.050185	8416	0.050185	13419
ABCA5	0.017709	9376	0.400128	10628
ABCA6	0.000000	15231	0.050185	13418
ABCA7	0.016745	9410	0.734938	8611
ABCA8	0.000000	15230	0.447921	10388
ABCA9	0.000000	15229	0.050185	13417
ABCB1	0.000000	15228	0.183268	11796
ABCB10	0.150482	4769	0.830177	7912
ABCB11	0.000000	15227	0.000000	17229
ABCB4	0.203270	3708	0.203270	11738
ABCB5	0.050185	8415	0.050185	13416
ABCB6	0.304057	2311	0.682750	8964
ABCB7	0.000000	15226	0.836429	7861
ABCB8	0.293920	2425	1.465887	3170
ABCB9	0.450485	1093	0.913875	7234
ABCC1	0.050612	7504	1.163017	5297
ABCC10	0.265350	2786	0.885725	7466
ABCC11	0.000000	15225	0.000000	17228
ABCC12	0.000000	15224	0.000000	17227
ABCC2	0.000000	15223	0.000000	17226
ABCC3	0.050185	8414	0.641868	9256
ABCC4	0.166500	4420	1.021192	6415
ABCC5	0.000000	15222	0.685848	8940
ABCC6	-	19006	-	19006
ABCC8	0.000000	15221	0.000000	17225
ABCC9	0.000000	15220	0.000000	17224
ABCD1	0.067958	7039	1.021181	6416
ABCD2	0.000000	15219	0.126427	12215
ABCD3	-0.107578	16360	1.057061	6137
ABCD4	0.106738	5822	1.194855	5041
ABCE1	-0.183999	16725	1.335066	4040
ABCF1	0.159259	4570	1.731290	1830
ABCF2	0.187735	3988	1.614977	2372
ABCF3	-0.061636	16036	1.413141	3526
ABCG1	0.000000	15218	0.179918	11838
ABCG2	0.000000	15217	0.050185	13415
ABCG4	0.000000	15216	0.000000	17223
ABCG5	0.000000	15215	0.000000	17222
ABCG8	0.000000	15214	0.000000	17221
ABHD1	0.000000	15213	0.050185	13414
ABHD10	-0.036559	15780	1.011364	6507
ABHD11	0.268690	2737	1.183532	5126
ABHD12	0.473318	964	1.992204	1010
ABHD12B	0.000000	15212	0.000000	17220
ABHD13	-0.239214	16886	0.788000	8222
ABHD14A	0.013518	9506	1.130686	5544
ABHD14B	0.057881	7309	1.815339	1525
ABHD15	0.000000	15211	0.203933	11730
ABHD16A	0.061023	7221	1.351725	3935
ABHD16B	-	19005	-	19005
ABHD17A	0.248895	3007	1.175495	5192
ABHD17B	-0.085956	16222	0.869838	7596
ABHD17C	0.263570	2808	1.214525	4867
ABHD18	0.035733	8764	0.708505	8787
ABHD2	0.053982	7403	1.707116	1925
ABHD3	-0.099097	16319	0.851265	7746
ABHD4	0.115206	5626	1.442668	3320
ABHD5	0.000000	15210	0.800578	8137
ABHD6	0.000000	15209	0.578701	9631
ABHD8	0.167990	4387	1.077716	5959
ABI1	-0.070501	16104	1.185920	5111
ABI2	0.108129	5787	1.375344	3765
ABI3	0.430209	1193	0.626490	9352
ABI3BP	0.043948	8568	0.335795	10989
ABL1	0.232362	3244	1.182180	5143
ABL2	0.262894	2813	0.930961	7116
ABLIM1	0.050185	8413	0.217348	11650
ABLIM2	0.000000	15208	0.224353	11557
ABLIM3	0.196811	3815	1.382548	3716
ABO	0.000000	15207	0.000000	17219
ABR	0.166928	4409	1.203126	4965
ABRA	0.000000	15206	0.000000	17218
ABRACL	0.166957	4407	1.663495	2113
ABT1	0.129462	5255	1.326328	4104
ABTB1	0.142531	4938	1.182837	5138
ABTB2	0.046067	8518	0.713849	8739
ACAA1	-0.006753	15350	1.433524	3392
ACAA2	0.318521	2133	1.016003	6467
ACACA	0.191127	3930	1.334454	4047
ACACB	0.158534	4585	0.309625	11111
ACAD10	0.048380	8465	1.037958	6289
ACAD11	0.000000	15205	0.502629	10062
ACAD8	-0.045460	15865	1.163292	5292
ACAD9	0.151743	4744	1.551881	2717
ACADL	0.029175	8996	0.050185	13413
ACADM	-0.013798	15440	0.946689	7003
ACADS	0.024050	9149	0.911685	7252
ACADSB	0.000000	15204	0.619641	9394
ACADVL	-0.124425	16475	1.795353	1595
ACAN	0.531535	767	0.581834	9619
ACAP1	0.000000	15203	0.000000	17217
ACAP2	0.000000	15202	1.205204	4952
ACAP3	0.125335	5381	0.823794	7955
ACAT1	0.000000	15201	1.499984	3006
ACAT2	0.469160	987	1.902310	1274
ACBD3	-0.237213	16880	1.616729	2362
ACBD4	-0.089549	16258	0.619297	9396
ACBD5	0.012197	9554	0.559940	9738
ACBD6	0.269526	2725	1.354769	3913
ACBD7	0.250850	2974	0.488168	10154
ACCS	-0.050345	15920	0.369287	10795
ACCSL	-	19004	-	19004
ACD	0.355842	1738	1.272659	4437
ACE	0.028392	9014	0.474910	10222
ACE2	0.000000	15200	0.000000	17216
ACER1	0.000000	15199	0.000000	17215
ACER2	0.020542	9292	0.050185	13412
ACER3	-0.216967	16817	0.901627	7334
ACHE	0.000000	15198	0.141107	12152
ACIN1	0.306344	2287	1.693684	1975
ACKR1	0.000000	15197	0.000000	17214
ACKR2	0.000000	15196	0.183268	11795
ACKR3	0.202980	3713	1.076020	5979
ACKR4	0.000000	15195	0.000000	17213
ACLY	0.756080	353	2.050779	876
ACMSD	0.000000	15194	0.000000	17212
ACO1	0.057437	7322	1.581379	2563
ACO2	0.000000	15193	1.709999	1916
ACOD1	0.000000	15192	0.000000	17211
ACOT1	0.284855	2532	0.336492	10969
ACOT11	0.034196	8802	0.280175	11260
ACOT12	0.000000	15191	0.000000	17210
ACOT13	0.010944	9588	1.299120	4263
ACOT2	0.128492	5280	1.167781	5254
ACOT4	-0.089003	16251	0.050185	13411
ACOT6	-	19003	-	19003
ACOT7	0.734329	373	1.869660	1367
ACOT8	0.056999	7330	1.457768	3224
ACOT9	0.099254	6079	1.648320	2177
ACOX1	0.112819	5682	1.246406	4616
ACOX2	0.458366	1044	0.489464	10126
ACOX3	-0.063716	16046	0.901726	7329
ACOXL	0.000000	15190	0.000000	17209
ACP1	0.011824	9567	1.768125	1687
ACP2	0.198589	3783	1.751452	1757
ACP5	0.029517	8982	0.126427	12214
ACP6	0.193449	3887	0.866936	7627
ACP7	-	19002	-	19002
ACPP	0.000000	15189	0.000000	17208
ACPT	-	19001	-	19001
ACR	0.000000	15188	0.000000	17207
ACRBP	0.050185	8412	0.175395	11932
ACRC	0.000000	15187	0.000000	17206
ACRV1	0.000000	15186	0.000000	17205
ACSBG1	0.050185	8411	0.050185	13410
ACSBG2	0.000000	15185	0.000000	17204
ACSF2	0.221049	3424	0.874076	7576
ACSF3	0.042313	8600	0.907406	7281
ACSL1	0.164078	4463	1.330595	4078
ACSL3	0.146996	4828	2.011602	971
ACSL4	0.051039	7489	1.340268	4010
ACSL5	0.050185	8410	0.141107	12151
ACSL6	0.000000	15184	0.000000	17203
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15183	0.000000	17202
ACSM2B	0.000000	15182	0.000000	17201
ACSM3	0.000000	15181	0.000000	17200
ACSM4	-	18999	-	18999
ACSM5	0.000000	15180	0.000000	17199
ACSM6	0.000000	15179	0.000000	17198
ACSS1	0.021960	9221	0.747355	8524
ACSS2	0.182520	4115	1.083227	5919
ACSS3	0.000000	15178	0.489464	10125
ACTA1	0.000000	15177	0.000000	17197
ACTA2	0.386162	1496	1.434021	3387
ACTB	0.583716	634	4.071493	1
ACTBL2	0.000000	15176	0.000000	17196
ACTC1	0.299592	2363	0.407097	10580
ACTG1	0.593361	620	4.054508	2
ACTG2	0.821050	282	1.550615	2724
ACTL10	0.000000	15175	0.100371	12415
ACTL6A	0.223341	3390	1.621238	2335
ACTL6B	0.050185	8409	0.050185	13409
ACTL7A	0.000000	15174	0.000000	17195
ACTL7B	0.000000	15173	0.000000	17194
ACTL8	0.000000	15172	0.000000	17193
ACTL9	0.000000	15171	0.000000	17192
ACTN1	0.378509	1561	2.521505	280
ACTN2	0.000000	15170	0.050185	13408
ACTN3	0.000000	15169	0.000000	17191
ACTN4	0.462402	1020	2.114909	739
ACTR10	-0.063808	16049	1.637315	2241
ACTR1A	0.359875	1692	2.325074	456
ACTR1B	0.129441	5257	1.420256	3470
ACTR2	0.000000	15168	1.533842	2813
ACTR3	0.108109	5789	2.078275	815
ACTR3B	0.033779	8818	0.882174	7494
ACTR3C	0.000000	15167	0.100371	12414
ACTR5	0.165178	4447	0.962446	6883
ACTR6	0.000000	15166	0.724164	8673
ACTR8	-0.037988	15797	1.143054	5444
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15165	0.000000	17190
ACTRT3	-	18997	-	18997
ACVR1	0.050185	8408	1.074747	5995
ACVR1B	-0.158595	16628	0.859135	7684
ACVR1C	0.000000	15164	0.000000	17189
ACVR2A	0.000000	15163	0.623025	9371
ACVR2B	-0.031584	15722	0.350780	10910
ACVRL1	0.032097	8888	0.309625	11110
ACY1	0.333444	1975	1.464623	3181
ACY3	0.000000	15162	0.000000	17188
ACYP1	0.050185	8407	0.981675	6737
ACYP2	0.055797	7354	0.449650	10351
ADA	0.346837	1834	1.021353	6411
ADAD1	0.000000	15161	0.000000	17187
ADAD2	0.000000	15160	0.000000	17186
ADAL	-0.104908	16349	0.623025	9370
ADAM10	0.050185	8406	1.342883	3991
ADAM11	0.092346	6371	0.092346	12545
ADAM12	0.790684	314	1.069180	6051
ADAM15	0.139106	5038	1.818942	1516
ADAM17	0.086981	6557	0.901986	7322
ADAM18	0.000000	15159	0.000000	17185
ADAM19	0.687156	428	1.634693	2258
ADAM2	0.000000	15158	0.000000	17184
ADAM20	0.000000	15157	0.000000	17183
ADAM21	0.000000	15156	0.000000	17182
ADAM22	0.050185	8405	0.309625	11109
ADAM23	0.158942	4577	0.641868	9255
ADAM28	0.000000	15155	0.000000	17181
ADAM29	0.000000	15154	0.000000	17180
ADAM30	0.000000	15153	0.000000	17179
ADAM32	0.000000	15152	0.000000	17178
ADAM33	0.224526	3362	0.717854	8711
ADAM7	0.000000	15151	0.000000	17177
ADAM8	0.000000	15150	0.050185	13407
ADAM9	0.143898	4879	1.806501	1559
ADAMDEC1	0.000000	15149	0.000000	17176
ADAMTS1	0.000000	15148	1.121332	5622
ADAMTS10	0.240401	3131	0.938919	7051
ADAMTS12	0.797706	302	1.034493	6323
ADAMTS13	0.000000	15147	0.000000	17175
ADAMTS14	0.443997	1121	0.678864	8984
ADAMTS15	0.471490	974	0.995970	6615
ADAMTS16	0.449379	1100	0.449379	10364
ADAMTS17	0.000000	15146	0.050185	13406
ADAMTS18	0.100371	6056	0.100371	12413
ADAMTS19	0.000000	15145	0.000000	17174
ADAMTS2	0.461115	1028	1.201533	4973
ADAMTS20	0.000000	15144	0.000000	17173
ADAMTS3	0.166949	4408	0.443733	10410
ADAMTS4	0.246273	3058	0.847679	7776
ADAMTS5	0.000000	15143	0.206062	11686
ADAMTS6	0.333501	1972	0.503601	10055
ADAMTS7	0.499843	868	1.090302	5858
ADAMTS8	0.000000	15142	0.000000	17172
ADAMTS9	0.023719	9168	0.206062	11685
ADAMTSL1	1.038922	144	1.535849	2809
ADAMTSL2	0.050185	8404	0.050185	13405
ADAMTSL3	-0.013137	15425	0.000000	17171
ADAMTSL4	0.000000	15141	0.387649	10666
ADAMTSL5	0.000000	15140	0.183268	11794
ADAP1	0.000000	15139	0.183268	11793
ADAP2	0.000000	15138	0.000000	17170
