gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.014617	8788	0.373940	10493
A1CF	0.000000	14987	0.000000	17239
A2M	0.000000	14986	0.037981	13181
A2ML1	1.173349	212	1.173349	5276
A3GALT2	-	19008	-	19008
A4GALT	0.099732	6215	0.795181	8030
A4GNT	0.000000	14985	0.000000	17238
AAAS	0.473522	1538	1.867492	1457
AACS	0.323207	2728	1.373871	3886
AADAC	0.000000	14984	0.000000	17237
AADACL2	0.000000	14983	0.000000	17236
AADACL3	0.000000	14982	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.258428	3489	0.828041	7788
AAED1	-0.075554	15982	0.974921	6768
AAGAB	0.040369	7553	1.589070	2625
AAK1	0.000000	14981	0.574680	9416
AAMDC	0.191180	4380	1.271884	4591
AAMP	0.265897	3388	2.011307	1035
AANAT	0.000000	14980	0.000000	17234
AAR2	0.438348	1770	1.559584	2771
AARD	0.053587	7279	0.068040	12481
AARS	0.263135	3428	1.875212	1428
AARS2	0.117677	5828	1.328495	4185
AARSD1	0.272401	3314	1.685234	2158
AASDH	0.000000	14979	0.892657	7369
AASDHPPT	0.011587	8871	1.389115	3775
AASS	-0.096962	16177	0.409251	10335
AATF	0.040679	7546	1.509539	3026
AATK	0.000000	14978	0.000000	17233
ABAT	0.311563	2850	1.040727	6266
ABCA1	0.000000	14977	1.137404	5547
ABCA10	0.000000	14976	0.000000	17232
ABCA12	0.390225	2130	0.390225	10415
ABCA13	0.000000	14975	0.000000	17231
ABCA2	0.102963	6159	0.484777	9929
ABCA3	0.000000	14974	0.037981	13180
ABCA4	0.075962	6714	0.075962	12268
ABCA5	0.000000	14973	0.476529	9986
ABCA6	0.000000	14972	0.000000	17230
ABCA7	0.020380	8658	0.855939	7616
ABCA8	0.000000	14971	0.235305	11220
ABCA9	0.000000	14970	0.000000	17229
ABCB1	0.000000	14969	0.000000	17228
ABCB10	0.150516	5119	0.906809	7262
ABCB11	0.000000	14968	0.000000	17227
ABCB4	0.000000	14967	0.000000	17226
ABCB5	0.000000	14966	0.000000	17225
ABCB6	0.584663	1023	0.963355	6855
ABCB7	0.000000	14965	0.806474	7957
ABCB8	0.479861	1490	1.462397	3318
ABCB9	0.187793	4447	0.651183	8950
ABCC1	0.000000	14964	0.907765	7253
