gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.489617	1055	1.400579	3855
A1CF	0.000000	15255	0.000000	17239
A2M	0.223203	3044	0.913051	7509
A2ML1	0.000000	15254	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.064446	6836	0.728872	8709
A4GNT	0.000000	15253	0.000000	17237
AAAS	0.146656	4417	1.299091	4559
AACS	0.033727	8289	1.084391	6245
AADAC	0.086818	6053	0.086818	12254
AADACL2	0.000000	15252	0.000000	17236
AADACL3	0.000000	15251	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.164412	4040	0.734024	8677
AAED1	0.204733	3315	1.387406	3936
AAGAB	0.132493	4708	1.681194	2174
AAK1	0.054943	7482	0.761543	8495
AAMDC	0.211878	3194	1.395674	3888
AAMP	0.021486	9056	1.631290	2407
AANAT	0.000000	15250	0.000000	17234
AAR2	0.073532	6556	1.162179	5603
AARD	0.959813	293	0.974265	7046
AARS	0.072965	6567	1.685042	2157
AARS2	-0.337620	17143	0.873198	7779
AARSD1	0.000000	15249	1.401527	3847
AASDH	0.000000	15248	1.044306	6555
AASDHPPT	0.093855	5812	1.590034	2623
AASS	0.233041	2897	1.271587	4767
AATF	-0.187322	16893	1.281538	4683
AATK	0.000000	15247	0.000000	17233
ABAT	0.000000	15246	0.606520	9423
ABCA1	0.104460	5442	1.147102	5728
ABCA10	0.123985	4916	0.123985	11941
ABCA12	0.000000	15245	0.000000	17232
ABCA13	0.021486	9055	0.021486	13136
ABCA2	0.287648	2233	1.066542	6390
ABCA3	0.000000	15244	0.239263	11285
ABCA4	0.000000	15243	0.000000	17231
ABCA5	0.078119	6359	0.706934	8837
ABCA6	0.418349	1382	0.877523	7741
ABCA7	0.002585	9981	0.163803	11691
ABCA8	0.445507	1245	1.386303	3948
ABCA9	1.004072	257	1.305946	4510
ABCB1	0.081145	6273	0.081145	12321
ABCB10	0.039211	8055	0.859984	7877
ABCB11	0.000000	15242	0.000000	17230
ABCB4	0.000000	15241	0.059659	12652
ABCB5	0.033457	8378	0.033457	12936
ABCB6	0.299900	2119	0.536915	9784
ABCB7	0.059659	7275	0.921125	7447
ABCB8	0.167534	3955	1.069763	6363
ABCB9	0.044769	7835	0.410467	10443
ABCC1	0.306566	2067	1.414167	3750
ABCC10	0.123188	4941	0.790731	8320
ABCC11	0.000000	15240	0.000000	17229
ABCC12	0.000000	15239	0.000000	17228
ABCC2	0.000000	15238	0.000000	17227
ABCC3	0.636852	705	1.449181	3508
ABCC4	0.283024	2280	1.174055	5516
ABCC5	0.007003	9825	0.995803	6891
ABCC6	-	19006	-	19006
ABCC8	0.000000	15237	0.000000	17226
ABCC9	0.277634	2333	0.640574	9242
ABCD1	0.091427	5914	1.044650	6552
ABCD2	0.000000	15236	0.098838	12181
ABCD3	0.099612	5631	1.264251	4821
ABCD4	0.079012	6329	1.055462	6471
ABCE1	0.081892	6212	1.600957	2555
ABCF1	0.052230	7558	1.814055	1610
ABCF2	0.019718	9112	1.446960	3520
ABCF3	-0.001184	15282	1.473593	3343
ABCG1	0.021486	9054	0.021486	13135
ABCG2	0.017693	9496	0.017693	13391
ABCG4	0.000000	15235	0.000000	17225
ABCG5	0.000000	15234	0.000000	17224
ABCG8	0.000000	15233	0.000000	17223
ABHD1	0.000000	15232	0.017693	13390
ABHD10	-0.006265	15352	1.264413	4817
ABHD11	-0.019798	15582	0.752677	8556
ABHD12	0.106285	5389	1.521942	3020
ABHD12B	0.000000	15231	0.000000	17222
ABHD13	0.077767	6368	1.104981	6086
ABHD14A	0.167589	3951	1.235629	5056
ABHD14B	0.170920	3899	1.928377	1216
ABHD15	0.000000	15230	0.167749	11679
ABHD16A	0.009455	9751	1.093939	6184
ABHD16B	-	19005	-	19005
ABHD17A	0.068817	6693	0.871329	7793
ABHD17B	-0.014423	15480	0.940960	7295
ABHD17C	0.233327	2892	1.274720	4742
ABHD18	-0.014453	15482	0.688238	8959
ABHD2	0.032665	8407	1.387320	3938
ABHD3	-0.437854	17179	0.512508	9903
ABHD4	0.814464	428	2.154954	685
ABHD5	0.303531	2084	1.500410	3175
ABHD6	0.094096	5805	0.752982	8555
ABHD8	0.005915	9860	0.788444	8337
ABI1	0.048078	7704	1.563621	2755
ABI2	0.013259	9632	1.318489	4427
ABI3	0.000000	15229	0.021486	13134
ABI3BP	0.821212	423	1.497552	3185
ABL1	0.142069	4505	1.143580	5759
ABL2	0.383407	1550	1.051474	6509
ABLIM1	0.095243	5774	0.391010	10562
ABLIM2	0.000000	15228	0.156727	11744
ABLIM3	0.083233	6174	1.186179	5427
ABO	0.000000	15227	0.000000	17221
ABR	0.161443	4105	1.011074	6794
ABRA	0.000000	15226	0.000000	17220
ABRACL	0.054943	7481	1.221879	5165
ABT1	-0.047226	16007	1.149640	5712
ABTB1	0.039179	8145	1.080174	6272
ABTB2	0.140070	4551	0.863532	7853
ACAA1	0.014676	9582	1.428473	3658
ACAA2	0.414798	1396	1.707577	2062
ACACA	0.181557	3697	0.992035	6915
ACACB	0.033457	8377	0.059659	12651
ACAD10	-0.231005	17014	0.758573	8511
ACAD11	0.142282	4501	0.807719	8227
ACAD8	-0.111571	16553	1.097181	6148
ACAD9	0.017693	9495	1.229670	5099
ACADL	0.438215	1283	0.459226	10179
ACADM	0.054315	7497	1.353878	4182
ACADS	0.000000	15225	0.636569	9263
ACADSB	0.019345	9125	0.798538	8279
ACADVL	0.165199	4012	2.019400	970
ACAN	0.909691	334	0.959990	7147
ACAP1	0.000000	15224	0.000000	17219
ACAP2	0.319870	1963	1.566911	2731
ACAP3	0.003689	9944	0.468081	10123
ACAT1	0.000000	15223	1.576837	2684
ACAT2	0.236235	2847	1.669385	2228
ACBD3	0.244087	2745	2.098028	801
ACBD4	-0.143651	16739	0.482263	10051
ACBD5	0.101734	5561	0.621068	9339
ACBD6	0.273366	2386	1.136643	5823
ACBD7	-0.122716	16628	0.114602	12044
ACCS	0.168652	3937	0.633559	9282
ACCSL	-	19004	-	19004
ACD	0.137018	4609	0.611403	9397
ACE	0.033457	8376	0.390376	10568
ACE2	0.000000	15222	0.000000	17218
ACER1	0.000000	15221	0.000000	17217
ACER2	0.028241	8530	0.198954	11517
ACER3	-0.144590	16743	0.974004	7047
ACHE	0.059659	7274	0.059659	12650
ACIN1	0.059659	7273	1.695325	2106
ACKR1	0.000000	15220	0.000000	17216
ACKR2	0.547329	903	0.547329	9738
ACKR3	0.393627	1494	1.737725	1924
ACKR4	0.611096	751	0.715731	8781
ACLY	0.472425	1128	1.767124	1806
ACMSD	0.000000	15219	0.000000	17215
ACO1	0.232056	2916	1.755998	1845
ACO2	0.000000	15218	1.566253	2735
ACOD1	0.000000	15217	0.000000	17214
ACOT1	0.363205	1675	0.363205	10690
ACOT11	0.179624	3732	0.425603	10361
ACOT12	0.000000	15216	0.000000	17213
ACOT13	0.205632	3297	1.466727	3393
ACOT2	0.535493	925	1.226065	5127
ACOT4	-0.052370	16066	0.086818	12253
ACOT6	-	19003	-	19003
ACOT7	0.207771	3258	1.131798	5857
ACOT8	0.075262	6488	1.476032	3321
ACOT9	0.000627	10047	1.549692	2835
ACOX1	0.129453	4788	1.571227	2709
ACOX2	0.348891	1768	0.786285	8356
ACOX3	0.212175	3192	1.103926	6097
ACOXL	0.000000	15215	0.000000	17212
ACP1	0.107966	5341	1.915298	1259
ACP2	0.126009	4861	1.632147	2403
ACP5	0.000000	15214	0.059659	12649
ACP6	-0.144604	16744	0.342610	10765
ACP7	-	19002	-	19002
ACPP	0.017693	9494	0.017693	13389
ACPT	-	19001	-	19001
ACR	0.000000	15213	0.000000	17211
ACRBP	0.017693	9493	0.182929	11605
ACRC	0.000000	15212	0.000000	17210
ACRV1	0.000000	15211	0.000000	17209
ACSBG1	0.000000	15210	0.000000	17208
ACSBG2	0.000000	15209	0.000000	17207
ACSF2	0.000000	15208	0.572899	9599
ACSF3	0.000000	15207	0.646380	9204
ACSL1	0.000000	15206	1.152670	5683
ACSL3	0.111270	5265	2.080185	830
ACSL4	0.106245	5391	1.536743	2919
ACSL5	0.059659	7272	0.621932	9332
ACSL6	0.000000	15205	0.000000	17206
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15204	0.000000	17205
ACSM2B	0.000000	15203	0.000000	17204
ACSM3	0.000000	15202	0.040191	12794
ACSM4	-	18999	-	18999
ACSM5	0.081145	6272	0.081145	12320
ACSM6	0.000000	15201	0.000000	17203
ACSS1	-0.018752	15560	0.496475	9988
ACSS2	0.106383	5379	0.745776	8599
ACSS3	0.027440	8557	0.569461	9625
ACTA1	0.000000	15200	0.000000	17202
ACTA2	1.200924	162	2.575221	225
ACTB	0.559249	867	3.931659	6
ACTBL2	0.291650	2200	0.291650	10999
ACTC1	1.829238	30	1.936743	1184
ACTG1	0.490429	1051	3.812803	11
ACTG2	0.000000	15199	0.270659	11116
ACTL10	0.039179	8144	0.139412	11839
ACTL6A	0.102404	5515	1.501975	3170
ACTL6B	0.021486	9053	0.021486	13133
ACTL7A	0.000000	15198	0.000000	17201
ACTL7B	0.000000	15197	0.000000	17200
ACTL8	0.000000	15196	0.000000	17199
ACTL9	0.000000	15195	0.000000	17198
ACTN1	0.359471	1697	2.515141	271
ACTN2	0.021486	9052	0.021486	13132
ACTN3	0.000000	15194	0.000000	17197
ACTN4	0.232521	2907	1.936390	1185
ACTR10	0.447039	1236	1.897110	1312
ACTR1A	0.138638	4573	2.135760	723
ACTR1B	-0.050675	16048	1.240140	5017
ACTR2	0.180290	3720	1.892938	1323
ACTR3	0.303274	2087	2.472842	297
ACTR3B	0.060946	6938	0.903479	7568
ACTR3C	0.017693	9492	0.191995	11548
ACTR5	-0.238193	17025	0.559075	9676
ACTR6	0.000000	15193	1.027014	6675
ACTR8	0.091887	5899	1.352353	4190
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15192	0.000000	17196
ACTRT3	-	18997	-	18997
ACVR1	0.401763	1454	1.254786	4905
ACVR1B	-0.053672	16083	0.964058	7125
ACVR1C	0.059659	7271	0.059659	12648
ACVR2A	0.475212	1117	1.260232	4860
ACVR2B	-0.154998	16792	0.146477	11800
ACVRL1	0.355921	1715	0.741263	8627
ACY1	0.089407	5962	1.220586	5176
ACY3	0.000000	15191	0.000000	17195
ACYP1	0.039179	8143	0.730296	8696
ACYP2	0.286961	2242	1.287946	4643
ADA	0.095660	5765	0.635482	9271
