gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.371190	1574	1.362190	3973
A1CF	0.000000	15108	0.000000	17239
A2M	0.222844	2901	0.953390	7068
A2ML1	0.000000	15107	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.466866	1112	1.131292	5723
A4GNT	0.000000	15106	0.000000	17237
AAAS	0.048455	7825	1.322823	4268
AACS	0.083897	6042	1.134561	5694
AADAC	0.141651	4412	0.141651	11707
AADACL2	0.000000	15105	0.000000	17236
AADACL3	0.000000	15104	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.200083	3272	0.769696	8272
AAED1	0.247470	2590	1.465825	3309
AAGAB	0.069964	6441	1.618666	2441
AAK1	0.119906	4911	0.724742	8571
AAMDC	0.170161	3801	1.353956	4024
AAMP	0.053605	7291	1.647526	2296
AANAT	0.000000	15103	0.000000	17234
AAR2	0.076754	6242	1.158504	5491
AARD	0.623532	710	0.637985	9066
AARS	0.102029	5458	1.714106	2001
AARS2	-0.295126	17082	0.915692	7314
AARSD1	0.097531	5561	1.510364	3032
AASDH	0.000000	15102	1.040101	6384
AASDHPPT	0.027744	8390	1.490599	3154
AASS	0.052161	7329	1.114228	5858
AATF	-0.179396	16823	1.289464	4496
AATK	0.000000	15101	0.000000	17233
ABAT	0.005954	9050	0.683394	8818
ABCA1	0.092751	5747	0.950293	7077
ABCA10	0.000000	15100	0.000000	17232
ABCA12	0.048455	7824	0.048455	12805
ABCA13	0.000000	15099	0.000000	17231
ABCA2	0.231001	2785	1.009895	6597
ABCA3	0.000000	15098	0.283443	10892
ABCA4	0.048455	7823	0.048455	12804
ABCA5	0.049751	7402	0.748104	8414
ABCA6	0.223105	2896	0.682279	8827
ABCA7	0.000000	15097	0.252684	11029
ABCA8	0.417452	1336	1.358248	3997
ABCA9	0.598075	764	0.899950	7412
ABCB1	0.000000	15096	0.000000	17230
ABCB10	0.034986	8174	0.886553	7514
ABCB11	0.000000	15095	0.000000	17229
ABCB4	0.035615	8161	0.184608	11382
ABCB5	0.000000	15094	0.000000	17228
ABCB6	0.302100	2033	0.539116	9658
ABCB7	0.000000	15093	0.980872	6843
ABCB8	0.081003	6130	1.147499	5579
ABCB9	-0.022544	15460	0.431066	10202
ABCC1	0.161903	3964	1.401155	3687
ABCC10	0.080485	6142	0.715417	8623
ABCC11	0.000000	15092	0.000000	17227
ABCC12	0.000000	15091	0.000000	17226
ABCC2	0.000000	15090	0.000000	17225
ABCC3	0.596469	767	1.408797	3640
ABCC4	0.279282	2229	1.170314	5416
ABCC5	0.048455	7822	0.967959	6951
ABCC6	-	19006	-	19006
ABCC8	0.000000	15089	0.000000	17224
ABCC9	0.475828	1084	0.838767	7826
ABCD1	0.061129	6701	1.014353	6567
ABCD2	0.000000	15088	0.145017	11629
ABCD3	0.108006	5193	1.253762	4776
ABCD4	0.093472	5736	0.998040	6713
ABCE1	0.021690	8581	1.540755	2850
ABCF1	-0.043131	15816	1.784360	1722
ABCF2	0.062438	6663	1.467812	3299
ABCF3	0.015978	8775	1.490755	3150
ABCG1	0.000000	15087	0.048455	12803
ABCG2	0.000000	15086	0.000000	17223
ABCG4	0.086416	5964	0.102060	11927
ABCG5	0.000000	15085	0.000000	17222
ABCG8	0.000000	15084	0.000000	17221
ABHD1	0.000000	15083	0.000000	17220
ABHD10	-0.072595	16154	1.198082	5188
ABHD11	0.007171	9019	0.862380	7666
ABHD12	0.048455	7821	1.558930	2747
ABHD12B	0.000000	15082	0.000000	17219
ABHD13	0.064571	6587	1.091786	6012
ABHD14A	0.153742	4121	1.114062	5864
ABHD14B	0.247484	2589	2.004941	1016
ABHD15	0.000000	15081	0.220455	11187
ABHD16A	0.080824	6134	1.201672	5160
ABHD16B	-	19005	-	19005
ABHD17A	0.051655	7342	0.978255	6860
ABHD17B	0.062221	6671	0.872900	7603
ABHD17C	0.139291	4456	1.180683	5327
ABHD18	0.063558	6619	0.843759	7780
ABHD2	0.000000	15080	1.323211	4262
ABHD3	-0.306089	17096	0.644273	9036
ABHD4	0.827576	405	2.168066	682
ABHD5	0.260022	2425	1.406696	3655
ABHD6	0.048455	7820	0.654040	8989
ABHD8	0.084237	6028	0.728621	8533
ABI1	0.162757	3950	1.562137	2731
ABI2	0.050163	7392	1.224830	5011
ABI3	0.000000	15079	0.000000	17218
ABI3BP	0.975129	276	1.651470	2272
ABL1	0.049137	7415	1.050649	6299
ABL2	0.370468	1579	1.038535	6396
ABLIM1	0.096629	5595	0.510543	9784
ABLIM2	0.000000	15078	0.000000	17217
ABLIM3	0.083346	6054	1.321580	4279
ABO	0.000000	15077	0.000000	17216
ABR	0.184608	3533	1.012069	6577
