gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.241829	2720	1.178787	5407
A1CF	0.000000	15242	0.000000	17239
A2M	0.000000	15241	0.123948	11783
A2ML1	0.000000	15240	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.320046	1854	1.015495	6648
A4GNT	0.000000	15239	0.000000	17237
AAAS	0.177629	3737	1.571599	2633
AACS	0.067443	6653	0.936537	7242
AADAC	0.104059	5479	0.104059	11896
AADACL2	0.000000	15238	0.000000	17236
AADACL3	0.000000	15237	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.320274	1850	0.677445	8993
AAED1	0.099341	5618	1.244848	4873
AAGAB	0.061157	6869	1.609859	2411
AAK1	0.056477	7200	0.838662	7928
AAMDC	-0.037738	15884	1.146058	5656
AAMP	0.051454	7373	1.816574	1528
AANAT	0.000000	15236	0.000000	17234
AAR2	0.018139	8758	1.047402	6430
AARD	0.001953	9932	0.016406	13076
AARS	-0.107894	16561	1.469467	3279
AARS2	-0.128942	16678	1.081875	6155
AARSD1	0.042294	7691	1.455127	3371
AASDH	0.000000	15235	0.990762	6843
AASDHPPT	0.110842	5299	1.505999	3029
AASS	-0.030754	15776	0.939151	7219
AATF	0.052799	7311	1.521659	2923
AATK	0.000000	15234	0.000000	17233
ABAT	0.000000	15233	0.475817	10097
ABCA1	0.285901	2189	1.679300	2105
ABCA10	0.119616	5043	0.119616	11807
ABCA12	0.071756	6530	0.071756	12186
ABCA13	0.000000	15232	0.000000	17232
ABCA2	0.088162	5967	0.386928	10499
ABCA3	0.000000	15231	0.048709	12482
ABCA4	0.000000	15230	0.000000	17231
ABCA5	0.000000	15229	0.688317	8919
ABCA6	0.406192	1271	0.865367	7736
ABCA7	0.000000	15228	0.109324	11876
ABCA8	0.109792	5320	1.050588	6405
ABCA9	0.506135	908	0.808009	8140
ABCB1	0.000000	15227	0.000000	17230
ABCB10	0.231559	2853	1.091720	6072
ABCB11	0.000000	15226	0.000000	17229
ABCB4	0.000000	15225	0.082101	12082
ABCB5	0.000000	15224	0.000000	17228
ABCB6	0.122540	4966	0.545629	9747
ABCB7	0.000000	15223	1.098180	6018
