gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.343654	1710	1.334655	4152
A1CF	0.000000	15279	0.000000	17239
A2M	0.066769	6654	0.341974	10663
A2ML1	0.000000	15278	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.060667	16141	0.634782	9111
A4GNT	0.000000	15277	0.000000	17237
AAAS	0.183558	3746	1.577528	2586
AACS	0.024889	8802	0.966125	6912
AADAC	0.066769	6653	0.066769	12141
AADACL2	0.000000	15276	0.000000	17236
AADACL3	0.000000	15275	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.404825	1292	0.761396	8311
AAED1	0.207345	3345	1.290551	4431
AAGAB	-0.020488	15599	1.528213	2860
AAK1	0.139288	4661	0.662704	8940
AAMDC	-0.100128	16451	0.993061	6697
AAMP	0.235124	2886	1.827503	1495
AANAT	0.000000	15274	0.000000	17234
AAR2	0.145475	4525	1.135182	5599
AARD	0.082666	6120	0.097118	11889
AARS	-0.096029	16420	1.516048	2937
AARS2	-0.135702	16637	1.075116	6047
AARSD1	0.115320	5221	1.528153	2862
AASDH	0.000000	15273	0.827108	7885
AASDHPPT	0.039896	7612	1.471086	3221
AASS	0.074605	6337	0.980106	6800
AATF	0.002936	9472	1.471796	3211
AATK	0.000000	15272	0.000000	17233
ABAT	0.043421	7466	0.539047	9677
ABCA1	0.125405	4965	1.442796	3432
ABCA10	0.000000	15271	0.000000	17232
ABCA12	0.000000	15270	0.000000	17231
ABCA13	0.000000	15269	0.000000	17230
ABCA2	0.066290	6783	0.541952	9645
ABCA3	0.000000	15268	0.118117	11767
ABCA4	0.000000	15267	0.000000	17229
ABCA5	0.000000	15266	0.617789	9220
ABCA6	0.061506	6910	0.396175	10397
ABCA7	0.002501	9490	0.097118	11888
ABCA8	0.000000	15265	0.666773	8913
ABCA9	0.377492	1471	0.679367	8853
ABCB1	0.000000	15264	0.000000	17228
ABCB10	0.224573	3050	1.084734	5984
ABCB11	0.000000	15263	0.000000	17227
ABCB4	0.000000	15262	0.094577	11945
ABCB5	0.000000	15261	0.000000	17226
ABCB6	0.040013	7604	0.470939	10025
ABCB7	0.000000	15260	1.053841	6214
ABCB8	0.190371	3640	1.307045	4321
ABCB9	0.081712	6157	0.527352	9728
ABCC1	0.199672	3482	1.191658	5167
ABCC10	0.067404	6541	0.658663	8965
ABCC11	0.000000	15259	0.000000	17225
ABCC12	0.000000	15258	0.000000	17224
ABCC2	0.000000	15257	0.000000	17223
ABCC3	0.129860	4863	0.942188	7086
ABCC4	0.174641	3912	1.065673	6116
ABCC5	0.000000	15256	0.777958	8211
ABCC6	-	19006	-	19006
ABCC8	0.000000	15255	0.000000	17222
ABCC9	0.204868	3380	0.507686	9849
ABCD1	0.000000	15254	0.759835	8324
ABCD2	0.000000	15253	0.000000	17221
ABCD3	-0.051712	16046	1.112927	5782
ABCD4	-0.123365	16580	0.958217	6968
ABCE1	0.345461	1691	1.864526	1388
ABCF1	0.081984	6151	1.786617	1622
ABCF2	0.137974	4680	1.565216	2659
ABCF3	-0.120222	16560	1.354556	4000
ABCG1	0.000000	15252	0.000000	17220
ABCG2	0.060185	6945	0.175134	11423
ABCG4	0.000000	15251	0.000000	17219
ABCG5	0.000000	15250	0.000000	17218
ABCG8	0.000000	15249	0.000000	17217
ABHD1	0.000000	15248	0.000000	17216
ABHD10	0.111564	5309	1.356441	3984
ABHD11	0.149293	4432	1.119254	5729
ABHD12	0.000000	15247	1.474093	3194
ABHD12B	0.000000	15246	0.000000	17215
ABHD13	-0.007179	15401	1.020035	6477
ABHD14A	0.083523	6098	0.985540	6765
ABHD14B	0.132873	4795	1.890331	1289
ABHD15	0.030349	8641	0.251377	11073
ABHD16A	0.002097	9503	1.068156	6093
ABHD16B	-	19005	-	19005
ABHD17A	0.099066	5625	0.920479	7253
ABHD17B	0.050427	7269	0.843479	7757
ABHD17C	0.010431	9227	1.051824	6231
ABHD18	0.021488	8902	0.763583	8297
ABHD2	0.303218	2059	1.828312	1493
ABHD3	-0.255941	16996	0.694422	8774
ABHD4	-0.050982	16041	1.065622	6117
ABHD5	0.076979	6284	1.024182	6447
ABHD6	0.000000	15245	0.349276	10650
ABHD8	-0.005794	15380	0.758334	8331
ABI1	0.088862	5963	1.411439	3637
ABI2	0.140115	4645	1.429163	3527
ABI3	0.019402	8956	0.215682	11251
ABI3BP	0.676870	519	1.353210	4008
ABL1	0.849463	282	1.342634	4094
ABL2	0.433236	1168	1.101303	5869
ABLIM1	0.000000	15244	0.122695	11725
ABLIM2	0.000000	15243	0.030349	13008
ABLIM3	0.105714	5458	1.082087	6002
ABO	0.000000	15242	0.000000	17214
ABR	0.092026	5885	1.141693	5547
ABRA	0.000000	15241	0.000000	17213
ABRACL	0.144886	4539	1.573181	2606
ABT1	0.150809	4391	1.347675	4044
ABTB1	0.058636	7067	0.743862	8437
ABTB2	-0.011355	15461	0.590859	9392
ACAA1	0.037638	7679	1.349471	4035
ACAA2	0.139224	4662	1.305062	4341
ACACA	-0.003355	15343	1.107988	5819
ACACB	0.032484	8223	0.140699	11634
ACAD10	-0.196897	16860	0.792681	8115
ACAD11	0.105034	5481	0.621171	9212
ACAD8	-0.048001	16001	1.160750	5401
ACAD9	0.049756	7289	1.449894	3372
ACADL	0.035941	8144	0.035941	12702
ACADM	-0.013798	15492	1.291920	4424
ACADS	0.000000	15240	0.407829	10334
ACADSB	0.035941	8143	0.736793	8482
ACADVL	0.283114	2249	1.857134	1415
ACAN	0.124825	4975	0.175124	11429
ACAP1	0.000000	15239	0.000000	17212
ACAP2	0.000000	15238	1.410470	3643
ACAP3	0.002027	9506	0.617752	9222
ACAT1	0.138578	4668	1.746008	1755
ACAT2	0.222533	3084	1.655683	2174
ACBD3	0.114235	5245	1.968176	1071
ACBD4	-0.273936	17021	0.434909	10220
ACBD5	-0.012243	15470	0.519828	9767
ACBD6	0.216045	3197	1.281540	4485
ACBD7	-0.201377	16874	0.035941	12701
ACCS	-0.002856	15333	0.376170	10500
ACCSL	-	19004	-	19004
ACD	0.265860	2465	1.182677	5223
ACE	0.073007	6385	0.519525	9773
ACE2	0.000000	15237	0.000000	17211
ACER1	0.000000	15236	0.000000	17210
ACER2	-0.029643	15744	0.082176	12037
ACER3	0.057022	7105	1.175616	5296
ACHE	0.000000	15235	0.035941	12700
ACIN1	0.171527	3971	1.630427	2295
ACKR1	0.000000	15234	0.000000	17209
ACKR2	0.000000	15233	0.094577	11944
ACKR3	0.005043	9402	0.745630	8419
ACKR4	0.963890	193	1.068525	6090
ACLY	0.553512	786	1.848211	1439
ACMSD	0.000000	15232	0.000000	17208
ACO1	0.248649	2701	1.772590	1672
ACO2	0.035941	8142	1.659621	2150
ACOD1	0.097118	5714	0.097118	11887
ACOT1	0.229021	2971	0.280658	10933
ACOT11	0.059718	6961	0.305697	10809
ACOT12	0.000000	15231	0.000000	17207
ACOT13	0.040757	7576	1.361162	3960
ACOT2	0.187880	3685	1.194878	5132
ACOT4	-0.103247	16471	0.035941	12699
ACOT6	-	19003	-	19003
ACOT7	0.351538	1641	1.491325	3095
ACOT8	-0.134583	16635	1.266186	4588
ACOT9	0.125334	4968	1.674400	2079
ACOX1	-0.030334	15766	1.364607	3929
ACOX2	0.582299	701	0.804161	8035
ACOX3	0.062451	6890	1.024833	6443
ACOXL	0.000000	15230	0.000000	17206
ACP1	0.142686	4586	1.900182	1252
ACP2	0.100451	5591	1.571980	2616
ACP5	0.123497	5014	0.220407	11221
ACP6	-0.085667	16342	0.484755	9967
ACP7	-	19002	-	19002
ACPP	0.207803	3333	0.436971	10196
ACPT	-	19001	-	19001
ACR	0.000000	15229	0.000000	17205
ACRBP	0.035941	8141	0.058636	12339
ACRC	0.000000	15228	0.000000	17204
ACRV1	0.000000	15227	0.000000	17203
ACSBG1	0.000000	15226	0.000000	17202
ACSBG2	0.000000	15225	0.000000	17201
ACSF2	0.000000	15224	0.645033	9060
ACSF3	0.000000	15223	0.723443	8571
ACSL1	0.036093	7739	0.979041	6807
ACSL3	0.155462	4292	2.046409	895
ACSL4	0.064076	6849	1.630003	2298
ACSL5	0.058636	7066	0.514265	9802
ACSL6	0.000000	15222	0.000000	17200
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15221	0.000000	17199
ACSM2B	0.000000	15220	0.000000	17198
ACSM3	0.030349	8640	0.066769	12140
ACSM4	-	18999	-	18999
ACSM5	0.000000	15219	0.000000	17197
ACSM6	0.000000	15218	0.000000	17196
ACSS1	-0.078411	16279	0.197103	11331
ACSS2	0.000000	15217	0.742651	8446
ACSS3	0.059368	6973	0.445565	10138
ACTA1	0.000000	15216	0.000000	17195
ACTA2	0.799656	342	1.802743	1565
ACTB	0.359729	1584	3.832431	4
ACTBL2	0.498475	918	0.498475	9894
ACTC1	0.000000	15215	0.000000	17194
ACTG1	0.562448	757	3.822871	5
ACTG2	0.030349	8639	0.262743	11006
ACTL10	0.051521	7251	0.168580	11507
ACTL6A	0.226860	3008	1.742876	1770
ACTL6B	0.000000	15214	0.000000	17193
ACTL7A	0.000000	15213	0.000000	17192
ACTL7B	0.000000	15212	0.000000	17191
ACTL8	0.000000	15211	0.000000	17190
ACTL9	0.000000	15210	0.000000	17189
ACTN1	0.288570	2200	2.363274	386
ACTN2	0.000000	15209	0.030349	13007
ACTN3	0.030349	8638	0.030349	13006
ACTN4	0.258870	2568	1.729960	1829
ACTR10	0.004981	9406	1.706105	1937
ACTR1A	0.127914	4893	2.043182	904
ACTR1B	0.031875	8238	1.322690	4231
ACTR2	0.195828	3553	1.908476	1227
ACTR3	0.315733	1952	2.485301	276
ACTR3B	0.030315	8643	0.781382	8183
ACTR3C	0.000000	15208	0.030349	13005
ACTR5	0.015332	9072	0.812600	7994
ACTR6	0.000000	15207	0.930397	7177
ACTR8	0.040912	7568	1.257895	4652
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15206	0.000000	17188
ACTRT3	-	18997	-	18997
ACVR1	0.161358	4158	1.184876	5203
ACVR1B	-0.280260	17030	0.737469	8476
ACVR1C	0.058636	7065	0.058636	12338
ACVR2A	0.000000	15205	0.693951	8778
ACVR2B	-0.172691	16783	0.066290	12268
ACVRL1	0.633177	598	0.999224	6641
ACY1	0.224435	3054	1.355613	3990
ACY3	0.000000	15204	0.000000	17187
ACYP1	0.173999	3926	1.242374	4773
ACYP2	0.106526	5438	0.602775	9325
ADA	0.162475	4141	0.550767	9614
ADAD1	0.000000	15203	0.000000	17186
ADAD2	0.000000	15202	0.000000	17185
ADAL	-0.118100	16543	0.609833	9277
ADAM10	0.146865	4494	1.633955	2281
ADAM11	0.000000	15201	0.000000	17184
ADAM12	1.479476	33	1.757971	1714
ADAM15	-0.227576	16946	1.452260	3355
ADAM17	0.034876	8166	1.082231	5998
ADAM18	0.000000	15200	0.000000	17183
ADAM19	0.635058	594	1.566702	2653
ADAM2	0.000000	15199	0.000000	17182
ADAM20	0.000000	15198	0.000000	17181
ADAM21	0.000000	15197	0.000000	17180
ADAM22	0.000000	15196	0.198674	11307
ADAM23	0.154670	4308	0.424519	10256
ADAM28	0.000000	15195	0.000000	17179
ADAM29	0.000000	15194	0.000000	17178
ADAM30	0.000000	15193	0.000000	17177
ADAM32	0.000000	15192	0.000000	17176
ADAM33	0.392986	1364	0.886313	7482
ADAM7	0.000000	15191	0.000000	17175
ADAM8	0.000000	15190	0.058636	12337
ADAM9	0.329597	1823	2.012283	967
ADAMDEC1	0.000000	15189	0.000000	17174
ADAMTS1	0.035941	8140	1.824951	1504
ADAMTS10	0.000000	15188	0.433763	10225
ADAMTS12	1.164268	98	1.401055	3698
ADAMTS13	0.000000	15187	0.000000	17173
ADAMTS14	0.307086	2024	0.541952	9644
ADAMTS15	0.614298	643	1.138777	5569
ADAMTS16	0.416152	1244	0.416152	10296
ADAMTS17	0.000000	15186	0.030349	13004
ADAMTS18	0.000000	15185	0.000000	17172
ADAMTS19	0.000000	15184	0.000000	17171
ADAMTS2	0.798191	344	1.538610	2810
ADAMTS20	0.000000	15183	0.000000	17170
ADAMTS3	0.131045	4832	0.407829	10333
ADAMTS4	0.387372	1395	0.988777	6730
ADAMTS5	0.066769	6652	0.756234	8351
ADAMTS6	0.568135	742	0.810846	7998
ADAMTS7	0.321356	1896	0.911815	7310
ADAMTS8	0.066769	6651	0.066769	12139
ADAMTS9	0.009475	9257	0.035941	12698
ADAMTSL1	1.230364	77	1.727292	1844
ADAMTSL2	0.092346	5875	0.097118	11886
ADAMTSL3	0.022804	8854	0.035941	12697
ADAMTSL4	0.000000	15182	0.709713	8667
ADAMTSL5	0.016033	9048	0.377541	10490
ADAP1	0.000000	15181	0.104758	11813
ADAP2	0.000000	15180	0.035941	12696
ADAR	0.068982	6487	1.316825	4263
ADARB1	0.279665	2289	0.581467	9439
ADARB2	0.000000	15179	0.000000	17169
ADAT1	-0.120408	16563	0.842793	7762
ADAT2	0.023320	8841	0.899347	7407
ADAT3	0.054597	7171	1.727992	1841
ADCK1	-0.169180	16772	0.470939	10024
ADCK2	-0.202232	16879	0.840770	7785
ADCK5	0.035941	8139	0.696542	8762
ADCY1	0.000000	15178	0.066290	12267
ADCY10	0.000000	15177	0.000000	17168
ADCY2	0.000000	15176	0.035941	12695
ADCY3	0.147594	4480	1.164898	5371
ADCY4	0.069561	6473	0.266498	10982
ADCY5	0.000000	15175	0.000000	17167
ADCY6	-0.152730	16713	0.657689	8982
ADCY7	0.265985	2463	0.831907	7857
ADCY8	0.066769	6650	0.066769	12138
ADCY9	0.000000	15174	0.463454	10042
ADCYAP1	0.000000	15173	0.000000	17166
ADCYAP1R1	0.035941	8138	0.035941	12694
ADD1	0.048440	7342	1.537813	2814
ADD2	0.000000	15172	0.066769	12137
ADD3	0.565851	749	1.647347	2219
ADGB	0.000000	15171	0.000000	17165
ADGRA1	0.000000	15170	0.000000	17164
ADGRA2	0.361186	1574	1.345812	4064
ADGRA3	0.151530	4361	0.778886	8203
ADGRB1	0.035941	8137	0.035941	12693
ADGRB2	0.225164	3035	0.747761	8411
ADGRB3	0.035941	8136	0.035941	12692
ADGRD1	0.000000	15169	0.035941	12691
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	15168	0.000000	17163
ADGRE2	0.335967	1763	1.165285	5369
ADGRE3	0.000000	15167	0.000000	17162
ADGRE5	0.157294	4257	0.841833	7770
ADGRF1	0.000000	15166	0.000000	17161
ADGRF2	0.000000	15165	0.000000	17160
ADGRF3	0.030349	8637	0.035941	12690
ADGRF4	0.066769	6649	0.066769	12136
ADGRF5	0.039952	7610	0.066769	12135
ADGRG1	0.002489	9491	0.462333	10050
ADGRG2	0.000000	15164	0.000000	17159
ADGRG3	0.000000	15163	0.000000	17158
ADGRG4	0.000000	15162	0.000000	17157
ADGRG5	0.000000	15161	0.000000	17156
ADGRG6	0.035941	8135	0.305330	10813
ADGRG7	0.000000	15160	0.000000	17155
ADGRL1	0.000000	15159	0.066769	12134
ADGRL2	0.030349	8636	0.146847	11601
ADGRL3	0.000000	15158	0.000000	17154
ADGRL4	0.910597	231	1.385410	3793
ADGRV1	0.000000	15157	0.000000	17153
ADH1A	0.000000	15156	0.000000	17152
ADH1B	-0.063951	16166	0.000000	17151
ADH1C	0.000000	15155	0.000000	17150
ADH4	0.000000	15154	0.000000	17149
ADH5	0.247553	2713	1.830458	1484
ADH6	0.000000	15153	0.000000	17148
ADH7	0.000000	15152	0.000000	17147
ADHFE1	0.000000	15151	0.097118	11885
ADI1	0.115597	5210	1.868545	1363
ADIG	0.000000	15150	0.000000	17146
ADIPOQ	0.000000	15149	0.000000	17145
ADIPOR1	-0.040244	15903	1.579222	2576
ADIPOR2	0.042064	7507	1.437198	3472
ADIRF	0.269398	2409	2.039112	910
ADK	0.275196	2345	1.663723	2128
ADM	0.361079	1576	2.080038	813
ADM2	0.226474	3015	0.302113	10818
ADM5	0.000000	15148	0.000000	17144
ADNP	0.102480	5548	1.396809	3725
ADNP2	0.069835	6465	0.815754	7968
ADO	0.286420	2218	1.175452	5297
ADORA1	0.066290	6782	0.157985	11531
ADORA2A	0.438998	1145	0.658438	8969
ADORA2B	-0.140294	16658	0.293547	10874
ADORA3	0.000000	15147	0.000000	17143
ADPGK	0.122628	5056	1.368098	3904
ADPRH	0.037372	7686	0.305697	10808
ADPRHL1	0.030349	8635	0.030349	13003
ADPRHL2	0.106420	5442	1.258154	4649
ADPRM	-0.275118	17022	0.626548	9165
ADRA1A	0.000000	15146	0.000000	17142
ADRA1B	0.000000	15145	0.000000	17141
