gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.268490	5729	1.259491	5939
A1CF	0.000000	16050	0.000000	17239
A2M	0.442541	3155	1.267134	5873
A2ML1	0.016712	12608	0.016712	14600
A3GALT2	-	19008	-	19008
A4GALT	0.629618	1670	1.325067	5416
A4GNT	0.000000	16049	0.000000	17238
AAAS	0.534829	2293	1.928799	1708
AACS	0.500850	2587	1.551514	3691
AADAC	0.000000	16048	0.000000	17237
AADACL2	0.000000	16047	0.000000	17236
AADACL3	0.000000	16046	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.193482	7155	0.763095	9801
AAED1	0.269834	5708	1.488189	4140
AAGAB	0.018648	12302	1.567349	3571
AAK1	0.203694	6937	0.954964	8447
AAMDC	0.350926	4374	1.534721	3806
AAMP	0.305879	5087	2.023220	1403
AANAT	0.000000	16045	0.000000	17234
AAR2	0.455966	2991	1.431177	4557
AARD	0.037449	11526	0.051902	14076
AARS	0.203605	6942	1.815682	2188
AARS2	0.229072	6448	1.439889	4494
AARSD1	0.279845	5531	1.498983	4046
AASDH	0.016712	12607	0.884002	8943
AASDHPPT	-0.003664	16095	1.399426	4823
AASS	-0.050518	16478	0.879092	8988
AATF	0.119208	8922	1.588069	3421
AATK	0.000000	16044	0.000000	17233
ABAT	0.170483	7687	0.860699	9139
ABCA1	0.000000	16043	1.093256	7304
ABCA10	0.021590	12252	0.021590	14400
ABCA12	0.332321	4665	0.332321	12194
ABCA13	0.000000	16042	0.000000	17232
ABCA2	0.106801	9217	0.885696	8930
ABCA3	0.819256	976	1.547210	3720
ABCA4	0.273839	5638	0.273839	12479
ABCA5	0.051902	11186	0.481583	11425
ABCA6	0.000000	16041	0.168587	13033
ABCA7	0.246870	6122	1.082429	7395
ABCA8	0.000000	16040	0.021590	14399
ABCA9	0.000000	16039	0.000000	17231
ABCB1	0.327000	4761	0.924673	8671
ABCB10	0.184838	7340	1.044999	7721
ABCB11	0.000000	16038	0.000000	17230
ABCB4	0.344124	4490	0.493117	11357
ABCB5	0.000000	16037	0.000000	17229
ABCB6	0.179580	7485	0.558273	11037
ABCB7	0.016712	12606	0.955231	8446
ABCB8	0.366739	4143	1.538706	3782
ABCB9	0.338489	4573	0.801880	9551
ABCC1	0.353474	4339	1.403356	4800
ABCC10	0.399310	3709	1.066852	7538
ABCC11	0.000000	16036	0.000000	17228
ABCC12	0.000000	16035	0.000000	17227
ABCC2	0.000000	16034	0.000000	17226
ABCC3	0.918155	737	1.730483	2631
ABCC4	0.344654	4482	1.223489	6208
ABCC5	0.064205	10690	1.033362	7802
ABCC6	-	19006	-	19006
ABCC8	0.000000	16033	0.000000	17225
ABCC9	0.000000	16032	0.017046	14448
ABCD1	0.279373	5538	1.232597	6141
ABCD2	0.000000	16031	0.000000	17224
ABCD3	-0.117838	16792	0.976803	8287
ABCD4	0.267405	5749	1.325067	5415
ABCE1	-0.035485	16380	1.483579	4164
ABCF1	0.085070	10061	1.869505	1947
ABCF2	0.313733	4956	1.740975	2575
ABCF3	0.019682	12287	1.494459	4085
ABCG1	0.000000	16030	0.829114	9346
ABCG2	0.172626	7644	0.237052	12664
ABCG4	0.350769	4376	0.366414	12034
ABCG5	0.000000	16029	0.000000	17223
ABCG8	0.000000	16028	0.000000	17222
ABHD1	0.220183	6609	0.279354	12453
ABHD10	-0.019806	16262	1.086194	7362
ABHD11	0.776366	1101	1.746327	2548
ABHD12	0.400402	3687	1.919288	1744
ABHD12B	0.150515	8158	0.150515	13145
ABHD13	-0.195709	16995	0.846471	9236
ABHD14A	0.299672	5192	1.416840	4686
ABHD14B	0.327104	4756	2.084561	1208
ABHD15	0.456574	2985	0.797137	9585
ABHD16A	0.144056	8288	1.434758	4531
ABHD16B	-	19005	-	19005
ABHD17A	0.247322	6106	1.173922	6630
ABHD17B	0.065415	10667	1.066058	7543
ABHD17C	0.159033	7969	1.187466	6526
ABHD18	0.085159	10057	0.884982	8934
ABHD2	0.004782	12801	1.664860	2974
ABHD3	0.390524	3821	1.340886	5292
ABHD4	0.433210	3260	1.773699	2395
ABHD5	0.080684	10291	0.952871	8470
ABHD6	0.408679	3578	0.773216	9735
ABHD8	0.492937	2662	1.317182	5472
ABI1	0.001584	12858	1.420063	4659
ABI2	0.180306	7470	1.520216	3890
ABI3	1.068476	494	1.314047	5493
ABI3BP	0.021590	12251	0.409815	11797
ABL1	0.255775	5946	1.177281	6607
ABL2	0.530302	2340	1.198369	6435
ABLIM1	0.498081	2610	0.909770	8769
ABLIM2	0.171295	7672	0.439354	11637
ABLIM3	0.283338	5473	1.603718	3314
ABO	0.284168	5460	0.410015	11783
ABR	0.654657	1538	1.553341	3674
ABRA	0.000000	16027	0.000000	17221
ABRACL	0.704319	1353	2.200857	916
ABT1	0.332998	4657	1.529864	3833
ABTB1	0.139377	8431	1.196730	6446
ABTB2	0.602675	1819	1.363495	5116
ACAA1	0.203007	6949	1.685023	2867
ACAA2	0.601212	1830	1.295528	5643
ACACA	0.322180	4830	1.465507	4296
ACACB	0.101208	9418	0.230073	12690
ACAD10	0.255945	5941	1.245522	6036
ACAD11	0.194935	7122	0.860372	9142
ACAD8	0.044845	11348	1.253597	5981
ACAD9	0.212447	6755	1.612585	3266
ACADL	0.038648	11484	0.059659	13916
ACADM	0.026059	12007	1.046356	7707
ACADS	0.291420	5330	1.179055	6586
ACADSB	0.000000	16026	0.635396	10610
ACADVL	0.212421	6757	2.093935	1177
ACAN	0.076483	10396	0.152665	13102
ACAP1	0.057624	10894	0.169726	13019
ACAP2	0.085592	10051	1.331436	5370
ACAP3	0.249706	6063	0.948165	8506
ACAT1	0.028787	11959	1.441613	4472
ACAT2	0.754773	1178	2.187923	960
ACBD3	-0.331817	17160	1.522124	3875
ACBD4	0.272504	5661	0.981349	8238
ACBD5	0.039964	11439	0.590986	10853
ACBD6	0.313064	4967	1.349723	5230
ACBD7	0.443285	3146	0.680603	10326
ACCS	0.284361	5455	0.703993	10193
ACCSL	-	19004	-	19004
ACD	0.443116	3148	1.359933	5144
ACE	1.212897	353	1.659414	3007
ACE2	0.000000	16025	0.000000	17220
ACER1	0.000000	16024	0.000000	17219
ACER2	0.481216	2763	0.797753	9579
ACER3	-0.026894	16321	1.091701	7312
ACHE	0.088346	9779	0.480155	11428
ACIN1	0.254233	5968	1.839849	2070
ACKR1	0.021590	12250	0.021590	14398
ACKR2	1.222287	346	1.222287	6220
ACKR3	0.096171	9566	1.440269	4489
ACKR4	0.000000	16023	0.017046	14447
ACLY	1.036146	542	2.330845	666
ACMSD	0.110624	9143	0.110624	13422
ACO1	0.122776	8831	1.646717	3090
ACO2	0.198212	7058	1.959608	1611
ACOD1	0.000000	16022	0.000000	17218
ACOT1	0.307232	5061	0.358869	12082
ACOT11	0.118720	8934	0.364699	12042
ACOT12	0.021590	12249	0.021590	14397
ACOT13	0.153124	8087	1.420722	4655
ACOT2	0.156403	8016	1.195693	6458
ACOT4	0.213002	6743	0.352190	12113
ACOT6	-	19003	-	19003
ACOT7	0.769043	1124	1.908830	1775
ACOT8	0.256218	5937	1.656987	3024
ACOT9	0.099125	9473	1.648191	3084
ACOX1	0.076021	10414	1.341331	5288
ACOX2	0.208962	6828	0.240061	12639
ACOX3	0.133086	8578	1.110632	7166
ACOXL	0.030349	11866	0.030349	14269
ACP1	0.236581	6315	1.789365	2308
ACP2	0.245808	6136	1.798671	2266
ACP5	0.626135	1683	0.723045	10057
ACP6	0.408992	3573	1.020900	7913
ACP7	-	19002	-	19002
ACPP	0.097396	9544	0.139320	13273
ACPT	-	19001	-	19001
ACR	0.000000	16021	0.000000	17217
ACRBP	0.264968	5786	0.511550	11275
ACRC	0.000000	16020	0.000000	17216
ACRV1	0.000000	16019	0.000000	17215
ACSBG1	0.088046	9915	0.088046	13693
ACSBG2	0.000000	16018	0.000000	17214
ACSF2	0.373066	4063	1.155678	6791
ACSF3	0.194056	7145	1.043656	7732
ACSL1	0.715506	1301	1.366882	5092
ACSL3	0.071879	10505	2.097170	1167
ACSL4	0.159692	7955	1.481676	4184
ACSL5	0.342090	4524	1.219999	6248
ACSL6	0.000000	16017	0.000000	17213
ACSM1	-	19000	-	19000
ACSM2A	0.000000	16016	0.000000	17212
ACSM2B	0.000000	16015	0.000000	17211
ACSM3	0.241661	6209	0.314118	12279
ACSM4	-	18999	-	18999
ACSM5	0.150515	8157	0.150515	13144
ACSM6	0.000000	16014	0.000000	17210
ACSS1	0.359309	4246	0.999179	8090
ACSS2	0.558721	2098	1.399140	4825
ACSS3	0.000000	16013	0.369081	11992
ACTA1	0.082603	10155	0.082603	13784
ACTA2	0.720228	1282	1.768087	2432
ACTB	0.731450	1244	4.150286	4
ACTBL2	0.507562	2526	0.507562	11284
ACTC1	0.082603	10154	0.088046	13692
ACTG1	0.684448	1423	4.163873	3
ACTG2	0.000000	16012	0.368123	12014
ACTL10	0.176539	7549	0.293597	12383
ACTL6A	0.086326	10033	1.602342	3325
ACTL6B	0.000000	16011	0.000000	17209
ACTL7A	0.000000	16010	0.000000	17208
ACTL7B	0.000000	16009	0.000000	17207
ACTL8	0.028787	11958	0.028787	14313
ACTL9	0.000000	16008	0.000000	17206
ACTN1	0.635876	1632	2.791546	202
ACTN2	0.030349	11865	0.213245	12765
ACTN3	0.016712	12605	0.016712	14599
ACTN4	0.618947	1720	2.349318	619
ACTR10	-0.021893	16278	1.679230	2897
ACTR1A	0.387599	3868	2.368620	583
ACTR1B	0.433668	3255	1.724483	2662
ACTR2	0.022912	12077	1.547206	3721
ACTR3	0.069728	10564	2.168634	996
ACTR3B	0.045118	11320	0.876488	9005
ACTR3C	0.288394	5392	0.634770	10613
ACTR5	0.077568	10364	0.874835	9023
