gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15309	0.684556	9144
A1CF	0.000000	15308	0.000000	17239
A2M	0.000000	15307	0.041284	13450
A2ML1	0.000000	15306	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.173886	16897	0.490539	10355
A4GNT	0.000000	15305	0.000000	17237
AAAS	0.303560	1951	1.697530	1845
AACS	0.148735	4391	1.199399	5114
AADAC	0.000000	15304	0.000000	17236
AADACL2	0.000000	15303	0.000000	17235
AADACL3	0.000000	15302	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.354606	1526	0.721326	8883
AAED1	-0.053973	16150	1.117745	5772
AAGAB	0.181240	3663	1.729941	1706
AAK1	0.001093	10336	0.545733	10020
AAMDC	0.024648	9523	0.792163	8384
AAMP	0.227402	2833	1.775614	1543
AANAT	0.033457	9220	0.033457	13686
AAR2	0.122804	5081	1.166846	5384
AARD	0.129330	4903	0.143783	12275
AARS	-0.021594	15671	1.590483	2386
AARS2	0.026175	9469	1.236992	4844
AARSD1	0.092555	6057	1.505388	2880
AASDH	0.000000	15301	0.978742	6939
AASDHPPT	0.080232	6497	1.578663	2451
AASS	0.066494	7138	1.030482	6547
AATF	-0.008247	15459	1.460613	3189
AATK	0.228078	2823	0.245771	11653
ABAT	0.033457	9219	0.132154	12374
ABCA1	0.022474	9595	1.192776	5183
ABCA10	0.041284	8664	0.041284	13449
ABCA12	0.033457	9218	0.033457	13685
ABCA13	0.000000	15300	0.000000	17233
ABCA2	0.621805	543	1.233276	4873
ABCA3	0.509801	815	1.237755	4832
ABCA4	0.132345	4796	0.132345	12364
ABCA5	0.000000	15299	0.474659	10459
ABCA6	0.000000	15298	0.041284	13448
ABCA7	0.099588	5825	0.676135	9201
ABCA8	0.000000	15297	0.120576	12413
ABCA9	0.000000	15296	0.000000	17232
ABCB1	0.041284	8663	0.432135	10688
ABCB10	0.107238	5534	0.928738	7339
ABCB11	0.000000	15295	0.000000	17231
ABCB4	0.000000	15294	0.116025	12446
ABCB5	0.254916	2487	0.254916	11615
ABCB6	0.034115	8875	0.276589	11486
ABCB7	0.000000	15293	1.134201	5648
ABCB8	-0.046202	16053	1.113287	5825
ABCB9	0.331654	1712	0.800708	8315
ABCC1	0.386741	1317	1.643711	2098
ABCC10	0.150771	4346	0.818314	8186
ABCC11	0.000000	15292	0.000000	17230
ABCC12	0.000000	15291	0.000000	17229
ABCC2	0.000000	15290	0.000000	17228
ABCC3	0.048703	7806	0.561503	9917
ABCC4	0.109704	5474	0.776988	8501
ABCC5	0.477089	940	1.465890	3156
ABCC6	-	19006	-	19006
ABCC8	0.000000	15289	0.000000	17227
ABCC9	0.000000	15288	0.041284	13447
ABCD1	0.043790	7996	0.997013	6795
ABCD2	0.033457	9217	0.041284	13446
ABCD3	0.016359	9807	1.089546	6014
ABCD4	0.168244	3932	1.150719	5520
ABCE1	0.118435	5232	1.637500	2127
ABCF1	0.002926	10266	1.852860	1275
ABCF2	0.176374	3754	1.603616	2318
ABCF3	-0.050564	16104	1.424214	3412
ABCG1	0.000000	15287	0.543876	10035
ABCG2	0.033457	9216	0.105951	12537
ABCG4	0.017812	9743	0.033457	13684
ABCG5	0.000000	15286	0.000000	17226
