gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.388210	1092	1.331794	4240
A1CF	0.000000	15486	0.000000	17239
A2M	0.000000	15485	0.326200	11048
A2ML1	0.000000	15484	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.073597	16554	0.590829	9777
A4GNT	0.000000	15483	0.000000	17237
AAAS	0.143454	4166	1.430778	3475
AACS	0.256956	2096	1.307620	4442
AADAC	0.000000	15482	0.000000	17236
AADACL2	0.000000	15481	0.000000	17235
AADACL3	0.000000	15480	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.085765	6140	0.649010	9462
AAED1	0.131781	4535	1.339763	4180
AAGAB	0.169340	3545	1.718041	1833
AAK1	0.096427	5684	0.643993	9484
AAMDC	0.299623	1639	1.483418	3115
AAMP	0.065374	7033	1.654543	2115
AANAT	0.045574	8138	0.045574	12987
AAR2	0.014885	9889	1.086783	6262
AARD	0.000000	15479	0.000000	17233
AARS	-0.101405	16742	1.497314	3001
AARS2	-0.086526	16648	1.124291	5964
AARSD1	0.070729	6788	1.480554	3129
AASDH	0.040191	8621	0.976368	7194
AASDHPPT	0.082443	6257	1.599044	2393
AASS	0.118739	4927	1.180806	5486
AATF	-0.090601	16677	1.378259	3896
AATK	0.000000	15478	0.000000	17232
ABAT	0.037798	8697	0.486401	10320
ABCA1	0.000000	15477	1.270577	4751
ABCA10	0.040191	8620	0.040191	13175
ABCA12	0.000000	15476	0.000000	17231
ABCA13	0.179508	3310	0.179508	11768
ABCA2	0.040191	8619	0.422538	10633
ABCA3	0.000000	15475	0.181603	11749
ABCA4	0.045574	8137	0.045574	12986
ABCA5	0.025182	9479	0.839486	8208
ABCA6	0.152336	3938	0.574586	9888
ABCA7	0.052325	7525	0.749709	8827
ABCA8	0.515156	604	1.455952	3286
ABCA9	0.333448	1399	0.635323	9537
ABCB1	0.081838	6278	0.207962	11612
ABCB10	0.078992	6409	0.939153	7489
ABCB11	0.000000	15474	0.000000	17230
ABCB4	0.018008	9783	0.167001	11854
ABCB5	0.040191	8618	0.040191	13174
ABCB6	0.172695	3460	0.570232	9915
ABCB7	0.046626	7798	1.186823	5433
ABCB8	0.073050	6625	1.245017	4957
ABCB9	0.026644	9092	0.490034	10307
ABCC1	0.028004	9035	1.229038	5083
ABCC10	0.154597	3886	0.822139	8320
ABCC11	0.000000	15473	0.000000	17229
ABCC12	0.080183	6373	0.080183	12510
ABCC2	0.000000	15472	0.000000	17228
ABCC3	0.000000	15471	0.659728	9397
ABCC4	0.246224	2222	1.107672	6105
ABCC5	0.109576	5237	0.987403	7096
ABCC6	-	19006	-	19006
ABCC8	0.000000	15470	0.000000	17227
ABCC9	0.000000	15469	0.085765	12450
ABCD1	0.040191	8617	0.653205	9440
ABCD2	0.040830	8321	0.202212	11648
ABCD3	0.124726	4733	1.289366	4598
ABCD4	-0.052610	16341	0.962877	7301
ABCE1	0.119719	4904	1.638784	2204
ABCF1	-0.096736	16710	1.748181	1706
ABCF2	0.007005	10160	1.423811	3519
ABCF3	-0.042256	16217	1.432521	3463
ABCG1	0.000000	15468	0.105365	12317
ABCG2	0.117356	4982	0.179508	11767
ABCG4	0.095303	5737	0.110947	12251
ABCG5	0.000000	15467	0.000000	17226
ABCG8	0.000000	15466	0.000000	17225
ABHD1	0.000000	15465	0.000000	17224
ABHD10	0.158493	3791	1.257351	4856
ABHD11	0.005086	10229	0.897581	7809
ABHD12	0.283764	1790	1.802650	1496
ABHD12B	0.081838	6277	0.081838	12461
ABHD13	0.002646	10285	1.044826	6603
ABHD14A	0.051578	7549	1.066138	6417
ABHD14B	-0.106660	16774	1.650797	2133
ABHD15	0.000000	15464	0.040191	13173
ABHD16A	0.000000	15463	1.242660	4978
ABHD16B	-	19005	-	19005
ABHD17A	0.033535	8842	0.891030	7864
ABHD17B	0.078983	6410	0.793050	8534
ABHD17C	0.063844	7111	1.105237	6127
ABHD18	0.031121	8938	0.866088	8034
ABHD2	0.018579	9759	1.507158	2944
ABHD3	-0.230375	17120	0.719987	9012
ABHD4	0.121550	4838	1.432694	3460
ABHD5	0.000000	15462	1.166513	5610
ABHD6	0.058783	7290	0.651505	9449
ABHD8	0.032021	8899	0.711599	9078
ABI1	-0.049930	16314	1.357534	4047
ABI2	0.013486	9933	1.426244	3506
ABI3	0.000000	15461	0.176861	11791
ABI3BP	0.168608	3562	1.033797	6671
ABL1	0.246957	2211	1.248469	4923
ABL2	0.570153	458	1.238220	5015
ABLIM1	0.085765	6139	0.433453	10583
ABLIM2	0.000000	15460	0.251256	11384
ABLIM3	0.215519	2641	1.335679	4213
ABO	0.000000	15459	0.000000	17223
ABR	0.085765	6138	1.102446	6145
ABRA	0.000000	15458	0.000000	17222
ABRACL	0.186922	3156	1.683461	1992
ABT1	-0.106365	16773	1.090501	6242
ABTB1	0.085765	6137	0.853631	8112
ABTB2	-0.098374	16721	0.349906	10949
ACAA1	0.039740	8639	1.428648	3492
ACAA2	0.260255	2039	1.334156	4221
ACACA	0.393849	1050	1.537176	2754
ACACB	0.045574	8136	0.174152	11805
ACAD10	-0.062333	16457	0.927245	7591
ACAD11	0.320417	1497	0.985854	7105
ACAD8	-0.083764	16635	1.124988	5957
ACAD9	0.000000	15457	1.387852	3805
ACADL	0.000000	15456	0.000000	17221
ACADM	-0.013798	15745	1.358248	4042
ACADS	0.025182	9478	0.874648	7966
ACADSB	0.009976	10065	0.761269	8745
ACADVL	-0.081329	16614	1.687953	1977
ACAN	0.000000	15455	0.045574	12985
ACAP1	0.000000	15454	0.025182	13377
ACAP2	0.083238	6221	1.642771	2183
ACAP3	0.118764	4923	0.574432	9889
ACAT1	0.205491	2821	1.751659	1695
ACAT2	0.948440	98	2.381590	309
ACBD3	0.133327	4477	1.987268	929
ACBD4	-0.210234	17090	0.469289	10405
ACBD5	0.084407	6189	0.764926	8715
ACBD6	0.242981	2255	1.393623	3758
ACBD7	0.156291	3843	0.393610	10750
ACCS	0.100095	5545	0.519727	10170
ACCSL	-	19004	-	19004
ACD	0.089684	5930	0.796760	8496
ACE	0.000000	15453	0.389949	10767
ACE2	0.000000	15452	0.000000	17220
ACER1	0.000000	15451	0.000000	17219
ACER2	0.057175	7341	0.172399	11810
ACER3	0.036523	8742	1.155117	5695
ACHE	0.000000	15450	0.110947	12250
ACIN1	0.242161	2274	1.656690	2103
ACKR1	0.000000	15449	0.000000	17218
ACKR2	0.000000	15448	0.126809	12112
ACKR3	0.020268	9697	1.237548	5020
ACKR4	0.000000	15447	0.000000	17217
ACLY	0.891472	115	2.186171	561
ACMSD	0.000000	15446	0.000000	17216
ACO1	0.627589	356	2.151530	619
ACO2	0.000000	15445	1.696391	1937
ACOD1	0.000000	15444	0.000000	17215
ACOT1	0.389764	1084	0.441401	10549
ACOT11	0.106509	5339	0.197539	11683
ACOT12	0.040191	8616	0.040191	13172
ACOT13	0.197947	2949	1.622337	2277
ACOT2	0.256553	2102	1.098806	6170
ACOT4	0.028219	9029	0.167407	11848
ACOT6	-	19003	-	19003
ACOT7	0.277791	1853	1.354194	4071
ACOT8	0.057471	7333	1.458240	3270
ACOT9	0.139070	4301	1.688136	1976
ACOX1	0.035774	8769	1.477547	3151
ACOX2	0.095711	5721	0.578082	9855
ACOX3	0.112127	5138	1.089673	6248
ACOXL	0.000000	15443	0.000000	17214
ACP1	0.067826	6889	1.875158	1274
ACP2	0.116515	5007	1.448156	3342
