gene	enrichment	rank(enr)	max	rank(max)
A1BG	1.079855	109	1.851746	1485
A1CF	0.000000	14819	0.000000	17239
A2M	0.050763	6953	0.137767	11593
A2ML1	0.000000	14818	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.343874	1911	1.008299	6136
A4GNT	0.000000	14817	0.000000	17237
AAAS	0.283089	2481	1.677059	2118
AACS	0.297588	2358	1.348252	3840
AADAC	0.425814	1330	0.425814	9856
AADACL2	0.000000	14816	0.000000	17236
AADACL3	0.000000	14815	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.048709	7042	0.429959	9844
AAED1	-0.128922	16290	1.089434	5556
AAGAB	-0.161634	16465	1.387068	3616
AAK1	0.050763	6952	0.761520	7781
AAMDC	0.355177	1814	1.538972	2775
AAMP	0.207694	3424	2.012459	1039
AANAT	0.000000	14814	0.000000	17234
AAR2	0.066405	6391	1.029996	5986
AARD	0.000000	14813	0.000000	17233
AARS	0.014948	8186	1.625813	2339
AARS2	-0.071949	15837	1.138868	5217
AARSD1	0.164617	4144	1.577450	2592
AASDH	0.026394	7925	0.531032	9242
AASDHPPT	0.108455	5390	1.247195	4474
AASS	-0.104889	16113	0.638975	8565
AATF	-0.001861	14855	1.466999	3170
AATK	0.000000	14812	0.000000	17232
ABAT	0.000000	14811	0.450303	9713
ABCA1	0.326918	2065	1.720317	1939
ABCA10	0.048709	7041	0.048709	12395
ABCA12	0.000000	14810	0.000000	17231
ABCA13	0.050763	6951	0.050763	12288
ABCA2	0.137767	4771	0.558805	9087
ABCA3	0.000000	14809	0.670895	8353
ABCA4	0.000000	14808	0.000000	17230
ABCA5	0.000000	14807	0.136656	11648
ABCA6	0.102223	5524	0.393265	10056
ABCA7	0.000000	14806	0.465610	9615
ABCA8	0.000000	14805	0.877842	7003
ABCA9	0.351586	1844	0.653461	8465
ABCB1	0.000000	14804	0.275654	10693
ABCB10	0.097086	5639	0.759139	7796
ABCB11	0.000000	14803	0.000000	17229
ABCB4	0.041655	7187	0.190647	11178
ABCB5	0.000000	14802	0.000000	17228
ABCB6	0.020456	8056	0.311932	10506
ABCB7	0.000000	14801	0.834928	7314
ABCB8	0.164427	4149	1.336394	3898
ABCB9	0.159142	4260	0.598084	8839
ABCC1	0.018132	8114	1.271603	4302
ABCC10	0.093473	5709	0.689141	8242
ABCC11	0.000000	14800	0.000000	17227
ABCC12	0.000000	14799	0.000000	17226
ABCC2	0.000000	14798	0.000000	17225
ABCC3	0.110171	5347	0.501749	9413
ABCC4	0.026308	7929	0.837080	7296
ABCC5	0.000000	14797	0.783976	7632
ABCC6	-	19006	-	19006
ABCC8	0.000000	14796	0.000000	17224
ABCC9	0.050763	6950	0.144430	11487
ABCD1	0.390309	1560	1.343532	3868
ABCD2	0.000000	14795	0.000000	17223
ABCD3	0.008639	8350	0.891779	6910
ABCD4	-0.096972	16048	0.899408	6857
ABCE1	-0.194879	16610	1.324185	3963
ABCF1	0.021300	8035	1.813885	1599
ABCF2	0.479526	1068	1.854664	1475
ABCF3	0.116334	5204	1.591112	2531
ABCG1	0.015103	8180	1.133262	5261
ABCG2	0.071527	6259	0.186476	11281
ABCG4	0.035118	7319	0.050763	12287
ABCG5	0.000000	14794	0.000000	17222
ABCG8	0.000000	14793	0.000000	17221
ABHD1	0.000000	14792	0.000000	17220
ABHD10	-0.010077	14947	0.922455	6697
ABHD11	0.126916	4978	1.096877	5491
ABHD12	0.121877	5084	1.640763	2265
ABHD12B	0.000000	14791	0.000000	17219
ABHD13	-0.247671	16784	0.779543	7660
ABHD14A	0.138343	4654	1.029517	5991
ABHD14B	0.068019	6361	1.825476	1559
ABHD15	0.000000	14790	0.119705	11705
ABHD16A	0.053618	6657	1.344320	3860
ABHD16B	-	19005	-	19005
ABHD17A	0.128374	4945	1.054974	5797
ABHD17B	0.152873	4389	0.843075	7258
ABHD17C	-0.004987	14887	1.036406	5943
ABHD18	0.034257	7336	0.558945	9083
ABHD2	0.000000	14789	1.558032	2696
ABHD3	-0.517017	17159	0.433345	9824
ABHD4	0.096839	5645	1.437328	3316
ABHD5	0.072507	6235	1.079792	5620
ABHD6	0.050763	6949	0.583703	8937
ABHD8	0.162020	4211	1.071746	5683
ABI1	-0.006020	14901	1.297556	4136
ABI2	0.030083	7441	1.448596	3254
ABI3	0.026394	7924	0.050763	12286
ABI3BP	0.634922	561	1.311263	4031
ABL1	0.563646	770	1.463080	3187
ABL2	0.478337	1074	1.146404	5173
ABLIM1	0.008514	8355	0.536230	9214
ABLIM2	0.000000	14788	0.026394	12783
ABLIM3	0.498824	985	1.394206	3578
ABO	0.000000	14787	0.000000	17218
ABR	0.247375	2889	1.297041	4137
ABRA	0.000000	14786	0.000000	17217
ABRACL	0.404328	1453	1.900867	1344
ABT1	0.026588	7505	1.223454	4637
ABTB1	0.137767	4770	0.875931	7020
ABTB2	0.232568	3077	0.993389	6224
ACAA1	0.238043	2993	1.651961	2212
