gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.519623	1028	1.266599	4578
A1CF	0.000000	15091	0.000000	17239
A2M	0.000000	15090	0.046711	12455
A2ML1	0.000000	15089	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.468361	1251	1.132787	5582
A4GNT	0.000000	15088	0.000000	17237
AAAS	0.148914	5045	1.542884	2838
AACS	-0.005187	15158	1.045477	6242
AADAC	0.462865	1270	0.462865	9926
AADACL2	0.000000	15087	0.000000	17236
AADACL3	0.000000	15086	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.046711	7820	0.526553	9578
AAED1	-0.057001	15904	1.049603	6213
AAGAB	0.152297	4991	1.700998	2098
AAK1	0.060481	7079	0.725045	8422
AAMDC	0.431752	1438	1.615547	2490
AAMP	0.203644	3864	1.931380	1254
AANAT	0.000000	15085	0.000000	17234
AAR2	0.192976	4061	1.292555	4393
AARD	0.000000	15084	0.000000	17233
AARS	-0.054717	15874	1.557360	2769
AARS2	-0.081813	16159	1.129004	5614
AARSD1	0.057897	7130	1.470730	3247
AASDH	0.000000	15083	0.714732	8491
AASDHPPT	0.179008	4317	1.309326	4270
AASS	-0.104889	16302	0.741327	8338
AATF	-0.178717	16669	1.290144	4410
AATK	0.000000	15082	0.000000	17232
ABAT	0.000000	15081	0.373418	10362
ABCA1	0.540045	951	1.933444	1248
ABCA10	0.000000	15080	0.000000	17231
ABCA12	0.000000	15079	0.000000	17230
ABCA13	0.046711	7819	0.046711	12454
ABCA2	0.198693	3952	0.543023	9501
ABCA3	0.000000	15078	0.393613	10251
ABCA4	0.000000	15077	0.000000	17229
ABCA5	0.000000	15076	0.243527	11015
ABCA6	0.512043	1054	0.868766	7498
ABCA7	0.000000	15075	0.373418	10361
ABCA8	0.028509	8205	0.969305	6767
ABCA9	0.465113	1260	0.766988	8156
ABCB1	0.000000	15074	0.000000	17228
ABCB10	0.390227	1692	0.859685	7552
ABCB11	0.000000	15073	0.000000	17227
ABCB4	0.000000	15072	0.000000	17226
ABCB5	0.000000	15071	0.000000	17225
ABCB6	0.412317	1567	0.649333	8885
ABCB7	0.000000	15070	0.819051	7827
ABCB8	0.295504	2522	1.220075	4939
ABCB9	0.307250	2408	0.770640	8117
ABCC1	0.397392	1647	1.654362	2307
ABCC10	0.121249	5620	0.561963	9385
ABCC11	0.000000	15069	0.000000	17224
ABCC12	0.000000	15068	0.000000	17223
ABCC2	0.000000	15067	0.000000	17222
ABCC3	0.046711	7818	0.754461	8241
ABCC4	-0.016406	15308	0.714732	8490
ABCC5	0.000000	15066	0.928377	7059
ABCC6	-	19006	-	19006
ABCC8	0.000000	15065	0.000000	17221
ABCC9	0.000000	15064	0.046711	12453
ABCD1	0.562447	861	1.515671	2995
ABCD2	0.000000	15063	0.000000	17220
ABCD3	-0.137021	16487	0.815642	7859
ABCD4	0.010121	8655	1.070635	6040
ABCE1	-0.085137	16184	1.433928	3454
ABCF1	0.022287	8352	1.843438	1553
ABCF2	0.244166	3174	1.671408	2224
ABCF3	0.078976	6692	1.553753	2788
ABCG1	0.000000	15062	0.872683	7465
ABCG2	0.039257	7969	0.147233	11578
ABCG4	0.031066	8145	0.046711	12452
ABCG5	0.000000	15061	0.000000	17219
ABCG8	0.000000	15060	0.000000	17218
ABHD1	0.000000	15059	0.000000	17217
ABHD10	-0.166170	16617	1.008380	6489
ABHD11	0.232374	3343	1.054159	6171
ABHD12	0.179582	4304	1.698469	2106
ABHD12B	0.000000	15058	0.000000	17216
ABHD13	0.043500	7881	1.070714	6036
ABHD14A	0.078273	6709	1.098114	5841
ABHD14B	0.074175	6787	1.831633	1594
ABHD15	0.000000	15057	0.046711	12451
ABHD16A	0.143226	5151	1.433928	3453
ABHD16B	-	19005	-	19005
ABHD17A	0.000000	15056	0.899414	7282
ABHD17B	-0.071472	16043	0.910932	7198
ABHD17C	0.221273	3501	1.262666	4610
ABHD18	0.130360	5422	0.574779	9315
ABHD2	0.019716	8426	1.584445	2630
ABHD3	-0.268459	16926	0.681904	8676
ABHD4	0.273735	2782	1.614224	2496
ABHD5	0.174848	4394	1.066130	6068
ABHD6	0.092458	6282	0.784359	8045
ABHD8	0.203796	3800	0.936124	6995
ABI1	0.122841	5584	1.376625	3798
ABI2	0.202165	3887	1.412430	3586
ABI3	0.046711	7817	0.046711	12450
ABI3BP	1.065163	188	1.741503	1920
ABL1	0.836095	391	1.292555	4392
ABL2	0.504849	1087	1.172916	5295
ABLIM1	0.000000	15055	0.119023	11734
ABLIM2	0.000000	15054	0.046711	12449
ABLIM3	0.648954	655	1.460482	3315
ABO	0.000000	15053	0.000000	17215
ABR	0.268279	2846	1.225870	4894
ABRA	0.000000	15052	0.000000	17214
ABRACL	0.253708	3026	1.750246	1873
ABT1	-0.082281	16162	1.114585	5740
ABTB1	0.000000	15051	1.007878	6501
ABTB2	0.377605	1779	1.138426	5554
ACAA1	0.122874	5582	1.604890	2543
ACAA2	0.266641	2867	1.559420	2758
ACACA	0.052881	7257	0.831828	7740
ACACB	0.000000	15050	0.000000	17213
ACAD10	-0.234510	16847	0.755067	8234
ACAD11	0.000113	8896	0.665550	8790
ACAD8	-0.039862	15685	1.168890	5323
ACAD9	0.000000	15049	1.346959	3987
ACADL	0.000000	15048	0.000000	17212
ACADM	0.001263	8859	1.041533	6261
ACADS	0.203644	3863	0.872240	7471
ACADSB	0.000000	15047	0.491127	9760
ACADVL	0.305113	2428	2.224891	662
ACAN	0.000000	15046	0.046711	12448
ACAP1	0.000000	15045	0.000000	17211
ACAP2	0.057084	7152	1.347239	3984
ACAP3	0.000000	15044	0.512415	9649
ACAT1	0.000000	15043	1.429256	3494
ACAT2	-0.138752	16497	1.109786	5779
ACBD3	0.011881	8609	1.865822	1470
ACBD4	-0.015617	15294	0.529304	9563
ACBD5	0.059081	7100	0.479153	9842
ACBD6	0.143677	5144	1.099806	5828
ACBD7	-0.237318	16855	0.000000	17210
ACCS	0.162604	4644	0.514659	9632
ACCSL	-	19004	-	19004
ACD	0.256108	2998	1.172925	5290
ACE	0.000000	15042	0.216485	11102
ACE2	0.000000	15041	0.000000	17209
ACER1	0.000000	15040	0.000000	17208
ACER2	0.017068	8491	0.195468	11274
ACER3	0.034761	8063	1.153355	5438
ACHE	0.000000	15039	0.000000	17207
ACIN1	0.052283	7275	1.653308	2309
ACKR1	0.000000	15038	0.000000	17206
ACKR2	0.000000	15037	0.000000	17205
ACKR3	0.000000	15036	0.119023	11733
ACKR4	1.188127	125	1.292762	4384
ACLY	0.573995	828	1.868694	1454
ACMSD	0.000000	15035	0.000000	17204
ACO1	0.366159	1879	1.890101	1387
ACO2	0.000000	15034	1.664710	2256
ACOD1	0.393376	1670	0.393376	10257
ACOT1	0.046711	7816	0.046711	12447
ACOT11	0.314583	2323	0.365403	10413
ACOT12	0.000000	15033	0.000000	17203
ACOT13	0.046711	7815	1.182110	5230
ACOT2	0.089136	6356	0.915218	7165
ACOT4	-0.139188	16499	0.000000	17202
ACOT6	-	19003	-	19003
ACOT7	1.228470	108	1.766361	1820
ACOT8	0.009717	8668	1.410486	3599
ACOT9	0.195850	4007	1.744916	1907
ACOX1	0.053067	7254	1.362463	3886
ACOX2	0.250916	3062	0.764774	8170
ACOX3	0.176477	4354	1.045794	6237
ACOXL	0.000000	15032	0.000000	17201
ACP1	0.030509	8153	1.837841	1574
ACP2	0.301114	2467	1.853977	1519
ACP5	0.000000	15031	0.000000	17200
ACP6	0.034398	8065	0.655166	8864
ACP7	-	19002	-	19002
ACPP	0.086593	6528	0.086593	11976
ACPT	-	19001	-	19001
ACR	0.000000	15030	0.000000	17199
ACRBP	0.000000	15029	0.000000	17198
ACRC	0.000000	15028	0.000000	17197
ACRV1	0.000000	15027	0.000000	17196
ACSBG1	0.000000	15026	0.000000	17195
ACSBG2	0.000000	15025	0.000000	17194
ACSF2	0.000000	15024	0.650875	8878
ACSF3	0.000000	15023	0.858171	7569
ACSL1	0.000000	15022	1.122349	5675
ACSL3	0.019988	8418	1.745552	1900
ACSL4	0.238477	3267	1.804404	1677
ACSL5	0.147233	5095	0.788159	8013
ACSL6	0.000000	15021	0.000000	17193
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15020	0.000000	17192
ACSM2B	0.000000	15019	0.000000	17191
ACSM3	0.000000	15018	0.046711	12446
ACSM4	-	18999	-	18999
ACSM5	0.000000	15017	0.000000	17190
ACSM6	0.000000	15016	0.000000	17189
ACSS1	-0.078411	16118	0.046711	12445
ACSS2	0.203644	3862	0.796333	7973
ACSS3	0.009943	8659	0.195468	11273
ACTA1	0.000000	15015	0.000000	17188
ACTA2	0.852945	369	1.945626	1218
ACTB	0.361335	1912	3.902486	6
ACTBL2	0.046711	7814	0.046711	12444
ACTC1	0.000000	15014	0.000000	17187
ACTG1	0.492662	1141	3.757294	10
ACTG2	0.206105	3741	0.935670	6996
ACTL10	0.243527	3197	0.293091	10756
ACTL6A	0.161996	4665	1.467556	3271
ACTL6B	0.000000	15013	0.000000	17186
ACTL7A	0.000000	15012	0.000000	17185
ACTL7B	0.000000	15011	0.000000	17184
ACTL8	0.000000	15010	0.000000	17183
ACTL9	0.000000	15009	0.000000	17182
ACTN1	0.370060	1844	2.408272	411
ACTN2	0.046711	7813	0.046711	12443
ACTN3	0.000000	15008	0.000000	17181
ACTN4	0.454573	1315	2.038403	997
ACTR10	-0.075144	16084	1.625980	2427
ACTR1A	0.502163	1101	2.262414	595
ACTR1B	-0.105619	16305	1.185196	5206
ACTR2	0.000000	15007	1.327405	4136
ACTR3	0.200088	3927	2.369656	453
ACTR3B	0.000000	15006	0.592992	9206
ACTR3C	0.000000	15005	0.000000	17180
ACTR5	-0.127949	16441	0.669319	8746
ACTR6	0.000000	15004	0.776351	8099
ACTR8	0.131969	5383	1.317590	4212
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15003	0.000000	17179
ACTRT3	-	18997	-	18997
ACVR1	0.158869	4725	1.233363	4834
ACVR1B	-0.016997	15320	1.000732	6557
ACVR1C	0.000000	15002	0.000000	17178
ACVR2A	0.035595	8047	0.909574	7207
ACVR2B	-0.125980	16426	0.046711	12442
ACVRL1	0.770040	476	1.136087	5564
ACY1	0.068257	6898	1.199435	5098
ACY3	0.046711	7812	0.046711	12441
