gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.437595	1089	1.428596	3338
A1CF	0.000000	14854	0.000000	17239
A2M	0.000000	14853	0.242935	11054
A2ML1	0.000000	14852	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.114818	4552	0.810267	7567
A4GNT	0.000000	14851	0.000000	17237
AAAS	0.313952	1881	1.707922	1925
AACS	0.265768	2315	1.316432	3995
AADAC	0.052379	6703	0.052379	12932
AADACL2	0.000000	14850	0.000000	17236
AADACL3	0.000000	14849	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.080285	5474	0.537024	9355
AAED1	0.067948	5936	1.169515	5014
AAGAB	-0.011889	15066	1.536812	2731
AAK1	0.121344	4418	0.640824	8705
AAMDC	0.256842	2406	1.440637	3272
AAMP	0.119374	4464	1.924140	1246
AANAT	0.000000	14848	0.000000	17234
AAR2	0.070895	5851	1.192131	4857
AARD	0.026802	8616	0.026802	13733
AARS	0.076523	5631	1.688600	2014
AARS2	-0.068299	15920	1.142518	5215
AARSD1	0.448101	1041	1.562892	2592
AASDH	0.000000	14847	0.618859	8847
AASDHPPT	0.012674	9251	1.176026	4968
AASS	-0.034955	15499	0.816713	7519
AATF	0.016373	9118	1.485233	3007
AATK	0.000000	14846	0.000000	17233
ABAT	0.029318	8315	0.401951	10125
ABCA1	0.000000	14845	1.392565	3531
ABCA10	0.200977	3095	0.200977	11304
ABCA12	0.019795	9011	0.019795	13865
ABCA13	0.029318	8314	0.029318	13615
ABCA2	0.062681	6117	0.690241	8381
ABCA3	0.288214	2100	1.016168	6103
ABCA4	0.000000	14844	0.000000	17232
ABCA5	0.000000	14843	0.350242	10430
ABCA6	0.005194	9490	0.149471	11704
ABCA7	0.004688	9504	0.445519	9880
ABCA8	0.000000	14842	0.772100	7802
ABCA9	0.074765	5693	0.285251	10793
ABCB1	0.000000	14841	0.162334	11605
ABCB10	0.015424	9142	0.753608	7931
ABCB11	0.000000	14840	0.000000	17231
ABCB4	0.000000	14839	0.143412	11763
ABCB5	0.000000	14838	0.000000	17230
ABCB6	0.191331	3223	0.436702	9917
ABCB7	0.033385	7512	0.998802	6229
ABCB8	0.142777	4029	1.273338	4285
ABCB9	0.219022	2831	0.682412	8428
ABCC1	0.121822	4412	1.093383	5538
ABCC10	0.073638	5726	0.714891	8208
ABCC11	0.000000	14837	0.000000	17229
ABCC12	0.000000	14836	0.000000	17228
ABCC2	0.000000	14835	0.000000	17227
ABCC3	0.110984	4637	0.661938	8557
ABCC4	0.012912	9239	0.843791	7333
ABCC5	0.029318	8313	0.703350	8281
ABCC6	-	19006	-	19006
ABCC8	0.000000	14834	0.000000	17226
ABCC9	0.026802	8615	0.119670	11963
ABCD1	0.245529	2519	1.198753	4796
ABCD2	0.029318	8312	0.029318	13614
ABCD3	-0.101437	16224	0.887006	7015
ABCD4	-0.025971	15329	0.831984	7412
ABCE1	-0.114672	16319	1.404393	3462
ABCF1	-0.019137	15209	1.739307	1818
ABCF2	0.392523	1333	1.819765	1559
ABCF3	0.017053	9103	1.491830	2970
ABCG1	0.000000	14833	0.905777	6886
ABCG2	0.052379	6702	0.075916	12467
ABCG4	0.000000	14832	0.000000	17225
ABCG5	0.000000	14831	0.000000	17224
ABCG8	0.000000	14830	0.000000	17223
ABHD1	0.026802	8614	0.026802	13732
ABHD10	-0.115886	16326	0.934235	6692
ABHD11	0.119336	4465	1.089297	5575
ABHD12	0.000000	14829	1.483735	3020
ABHD12B	0.000000	14828	0.000000	17222
ABHD13	-0.271865	16914	0.755349	7918
ABHD14A	-0.021531	15244	1.069348	5716
ABHD14B	-0.107429	16263	1.650028	2180
ABHD15	0.019795	9010	0.256245	10978
ABHD16A	0.014988	9157	1.258563	4378
ABHD16B	-	19005	-	19005
ABHD17A	0.063084	6077	0.982231	6353
ABHD17B	0.005716	9470	0.961755	6501
ABHD17C	-0.192786	16685	0.737930	8046
ABHD18	-0.012668	15087	0.609624	8912
ABHD2	0.002323	9590	1.410512	3434
ABHD3	-0.265480	16900	0.684882	8414
ABHD4	0.232306	2670	1.418539	3397
ABHD5	0.068849	5913	0.875635	7098
ABHD6	0.000000	14827	0.484811	9637
ABHD8	-0.021862	15250	0.807950	7577
ABI1	-0.091368	16150	1.370393	3670
ABI2	0.019572	9017	1.350570	3783
ABI3	0.029318	8311	0.152067	11687
ABI3BP	0.356463	1556	1.032803	5966
ABL1	0.370739	1486	1.312019	4024
ABL2	0.495132	873	1.163198	5067
ABLIM1	0.029318	8310	0.288495	10771
ABLIM2	0.019795	9009	0.060187	12665
ABLIM3	0.141186	4060	1.275333	4270
ABO	0.000000	14826	0.000000	17221
ABR	0.391915	1337	1.441581	3264
ABRA	0.000000	14825	0.000000	17220
ABRACL	0.268398	2295	1.753507	1766
ABT1	-0.068156	15919	1.128711	5323
ABTB1	0.000000	14824	0.772917	7795
ABTB2	0.085666	5318	0.846487	7305
ACAA1	0.065924	5998	1.547939	2672
ACAA2	0.208324	2972	1.417643	3402
ACACA	0.055584	6397	1.026503	6014
ACACB	0.000000	14823	0.075916	12466
ACAD10	-0.201871	16720	0.787707	7698
ACAD11	0.000000	14822	0.382928	10224
ACAD8	-0.182583	16647	1.026168	6018
ACAD9	0.113927	4579	1.514064	2846
ACADL	0.000000	14821	0.000000	17219
ACADM	-0.013798	15107	0.923829	6753
ACADS	0.000000	14820	0.632612	8751
ACADSB	0.000000	14819	0.426190	9983
ACADVL	0.376024	1455	2.040825	956
ACAN	0.084928	5345	0.161110	11620
ACAP1	0.002263	9592	0.114364	12009
ACAP2	0.000000	14818	1.109991	5432
ACAP3	0.079943	5495	0.778402	7764
ACAT1	0.000000	14817	1.396491	3501
ACAT2	-0.022846	15270	1.301993	4082
ACBD3	-0.210665	16748	1.643276	2210
ACBD4	-0.146169	16484	0.562677	9200
ACBD5	0.016735	9111	0.363350	10336
ACBD6	0.146862	3962	1.228063	4581
ACBD7	-0.237318	16824	0.000000	17218
ACCS	-0.020704	15232	0.183078	11450
ACCSL	-	19004	-	19004
ACD	0.279509	2186	1.196326	4819
ACE	0.000000	14816	0.162373	11600
ACE2	0.000000	14815	0.000000	17217
ACER1	0.000000	14814	0.000000	17216
ACER2	-0.029643	15409	0.212408	11233
ACER3	-0.041745	15602	1.076849	5668
ACHE	0.000000	14813	0.136758	11800
ACIN1	0.082498	5414	1.557900	2618
ACKR1	0.000000	14812	0.000000	17215
ACKR2	0.000000	14811	0.066623	12625
ACKR3	0.029318	8309	0.446649	9875
ACKR4	0.047433	6916	0.152067	11686
ACLY	0.707554	409	2.002253	1042
ACMSD	0.000000	14810	0.000000	17214
ACO1	0.450163	1030	1.974104	1119
ACO2	0.072017	5775	1.833412	1508
ACOD1	0.000000	14809	0.000000	17213
ACOT1	0.082498	5413	0.134048	11846
ACOT11	0.000000	14808	0.171778	11527
ACOT12	0.000000	14807	0.000000	17212
ACOT13	0.014361	9179	1.438751	3284
ACOT2	0.339895	1655	1.039891	5925
ACOT4	-0.061589	15845	0.077599	12449
ACOT6	-	19003	-	19003
ACOT7	0.663174	475	1.802961	1609
ACOT8	0.061541	6143	1.462311	3145
ACOT9	0.286352	2112	1.835418	1497
ACOX1	0.114228	4562	1.499998	2922
ACOX2	0.438646	1083	0.611456	8892
ACOX3	0.243111	2548	1.212943	4693
ACOXL	0.000000	14806	0.000000	17211
ACP1	0.061803	6137	1.791046	1640
ACP2	0.029318	8308	1.563327	2591
ACP5	0.187953	3270	0.221397	11174
ACP6	0.174097	3480	0.847584	7296
ACP7	-	19002	-	19002
ACPP	0.029318	8307	0.029318	13613
ACPT	-	19001	-	19001
ACR	0.000000	14805	0.000000	17210
ACRBP	0.000000	14804	0.056120	12733
ACRC	0.000000	14803	0.000000	17209
ACRV1	0.000000	14802	0.000000	17208
ACSBG1	0.000000	14801	0.000000	17207
ACSBG2	0.000000	14800	0.000000	17206
ACSF2	0.239160	2586	0.865267	7175
ACSF3	0.032866	7523	0.897959	6941
ACSL1	0.000000	14799	0.978420	6384
ACSL3	-0.048022	15690	1.629779	2263
ACSL4	0.056120	6380	1.506476	2887
ACSL5	0.065936	5997	0.171462	11529
ACSL6	0.029318	8306	0.029318	13612
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14798	0.000000	17205
ACSM2B	0.000000	14797	0.000000	17204
ACSM3	0.000000	14796	0.000000	17203
ACSM4	-	18999	-	18999
ACSM5	0.000000	14795	0.000000	17202
ACSM6	0.000000	14794	0.000000	17201
ACSS1	-0.078411	16028	0.194074	11357
ACSS2	0.029318	8305	0.919875	6786
ACSS3	0.000000	14793	0.371136	10287
ACTA1	0.071389	5832	0.071389	12585
ACTA2	1.754548	21	3.128844	62
ACTB	0.790125	287	4.244166	1
ACTBL2	0.330089	1735	0.330089	10536
ACTC1	0.243608	2545	0.351113	10422
ACTG1	0.694879	431	4.174304	2
ACTG2	2.386483	5	3.116048	66
ACTL10	0.094588	5067	0.211647	11238
ACTL6A	0.160643	3697	1.676659	2072
ACTL6B	0.000000	14792	0.000000	17200
ACTL7A	0.000000	14791	0.000000	17199
ACTL7B	0.000000	14790	0.000000	17198
ACTL8	0.000000	14789	0.000000	17197
ACTL9	0.000000	14788	0.000000	17196
ACTN1	0.753023	325	2.908693	130
ACTN2	0.026802	8613	0.098977	12191
ACTN3	0.019795	9008	0.019795	13864
ACTN4	0.590161	614	2.130781	791
ACTR10	0.088587	5221	1.701924	1950
ACTR1A	0.301070	1972	2.330501	471
ACTR1B	0.050282	6755	1.341097	3839
ACTR2	0.110373	4653	1.768482	1715
ACTR3	0.340625	1651	2.510193	308
ACTR3B	0.019795	9007	0.672323	8491
ACTR3C	0.000000	14787	0.000000	17195
ACTR5	-0.171603	16606	0.625665	8802
ACTR6	0.029318	8304	0.725914	8129
ACTR8	0.167734	3586	1.218417	4645
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14786	0.000000	17194
ACTRT3	-	18997	-	18997
ACVR1	0.078993	5535	1.010969	6138
ACVR1B	-0.298855	16965	0.718875	8182
ACVR1C	0.000000	14785	0.029318	13611
ACVR2A	0.019795	9006	0.451196	9835
ACVR2B	0.021054	8782	0.195479	11353
ACVRL1	0.029318	8303	0.153484	11659
ACY1	0.219601	2819	1.350780	3781
ACY3	0.000000	14784	0.000000	17193
ACYP1	0.000000	14783	0.860115	7203
ACYP2	0.047423	6917	0.759507	7890
ADA	0.102716	4819	0.623459	8818
ADAD1	0.000000	14782	0.000000	17192
ADAD2	0.000000	14781	0.000000	17191
ADAL	-0.237321	16825	0.490612	9606
ADAM10	0.019795	9005	1.260843	4364
ADAM11	0.000000	14780	0.000000	17190
ADAM12	1.025677	133	1.304173	4064
ADAM15	0.280358	2172	1.960194	1156
ADAM17	0.000000	14779	1.037952	5932
ADAM18	0.000000	14778	0.000000	17189
ADAM19	1.415106	44	2.378138	417
ADAM2	0.000000	14777	0.000000	17188
ADAM20	0.000000	14776	0.000000	17187
ADAM21	0.000000	14775	0.000000	17186
ADAM22	0.000000	14774	0.155638	11645
ADAM23	0.588604	617	1.001667	6208
ADAM28	0.000000	14773	0.085763	12338
ADAM29	0.000000	14772	0.000000	17185
ADAM30	0.000000	14771	0.000000	17184
ADAM32	0.000000	14770	0.000000	17183
ADAM33	0.000000	14769	0.087562	12317
ADAM7	0.000000	14768	0.000000	17182
ADAM8	0.111391	4631	0.161110	11619
ADAM9	0.511767	819	2.039719	959
ADAMDEC1	0.052379	6701	0.052379	12931
ADAMTS1	0.147116	3955	1.951887	1177
ADAMTS10	0.052379	6700	0.217115	11205
ADAMTS12	1.436591	43	1.673378	2084
ADAMTS13	0.000000	14767	0.000000	17181
ADAMTS14	0.314172	1877	0.549038	9277
ADAMTS15	0.609669	572	1.134148	5271
ADAMTS16	0.037305	7266	0.037305	13045
ADAMTS17	0.000000	14766	0.029318	13610
ADAMTS18	0.077599	5602	0.077599	12448
ADAMTS19	0.019795	9004	0.019795	13863
ADAMTS2	0.448969	1037	1.189387	4880
ADAMTS20	0.000000	14765	0.000000	17180
ADAMTS3	0.005702	9472	0.282485	10815
ADAMTS4	0.019795	9003	0.558392	9226
ADAMTS5	0.053180	6510	0.307195	10670
ADAMTS6	0.569127	659	0.811838	7552
ADAMTS7	0.058249	6252	0.635365	8730
ADAMTS8	0.000000	14764	0.000000	17179
ADAMTS9	0.000000	14763	0.049113	12986
ADAMTSL1	0.710148	405	1.207076	4737
ADAMTSL2	0.000000	14762	0.026802	13731
ADAMTSL3	-0.013137	15096	0.000000	17178
ADAMTSL4	0.000000	14761	0.341809	10469
ADAMTSL5	0.129577	4259	0.491084	9602
ADAP1	0.049113	6833	0.675546	8472
ADAP2	0.052379	6699	0.087562	12316
ADAR	0.154242	3805	1.545885	2685
ADARB1	0.122669	4396	0.827023	7440
ADARB2	0.000000	14760	0.000000	17177
ADAT1	-0.029304	15400	0.933897	6694
ADAT2	-0.165971	16582	0.710055	8243
ADAT3	0.067413	5954	1.740809	1812
ADCK1	-0.003273	14935	0.593257	9004
ADCK2	-0.123981	16365	0.919021	6796
ADCK5	0.033385	7511	0.800223	7619
ADCY1	0.000000	14759	0.056120	12732
ADCY10	0.000000	14758	0.000000	17176
ADCY2	0.000000	14757	0.000000	17175
ADCY3	0.042983	7061	0.937559	6672
ADCY4	-0.029042	15393	0.193746	11367
ADCY5	0.029318	8302	0.029318	13609
ADCY6	0.066390	5982	0.876809	7090
ADCY7	0.264271	2340	0.830193	7424
ADCY8	0.000000	14756	0.000000	17174
ADCY9	0.000000	14755	0.305982	10679
ADCYAP1	0.000000	14754	0.000000	17173
ADCYAP1R1	0.000000	14753	0.000000	17172
ADD1	0.175415	3457	1.864314	1412
ADD2	0.029318	8301	0.179998	11468
ADD3	0.126810	4313	1.208935	4723
ADGB	0.000000	14752	0.000000	17171
ADGRA1	0.000000	14751	0.000000	17170
ADGRA2	0.177083	3427	1.081636	5636
ADGRA3	0.063727	6057	0.708940	8247
ADGRB1	0.000000	14750	0.000000	17169
ADGRB2	0.151402	3872	0.673999	8485
ADGRB3	0.000000	14749	0.029318	13608
ADGRD1	0.000000	14748	0.145060	11737
ADGRD2	-	18996	-	18996
ADGRE1	0.000000	14747	0.000000	17168
ADGRE2	0.389263	1360	1.218582	4643
ADGRE3	0.000000	14746	0.000000	17167
ADGRE5	0.335189	1691	1.425981	3352
ADGRF1	0.019795	9002	0.019795	13862
ADGRF2	0.000000	14745	0.000000	17166
ADGRF3	0.000000	14744	0.085091	12348
ADGRF4	0.019795	9001	0.019795	13861
ADGRF5	0.649786	493	0.783818	7729
ADGRG1	0.029318	8300	0.364826	10325
ADGRG2	0.009429	9367	0.029318	13607
ADGRG3	0.000000	14743	0.000000	17165
ADGRG4	0.000000	14742	0.000000	17164
ADGRG5	0.000000	14741	0.000000	17163
ADGRG6	0.093277	5098	0.519761	9448
ADGRG7	0.000000	14740	0.000000	17162
ADGRL1	0.000000	14739	0.078509	12421
ADGRL2	0.019795	9000	0.019795	13860
ADGRL3	0.000000	14738	0.000000	17161
ADGRL4	0.712697	399	1.615236	2336
ADGRV1	0.000000	14737	0.000000	17160
ADH1A	0.000000	14736	0.000000	17159
ADH1B	-0.034633	15496	0.144660	11756
ADH1C	0.000000	14735	0.000000	17158
ADH4	0.000000	14734	0.000000	17157
ADH5	0.248984	2483	1.831889	1513
ADH6	0.000000	14733	0.000000	17156
ADH7	0.000000	14732	0.000000	17155
ADHFE1	0.000000	14731	0.171377	11531
ADI1	0.277257	2211	2.055817	929
ADIG	0.000000	14730	0.000000	17154
ADIPOQ	0.000000	14729	0.000000	17153
ADIPOR1	0.319460	1823	1.843406	1471
ADIPOR2	0.019795	8999	1.281225	4233
ADIRF	0.329067	1749	2.098782	856
ADK	0.228674	2717	1.577443	2506
ADM	0.180058	3388	1.899017	1313
ADM2	0.278793	2194	0.460416	9786
ADM5	0.000000	14728	0.000000	17152
ADNP	0.041082	7115	1.196731	4816
ADNP2	-0.007561	15008	0.744968	8002
ADO	0.000000	14727	0.745567	7996
ADORA1	0.052379	6698	0.052379	12930
ADORA2A	0.140457	4075	0.311444	10645
ADORA2B	0.072788	5751	0.530075	9396
ADORA3	0.052379	6697	0.052379	12929
ADPGK	0.141977	4040	1.387447	3554
ADPRH	0.068725	5915	0.306481	10674
ADPRHL1	0.000000	14726	0.000000	17151
ADPRHL2	0.158428	3727	1.310162	4035
ADPRM	-0.152689	16518	0.748977	7973
ADRA1A	0.000000	14725	0.000000	17150
ADRA1B	0.000000	14724	0.078509	12420
ADRA1D	0.000000	14723	0.071389	12584
ADRA2A	0.000000	14722	0.066623	12624
ADRA2B	0.029318	8299	0.029318	13606
ADRA2C	0.000000	14721	0.019795	13859
ADRB1	0.000000	14720	0.029318	13605
ADRB2	0.029318	8298	0.661506	8558
ADRB3	0.000000	14719	0.000000	17149
ADRM1	0.479443	924	2.146241	762
ADSL	0.348502	1608	1.505060	2895
