gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.312982	2105	1.161149	5276
A1CF	0.000000	15017	0.000000	17239
A2M	0.000000	15016	0.052787	12781
A2ML1	0.000000	15015	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.485712	1025	1.150137	5348
A4GNT	0.000000	15014	0.000000	17237
AAAS	0.272041	2550	1.666011	2170
AACS	0.205132	3407	1.255796	4598
AADAC	0.643449	618	0.643449	8966
AADACL2	0.000000	15013	0.000000	17236
AADACL3	0.000000	15012	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.070034	6735	0.409154	10258
AAED1	0.115049	5357	0.989108	6642
AAGAB	-0.009467	15159	1.539235	2820
AAK1	0.042110	7964	0.644146	8959
AAMDC	0.296136	2284	1.479931	3157
AAMP	0.087141	6108	1.891906	1336
AANAT	0.000000	15011	0.000000	17234
AAR2	0.111507	5432	1.195195	5019
AARD	0.000000	15010	0.000000	17233
AARS	-0.033531	15574	1.578546	2603
AARS2	-0.053491	15843	1.157327	5296
AARSD1	0.013696	8734	1.426530	3447
AASDH	0.000000	15009	0.694023	8642
AASDHPPT	0.237983	2973	1.408995	3542
AASS	-0.104889	16314	0.630561	9048
AATF	-0.091377	16212	1.377483	3747
AATK	0.000000	15008	0.000000	17232
ABAT	0.000000	15007	0.267239	11010
ABCA1	0.258538	2708	1.651938	2245
ABCA10	0.264280	2638	0.264280	11033
ABCA12	0.000000	15006	0.000000	17231
ABCA13	0.052787	7699	0.052787	12780
ABCA2	0.183666	3788	0.835045	7716
ABCA3	0.103840	5664	0.594593	9235
ABCA4	0.000000	15005	0.000000	17230
ABCA5	0.000000	15004	0.228199	11244
ABCA6	0.440331	1240	0.897582	7280
ABCA7	0.089012	6058	0.515148	9696
ABCA8	0.172603	3985	1.113399	5641
ABCA9	0.478203	1058	0.780078	8083
ABCB1	0.052787	7698	0.566264	9389
ABCB10	0.067666	6805	0.701080	8583
ABCB11	0.000000	15003	0.000000	17229
ABCB4	0.000000	15002	0.107406	12038
ABCB5	0.000000	15001	0.000000	17228
ABCB6	0.196639	3553	0.433655	10129
ABCB7	0.052787	7697	1.094218	5819
ABCB8	0.261844	2668	1.424502	3461
ABCB9	0.220496	3199	0.689550	8678
ABCC1	0.313946	2092	1.494071	3071
ABCC10	0.173739	3965	0.809088	7902
ABCC11	0.000000	15000	0.000000	17227
ABCC12	0.000000	14999	0.000000	17226
ABCC2	0.000000	14998	0.000000	17225
ABCC3	0.073369	6642	0.478470	9894
ABCC4	0.036381	8126	0.885142	7373
ABCC5	0.000000	14997	0.753527	8260
ABCC6	-	19006	-	19006
ABCC8	0.000000	14996	0.000000	17224
ABCC9	0.090705	6020	0.307725	10788
ABCD1	0.495328	995	1.448551	3308
ABCD2	0.000000	14995	0.000000	17223
ABCD3	-0.112985	16372	0.973405	6767
ABCD4	0.002791	9007	1.053924	6119
ABCE1	-0.054468	15856	1.464596	3231
ABCF1	-0.096736	16259	1.725579	1930
ABCF2	0.181936	3813	1.609178	2446
ABCF3	0.102798	5696	1.577575	2609
ABCG1	0.017128	8646	1.033105	6278
ABCG2	0.000000	14994	0.063444	12509
ABCG4	0.057725	7293	0.073369	12282
ABCG5	0.000000	14993	0.000000	17222
ABCG8	0.000000	14992	0.000000	17221
ABHD1	0.000000	14991	0.000000	17220
ABHD10	-0.206991	16810	1.063686	6031
ABHD11	0.129278	4936	1.099239	5766
ABHD12	0.134286	4826	1.653172	2234
ABHD12B	0.000000	14990	0.000000	17219
ABHD13	-0.189294	16754	0.837921	7701
ABHD14A	0.134696	4815	1.217989	4870
ABHD14B	0.118775	5224	1.876232	1382
