gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.538794	759	1.529795	2772
A1CF	0.000000	14939	0.000000	17239
A2M	0.000000	14938	0.060287	12522
A2ML1	0.000000	14937	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.271390	2590	0.966840	6670
A4GNT	0.000000	14936	0.000000	17237
AAAS	0.403102	1407	1.797072	1625
AACS	0.184292	3980	1.166686	5149
AADAC	0.331860	1951	0.331860	10668
AADACL2	0.000000	14935	0.000000	17236
AADACL3	0.000000	14934	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.052642	7431	0.349984	10587
AAED1	0.126633	5128	1.021352	6273
AAGAB	-0.110944	16242	1.437757	3307
AAK1	0.112355	5673	0.841670	7589
AAMDC	0.266670	2664	1.450465	3243
AAMP	0.324415	2022	1.836697	1498
AANAT	0.000000	14933	0.000000	17234
AAR2	0.227897	3235	1.328000	4008
AARD	0.000000	14932	0.000000	17233
AARS	0.147012	4706	1.698268	2005
AARS2	0.014557	8358	1.225375	4721
AARSD1	0.083872	6367	1.415868	3433
AASDH	0.000000	14931	0.546490	9494
AASDHPPT	0.039576	7736	1.258090	4479
AASS	0.020321	8232	0.811654	7818
AATF	-0.040431	15536	1.428429	3370
AATK	0.000000	14930	0.000000	17232
ABAT	0.000000	14929	0.494469	9785
ABCA1	0.434694	1205	1.828094	1528
ABCA10	0.293294	2342	0.293294	10872
ABCA12	0.000000	14928	0.000000	17231
ABCA13	0.204967	3634	0.204967	11314
ABCA2	0.191981	3813	0.798831	7908
ABCA3	0.000000	14927	0.552632	9465
ABCA4	0.000000	14926	0.000000	17230
ABCA5	0.060287	7267	0.331860	10667
ABCA6	0.549054	726	0.747349	8236
ABCA7	0.026847	8058	0.573111	9353
ABCA8	0.073417	6634	1.014213	6314
ABCA9	0.548996	727	0.850870	7531
ABCB1	0.000000	14925	0.125210	11918
ABCB10	0.198180	3732	0.573111	9352
ABCB11	0.000000	14924	0.000000	17229
ABCB4	0.000000	14923	0.000000	17228
ABCB5	0.000000	14922	0.000000	17227
ABCB6	0.352113	1769	0.589129	9243
ABCB7	0.000000	14921	1.006971	6390
ABCB8	0.278997	2505	1.450963	3239
ABCB9	0.429417	1234	0.892807	7219
ABCC1	0.278873	2508	1.384662	3631
ABCC10	0.129268	5067	0.768562	8116
ABCC11	0.000000	14920	0.000000	17226
ABCC12	0.000000	14919	0.000000	17225
ABCC2	0.060287	7266	0.060287	12521
ABCC3	0.079827	6458	0.792871	7940
ABCC4	-0.016406	15142	0.857667	7462
ABCC5	0.000000	14918	0.689088	8603
ABCC6	-	19006	-	19006
ABCC8	0.000000	14917	0.000000	17224
ABCC9	0.079338	6472	0.275114	10901
ABCD1	0.378268	1562	1.331491	3987
ABCD2	0.000000	14916	0.000000	17223
ABCD3	-0.067133	15880	1.097507	5666
ABCD4	-0.063078	15834	1.011637	6345
ABCE1	-0.088352	16076	1.430713	3358
ABCF1	-0.096736	16144	1.590765	2466
ABCF2	0.312881	2137	1.740123	1810
ABCF3	0.103862	5896	1.578639	2532
ABCG1	0.024627	8120	1.014529	6311
ABCG2	0.010261	8442	0.125210	11917
ABCG4	0.000000	14915	0.000000	17222
ABCG5	0.000000	14914	0.000000	17221
ABCG8	0.000000	14913	0.000000	17220
ABHD1	0.000000	14912	0.000000	17219
ABHD10	0.201746	3681	1.015564	6305
ABHD11	0.261939	2735	1.194066	4937
ABHD12	0.002603	8601	1.521489	2820
ABHD12B	0.000000	14911	0.000000	17218
ABHD13	-0.131366	16385	0.895848	7208
ABHD14A	0.186367	3899	1.303535	4166
ABHD14B	0.173748	4169	1.931205	1228
ABHD15	0.000000	14910	0.254601	11073
ABHD16A	0.061017	6896	1.268721	4414
ABHD16B	-	19005	-	19005
ABHD17A	0.311545	2158	1.238145	4629
ABHD17B	-0.083073	16035	0.845476	7564
ABHD17C	0.112047	5678	1.153439	5256
ABHD18	0.044948	7618	0.786547	7998
ABHD2	0.000000	14909	1.528810	2778
ABHD3	-0.300339	16950	0.650024	8877
ABHD4	0.131978	5011	1.279570	4334
ABHD5	0.132335	5000	1.136528	5377
ABHD6	0.000000	14908	0.254601	11072
ABHD8	0.140503	4851	0.978409	6579
ABI1	-0.060399	15809	1.252622	4523
ABI2	0.121412	5473	1.423465	3394
ABI3	0.159201	4435	0.355482	10540
ABI3BP	1.340945	53	2.017286	1013
ABL1	0.939411	219	1.456887	3208
ABL2	0.448035	1129	1.116101	5531
ABLIM1	0.060287	7265	0.125210	11916
ABLIM2	0.000000	14907	0.000000	17217
ABLIM3	0.412704	1331	1.365733	3753
ABO	0.000000	14906	0.000000	17216
ABR	0.354893	1747	1.404560	3510
ABRA	0.000000	14905	0.000000	17215
ABRACL	0.132212	5003	1.628750	2285
ABT1	-0.075139	15960	1.121727	5493
ABTB1	0.000000	14904	1.131370	5420
ABTB2	0.153785	4540	0.914606	7077
ACAA1	0.068272	6738	1.449291	3252
ACAA2	0.339786	1882	1.478892	3069
ACACA	0.110669	5707	0.895242	7212
ACACB	0.011714	8416	0.331860	10666
ACAD10	0.077141	6541	1.066718	5897
ACAD11	0.165143	4332	0.798431	7918
ACAD8	-0.137684	16415	1.071068	5854
ACAD9	0.145017	4773	1.430464	3361
ACADL	0.000000	14903	0.000000	17214
ACADM	-0.013798	15100	0.978409	6578
ACADS	0.261598	2739	1.149233	5277
ACADSB	0.000000	14902	0.770077	8111
ACADVL	0.355055	1745	2.148469	771
ACAN	0.000000	14901	0.000000	17213
ACAP1	0.000000	14900	0.000000	17212
ACAP2	0.000000	14899	1.318770	4066
ACAP3	0.131302	5027	0.714181	8458
ACAT1	0.000000	14898	1.398296	3552
