gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.494773	626	1.485774	2970
A1CF	0.000000	14899	0.000000	17239
A2M	0.077668	6101	1.044080	5930
A2ML1	0.000000	14898	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.246114	2256	0.910540	6951
A4GNT	0.000000	14897	0.000000	17237
AAAS	0.126687	4472	1.520657	2788
AACS	0.195175	3008	1.202626	4749
AADAC	0.000000	14896	0.000000	17236
AADACL2	0.000000	14895	0.000000	17235
AADACL3	0.000000	14894	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.214820	2686	0.521838	9625
AAED1	0.219534	2608	1.437890	3213
AAGAB	-0.215918	16720	1.332783	3850
AAK1	0.226479	2528	0.859937	7352
AAMDC	0.177498	3342	1.257298	4356
AAMP	0.118917	4662	1.923683	1137
AANAT	0.000000	14893	0.000000	17233
AAR2	0.102547	5079	1.207846	4717
AARD	0.113401	4810	0.127853	11865
AARS	0.408196	925	2.020273	898
AARS2	0.190536	3080	1.401353	3411
AARSD1	0.082655	5661	1.495489	2903
AASDH	0.000000	14892	0.694459	8550
AASDHPPT	-0.020711	15251	1.277193	4230
AASS	-0.000187	14903	0.756895	8111
AATF	-0.046272	15682	1.422588	3303
AATK	0.000000	14891	0.000000	17232
ABAT	0.013612	8256	0.230344	11135
ABCA1	0.025402	7927	0.753446	8125
ABCA10	0.000000	14890	0.000000	17231
ABCA12	0.000000	14889	0.000000	17230
ABCA13	0.000000	14888	0.000000	17229
ABCA2	0.012843	8288	0.552059	9457
ABCA3	0.000000	14887	0.256635	11066
ABCA4	0.000000	14886	0.000000	17228
ABCA5	0.077668	6100	0.458637	9945
ABCA6	0.237308	2395	0.696482	8529
ABCA7	0.151501	3868	0.365823	10473
ABCA8	0.077668	6099	0.831834	7565
ABCA9	0.025623	7917	0.276334	10911
ABCB1	0.000000	14885	0.050185	12702
ABCB10	-0.055560	15807	0.798479	7839
ABCB11	0.000000	14884	0.000000	17227
ABCB4	0.000000	14883	0.050185	12701
ABCB5	0.000000	14882	0.000000	17226
ABCB6	0.043069	7402	0.431027	10073
ABCB7	0.000000	14881	0.780691	7956
ABCB8	0.031364	7742	1.091757	5569
ABCB9	0.142592	4049	0.558907	9434
ABCC1	0.382678	1069	1.639648	2165
ABCC10	0.228395	2506	0.895938	7070
ABCC11	0.000000	14880	0.000000	17225
ABCC12	0.000000	14879	0.000000	17224
ABCC2	0.000000	14878	0.000000	17223
ABCC3	0.366202	1163	1.178530	4937
ABCC4	0.238774	2372	0.958707	6579
ABCC5	0.000000	14877	0.752671	8138
ABCC6	-	19006	-	19006
ABCC8	0.000000	14876	0.000000	17222
ABCC9	0.077668	6098	0.322711	10680
ABCD1	0.157697	3725	1.110921	5422
ABCD2	0.000000	14875	0.000000	17221
ABCD3	-0.206284	16686	0.847100	7440
ABCD4	0.043791	7384	1.102417	5481
ABCE1	-0.257463	16858	1.261602	4330
ABCF1	0.088206	5510	1.931406	1120
ABCF2	0.364652	1176	1.791894	1550
ABCF3	-0.021897	15267	1.452881	3137
ABCG1	0.000000	14874	0.326519	10671
ABCG2	0.077668	6097	0.077668	12298
ABCG4	0.034541	7642	0.050185	12700
ABCG5	0.000000	14873	0.000000	17220
ABCG8	0.000000	14872	0.000000	17219
ABHD1	0.000000	14871	0.000000	17218
ABHD10	0.088366	5506	0.973725	6457
ABHD11	0.043061	7403	1.013022	6158
ABHD12	0.100978	5116	1.619865	2271
ABHD12B	0.077668	6096	0.077668	12297
ABHD13	-0.144007	16413	0.883207	7167
ABHD14A	0.045016	7350	1.110808	5424
ABHD14B	0.116680	4721	1.874137	1280
ABHD15	0.236191	2409	0.576755	9322
ABHD16A	0.000000	14870	1.122638	5335
ABHD16B	-	19005	-	19005
ABHD17A	0.071743	6248	0.998343	6244
ABHD17B	-0.080347	16025	0.871108	7273
ABHD17C	0.027997	7848	0.963866	6541
ABHD18	-0.014453	15131	0.668781	8712
ABHD2	0.000000	14869	1.466883	3062
ABHD3	-0.233010	16781	0.717352	8377
ABHD4	0.354324	1241	1.694813	1926
ABHD5	0.019288	8103	1.085732	5611
ABHD6	0.000000	14868	0.394013	10308
ABHD8	0.149569	3908	1.059295	5803
ABI1	-0.043018	15628	1.154024	5084
ABI2	0.000131	8642	1.399259	3435
ABI3	0.000000	14867	0.000000	17217
ABI3BP	0.077668	6095	0.737897	8253
ABL1	0.385987	1045	1.387498	3501
ABL2	0.165527	3580	0.833594	7549
ABLIM1	0.050185	7216	0.127853	11864
ABLIM2	0.000000	14866	0.000000	17216
ABLIM3	0.661907	318	1.701002	1898
ABO	0.000000	14865	0.000000	17215
ABR	0.322413	1483	1.383782	3522
ABRA	0.000000	14864	0.000000	17214
ABRACL	0.154485	3794	1.651024	2108
ABT1	0.090145	5401	1.287011	4172
ABTB1	0.000000	14863	0.904375	7008
ABTB2	-0.013997	15121	0.410481	10203
ACAA1	0.020730	8063	1.426723	3275
ACAA2	0.101361	5104	1.241493	4447
ACACA	0.151023	3879	1.224005	4583
ACACB	0.077668	6094	0.077668	12296
ACAD10	0.040897	7460	1.030475	6038
ACAD11	0.000000	14862	0.540414	9517
ACAD8	-0.059791	15850	1.148961	5132
ACAD9	0.000000	14861	1.400083	3424
ACADL	0.000000	14860	0.000000	17213
ACADM	0.063870	6442	0.912577	6939
ACADS	0.160023	3673	1.047658	5895
ACADSB	0.029027	7821	0.559248	9424
ACADVL	-0.082214	16042	1.805082	1506
ACAN	0.000000	14859	0.000000	17212
ACAP1	0.000000	14858	0.077668	12295
ACAP2	0.000000	14857	1.303687	4057
ACAP3	0.127853	4453	0.796720	7850
ACAT1	0.000000	14856	1.525767	2756
ACAT2	0.102770	5072	1.535920	2698
ACBD3	-0.214874	16715	1.639067	2167
ACBD4	-0.035372	15520	0.665207	8737
ACBD5	0.022900	8001	0.521838	9624
ACBD6	0.189775	3093	1.402396	3407
ACBD7	-0.035663	15524	0.201655	11339
ACCS	0.036772	7588	0.501679	9737
ACCSL	-	19004	-	19004
ACD	0.150808	3883	0.979521	6394
ACE	0.204084	2830	0.650602	8829
ACE2	0.000000	14855	0.000000	17211
ACER1	0.000000	14854	0.000000	17210
ACER2	-0.029643	15415	0.050185	12699
ACER3	-0.587600	17215	0.530994	9572
ACHE	0.050185	7215	0.050185	12698
ACIN1	0.190356	3084	1.650875	2110
ACKR1	0.000000	14853	0.000000	17209
ACKR2	0.000000	14852	0.127853	11863
ACKR3	0.000000	14851	0.313724	10716
ACKR4	0.000000	14850	0.000000	17208
ACLY	0.581668	435	1.876367	1273
ACMSD	0.000000	14849	0.000000	17207
ACO1	0.151413	3872	1.675355	2009
ACO2	0.000000	14848	1.726003	1798
ACOD1	0.000000	14847	0.000000	17206
ACOT1	0.000000	14846	0.000000	17205
ACOT11	0.037710	7554	0.089488	12060
ACOT12	0.050185	7214	0.050185	12697
ACOT13	0.077668	6093	1.354900	3698
ACOT2	0.084374	5622	1.123663	5320
ACOT4	-0.015201	15147	0.123987	11936
ACOT6	-	19003	-	19003
ACOT7	0.396582	1004	1.427551	3271
ACOT8	-0.042248	15622	1.358522	3680
ACOT9	0.000000	14845	1.488635	2948
ACOX1	0.042246	7425	1.196996	4798
ACOX2	0.327490	1445	0.841348	7488
ACOX3	0.030095	7784	1.007642	6187
ACOXL	0.000000	14844	0.000000	17204
ACP1	0.042138	7428	1.718828	1832
ACP2	0.044557	7367	1.597420	2386
ACP5	0.000000	14843	0.000000	17203
ACP6	0.013604	8257	0.687091	8590
ACP7	-	19002	-	19002
ACPP	0.077668	6092	0.256635	11065
ACPT	-	19001	-	19001
ACR	0.000000	14842	0.000000	17202
ACRBP	0.077668	6091	0.266670	10994
ACRC	0.000000	14841	0.000000	17201
ACRV1	0.000000	14840	0.000000	17200
ACSBG1	0.000000	14839	0.000000	17199
ACSBG2	0.000000	14838	0.000000	17198
ACSF2	0.634441	351	1.260548	4335
ACSF3	0.100963	5117	0.856740	7374
ACSL1	0.089655	5414	1.181609	4914
ACSL3	0.068152	6330	2.028054	886
ACSL4	0.000000	14837	1.350674	3724
ACSL5	0.000000	14836	0.184942	11416
ACSL6	0.000000	14835	0.000000	17197
ACSM1	-	19000	-	19000
ACSM2A	0.000000	14834	0.000000	17196
ACSM2B	0.000000	14833	0.000000	17195
ACSM3	0.112485	4831	0.184942	11415
ACSM4	-	18999	-	18999
ACSM5	0.134756	4257	0.134756	11725
ACSM6	0.000000	14832	0.000000	17194
ACSS1	0.045576	7334	0.418902	10170
ACSS2	0.194466	3019	1.047701	5894
ACSS3	0.050605	6864	0.624655	8982
ACTA1	0.000000	14831	0.000000	17193
ACTA2	1.176198	38	2.224057	537
ACTB	0.490843	642	3.915782	2
ACTBL2	0.000000	14830	0.000000	17192
ACTC1	0.000000	14829	0.000000	17191
ACTG1	0.644993	332	4.124417	1
ACTG2	1.176385	37	1.905950	1187
ACTL10	0.139577	4112	0.256635	11064
ACTL6A	0.065007	6404	1.273779	4254
ACTL6B	0.000000	14828	0.000000	17190
ACTL7A	0.000000	14827	0.000000	17189
ACTL7B	0.000000	14826	0.000000	17188
ACTL8	0.089488	5470	0.089488	12059
ACTL9	0.000000	14825	0.000000	17187
ACTN1	0.451730	755	2.607400	188
ACTN2	0.000000	14824	0.000000	17186
ACTN3	0.050185	7213	0.050185	12696
ACTN4	0.430468	829	2.195713	580
ACTR10	-0.120508	16301	1.527151	2747
ACTR1A	0.173228	3413	2.202659	573
ACTR1B	0.006943	8467	1.297758	4094
ACTR2	0.071710	6249	1.462439	3085
ACTR3	0.088436	5503	1.951461	1067
ACTR3B	0.057456	6651	0.724781	8328
ACTR3C	0.000000	14823	0.000000	17185
ACTR5	-0.136985	16391	0.660283	8769
ACTR6	0.000000	14822	0.729017	8301
ACTR8	0.136336	4174	1.128246	5287
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	14821	0.000000	17184
ACTRT3	-	18997	-	18997
ACVR1	0.117514	4702	1.192008	4839
ACVR1B	-0.042679	15625	0.975050	6448
ACVR1C	0.000000	14820	0.000000	17183
ACVR2A	0.090853	5374	0.759040	8099
ACVR2B	-0.172691	16549	0.134756	11724
ACVRL1	0.059580	6595	0.357935	10511
ACY1	0.230666	2477	1.361845	3648
ACY3	0.000000	14819	0.000000	17182
ACYP1	0.077668	6090	1.052638	5857
ACYP2	0.023482	7984	0.673304	8671
ADA	0.130063	4367	0.804580	7795
ADAD1	0.000000	14818	0.000000	17181
ADAD2	0.000000	14817	0.000000	17180
ADAL	-0.429283	17146	0.298650	10828
ADAM10	0.000000	14816	1.302143	4067
ADAM11	0.287432	1789	0.287432	10870
ADAM12	0.317399	1533	0.576755	9321
ADAM15	0.133804	4284	1.813640	1476
ADAM17	0.110997	4861	0.958635	6581
ADAM18	0.000000	14815	0.000000	17179
ADAM19	0.000000	14814	0.891313	7112
ADAM2	0.000000	14813	0.000000	17178
ADAM20	0.000000	14812	0.000000	17177
ADAM21	0.000000	14811	0.000000	17176
ADAM22	0.000000	14810	0.077668	12294
ADAM23	0.147974	3940	0.478751	9855
ADAM28	0.000000	14809	0.000000	17175
ADAM29	0.000000	14808	0.000000	17174
ADAM30	0.000000	14807	0.000000	17173
ADAM32	0.000000	14806	0.000000	17172
ADAM33	1.005120	92	1.430928	3256
ADAM7	0.000000	14805	0.000000	17171
ADAM8	0.027416	7864	0.050185	12695
ADAM9	0.435544	810	1.811915	1486
ADAMDEC1	0.000000	14804	0.000000	17170
ADAMTS1	0.154327	3799	1.959098	1051
ADAMTS10	0.000000	14803	0.552059	9456
ADAMTS12	0.599722	402	0.836510	7521
ADAMTS13	0.000000	14802	0.000000	17169
ADAMTS14	0.203358	2849	0.438224	10051
ADAMTS15	0.680628	293	1.205108	4736
ADAMTS16	0.167156	3544	0.167156	11571
ADAMTS17	0.000000	14801	0.000000	17168
ADAMTS18	0.000000	14800	0.000000	17167
ADAMTS19	0.000000	14799	0.000000	17166
ADAMTS2	1.042220	79	1.731525	1776
ADAMTS20	0.000000	14798	0.000000	17165
ADAMTS3	0.000000	14797	0.089488	12058
ADAMTS4	0.000000	14796	0.521390	9630
ADAMTS5	0.128969	4391	0.849033	7427
ADAMTS6	0.254501	2163	0.497211	9761
ADAMTS7	0.333785	1394	0.924244	6831
ADAMTS8	0.000000	14795	0.000000	17164
ADAMTS9	0.000000	14794	0.134756	11723
ADAMTSL1	1.094107	64	1.591034	2426
ADAMTSL2	0.000000	14793	0.000000	17163
ADAMTSL3	-0.013137	15105	0.000000	17162
ADAMTSL4	0.988344	98	1.868728	1295
ADAMTSL5	0.251666	2205	0.613174	9070
ADAP1	0.000484	8631	0.230344	11134
ADAP2	0.066259	6373	0.167156	11570
ADAR	0.000000	14792	1.269477	4285
ADARB1	0.018447	8127	0.986272	6342
ADARB2	0.000000	14791	0.000000	17161
ADAT1	-0.048349	15712	0.914851	6915
ADAT2	-0.103398	16177	0.772629	8008
ADAT3	0.273789	1951	1.947184	1079
ADCK1	0.070831	6268	0.710950	8439
ADCK2	0.102341	5083	1.145343	5160
