gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.373964	1356	1.364964	3681
A1CF	0.000000	14919	0.000000	17239
A2M	0.212122	3166	0.943894	6747
A2ML1	0.000000	14918	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.437326	955	1.117451	5364
A4GNT	0.000000	14917	0.000000	17237
AAAS	0.076125	6877	1.470095	3043
AACS	0.301995	1923	1.352659	3765
AADAC	0.099329	6246	0.099329	12699
AADACL2	0.000000	14916	0.000000	17236
AADACL3	0.000000	14915	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.000000	14914	0.446192	10175
AAED1	0.244523	2666	1.462879	3099
AAGAB	-0.178772	16600	1.369929	3654
AAK1	0.205869	3322	0.831674	7588
AAMDC	0.215071	3114	1.398866	3494
AAMP	0.110054	5752	1.824341	1464
AANAT	0.000000	14913	0.000000	17234
AAR2	0.228254	2906	1.187428	4880
AARD	0.095601	6326	0.110054	12398
AARS	-0.017660	15138	1.594417	2375
AARS2	-0.005267	14977	1.205550	4730
AARSD1	0.120819	5082	1.533652	2669
AASDH	0.000000	14912	0.784521	7940
AASDHPPT	0.089343	6481	1.277066	4244
AASS	-0.104889	16197	0.929029	6853
AATF	-0.099002	16158	1.369858	3657
AATK	0.000000	14911	0.000000	17233
ABAT	0.045631	7701	0.498230	9819
ABCA1	0.000000	14910	0.983395	6421
ABCA10	0.110054	5751	0.110054	12397
ABCA12	0.000000	14909	0.000000	17232
ABCA13	0.000000	14908	0.000000	17231
ABCA2	0.099329	6245	0.611632	9132
ABCA3	0.000000	14907	0.400681	10446
ABCA4	0.000000	14906	0.000000	17230
ABCA5	0.000000	14905	0.473034	9999
ABCA6	0.305269	1893	0.764443	8107
ABCA7	0.094946	6344	0.615628	9110
ABCA8	0.000000	14904	0.783398	7948
ABCA9	0.171160	4018	0.473034	9998
ABCB1	0.000000	14903	0.236378	11311
ABCB10	0.142309	4646	0.607433	9190
ABCB11	0.000000	14902	0.000000	17229
ABCB4	0.000000	14901	0.000000	17228
ABCB5	0.000000	14900	0.000000	17227
ABCB6	0.339275	1589	0.576291	9375
ABCB7	0.000000	14899	0.928432	6860
ABCB8	0.063960	7173	1.235927	4528
ABCB9	0.368653	1400	0.807440	7776
ABCC1	0.500994	739	1.757964	1707
ABCC10	0.127700	4945	0.795243	7847
ABCC11	0.000000	14898	0.000000	17226
ABCC12	0.000000	14897	0.000000	17225
ABCC2	0.000000	14896	0.000000	17224
ABCC3	0.611396	476	1.423725	3327
ABCC4	0.059593	7300	0.938834	6773
ABCC5	0.029313	8109	0.604508	9232
ABCC6	-	19006	-	19006
ABCC8	0.000000	14895	0.000000	17223
ABCC9	0.110054	5750	0.110054	12396
ABCD1	0.235705	2802	1.188928	4860
ABCD2	0.000000	14894	0.110054	12395
ABCD3	-0.206284	16694	0.945707	6736
ABCD4	0.277316	2211	1.057460	5865
ABCE1	-0.351711	17041	1.167353	5019
ABCF1	0.004318	8655	1.854253	1366
ABCF2	0.179412	3863	1.606654	2300
ABCF3	0.023547	8244	1.498324	2867
ABCG1	0.000000	14893	0.167227	11805
ABCG2	0.000000	14892	0.000000	17222
ABCG4	0.000000	14891	0.000000	17221
ABCG5	0.000000	14890	0.000000	17220
ABCG8	0.000000	14889	0.000000	17219
ABHD1	0.000000	14888	0.000000	17218
ABHD10	0.035629	7957	1.070096	5745
ABHD11	0.087660	6532	0.936939	6804
ABHD12	0.221788	3005	1.740674	1760
ABHD12B	0.000000	14887	0.000000	17217
ABHD13	-0.169185	16565	0.872995	7288
ABHD14A	0.194936	3509	1.239954	4498
ABHD14B	0.300876	1932	2.058333	856
ABHD15	0.157666	4328	0.498230	9818
ABHD16A	0.035135	7966	1.181098	4907
ABHD16B	-	19005	-	19005
ABHD17A	0.155279	4370	1.081879	5657
ABHD17B	0.086786	6556	0.753893	8143
ABHD17C	0.166223	4150	1.207616	4711
ABHD18	0.065673	7135	0.917542	6954
ABHD2	0.083060	6669	1.590946	2397
ABHD3	-0.291853	16926	0.658509	8829
ABHD4	0.323015	1735	1.663504	2063
