gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.485194	888	1.476194	3214
A1CF	0.000000	15147	0.000000	17239
A2M	0.000000	15146	0.000000	17238
A2ML1	0.000000	15145	0.000000	17237
A3GALT2	-	19008	-	19008
A4GALT	0.753599	357	1.418024	3578
A4GNT	0.000000	15144	0.000000	17236
AAAS	0.024609	8626	1.319261	4251
AACS	0.026933	8114	1.077597	6127
AADAC	0.000000	15143	0.000000	17235
AADACL2	0.000000	15142	0.000000	17234
AADACL3	0.000000	15141	0.000000	17233
AADACL4	-	19007	-	19007
AADAT	0.015571	8862	0.468949	10106
AAED1	0.156893	4067	1.217775	5045
AAGAB	0.022669	8683	1.571371	2661
AAK1	0.177596	3640	0.721592	8696
AAMDC	0.178145	3629	1.361940	3964
AAMP	0.140598	4405	1.780834	1696
AANAT	0.000000	15140	0.000000	17232
AAR2	0.185683	3487	1.206355	5131
AARD	0.321430	1712	0.335883	10749
AARS	-0.036554	15787	1.471806	3248
AARS2	-0.233822	16991	0.976996	6888
AARSD1	0.025853	8155	1.438687	3458
AASDH	0.024609	8625	0.891434	7523
AASDHPPT	0.144514	4298	1.661114	2194
AASS	0.043471	7597	0.959182	7015
AATF	-0.058256	16074	1.410605	3620
AATK	0.000000	15139	0.000000	17231
ABAT	0.008229	9081	0.417067	10351
ABCA1	0.000000	15138	1.119622	5797
ABCA10	0.000000	15137	0.000000	17230
ABCA12	0.000000	15136	0.000000	17229
ABCA13	0.479380	908	0.479380	10052
ABCA2	0.109610	5269	0.813820	8080
ABCA3	0.000000	15135	0.130286	11804
ABCA4	0.061926	6968	0.061926	12442
ABCA5	0.024609	8624	0.440624	10250
ABCA6	0.000000	15134	0.149427	11686
ABCA7	0.286830	2038	1.122389	5770
ABCA8	0.072170	6373	1.012966	6604
ABCA9	0.000000	15133	0.000000	17228
ABCB1	0.000000	15132	0.000000	17227
ABCB10	-0.042465	15865	0.721012	8699
ABCB11	0.000000	15131	0.000000	17226
ABCB4	0.000000	15130	0.000000	17225
ABCB5	0.000000	15129	0.000000	17224
ABCB6	0.077224	6235	0.492437	9991
ABCB7	0.125339	4816	1.374777	3877
ABCB8	0.064192	6605	1.236159	4894
ABCB9	0.212238	3015	0.681292	8948
ABCC1	0.586289	612	1.843259	1464
ABCC10	0.095708	5631	0.731057	8642
ABCC11	0.000000	15128	0.000000	17223
ABCC12	0.000000	15127	0.000000	17222
ABCC2	0.000000	15126	0.000000	17221
ABCC3	0.833387	276	1.645715	2273
ABCC4	-0.002393	15196	0.788346	8265
ABCC5	0.000000	15125	0.628887	9253
ABCC6	-	19006	-	19006
ABCC8	0.000000	15124	0.000000	17220
ABCC9	0.000000	15123	0.048455	12550
ABCD1	0.232335	2715	1.185559	5290
ABCD2	0.000000	15122	0.048455	12549
ABCD3	0.205020	3127	1.369660	3909
ABCD4	-0.036831	15792	1.064085	6226
ABCE1	-0.120331	16575	1.398734	3700
ABCF1	-0.034810	15757	1.561828	2719
ABCF2	0.104474	5418	1.531716	2873
ABCF3	0.040881	7667	1.515659	2978
ABCG1	0.000000	15121	0.000000	17219
ABCG2	0.000000	15120	0.000000	17218
ABCG4	0.000000	15119	0.000000	17217
ABCG5	0.000000	15118	0.000000	17216
ABCG8	0.000000	15117	0.000000	17215
ABHD1	0.000000	15116	0.024609	12918
ABHD10	0.109307	5284	1.251215	4784
ABHD11	-0.016675	15448	0.871032	7674
ABHD12	0.180569	3583	1.699455	2024
ABHD12B	0.000000	15115	0.000000	17214
ABHD13	-0.065543	16138	0.961671	6995
