gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.223442	3766	1.214443	4761
A1CF	0.000000	15070	0.000000	17239
A2M	0.000000	15069	0.215512	11826
A2ML1	0.000000	15068	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.001312	15094	0.663114	9059
A4GNT	0.000000	15067	0.000000	17237
AAAS	0.461729	1145	1.855699	1389
AACS	0.178224	4632	1.206381	4810
AADAC	0.000000	15066	0.000000	17236
AADACL2	0.000000	15065	0.000000	17235
AADACL3	0.000000	15064	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.087328	6636	0.656940	9099
AAED1	-0.012836	15278	1.205519	4814
AAGAB	-0.403273	17047	1.145428	5221
AAK1	0.082841	6773	0.868520	7447
AAMDC	0.157966	5008	1.260208	4408
AAMP	0.246970	3328	2.051736	851
AANAT	0.000000	15063	0.000000	17233
AAR2	0.313471	2368	1.434707	3303
AARD	0.276077	2883	0.290530	11363
AARS	0.149380	5205	1.761457	1702
AARS2	0.307790	2440	1.518607	2842
AARSD1	0.151159	5157	1.563992	2589
AASDH	0.000000	15062	0.778211	8180
AASDHPPT	0.044773	8028	1.177007	5013
AASS	-0.037156	15662	0.864987	7474
AATF	-0.102948	16255	1.365912	3728
AATK	0.078241	6918	0.095934	12632
ABAT	0.016406	9877	0.658914	9087
ABCA1	0.000000	15061	0.884971	7312
ABCA10	0.000000	15060	0.000000	17232
ABCA12	0.016406	9876	0.016406	13925
ABCA13	0.000000	15059	0.000000	17231
ABCA2	0.039431	8245	0.450332	10446
ABCA3	0.159661	4978	0.887615	7288
ABCA4	0.026394	9148	0.026394	13618
ABCA5	0.000000	15058	0.370012	10914
ABCA6	0.000000	15057	0.000000	17230
ABCA7	0.081124	6845	0.882667	7334
ABCA8	0.000000	15056	0.342451	11088
ABCA9	0.000000	15055	0.016406	13924
ABCB1	0.000000	15054	0.101245	12564
ABCB10	0.200482	4162	0.740251	8490
ABCB11	0.000000	15053	0.000000	17229
ABCB4	0.180056	4607	0.180056	12026
ABCB5	0.000000	15052	0.000000	17228
ABCB6	0.177078	4656	0.608005	9446
ABCB7	0.000000	15051	0.793485	8062
ABCB8	0.209254	3997	1.381221	3627
ABCB9	0.167854	4833	0.631244	9295
ABCC1	0.199491	4184	1.456461	3176
ABCC10	0.262883	3086	0.774852	8214
ABCC11	0.000000	15050	0.000000	17227
ABCC12	0.032303	8796	0.032303	13468
ABCC2	0.000000	15049	0.000000	17226
ABCC3	0.609749	608	1.422077	3381
ABCC4	0.313725	2364	0.825231	7784
ABCC5	0.000000	15048	0.924460	6979
ABCC6	-	19006	-	19006
ABCC8	0.000000	15047	0.000000	17225
ABCC9	0.000000	15046	0.016406	13923
ABCD1	0.197211	4230	1.150434	5176
ABCD2	0.000000	15045	0.095313	12645
ABCD3	-0.173981	16564	0.764029	8299
ABCD4	0.115523	5992	1.272387	4321
ABCE1	-0.379036	17017	1.140029	5267
ABCF1	0.197572	4219	1.813600	1517
ABCF2	0.262232	3098	1.689474	1985
ABCF3	0.128819	5666	1.603597	2410
ABCG1	0.000000	15044	0.032303	13467
ABCG2	0.000000	15043	0.065484	12919
ABCG4	0.039852	8233	0.055496	13042
ABCG5	0.000000	15042	0.000000	17224
ABCG8	0.000000	15041	0.000000	17223
ABHD1	0.016406	9875	0.042800	13178
ABHD10	-0.075098	16044	0.992162	6442
ABHD11	0.214799	3906	1.184760	4962
ABHD12	0.244885	3369	1.763771	1697
