gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.000000	15838	0.872013	8543
A1CF	0.000000	15837	0.000000	17239
A2M	0.089586	7138	0.691528	9751
A2ML1	0.000000	15836	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	-0.546334	17211	0.118091	12508
A4GNT	0.000000	15835	0.000000	17237
AAAS	0.266702	2908	1.660672	2090
AACS	0.207306	3877	1.257970	5157
AADAC	0.000000	15834	0.000000	17236
AADACL2	0.000000	15833	0.000000	17235
AADACL3	0.000000	15832	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.505236	1204	1.074849	6844
AAED1	-0.054275	16566	0.921092	8138
AAGAB	0.106788	6555	1.655489	2121
AAK1	0.098536	6832	0.831780	8817
AAMDC	0.093794	6995	1.277589	4988
AAMP	0.082043	7439	1.720064	1791
AANAT	0.000000	15831	0.000000	17233
AAR2	0.076655	7629	1.014419	7379
AARD	0.184164	4373	0.198617	12046
AARS	-0.061243	16617	1.537912	2824
AARS2	0.076334	7639	1.287151	4910
AARSD1	0.110070	6449	1.440521	3605
AASDH	0.057684	8433	1.137968	6317
AASDHPPT	0.154626	5110	1.671226	2029
AASS	0.360705	1973	1.422772	3736
AATF	-0.045861	16503	1.422999	3734
AATK	0.140905	5463	0.158598	12258
ABAT	0.532382	1100	1.261546	5127
ABCA1	0.019198	10344	1.147000	6236
ABCA10	0.000000	15830	0.000000	17232
ABCA12	0.049740	8907	0.049740	13178
ABCA13	0.232447	3398	0.232447	11884
ABCA2	0.040949	9184	0.541177	10540
ABCA3	0.426527	1545	1.154481	6165
ABCA4	0.000000	15829	0.000000	17231
ABCA5	0.036863	9622	0.462675	10903
ABCA6	0.000000	15828	0.036863	13379
ABCA7	0.003861	11409	0.567445	10410
ABCA8	0.000000	15827	0.110354	12562
ABCA9	0.000000	15826	0.000000	17230
ABCB1	0.050020	8878	0.647693	9989
ABCB10	0.210873	3818	1.071034	6872
ABCB11	0.000000	15825	0.000000	17229
ABCB4	0.126499	5932	0.266997	11720
ABCB5	0.000000	15824	0.000000	17228
ABCB6	0.156690	5062	0.535382	10564
ABCB7	0.230628	3426	1.480065	3285
ABCB8	-0.023016	16224	1.066298	6910
ABCB9	0.081218	7475	0.425727	11080
ABCC1	0.000000	15823	0.786671	9133
ABCC10	-0.003637	15896	0.652943	9954
ABCC11	0.000000	15822	0.000000	17227
ABCC12	0.000000	15821	0.000000	17226
ABCC2	0.000000	15820	0.000000	17225
ABCC3	0.509639	1186	1.280641	4955
ABCC4	0.456254	1390	1.202792	5677
ABCC5	0.074718	7693	0.886509	8421
