gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.635509	828	1.415025	3737
A1CF	0.000000	15284	0.000000	17239
A2M	0.894048	430	1.690150	2220
A2ML1	0.000000	15283	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.204553	3851	0.868978	7849
A4GNT	0.000000	15282	0.000000	17237
AAAS	0.148255	5045	1.373277	4017
AACS	0.226270	3501	1.276933	4716
AADAC	0.018968	9504	0.018968	13274
AADACL2	0.000000	15281	0.000000	17236
AADACL3	0.000000	15280	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.154133	4907	0.598135	9550
AAED1	0.110156	6063	1.270247	4765
AAGAB	-0.015329	15501	1.533373	3018
AAK1	0.053789	8026	0.708909	8907
AAMDC	0.405560	1693	1.589355	2713
AAMP	0.027426	8809	1.696575	2187
AANAT	0.000000	15279	0.000000	17234
AAR2	0.204214	3856	1.325449	4354
AARD	1.439238	124	1.453691	3492
AARS	0.105187	6199	1.717264	2089
AARS2	-0.370763	17140	0.840054	8052
AARSD1	0.072674	7327	1.474160	3371
AASDH	0.035737	8596	1.091717	6192
AASDHPPT	0.138324	5294	1.533892	3011
AASS	0.332314	2236	1.354402	4152
AATF	-0.194758	16880	1.274102	4741
AATK	0.000000	15278	0.000000	17233
ABAT	0.065180	7526	0.782465	8415
ABCA1	0.187549	4160	1.580949	2753
ABCA10	0.076816	7157	0.076816	12430
ABCA12	0.100343	6512	0.100343	12308
ABCA13	0.000000	15277	0.000000	17232
ABCA2	0.339491	2176	0.995079	6908
ABCA3	0.000000	15276	0.151106	11883
ABCA4	0.000000	15275	0.000000	17231
ABCA5	0.151106	4984	0.673755	9131
ABCA6	0.553037	1066	1.012211	6783
ABCA7	0.139025	5276	0.511284	10033
ABCA8	0.313008	2422	1.253804	4893
ABCA9	0.851996	463	1.153871	5722
ABCB1	0.100343	6511	0.100343	12307
ABCB10	0.100648	6339	0.960809	7154
ABCB11	0.000000	15274	0.000000	17230
ABCB4	0.000000	15273	0.100343	12306
ABCB5	0.188702	4140	0.188702	11641
ABCB6	0.769217	582	1.006232	6838
ABCB7	0.000000	15272	0.950090	7237
ABCB8	0.048852	8162	1.207227	5251
ABCB9	0.032327	8683	0.389989	10648
ABCC1	0.208884	3785	1.465854	3420
ABCC10	0.153140	4932	0.704727	8934
ABCC11	0.000000	15271	0.000000	17229
ABCC12	0.000000	15270	0.000000	17228
ABCC2	0.072758	7323	0.072758	12504
ABCC3	0.557326	1047	1.369654	4041
ABCC4	0.190154	4109	1.081186	6272
ABCC5	0.018968	9503	0.959243	7166
ABCC6	-	19006	-	19006
ABCC8	0.000000	15269	0.000000	17227
ABCC9	0.922756	395	1.285695	4634
ABCD1	0.283165	2739	1.236389	5018
ABCD2	1.177137	218	1.338519	4251
ABCD3	0.137399	5316	1.302038	4528
ABCD4	-0.004582	15352	1.152282	5730
ABCE1	-0.089919	16391	1.429145	3646
ABCF1	0.022575	8932	1.753641	1938
ABCF2	-0.019730	15589	1.407512	3789
ABCF3	0.050296	8132	1.525074	3053
ABCG1	0.000000	15268	0.324129	10956
ABCG2	0.018968	9502	0.018968	13273
ABCG4	0.095478	6652	0.111122	12131
ABCG5	0.000000	15267	0.000000	17226
ABCG8	0.000000	15266	0.000000	17225
ABHD1	0.063900	7575	0.123072	12028
ABHD10	-0.042156	15925	1.228521	5084
ABHD11	-0.021380	15616	0.672833	9138
ABHD12	0.100343	6510	1.592504	2690
ABHD12B	0.000000	15265	0.000000	17224
ABHD13	0.017044	9555	1.059224	6439
ABHD14A	0.334829	2220	1.381390	3960
ABHD14B	0.251325	3109	2.008783	1078
ABHD15	0.416560	1630	0.757124	8572
ABHD16A	0.154314	4877	1.292285	4590
ABHD16B	-	19005	-	19005
ABHD17A	0.096953	6619	1.023553	6689
ABHD17B	0.097513	6601	1.098155	6153
ABHD17C	0.112869	5982	1.154262	5717
ABHD18	0.104859	6210	0.782617	8412
ABHD2	0.084128	6965	1.477156	3358
ABHD3	-0.137725	16653	0.812638	8255
ABHD4	1.062004	284	2.402493	415
ABHD5	0.335949	2213	1.532828	3020
ABHD6	0.111673	6012	0.758640	8560
ABHD8	-0.069634	16219	0.840092	8051
ABI1	0.007205	9794	1.396504	3851
ABI2	0.026358	8834	1.351355	4168
ABI3	0.000000	15264	0.000000	17223
ABI3BP	0.706884	679	1.420365	3701
ABL1	0.026309	8836	0.737907	8719
ABL2	0.035737	8595	0.662020	9203
ABLIM1	0.119312	5817	0.204385	11560
ABLIM2	0.000000	15263	0.076816	12429
ABLIM3	0.104124	6239	1.338267	4253
ABO	0.000000	15262	0.000000	17222
ABR	0.254578	3063	0.888270	7685
ABRA	0.000000	15261	0.000000	17221
ABRACL	0.231158	3411	1.237011	5009
ABT1	-0.081332	16330	1.115534	6021
ABTB1	0.035737	8594	1.158164	5683
ABTB2	0.095417	6653	0.856237	7945
ACAA1	0.155276	4859	1.637292	2464
ACAA2	0.814682	516	2.107461	850
ACACA	0.168579	4562	1.218488	5159
ACACB	1.855423	48	1.855423	1537
ACAD10	-0.072520	16251	0.917058	7466
ACAD11	0.413812	1646	1.079249	6283
ACAD8	-0.053697	16063	1.155054	5710
ACAD9	0.000000	15260	1.321925	4381
ACADL	0.640609	816	0.640609	9319
ACADM	0.287486	2680	1.661582	2345
ACADS	0.448803	1459	1.336438	4269
ACADSB	0.050800	8097	0.780173	8434
ACADVL	0.515550	1196	2.233861	629
ACAN	0.620768	866	0.671067	9146
ACAP1	0.000000	15259	0.000000	17220
ACAP2	0.142337	5198	1.517871	3105
ACAP3	0.000191	9983	0.614355	9472
ACAT1	0.099655	6533	1.771791	1854
ACAT2	0.353118	2070	1.771405	1855
ACBD3	0.097709	6595	1.951651	1248
ACBD4	-0.168564	16792	0.540281	9866
ACBD5	0.093039	6714	0.652510	9258
