gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.502926	1247	1.456810	3539
A1CF	0.000000	15397	0.000000	17239
A2M	0.833538	487	1.641258	2449
A2ML1	0.000000	15396	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.444031	1489	1.112479	6129
A4GNT	0.000000	15395	0.000000	17237
AAAS	0.123636	5448	1.351458	4262
AACS	0.375707	1859	1.426371	3723
AADAC	0.407769	1663	0.407769	10663
AADACL2	0.000000	15394	0.000000	17236
AADACL3	0.000000	15393	0.000000	17235
AADACL4	-	19007	-	19007
AADAT	0.126875	5373	0.644932	9378
AAED1	0.296486	2533	1.514841	3154
AAGAB	0.021311	9454	1.570012	2831
AAK1	0.067971	7265	0.783866	8505
AAMDC	0.335729	2174	1.519525	3121
AAMP	0.035941	9057	1.676233	2264
AANAT	0.000000	15392	0.000000	17234
AAR2	0.163571	4503	1.253571	4994
AARD	0.868758	444	0.883211	7849
AARS	0.121055	5527	1.733132	2007
AARS2	-0.271759	17092	0.939058	7428
AARSD1	0.075229	7050	1.488062	3315
AASDH	0.035941	9056	1.027273	6752
AASDHPPT	0.037118	8699	1.473639	3408
AASS	0.233090	3311	1.295157	4674
AATF	-0.201533	16977	1.267327	4878
AATK	0.000000	15391	0.000000	17233
ABAT	0.089666	6430	0.539504	9960
ABCA1	0.128171	5345	1.521571	3107
ABCA10	0.035941	9055	0.035941	13198
ABCA12	0.000000	15390	0.000000	17232
ABCA13	0.077334	6999	0.077334	12471
ABCA2	0.341186	2124	1.120080	6065
ABCA3	0.000000	15389	0.234911	11443
ABCA4	0.000000	15388	0.000000	17231
ABCA5	0.077334	6998	0.629347	9462
ABCA6	0.549495	1071	1.008669	6900
ABCA7	0.191314	3944	0.473776	10300
ABCA8	0.517831	1192	1.458627	3529
ABCA9	0.844272	474	1.146147	5852
ABCB1	0.000000	15387	0.000000	17230
ABCB10	0.185764	4043	1.045925	6607
ABCB11	0.000000	15386	0.000000	17229
ABCB4	0.000000	15385	0.035941	13197
ABCB5	0.202588	3763	0.202588	11610
ABCB6	0.524742	1170	0.761758	8657
ABCB7	0.077334	6997	1.007489	6906
ABCB8	0.152106	4769	1.256408	4964
ABCB9	-0.000435	15411	0.443048	10472
ABCC1	0.202938	3754	1.459908	3523
ABCC10	0.040315	8619	0.675661	9198
ABCC11	0.000000	15384	0.000000	17228
ABCC12	0.000000	15383	0.000000	17227
ABCC2	0.253780	3004	0.253780	11355
ABCC3	0.562725	1025	1.375054	4080
ABCC4	0.195360	3896	1.086392	6327
ABCC5	0.046375	7982	1.003496	6934
ABCC6	-	19006	-	19006
ABCC8	0.000000	15382	0.000000	17226
ABCC9	0.863816	448	1.226755	5246
ABCD1	0.279309	2696	1.232533	5195
ABCD2	1.465619	99	1.627001	2501
ABCD3	0.133582	5229	1.298222	4654
ABCD4	0.021072	9460	1.071193	6452
ABCE1	0.051429	7834	1.570494	2828
ABCF1	0.061249	7514	1.791826	1753
ABCF2	0.067800	7271	1.460373	3521
