gene	enrichment	rank(enr)	max	rank(max)
A1BG	0.006364	9575	0.317559	10907
A1CF	0.000000	15305	0.000000	17239
A2M	0.000000	15304	0.718210	9100
A2ML1	0.000000	15303	0.000000	17238
A3GALT2	-	19008	-	19008
A4GALT	0.062393	6702	0.757842	8869
A4GNT	0.000000	15302	0.000000	17237
AAAS	0.205069	3431	1.599039	2475
AACS	0.112115	5231	1.162779	5847
AADAC	0.000000	15301	0.000000	17236
AADACL2	0.000000	15300	0.000000	17235
AADACL3	0.000000	15299	0.000000	17234
AADACL4	-	19007	-	19007
AADAT	0.000000	15298	0.409590	10585
AAED1	0.064099	6634	1.175650	5729
AAGAB	-0.040176	16029	1.508525	3068
AAK1	0.239208	2938	1.063226	6690
AAMDC	0.235107	2995	1.418902	3750
AAMP	0.135362	4705	1.775788	1621
AANAT	0.000000	15297	0.000000	17233
AAR2	0.181636	3782	0.888150	8001
AARD	0.000000	15296	0.000000	17232
AARS	-0.000495	15319	1.611582	2398
AARS2	0.061035	6746	1.271852	4924
AARSD1	0.023961	8458	1.413431	3798
AASDH	0.023961	8457	0.959667	7468
AASDHPPT	0.171132	3963	1.545840	2813
AASS	0.334983	1928	1.397050	3940
AATF	0.061749	6718	1.530609	2908
AATK	0.000000	15295	0.012475	13056
ABAT	0.000000	15294	0.227781	11229
ABCA1	0.000000	15293	0.721223	9083
ABCA10	0.000000	15292	0.000000	17231
ABCA12	0.012475	9396	0.012475	13055
ABCA13	0.000000	15291	0.000000	17230
ABCA2	0.023961	8456	0.570996	9847
ABCA3	0.598129	787	1.326083	4510
ABCA4	0.062507	6693	0.062507	12021
ABCA5	0.094922	5708	1.075794	6585
ABCA6	0.548558	922	1.007732	7135
ABCA7	0.000000	15290	0.611469	9646
ABCA8	0.000000	15289	0.538783	9999
ABCA9	0.012475	9395	0.023961	12608
ABCB1	0.394741	1533	0.394741	10633
ABCB10	0.289332	2355	1.149493	5966
ABCB11	0.000000	15288	0.000000	17229
ABCB4	0.000000	15287	0.015108	12849
ABCB5	0.000000	15286	0.000000	17228
ABCB6	0.090829	5808	0.421733	10540
ABCB7	0.070809	6422	1.320246	4561
ABCB8	-0.114940	16675	1.019017	7033
ABCB9	0.162163	4121	0.625553	9577
ABCC1	0.228843	3084	1.485813	3229
ABCC10	-0.031262	15893	0.604087	9684
ABCC11	0.000000	15285	0.000000	17227
ABCC12	0.000000	15284	0.000000	17226
ABCC2	0.039068	7633	0.039068	12299
ABCC3	0.028787	8177	0.219800	11250
ABCC4	0.312198	2149	1.203229	5494
ABCC5	0.239765	2934	0.764635	8827
ABCC6	-	19006	-	19006
ABCC8	0.000000	15283	0.000000	17225
ABCC9	0.000000	15282	0.000000	17224
ABCD1	0.000000	15281	0.700903	9182
ABCD2	0.000000	15280	0.000000	17223
ABCD3	0.008651	9499	1.173291	5741
ABCD4	0.231551	3040	1.172141	5750
ABCE1	0.272117	2533	1.791182	1556
ABCF1	0.093022	5750	1.942956	1048
ABCF2	0.169126	3999	1.596367	2494
ABCF3	-0.119333	16709	1.355444	4277
ABCG1	0.030605	7896	0.480277	10282
ABCG2	0.292249	2316	0.407198	10595
ABCG4	0.071230	6403	0.077750	11920
ABCG5	0.000000	15279	0.000000	17222
ABCG8	0.000000	15278	0.000000	17221
ABHD1	0.000000	15277	0.029968	12369
ABHD10	0.143120	4509	1.413797	3795
ABHD11	-0.006683	15451	0.876328	8083
ABHD12	0.000000	15276	1.283823	4835
ABHD12B	0.000000	15275	0.000000	17220
ABHD13	-0.026471	15803	1.015709	7066
ABHD14A	0.010222	9456	0.667088	9362
ABHD14B	-0.328600	17137	1.428857	3663
ABHD15	0.000000	15274	0.276079	11040
ABHD16A	0.007037	9558	1.007817	7134
ABHD16B	-	19005	-	19005
ABHD17A	0.028787	8176	0.818526	8489
ABHD17B	0.063132	6668	0.919915	7760
ABHD17C	0.231377	3044	1.226520	5293
ABHD18	0.159746	4160	0.971504	7388
ABHD2	0.000000	15273	1.412855	3804
ABHD3	-0.299573	17116	0.650789	9434
ABHD4	-0.027021	15819	1.202224	5503
ABHD5	0.015108	9020	1.131584	6131
ABHD6	0.028787	8175	0.486126	10259
ABHD8	-0.000145	15308	0.655112	9422
ABI1	-0.038761	16000	1.469729	3342
ABI2	0.283343	2418	1.602889	2454
ABI3	1.025103	220	1.221383	5338
ABI3BP	0.041262	7551	0.918108	7776
ABL1	0.073711	6330	0.848601	8308
ABL2	0.595276	796	1.263343	5000
ABLIM1	0.736629	538	1.064673	6683
ABLIM2	0.022439	8493	0.290498	10997
ABLIM3	0.236462	2975	1.498211	3149
ABO	0.000000	15272	0.000000	17219
ABR	0.175681	3890	1.225348	5299
ABRA	0.000000	15271	0.000000	17218
ABRACL	0.675468	620	1.784499	1580
ABT1	0.038777	7645	1.235643	5210
ABTB1	0.000000	15270	0.637421	9510
ABTB2	-0.270632	17092	0.012475	13054
ACAA1	-0.028152	15843	1.309747	4645
ACAA2	0.428383	1354	1.122484	6200
ACACA	0.385870	1591	1.529197	2915
ACACB	0.052747	7078	0.239709	11178
ACAD10	-0.261014	17081	0.728564	9031
ACAD11	0.143216	4506	0.808653	8538
ACAD8	-0.061632	16279	1.147120	5987
ACAD9	0.089666	5839	1.489803	3202
ACADL	0.000000	15269	0.000000	17217
ACADM	0.104110	5443	1.478206	3287
ACADS	0.015108	9019	0.636691	9514
ACADSB	0.000165	9762	1.009411	7119
ACADVL	0.010434	9450	1.805505	1506
ACAN	0.000000	15268	0.000000	17216
ACAP1	0.000000	15267	0.015108	12848
ACAP2	0.052241	7094	1.611775	2395
ACAP3	0.000000	15266	0.519234	10107
ACAT1	0.091140	5799	1.763277	1665
ACAT2	0.609178	758	2.042328	808
ACBD3	-0.019388	15691	1.834554	1410
ACBD4	-0.014274	15584	0.694572	9220
ACBD5	0.004188	9624	0.649416	9446
ACBD6	0.243184	2892	1.465245	3380
ACBD7	0.482943	1110	0.720261	9091
ACCS	0.045586	7300	0.340283	10825
ACCSL	-	19004	-	19004
ACD	0.125261	4910	1.042078	6864
ACE	1.118818	136	1.565336	2707
ACE2	0.000000	15265	0.000000	17215
ACER1	0.000000	15264	0.000000	17214
ACER2	0.191555	3629	0.508092	10164
ACER3	0.125506	4904	1.244100	5144
ACHE	0.000000	15263	0.049709	12158
ACIN1	0.124470	4932	1.967778	981
ACKR1	0.064375	6626	0.064375	12013
ACKR2	0.000000	15262	0.027583	12561
ACKR3	0.097367	5631	0.948706	7540
ACKR4	0.489641	1086	0.594275	9736
ACLY	0.613174	747	1.907873	1155
ACMSD	0.000000	15261	0.000000	17213
ACO1	0.122908	4969	1.646850	2221
ACO2	0.012475	9394	1.569331	2672
ACOD1	0.000000	15260	0.000000	17212
ACOT1	0.042368	7477	0.092918	11824
ACOT11	0.075411	6287	0.321390	10892
ACOT12	0.000000	15259	0.000000	17211
ACOT13	0.065531	6585	1.489921	3199
ACOT2	0.000000	15258	0.682997	9273
ACOT4	-0.095294	16554	0.043894	12199
ACOT6	-	19003	-	19003
ACOT7	0.146227	4446	1.286014	4816
ACOT8	-0.239613	17057	1.161156	5858
ACOT9	0.150475	4346	1.699541	1947
ACOX1	-0.004793	15412	1.363136	4219
ACOX2	0.087066	5910	0.168849	11444
ACOX3	-0.062011	16285	0.900416	7919
ACOXL	0.000000	15257	0.000000	17210
ACP1	0.061189	6743	1.731438	1806
ACP2	0.000000	15256	1.350777	4326
ACP5	0.652965	667	0.679345	9293
ACP6	0.039768	7599	0.713255	9120
ACP7	-	19002	-	19002
ACPP	0.000000	15255	0.000000	17209
ACPT	-	19001	-	19001
ACR	0.000000	15254	0.000000	17208
ACRBP	0.301651	2233	0.548233	9949
ACRC	0.000000	15253	0.000000	17207
ACRV1	0.000000	15252	0.000000	17206
ACSBG1	0.000000	15251	0.000000	17205
ACSBG2	0.000000	15250	0.000000	17204
ACSF2	0.125899	4892	0.908512	7859
ACSF3	0.016922	8681	0.882015	8042
ACSL1	0.012475	9393	1.012009	7098
ACSL3	0.230319	3058	2.126904	617
ACSL4	0.177431	3856	1.711570	1887
ACSL5	0.104521	5433	0.982430	7300
ACSL6	0.000000	15249	0.000000	17203
ACSM1	-	19000	-	19000
ACSM2A	0.000000	15248	0.000000	17202
ACSM2B	0.000000	15247	0.000000	17201
ACSM3	0.000000	15246	0.052747	12139
ACSM4	-	18999	-	18999
ACSM5	0.049709	7181	0.049709	12157
ACSM6	0.000000	15245	0.000000	17200
ACSS1	0.039948	7593	0.768231	8792
ACSS2	0.205711	3427	1.145612	6001
ACSS3	0.039068	7632	0.346302	10806
ACTA1	0.028787	8174	0.028787	12506
ACTA2	0.048152	7230	0.797691	8609
ACTB	0.494883	1067	3.669996	1
ACTBL2	0.000000	15244	0.000000	17199
ACTC1	0.000000	15243	0.000000	17198
ACTG1	0.190116	3652	3.669541	2
ACTG2	0.000000	15242	0.012475	13053
ACTL10	0.000000	15241	0.073300	11947
ACTL6A	0.325624	2010	1.841640	1378
ACTL6B	0.000000	15240	0.000000	17197
ACTL7A	0.000000	15239	0.000000	17196
ACTL7B	0.000000	15238	0.000000	17195
ACTL8	0.000000	15237	0.000000	17194
ACTL9	0.000000	15236	0.000000	17193
ACTN1	0.233170	3017	2.345173	320
ACTN2	0.000000	15235	0.043894	12198
ACTN3	0.000000	15234	0.000000	17192
ACTN4	0.129553	4814	1.894798	1194
ACTR10	0.074530	6312	1.579322	2600
ACTR1A	0.180043	3811	2.058352	766
ACTR1B	-0.108925	16645	1.181890	5678
ACTR2	0.290645	2341	2.003293	887
ACTR3	0.154725	4252	2.324294	344
ACTR3B	0.043295	7423	0.971445	7389
ACTR3C	0.086722	5923	0.217666	11254
ACTR5	0.077123	6231	0.874390	8104
ACTR6	0.000000	15233	0.888987	7997
ACTR8	0.095710	5677	1.356175	4275
ACTRT1	-	18998	-	18998
ACTRT2	0.000000	15232	0.000000	17191
ACTRT3	-	18997	-	18997
ACVR1	0.023961	8455	1.060924	6702
ACVR1B	-0.004213	15398	1.013517	7081
ACVR1C	0.000000	15231	0.000000	17190
